frame_start	frame_end	Left-Cerebral-White-Matter	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	30	53.74331700212319	32.978458182825854	34.831151209083664	49.838389297155814	44.36227501798411	32.95664784054028	67.26563790301945	92.05099655216762	68.37774868863872	22.166125155222613	30.324555815306137	67.79526020421996	77.62411800033219	98.50772283051938	20.105887352269427	82.1860248131594	64.46818902886378	41.3189582824707	21.949064090665804	59.66327878642861	47.80089963293739	93.59257658831592	72.41882522427382	77.84914586454015	35.96287231094766	59.528034996408564	125.51144772089394	85.05183747304363	78.29991363171382	36.465478530370866	96.69430744016128	88.52568009033905	55.865567207336426	37.1956543651958	146.97221035068318	25.983978970492462	37.330652643302386	80.20938457643146	40.825882195208884	61.66878294571003	19.867817620706493	23.282486652694757	80.48413753280971	67.74458680095047	30.744500139357704	118.78920902449204	47.98631735778274	61.91721728947765	49.51877402201743	72.61408141871028	71.30656286460305	65.52917935629173	38.83618687500203	119.2645754823772	70.19992725226264	98.21529629024103	40.57915147598865	77.1590833580361	91.89821220600568	46.527932174377874	58.97769009766037	69.55037717316826	50.373654770260686	66.2144599591279	37.038406769567146	68.59096600974846	44.94186148627162	58.565011479471636	44.113605963497236	58.39035208003301	60.877730617852144	32.410525217323055	72.69831301105171	27.978340416232115	78.44571694158168	67.17177564398534	51.823627955659475	51.951976124847185	38.89581672033074	129.0488949165749	49.75587746770483	60.80510901959568	57.923992007161324	113.74577443117646	38.17991376865671	85.63704837589182	39.23031473041967	113.36967593196368	48.728658055044434	74.06315725593946	55.106850369425835	32.01097137003016	87.83955301264653	78.82081087421301	64.52143463303885	67.78698966069096	40.32853335718416	53.036318118881134	60.538500454239504	35.7568359375341	63.27881416473336	63.12940409646061	50.93163706305773	50.447809964172954	59.85850494324125	24.289201487232855	163.67980909496512	50.03627950199256	67.85733961027218
30	60	2789.4562773199136	2181.870087479199	3070.3363329694407	2330.158127714134	3363.4346123563137	3742.260055772843	3439.050822149276	4418.343119303386	3383.5988812665637	2845.709729776503	2244.610049917678	3127.9424840364886	3482.880988926937	2591.071043837341	3423.5770333527826	4575.555429915936	3351.7520417197657	4547.845703125	2606.063521630024	2714.1024765220623	2168.0831957485652	3023.8689966060847	2549.0834272631564	3363.658500897718	4105.844976374026	3375.655632060758	4541.017241228978	2974.9800655698823	3210.353801013674	3019.2449998121997	3279.0232196713505	3828.6261383985884	2498.24560546875	2687.5963442031652	3428.7524962344414	682.6263847998433	827.9178949959529	4086.887332073312	2709.315347294526	3586.448411648012	348.3725243991493	3896.3364721473617	3817.48512526604	3975.3342398165796	4709.932365459388	3063.8219406422418	3378.42047597608	3426.8564003628326	3123.9057239297304	3976.965571257059	3436.640103629379	4063.886437312632	4024.454096588316	4137.0116778901365	3357.1004645721805	3328.988111669367	3915.1821329541776	3968.263176285648	3695.1295122145902	3895.457345652188	4716.508348205481	3520.9645560629883	4175.097973610506	3671.299872411891	4630.073800025077	4500.106348252653	3751.303834015808	4201.957748743982	3437.619801632855	4116.971660529666	3826.5964481037036	4341.002346372065	2437.8316292635714	5157.600817677331	3538.939031296409	4184.20220073313	3795.4146677258154	3729.4704321951444	4379.9463268854815	2523.2115715723094	3485.871528974286	3475.008427157371	3129.5102225241512	4087.4112601084253	3379.488588396702	3824.40263816005	4083.7020658371694	3861.635354724406	3403.352097673698	3383.8269347999694	3903.1091503146667	3387.406498670879	3664.937386955311	3718.3357854141036	5348.605917661029	3441.168398728585	3894.3676645528417	3502.9658648519103	4251.614576955118	3373.4688522373785	3621.913106718732	3889.781557817635	3324.334290889912	3804.6338351642803	3692.1542204626367	3949.0255442811504	2909.241116032325	4700.0626891402335	4105.306809496084
60	90	10095.37957286794	7579.426665586238	10935.132335730292	9927.667945467218	13000.167115104683	15478.998737870463	14135.577274826599	17926.770884317226	10964.652588999796	12083.24256081883	9456.900361480573	11459.657493659719	12233.667841270893	12838.325051189999	11334.634392428468	15425.886652122928	12511.936839980217	9638.3203125	10365.79444791985	9987.060142268787	7658.54689795586	10379.052056072967	9659.715874967871	13215.575845600488	15243.063665953912	13486.967085768885	17565.738087861762	13306.610095178834	11769.449867878713	12664.2074250252	15804.023772222836	12603.314583042269	9411.393981933594	9624.94589776862	8109.0611882613875	2171.69737365085	2902.713756543213	12726.351059131408	11609.566039962143	12446.936855471276	1165.2915750531076	13787.059694606216	13399.784082355689	14803.623867744347	16238.028671383754	9856.620514025084	13116.440880310842	14050.512068746959	11800.608178471191	14525.441906418248	12777.050164471522	13324.793276827899	14600.683592810668	15470.973273183017	12426.165137862969	11592.492255522346	15078.677202241202	14534.399622357301	13340.538889810778	13497.621430893922	18830.322273842918	13273.440258102515	15042.24056160597	13650.957097888508	15929.659480797738	14911.130580412111	13746.032632434975	14939.259704944123	12948.612509857228	13537.96200893045	13825.064920751549	14793.771947564715	10938.787274592723	16829.189527013063	13724.199269702154	13714.788794723732	13130.728386404486	14455.951988054865	16491.50255537438	8798.08572155941	13525.133672290378	12991.382371033238	11883.157916642076	14220.024001239097	12786.116826371965	14720.59018915893	14734.29792345287	13339.116751701209	11998.682505845198	11461.762741776853	13878.773392641759	12904.206222769168	12919.993366715176	13124.994519495987	18012.853007432375	12695.00570375854	14432.15569682061	12915.272894376216	14910.14912867644	11284.796739800844	13913.604267135184	14338.766122130177	12735.742770523551	12844.205201840186	12883.463447334823	12497.028721169694	10895.00553837017	16690.289942506257	14594.14859917344
90	120	19048.994461025122	13879.128393074343	20048.784361953585	18843.856827225234	24945.94187794579	28970.31371295378	24729.487412472597	31476.140732141626	22307.911712538647	21007.78095703125	16166.136984188475	20867.026714376414	23360.946422500994	21421.528361765795	23337.404565879606	28456.269672118666	23102.453581857844	17477.455078125	18593.1055260544	19125.31158804446	13923.379037632596	22168.312629887623	18425.389158060836	24997.12064303109	27744.752174623718	27074.118972009892	33719.41712087246	24469.295646855026	22640.754722443275	20913.2661774969	30487.145752815813	22166.115647372673	16482.630249023438	18465.049466903896	15250.984780521716	3809.777463796316	5128.57318647336	24031.84701526656	19836.72857223732	23117.191584686814	2047.2302559875352	26012.997060334295	24616.656746392233	27004.259892675735	28692.743572304586	19192.26010347793	25334.071241460293	25751.35150152303	23803.349242697892	27529.65090588059	24087.45181468967	25631.49883570678	27876.550340960017	28756.032775330452	24055.550232795817	22882.395347312646	28246.614775609887	25896.198413580554	24247.93137623681	25623.789152657962	33544.63530252893	25622.837902379535	28514.944467989808	26307.781631855192	29762.093983565013	26239.91687598503	26570.529838970866	27811.77246606179	24317.735176810034	24866.262461921386	25877.410000340315	28333.96719683405	21724.5549979879	31834.369946676587	25740.258843329615	25980.34627830616	24458.93250691933	27224.682244685893	29957.7790778473	19439.657738525548	25418.808735035083	24992.827371130003	23819.704903069178	26288.760492612237	23972.232535012776	27698.22121102604	28119.201584469945	26899.58909189018	24431.88184880566	21602.521373370386	26253.06215001972	24452.10775101182	25346.60035903033	25320.425969608044	32886.698549003704	24362.877049582665	27486.47413057094	24799.635244700155	29711.295040532455	19453.707855853118	26351.814459307847	27319.091460154075	24522.279022192448	23814.06128486613	24502.064526661	25491.226133117387	20861.44264851934	28261.39887505867	25691.4331612478
120	150	27495.38874917947	19595.70055678264	28720.921126749756	27267.578565495216	36158.998294175806	41413.941988827035	37032.54316187727	47160.54879147696	33837.78131802909	30996.3084231606	21936.471359547177	30581.773807093286	32470.39573401018	31892.48101439104	29669.87919798739	43564.95766706262	30950.691408558658	30168.1328125	26671.774658800045	27159.604293862554	20637.74267395248	28413.082416102217	26102.00170826096	36476.957953372636	42307.705338319276	38561.80730300135	47833.61104477756	33730.790535505774	30628.588426251838	29927.187716879263	45563.20808717977	32207.199525548273	29383.013671875	25210.324177781196	20797.769498146186	5409.748229845424	7126.160486499653	35163.296763445105	31561.661144914407	32259.64424987966	2817.5349593731244	36206.57164957935	35293.42024415144	39899.63579675211	42353.83404705117	29439.699278083677	36257.23491205721	37579.50684051465	34065.427404592025	36601.389003796525	35884.17797502497	38311.37477399761	40763.00726324764	39599.69159805239	34605.182279602326	31990.541462394125	39892.38567708333	36874.707636572035	35317.24056625507	35893.16186467647	49857.48496532039	36215.64742213714	41307.59613854071	36977.79620485429	42558.01188768241	38322.670808399824	38005.69992023258	39208.65175749506	35976.4343308108	35261.11809562238	37396.59642117059	37696.46568481822	30051.115149381105	41661.76654885913	35004.384994971086	38359.0928589221	36569.297574513716	39140.77059325584	43234.55586650185	26452.7013644454	35721.576206843056	36180.86800508404	33520.64179997959	36775.85002157133	35489.820273035475	38770.50313624868	39935.3507458316	38183.21901591113	34299.41586546011	31455.99885982736	37968.67441371854	35498.97470355497	34809.280514386744	35957.22435842684	48843.85646522388	34704.31867523104	39323.27217332542	35788.72419742912	41155.55530834893	26638.293076015445	38008.187451518635	39332.8889872559	35084.29616139413	34092.887081813664	34920.06248934579	36512.85239862967	31956.01193220024	39959.66543628755	35901.68503714027
150	180	30981.662861646648	21798.013033141306	33022.93765348723	30332.89338804662	41501.991077403276	45164.9210551626	40555.381764179205	51370.640981132725	35945.41265163585	33886.03598447389	24877.813195879247	33226.770863048056	35577.734512843264	37019.928307008886	32927.915724834806	47567.89612268518	32290.156641958893	24976.609375	30007.622187308985	30629.594045247166	21428.502338128943	32475.746632543105	30098.255238234553	41446.45812515287	46166.08630477423	42814.87528439748	53588.87541708359	37766.780003610496	35968.07047765161	33837.0332637058	51985.78954560513	33182.74612065385	25754.924072265625	26814.248859562285	18299.62461103019	5753.626745295771	7778.471016650609	39488.23448106858	33860.44525158022	35404.136768158154	3076.130155029719	40667.341297097126	39567.361663379015	43653.19142257138	45718.86375781476	29730.32649925728	39864.26380672618	42325.44321507835	39191.744345474035	39704.398658781014	40714.53756217475	41761.75494012932	45527.18989990491	43970.262754232186	38937.24845603472	34518.056241738675	44126.2802103573	42170.64044315886	38520.081982475866	41183.72844555173	55887.95224020424	40174.553039160695	44968.53839956173	41784.39051278256	47407.68477794126	41272.06242766204	43173.67976139224	43364.51021329739	40700.010480293684	38639.872860894386	41811.82704009001	41918.34306650662	33690.36003066719	49518.57081886574	40212.80679286758	42861.487327898554	39953.39058502779	43414.439491221754	48876.88135579683	29902.920139996808	39525.144410027395	40617.64039794632	37981.952625652884	41221.06690205613	40771.93067143905	43137.69993673372	45103.09345081831	43275.71058243349	39867.41687255723	35217.36921014772	43105.552257415795	40527.30506520607	39348.58991810917	40109.5654245941	52066.23615525805	38268.465666436845	43139.40908491561	40441.98185102546	46124.15454402412	31968.002404533752	42600.36950367909	43734.90433960634	39863.23106829113	37846.72828891744	38437.82977167923	39983.46240996593	33973.97534041443	45870.54301763924	39696.43620215015
180	240	31938.552471510317	20333.101983867087	31293.47979340619	31345.15445957283	42333.72587831674	47118.71875260726	41749.68175165841	53168.58728657906	37923.313164516025	34805.879269679586	26194.01967652376	34328.130411603066	36236.89775191115	35457.50881701937	32699.194361511883	43269.35196606969	33763.58617400923	27482.560546875	28934.33189037668	31577.563101028947	21403.15370704896	34340.8975523399	30877.69105282358	42874.72614506935	47547.079988724916	43118.231872189746	52684.14230295567	39730.40830779099	34523.45563606962	35825.13418889578	50333.612301236746	34425.62462948209	28610.043701171875	27890.85627140411	17445.9484904661	5861.723269563497	7961.070908454973	41575.41951040204	34753.58829983361	35435.56723343374	3172.808322171013	41233.30431093125	39176.62625449889	44011.79600804676	46329.32849936307	32295.711484765903	41127.0557683961	42624.02894109842	40517.70643055485	41215.62435261587	41927.15766556389	42351.26557022253	45140.360972374794	45116.43685564426	39620.31004934262	35874.631174620554	43772.41484914724	42068.17497252376	37848.975701843556	40849.786324063425	56327.05955524632	41231.65042328804	46187.87849135593	42656.51083484962	48430.76701030127	41074.22457243647	43362.55933700611	44545.76019232409	40903.05710115099	40081.63060683192	42321.22556666661	42341.12542655608	35669.05957725078	46106.39468212632	40046.28860871888	42566.39501358696	39678.83056054825	43000.46556272827	49263.066617597906	30952.799187714383	42005.45647501062	41520.156945402996	39541.51776778162	40041.880769076415	41425.896167552346	43357.410478215796	45308.20032143052	44456.986397064924	39999.950513090625	34783.76973008498	43440.722730774876	39398.47053769368	38522.274086945974	40765.03509454144	53711.72118371322	38927.48591329997	45348.29601875659	40118.154917946114	46260.43891483164	33019.40788132866	43473.846012856135	44611.38980412733	40497.85229877857	39106.08046398375	39402.26988152081	40242.66797752705	36449.940791336354	44724.86661305147	40910.32960408886
240	300	31223.00989748563	19818.23245645985	30719.498645475196	31263.80013027092	41614.82556380009	46457.217339184404	39569.257323480495	51777.756421599064	38095.590362348565	33399.64704064478	26744.25055239899	34114.90866986965	36079.060005866115	34438.07036841375	30725.631075336445	43697.08554154483	33028.463789462665	28173.5234375	26652.14078019942	30931.803738654464	20842.74267857253	33622.3568830819	30108.800903981366	41225.90393064583	47139.379138423355	41423.19301483813	52344.95057150554	40260.16097149244	33033.35455372082	35387.203103190914	47440.84536495141	34066.1168509659	28931.0244140625	24594.69345301798	14457.177742650952	5744.437646460029	7887.6712761749	38885.74572068118	33437.28502702623	34002.52420850256	3203.569706703033	41716.67274180226	38027.985951775336	42889.04114523595	44312.934985048065	32706.576798717833	41269.518976325664	41265.13054874931	39605.16146752357	39013.46057906133	40309.62502016367	41323.8484294829	43814.65850473559	43331.29274435374	38943.128457488936	34629.42093214041	42350.971415560234	39772.47017271796	35600.161762196774	38516.269835421546	53112.65119461124	39353.67856228946	44756.4020760764	40672.04044182684	45724.06536269706	41660.99409906915	41955.04398952716	42350.944790570764	39275.20959099781	39020.79604048125	40743.83481753339	39380.75387814748	36401.3019156583	44142.76796875	39757.98052277156	42224.847042572466	39240.14690890746	41599.88794192236	47331.09956083871	28731.546083529436	40642.88290956285	40128.743655444276	38762.687092407345	39365.19136778949	39808.42563030742	42293.54723399186	43445.58837340602	42772.56734730585	38544.971267361114	34612.18807564814	41633.67934812518	37711.11244817636	37129.268267782376	38527.45442636503	51404.60260694219	37013.42012460732	43143.69265641482	38770.78325950785	44200.19384125108	31990.576708202232	41564.76992773725	42455.950042392775	38699.50509411276	38087.34518515832	38058.91458082172	38086.52252376272	35805.90691799972	42177.54956635247	38960.693618189805
300	360	30084.828784972484	18539.293299561592	31341.640341048624	30304.783604846874	39386.43048521521	44298.03609544182	37466.303123582555	47808.111832574505	36720.76100592346	33400.627453767804	23752.593276515152	31594.755790426327	34658.0155047758	34253.98402409304	29122.72612678831	42503.78774899488	32404.06273702226	29910.498046875	25969.193681712255	29703.48850659463	20360.24754983491	31773.773966671797	29755.281548047635	39880.94484500567	45439.416415590305	38395.138446492805	49570.220361087595	39460.90756648691	33017.633327722004	33704.24168831421	46540.48615558745	32320.653206089144	28638.944702148438	25437.959373996684	15742.77014367055	5586.022777706147	7720.138014652275	36646.872251360604	32602.40231954618	31727.579721296755	3245.4966975751718	39431.72781888605	37077.69736728267	39368.265238247324	40016.39846403856	29931.66397245242	38508.08947584364	38311.074481509546	37568.46336851729	37017.56234089712	37861.574928133545	37991.808398219844	40826.90805590624	41350.85492844392	36649.09224466226	33842.229264898335	39882.65098836896	37683.29410759127	33362.356481668125	36622.38122904497	47451.96054988824	36391.30817349941	43860.607582479155	37941.936343679	42183.86146571199	39522.731030523544	39161.614900735345	39549.83799111548	36435.86064132902	36831.492354047	38345.105525947634	35237.533250297085	33770.73496128441	40377.96473214286	36629.16272718522	40146.92401041667	36738.40767659448	38631.216996451825	43378.845083212094	28081.250167018985	37702.56469260322	37340.10415944347	36846.31563778722	37542.66974545832	37408.051567313196	39354.53937058102	40202.15247312168	39990.359663199975	36461.14884862681	33296.701386004985	39121.84086187445	36012.03346692755	33923.69904226665	35928.30869934021	45195.08543066497	34919.35106925318	41206.34802792062	36163.588994066835	41228.89842041954	31843.106005077232	38718.811657660866	39468.238506500085	35996.94088766057	35645.89548968004	35497.34190056131	35010.06340588414	34662.343681430495	39267.397320380944	37915.409969175635
360	480	27480.036030143197	16634.22836258287	26249.45580335216	28299.011771793434	36110.14748627762	41569.34791842415	32242.378427270753	42772.55170348717	35444.43232190182	30052.27516811709	21973.822586662074	30165.569690423614	31335.840729885247	30578.320721248765	27391.397821820443	37286.36970790692	30013.027315789583	27462.470703125	22968.523611800887	27331.410589460094	17839.297032466613	29127.563029171797	27557.63652198069	35872.998257997235	40800.81614205273	34702.77782683229	43738.48355622691	37096.73561562807	29491.113104620676	31036.18527304978	41098.66005272747	30472.393207297457	24833.868041992188	22050.70847101081	15265.662382481461	5260.81469067034	7319.150842390492	34917.63984228698	30133.87406281998	28172.392873197216	3226.8262411933433	35056.39278549811	32986.82416900263	34595.22887805562	35346.4933114362	28425.536695435356	34264.08657641288	34046.458709901046	34192.19918065714	31889.702125577893	33188.1519410925	34510.836639812405	35222.37464305428	36960.21071185013	32679.085155292425	30801.25068104548	35226.99442667854	33731.958260122636	29852.452290260437	32443.008303905535	40685.14680624343	32522.77558046592	36655.957918141845	33753.18688430833	37071.47829953575	35956.83500941932	34777.69140641457	35301.623990787164	32122.390722711058	32902.60659834046	34151.814791083074	32082.295483925358	31278.759515847025	35885.9781208664	34527.4630826471	35334.48424365942	32266.658105951174	33843.52821448818	38162.55512801294	25836.244285520203	35000.41078892461	32913.01689662325	33432.483779902424	32632.495436994996	32431.98515045941	35550.20673715437	35615.28570317458	35818.31964227956	32626.7370872374	30001.274914162612	34594.438267606216	31401.859606258677	29214.116881765727	30898.258591399197	39861.91283070986	30592.921931618937	34651.11168413766	32101.827911289638	35868.83301958767	28625.259725400458	34436.61440963572	35107.36544059348	31918.4512207265	32398.745975422746	31427.359177732396	31342.361144268863	33326.74528086955	34027.317848482475	34077.873692539
