region	acq	desc	success	VT	VT-se	AIC	BIC	RSS	reduced_chisq
ACC	acq	NA	TRUE	1.8101952181960177	0.008280215200895408	7.301798551673794	8.756518501037796	0.649270853831267	0.0649270853831267
Amygdala	acq	NA	TRUE	1.8407518613292	0.009989024803213302	16.848884800643624	18.303604750007622	1.4386212816836865	0.14386212816836866
Caudate	acq	NA	TRUE	2.0015119535399992	0.007784031107615608	-7.715666882341804	-6.260946932977802	0.18574866882242733	0.018574866882242733
Frontal	acq	NA	TRUE	1.9603093455805352	0.01336563792915031	9.010168341214271	10.464888290578273	0.7486069796524001	0.07486069796524
Hippocampus	acq	NA	TRUE	2.0018294019153955	0.008694085869193553	0.9350666328983923	2.389786582262394	0.38194971991124277	0.038194971991124274
Insula	acq	NA	TRUE	1.8944905598717574	0.00875563312313663	9.058951569171647	10.513671518535649	0.7516564626819632	0.075165646268196315
Occipital	acq	NA	TRUE	1.893054702782638	0.008630043766734943	4.757883411663961	6.212603361027963	0.5252409142234555	0.052524091422345556
PCC	acq	NA	TRUE	1.8615704219164575	0.007892904528598093	7.326625069081617	8.781345018445618	0.6506155054903087	0.06506155054903087
Parietal	acq	NA	TRUE	1.9354405125780973	0.014715757975952556	7.039018693579626	8.493738642943628	0.635207456316721	0.06352074563167211
Putamen	acq	NA	TRUE	2.1260150357812897	0.006337571604297106	9.094680609805586	10.549400559169587	0.7538977947445151	0.07538977947445151
Temporal	acq	NA	TRUE	1.7945279427493084	0.006523298378868615	3.016107156243183	4.470827105607185	0.45427785228875567	0.04542778522887557
Thalamus	acq	NA	TRUE	1.9281108754410075	0.005684128883681609	4.780381165748004	6.2351011151120055	0.5262265663015905	0.05262265663015905
