frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	74.04628	4.58186	1.88022	11.25719	0.95652	33.57046	1.17354	11.61329	3.89313	20.00458	10.02615	4.13334	1.92001	7.70397	2.20326	11.74298	2.95027	7.89447	3.98382	2.47493	7.68504	0.03605	0.24249	3.3547	3.13725	1.75312	24.32517
30	60	578.34177	1052.15199	592.44699	912.7725	245.36211	649.34573	816.7558	545.05307	882.63792	703.60494	1015.63647	2271.87315	798.26536	1424.81999	929.62898	1256.14479	949.78938	850.84734	923.80764	591.78151	782.10354	1250.95106	837.02703	1031.87505	718.13917	744.9144	614.86012
60	90	5557.19977	5323.46521	4403.26337	5425.82243	4871.96143	5495.59025	5232.50871	5333.60885	6263.5618	5616.02327	5214.13062	7060.36088	4577.64584	5824.66191	4791.64018	6182.92675	4913.7183	5685.11361	5115.74306	4191.6992	4211.15735	3288.73043	3545.30355	4172.62225	4396.46459	4900.49954	4468.83099
90	120	17212.24581	19416.72329	16818.9111	18234.84337	13281.21777	17333.75725	18435.72792	16579.11971	19403.85495	17988.7501	18928.7766	21316.94885	19477.35693	19835.98841	19420.30242	19184.24312	18935.23407	18632.14055	19334.99663	14048.87831	18050.78147	14873.48714	15622.33507	17782.34768	18594.39887	18295.02026	17914.08015
120	150	22846.40479	21253.07324	21738.68944	23406.95881	23015.72461	23391.50974	24489.76769	22899.85099	27184.19899	21708.91876	25429.52004	22439.92378	25818.63519	22375.77584	26491.48758	21634.30334	25787.67401	22451.42454	25686.30716	21149.24275	21882.25013	22348.40788	21065.11241	22466.44156	21957.13211	18813.99805	23368.70001
150	180	25110.83425	19368.06885	24911.36163	27482.61826	26585.96094	26766.80997	26394.93191	26986.336	30324.72792	25313.41618	26680.62412	23865.33846	26044.96228	26515.96157	27548.93995	25829.91084	27465.40666	26665.78103	27532.40569	22058.02456	23403.66149	19054.5293	18125.00716	21350.42497	21332.51562	23461.18576	27396.9328
180	240	27861.45841	23251.04492	25219.49884	26599.18065	25199.47266	27212.97913	24974.42127	25814.47095	29118.32786	24987.81571	28305.65026	23890.10295	26235.3895	24662.75279	26539.46509	24310.94102	26403.32111	25908.06829	27011.20887	23285.86273	25390.66711	19852.2181	19280.30035	23489.92004	23226.28062	24986.75523	27312.82523
240	300	26033.52512	17685.37246	22665.77086	25974.2158	23150.68945	26624.63159	25524.96756	26642.59793	29878.69356	23772.3447	26850.95228	23137.19927	26281.58401	24467.14166	26658.31127	23734.05399	26165.06254	25500.86709	26843.76643	22963.10449	25314.14924	19873.17936	19485.63737	22711.97357	23467.46709	22373.47524	29585.91536
300	360	23996.12397	20978.94014	24480.17484	24915.021	24197.67773	24546.94937	26148.20454	23937.61495	30403.61535	22018.05634	27165.52399	22351.59051	26666.34649	22521.09107	28357.9616	22523.94249	28048.52611	23233.14102	27969.93014	22014.26549	23495.35547	18089.89225	19376.2704	21857.82369	22492.06364	22363.53048	25673.58145
360	480	23250.2528	16921.10859	21510.46121	23724.75654	21506.16016	23908.03676	22399.41541	22787.16863	26138.76394	21159.23109	23745.73631	19853.62873	23594.94906	21489.26416	24349.02048	21571.28007	24067.03209	22245.48075	24141.6901	20803.84693	19688.23592	16351.89144	16041.66678	17288.78091	18757.26759	21048.10833	22365.67224
