frame_start	frame_end	parasubiculum	fimbria	hippocampal_fissure	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	1.2157	0.11282	2.89553	4.27829	0.43732	6.91074	0.5846	6.48517	24.96242	0.94423	2.86388	1.951	1.91662	2.66992	2.61844	5.93112	5.12322	2.81221	0.83221	0.10122	0.16821	0.27898	0.35425	7.88879	1.15272
30	60	1025.34173	1032.40943	1103.54587	1073.74622	861.22741	964.36627	704.95853	648.10806	705.55769	1964.73235	914.60817	1623.1928	807.2431	1313.97987	991.80457	916.30596	786.46579	471.72618	407.95991	262.461	227.63447	244.36169	290.4113	531.70008	756.114
60	90	6838.67605	5672.93235	6168.10996	6224.77586	6562.17417	5791.94582	5541.68845	6181.79588	5066.06152	6818.74564	5118.22998	6767.74433	5088.98139	6576.31333	5397.14218	6162.02897	5350.06091	5624.40422	6160.93626	4643.32031	5074.97803	5164.4533	5414.70686	6159.95781	5814.56892
90	120	20824.56836	19301.67637	21109.72991	20795.47093	18479.73079	20687.65139	20602.87114	20960.46425	21598.32344	23418.63171	19952.04169	23049.38093	20656.53433	22587.6374	21435.47691	21851.19606	20615.90381	15861.84185	18145.37488	16946.01562	17196.95117	16443.43923	17327.88301	16271.88574	18119.90416
120	150	22285.67188	24828.59551	24000.31799	22348.90298	21938.45104	23923.78247	23540.64839	21953.6124	27584.51582	24700.33118	28859.94608	24539.04635	26761.72461	23778.06776	26289.24954	23162.97949	25307.27603	22369.6406	21630.51605	21826.55469	17809.45605	18785.7301	17937.14026	20172.11953	22009.68555
150	180	29622.53569	26669.00898	26017.2699	26251.33404	24611.74362	28275.0967	26488.2619	28298.31657	29516.70439	24373.84033	28804.80443	23302.47063	27578.58519	23240.47936	27545.3187	28412.57023	27090.46074	26882.05275	27589.52322	22275.58398	20950.13086	25646.60601	26276.71814	21811.15117	32004.01842
180	240	25380.28089	27190.26025	23775.65867	23051.32439	21919.85964	25346.99961	24847.67297	26004.91328	28752.93975	21278.35364	29807.97826	21528.58226	27515.7159	21870.77276	26034.33352	25306.74492	25801.80239	25577.49548	24317.9334	25256.67188	21582.16895	23307.21714	22411.14821	20390.14609	27242.72684
240	300	27745.90962	26094.81846	24673.45843	25328.83801	22281.44993	27292.47552	26276.61805	26869.84909	28654.0373	21966.03955	28165.8981	22106.42142	27177.1552	22687.87976	26273.40154	26978.72946	26455.04536	26860.99118	25519.51337	21701.70703	19217.06738	22678.91006	23215.4019	22158.67969	28376.12277
300	360	21673.73757	26372.75381	24889.61356	22265.82341	24488.13145	23415.24583	26255.9514	22857.47664	27552.71318	21573.85291	27691.95457	21538.02787	26920.25263	21290.6858	26352.65499	23108.93549	26398.00732	26181.83266	23819.22618	24010.68164	20101.83691	23002.26528	22488.48789	25222.27813	23054.70368
360	480	20701.30966	21907.30098	19733.30064	19086.13049	18772.7418	20200.12969	22109.23478	19141.69031	23939.65264	17153.72107	23860.09774	17206.08248	22779.77216	17264.1993	21625.2014	19169.58901	21979.00645	23302.64415	20738.01463	20470.05469	16285.604	18689.08452	18789.28895	22193.82344	21726.80134
