pet	frame_start	frame_end	frame_dur	frame_mid	TAC	weights
sub-20_ses-retest	0	30	30	15	0.8236647579230539	0.5569623678022804
sub-20_ses-retest	30	60	30	45	9.022707885638509	0.7566177045499167
sub-20_ses-retest	60	90	30	75	20.109420360093704	0.8945317253189339
sub-20_ses-retest	90	120	30	105	31.726682823429407	0.9988618819690587
sub-20_ses-retest	120	150	30	135	39.39756214937736	1.0544098732033096
sub-20_ses-retest	150	180	30	165	39.94431405350715	1.0534728035513241
sub-20_ses-retest	180	240	60	210	38.43132788387315	1.269343193483485
sub-20_ses-retest	240	300	60	270	35.8245879732295	1.228730141534924
sub-20_ses-retest	300	360	60	330	32.89658149375512	1.1847842582997272
sub-20_ses-retest	360	480	120	420	29.245712797664694	1.3993628691835598
sub-20_ses-retest	480	600	120	540	25.261178624261515	1.304826331755605
sub-20_ses-retest	600	900	300	750	21.08865587214495	1.607192395160587
sub-20_ses-retest	900	1200	300	1050	17.437723793248974	1.419779663643399
sub-20_ses-retest	1200	1500	300	1350	15.108272504669888	1.2819936761523594
sub-20_ses-retest	1500	1800	300	1650	13.41686576468859	1.172805404673979
sub-20_ses-retest	1800	2100	300	1950	12.141358064384816	1.0840505932380802
sub-20_ses-retest	2100	2400	300	2250	11.018523687476762	1.007262912557059
sub-20_ses-retest	2400	2700	300	2550	10.252067478940646	0.9459747474142487
sub-20_ses-retest	2700	3000	300	2850	9.546126937774378	0.8918303331802737
sub-20_ses-retest	3000	3300	300	3150	9.028913360987069	0.8467773175881945
sub-20_ses-retest	3300	3600	300	3450	8.550038168734536	0.8067335064818313
sub-20_ses-retest	3600	3900	300	3750	8.178563363748042	0.7724623013242252
sub-20_ses-retest	3900	4200	300	4050	7.832754562344243	0.7418391779349736
sub-20_ses-retest	4200	4500	300	4350	7.438465266736188	0.7132790142202453
sub-20_ses-retest	4500	4800	300	4650	7.172741634303212	0.6893865986218154
sub-20_ses-retest	4800	5100	300	4950	6.952790475336848	0.6683550671996241
sub-20_ses-retest	5100	5400	300	5250	6.667788601815605	0.6483741399569812
