frame_start	frame_end	Left-Cerebral-White-Matter	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-choroid-plexus	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	30	46.00489807128906	47.97976303100586	33.8074951171875	60.55852127075195	41.440738677978516	42.60365295410156	44.704593658447266	47.57365798950195	89.36312103271484	158.6377716064453	49.39590835571289	113.15833282470703	77.03045654296875	42.57175064086914	46.65304946899414	42.3012580871582	45.764373779296875	31.363908767700195	37.07558822631836	104.99342346191406	58.627071380615234	57.76544189453125	84.19707489013672	113.33966064453125	36.74436950683594	30.853538513183594	17.095975875854492	22.15855598449707	53.73104476928711	69.38337707519531	63.80205154418945	19.578685760498047	47.169864654541016	73.42062377929688	48.964447021484375	62.364295959472656	72.29634094238281	56.36984634399414	17.924869537353516	32.83047866821289	87.10028839111328	34.874847412109375	96.51741027832031	53.164974212646484	115.98088073730469	36.888893127441406	78.84051513671875	36.02704620361328	80.08419799804688	41.85506820678711	37.7681770324707	117.86307525634766	34.96953582763672	38.276458740234375	55.24092102050781	62.1845703125	81.516357421875	45.18996810913086	70.23639678955078	23.298614501953125	57.56789779663086	70.2143325805664	26.813135147094727	16.613908767700195	56.75071716308594	103.75504302978516	70.95736694335938	67.91657257080078	42.339271545410156	38.37622833251953	30.668617248535156	33.54301071166992	50.13283920288086	31.156442642211914	99.5110092163086	23.129878997802734	92.33687591552734	50.89469528198242	120.91329956054688	49.34577560424805	38.95623779296875	49.49493408203125	32.53631591796875	78.46705627441406	45.7231330871582	43.34391784667969	60.557430267333984	71.07498931884766	48.06483459472656	75.4962387084961	74.65911865234375	53.1601448059082	64.27384948730469	27.797466278076172	97.11643981933594	70.3891372680664	92.5945053100586	28.27537727355957	144.3529052734375	145.0589599609375
30	60	4216.970703125	4086.827392578125	5703.390625	5978.14697265625	4969.2431640625	6268.33544921875	4512.083984375	4283.63330078125	5271.9228515625	4722.07177734375	3996.663330078125	6295.8427734375	5774.38037109375	4921.568359375	4042.732177734375	4366.49072265625	5967.8564453125	5808.6064453125	5228.14208984375	6367.51611328125	5225.02001953125	4497.45556640625	3697.694580078125	5833.40869140625	4880.8525390625	4134.16943359375	902.4818725585938	1374.20556640625	5739.5791015625	4305.1728515625	5340.630859375	1055.9608154296875	6090.2724609375	6573.33056640625	6176.021484375	7643.6611328125	4329.294921875	5233.0673828125	5667.4345703125	4368.8857421875	5966.32958984375	5839.53369140625	5454.15283203125	7013.044921875	6227.99951171875	4918.95751953125	4703.2822265625	5585.6181640625	7046.685546875	3676.97509765625	5481.5107421875	7772.85302734375	5636.890625	6581.79736328125	5708.44091796875	6199.908203125	7816.47265625	5591.5859375	6146.4990234375	5427.42431640625	5320.568359375	6410.232421875	3641.91748046875	2989.227783203125	7811.078125	6847.72900390625	6176.28271484375	6193.232421875	6160.408203125	7198.3115234375	3658.2265625	4704.9697265625	5317.3525390625	4197.96630859375	6540.37109375	5495.33203125	5615.6474609375	6706.6318359375	5724.16748046875	5007.19921875	5254.31396484375	5421.142578125	6434.33837890625	3707.40283203125	6040.669921875	7982.33642578125	5366.7626953125	6670.1201171875	5667.76416015625	5933.48095703125	6588.30419921875	5868.27685546875	5937.18994140625	5103.76416015625	5517.7001953125	5820.8974609375	3951.364501953125	3072.560791015625	8742.9560546875	7207.2998046875
60	90	12746.609375	13776.78515625	17827.79296875	18101.984375	16446.91015625	18651.056640625	13667.9921875	13009.462890625	14784.080078125	14512.142578125	11613.19921875	16937.712890625	14364.490234375	14731.7333984375	12528.6142578125	14174.455078125	18262.833984375	17506.171875	16902.08984375	19199.056640625	15087.7666015625	13913.826171875	13393.8740234375	17041.46875	14393.845703125	11137.904296875	2733.875244140625	3985.737548828125	17613.1796875	13114.892578125	14785.1796875	3348.0546875	16804.595703125	17018.130859375	18975.193359375	21018.486328125	12623.30859375	15607.16796875	17142.2421875	14226.3349609375	17858.611328125	16694.0625	15528.6396484375	20383.025390625	17326.140625	15222.6123046875	14021.2060546875	17679.529296875	19398.13671875	11723.7998046875	17093.07421875	23080.458984375	17263.9140625	18386.533203125	17925.552734375	19228.119140625	19821.310546875	17845.501953125	18306.947265625	16490.203125	15555.1904296875	18470.271484375	14031.41015625	9972.142578125	23177.470703125	18289.517578125	19163.0390625	16401.474609375	19393.5625	21792.162109375	11928.1064453125	14395.43359375	16665.654296875	13310.4208984375	17995.46484375	17036.75	15909.7099609375	19504.525390625	17340.404296875	15361.8056640625	13977.5087890625	17201.287109375	19559.548828125	12160.0556640625	17583.2109375	22147.4453125	17304.923828125	19857.623046875	17608.41015625	18389.494140625	19310.572265625	18191.337890625	18628.388671875	16282.0546875	15866.3046875	17421.0859375	14665.37890625	11041.0732421875	22037.130859375	18829.83984375
90	120	22135.23828125	24276.025390625	31294.830078125	31659.1328125	30341.912109375	33463.0	24343.548828125	21786.1953125	24887.490234375	23574.953125	19780.341796875	31346.490234375	25661.578125	24904.212890625	21844.333984375	23783.861328125	31039.35546875	30914.955078125	30006.8828125	34315.89453125	25746.529296875	23765.0390625	22988.2578125	29220.017578125	24690.353515625	20515.33203125	4575.31640625	6504.3037109375	31765.578125	23917.68359375	25183.947265625	5639.93115234375	30449.67578125	28031.2578125	33674.4609375	36031.61328125	22390.373046875	28036.390625	30426.3046875	25321.67578125	30462.818359375	28425.578125	29824.109375	34860.77734375	30637.10546875	27253.77734375	23848.173828125	30460.47265625	34228.50390625	23837.017578125	31070.541015625	41396.08203125	30703.01171875	32654.392578125	32160.2109375	34383.95703125	32375.982421875	32831.75390625	32666.580078125	29620.51171875	28075.5546875	32388.033203125	28833.146484375	19911.3671875	36820.72265625	30213.71875	31700.94921875	29257.033203125	34065.64453125	36217.59375	21699.5703125	26397.5	29313.541015625	24185.455078125	30668.072265625	30534.78515625	29222.9921875	34115.58203125	32145.41015625	26890.0234375	25291.248046875	30523.56640625	34581.171875	27017.19921875	32393.212890625	39473.91796875	30075.587890625	34966.6171875	31951.572265625	32730.72265625	34389.10546875	33867.15234375	32905.0703125	28363.93359375	28456.904296875	31153.619140625	30874.84375	20685.890625	37830.55859375	31196.0234375
120	150	32015.125	35036.8515625	45790.9296875	47181.65625	43214.76171875	50414.8984375	35220.0390625	30780.95703125	36241.60546875	32161.810546875	25800.943359375	43665.33203125	34926.4609375	32798.6015625	31419.107421875	34198.12890625	44768.765625	46651.36328125	43308.6796875	51396.24609375	35339.26953125	35159.99609375	34867.8671875	42092.7421875	35164.0546875	27536.365234375	6623.8193359375	8655.5791015625	43476.171875	35205.4765625	35673.08984375	7836.89111328125	48215.37890625	44343.27734375	49357.72265625	53191.328125	31953.0078125	42350.15234375	44017.15234375	39254.5625	44373.828125	42414.234375	47342.26953125	51151.58984375	46110.51953125	40137.890625	35463.390625	44097.56640625	51411.05859375	42059.19140625	46661.3125	61494.5078125	44194.62890625	48023.72265625	46885.71484375	49071.859375	46127.18359375	50119.8671875	47307.4453125	44265.19921875	40858.52734375	46806.85546875	48562.4921875	32198.1328125	54341.8125	45109.14453125	45051.671875	43928.89453125	50666.4296875	54905.82421875	33358.8671875	40292.15625	43345.0546875	37323.78515625	44535.28515625	45296.13671875	45214.28515625	47066.35546875	47434.6328125	40918.58203125	35099.14453125	44821.80078125	51535.796875	47969.34765625	49463.80859375	59528.94140625	44525.19921875	50359.94140625	46849.45703125	48661.1015625	48953.5078125	49749.96484375	48041.91796875	42513.8828125	41996.50390625	45220.16796875	50068.12109375	31754.994140625	55931.8984375	44729.48046875
150	180	36246.95703125	40056.8515625	52291.36328125	53622.94140625	50131.0625	59743.66796875	41947.13671875	34624.8984375	41299.0	35710.33203125	28469.220703125	50779.10546875	39760.77734375	35170.015625	35450.6171875	38935.328125	50968.64453125	52652.53125	48561.765625	57267.0390625	41313.64453125	38876.7578125	35411.79296875	45481.16015625	38745.68359375	31943.23828125	6470.5322265625	9539.72265625	53888.453125	39736.953125	38888.4140625	8632.505859375	52926.0859375	49490.046875	54798.890625	57754.921875	37787.91796875	46727.83984375	50762.82421875	44027.6328125	48489.19921875	49196.0859375	51325.48046875	58691.19140625	49808.2265625	46692.453125	38904.69921875	49532.71484375	57602.625	44074.3203125	51320.1953125	68815.2265625	49547.82421875	54755.43359375	52189.296875	55434.50390625	49856.64453125	55904.5	53192.3125	50851.73828125	46161.39453125	53139.3125	52160.640625	36376.65625	61988.75390625	49377.72265625	49318.15234375	48143.6640625	57065.984375	61828.44921875	33179.81640625	45581.984375	49994.22265625	43544.25	48985.8515625	50701.33203125	49587.4609375	53941.421875	51890.2109375	46518.609375	39314.30078125	51234.4140625	56836.6484375	50014.03515625	54835.9140625	68550.640625	49555.26171875	56977.45703125	52209.5234375	55747.4375	51507.34375	55497.06640625	53855.8125	48491.296875	46138.67578125	50417.87109375	52598.60546875	34631.64453125	58640.02734375	47905.8125
180	240	37975.625	41835.31640625	53556.87109375	54940.61328125	53233.06640625	60375.0625	41828.375	35776.9375	40741.53515625	36831.1328125	29797.158203125	52409.6015625	40227.01953125	36999.55859375	37364.91796875	40560.14453125	52350.15234375	54573.5390625	51578.51171875	59654.98046875	42096.86328125	41504.2421875	38048.6640625	51085.625	40283.8359375	31292.60546875	6994.86865234375	9790.998046875	52845.26171875	40406.453125	39517.70703125	8990.09765625	54598.94921875	49773.6015625	56549.2109375	60376.8125	38783.671875	49518.484375	52107.71484375	46514.89453125	48804.0546875	50084.78515625	52498.3046875	59421.5546875	52352.37890625	48139.38671875	40332.40234375	50678.65625	57811.2890625	45833.609375	52428.1796875	69019.8515625	50883.84375	54644.7890625	53875.2578125	56988.3046875	51046.0859375	57144.0234375	54335.16796875	52416.984375	47689.65625	54527.890625	53039.16796875	36703.48046875	63290.96484375	51339.99609375	53936.35546875	50258.89453125	58432.6015625	62453.4609375	36252.328125	48401.28125	52265.60546875	45532.21484375	50903.26953125	52845.00390625	49268.34765625	55700.984375	53192.96875	48454.92578125	41812.33203125	52885.65625	57742.66015625	51338.70703125	55290.1015625	68956.046875	51362.34375	58279.86328125	54055.43359375	56261.41796875	53544.2109375	57503.12890625	55269.00390625	51316.140625	48129.14453125	52386.56640625	55733.05078125	35373.296875	58947.71875	49865.02734375
240	300	38013.328125	41572.74609375	52637.1171875	54396.9765625	50578.984375	59836.8828125	42843.7421875	35641.46484375	40569.2890625	37235.76953125	28517.84765625	53003.6484375	40126.4609375	32101.119140625	37514.546875	39954.5234375	51692.83984375	54866.7109375	49565.671875	60029.19921875	44473.40234375	40575.64453125	39184.89453125	49015.03515625	40156.84375	29020.193359375	6748.1796875	9877.771484375	53012.75	39742.171875	37928.8203125	9165.9189453125	53768.6640625	50166.53125	55077.27734375	58597.14453125	38524.0546875	49080.5390625	50898.9453125	46711.359375	45616.6640625	48770.9140625	51727.28125	57841.52734375	51340.875	48013.28125	41046.67578125	51126.7421875	56635.078125	47287.76171875	51139.671875	67397.65625	49770.1796875	54808.38671875	52658.1640625	55658.65625	50770.7109375	56027.90625	53492.60546875	51181.56640625	47316.47265625	53458.7421875	52309.703125	38153.18359375	60412.390625	49746.6640625	51800.37109375	48433.3046875	56103.078125	61371.72265625	36069.7109375	47460.8515625	51009.43359375	44944.0703125	50001.46875	52096.859375	48431.9765625	55071.97265625	49894.52734375	47923.96875	40862.73046875	52349.7890625	55954.171875	49975.6875	54677.125	66033.7890625	50885.7265625	57579.0078125	52629.41015625	55834.921875	51266.953125	55745.91796875	53764.671875	49468.2890625	47296.83203125	51564.25390625	54627.5078125	35976.14453125	59489.93359375	49592.09765625
300	360	36598.4921875	40068.68359375	50888.46484375	55173.71875	50497.38671875	58635.69921875	43502.3515625	34880.98828125	40591.26171875	38043.5625	27721.708984375	53441.9609375	39253.3828125	30928.837890625	35963.92578125	39299.54296875	49461.546875	53248.6796875	48166.078125	57745.89453125	44231.5234375	40610.59375	39898.19921875	49562.23828125	39297.5546875	28878.61328125	6404.5380859375	9738.482421875	51210.15234375	39343.25390625	35920.51171875	9331.4404296875	51031.09375	48663.08203125	52853.58203125	55907.0859375	38674.6328125	47682.34765625	48649.375	44687.328125	43605.7265625	46730.015625	48613.73046875	54758.03125	48341.26171875	45805.66015625	40161.953125	48566.98046875	53541.16015625	43544.52734375	48085.84375	61924.0546875	47617.96875	50697.75	49836.953125	52946.39453125	48085.7578125	52378.87109375	50932.9140625	48511.53515625	45493.19140625	50538.80859375	48694.1171875	37431.828125	56326.12890625	48111.6953125	49411.0390625	46650.1796875	53945.46484375	57021.875	36210.6015625	45855.96875	48813.23828125	43093.3203125	45078.828125	49421.046875	46280.72265625	51330.9609375	49751.24609375	45437.05078125	39547.7421875	49234.13671875	53801.3828125	48288.11328125	50896.48046875	61103.0078125	48388.19921875	53238.53515625	50130.765625	52177.41015625	50109.4140625	53349.16015625	50734.69921875	47414.44921875	45904.0234375	49315.828125	50516.765625	35338.15625	53872.59375	47670.46484375
360	480	34388.76953125	37671.7890625	45583.16796875	50488.5546875	44313.7578125	53418.40234375	42147.44140625	32682.8125	36791.9296875	35901.14453125	25075.029296875	46397.57421875	38162.81640625	28190.875	33842.1875	36526.5234375	44664.625	49873.8671875	43618.703125	52192.4765625	42035.53125	37366.3359375	36206.171875	44099.2890625	37741.36328125	24988.58203125	6635.16650390625	9652.482421875	45530.203125	36137.4921875	32085.298828125	9229.287109375	45866.703125	43809.76171875	46872.94921875	49375.5703125	34913.0546875	43942.58984375	43812.40234375	40802.859375	40260.78515625	41660.55859375	43311.26171875	48281.98046875	44375.28515625	42098.37890625	37775.24609375	44047.95703125	47293.96875	38959.04296875	42267.66015625	52749.1484375	43069.609375	46224.26953125	45224.125	47518.76953125	44255.91796875	46774.15625	45360.85546875	43990.6015625	41127.75	45283.51953125	43596.8125	35403.671875	50949.99609375	43965.66796875	44639.04296875	42772.52734375	46903.79296875	50473.796875	33858.09765625	42204.71484375	44007.12109375	39583.265625	41581.69140625	44206.9375	41430.4453125	46020.23046875	44531.94140625	41700.8359375	37898.0546875	45293.09375	46851.72265625	41763.66796875	45722.2734375	52989.01953125	43346.40234375	47748.5546875	44994.7734375	46885.23828125	45507.953125	46917.1328125	45052.36328125	42992.30078125	41619.7578125	44217.38671875	44343.21484375	33130.72265625	48564.99609375	43125.6875
