index	name	volume-mm3
203	parasubiculum	97.0
211	HATA	79.0
212	fimbria	144.0
215	hippocampal_fissure	165.0
226	HP_tail	1180.0
233	presubiculum-head	254.0
234	presubiculum-body	259.0
235	subiculum-head	362.0
236	subiculum-body	442.0
237	CA1-head	1037.0
238	CA1-body	195.0
239	CA3-head	216.0
240	CA3-body	151.0
241	CA4-head	258.0
242	CA4-body	208.0
243	GC-ML-DG-head	277.0
244	GC-ML-DG-body	227.0
245	molecular_layer_HP-head	593.0
246	molecular_layer_HP-body	399.0
7001	Lateral-nucleus	1261.0
7003	Basal-nucleus	836.0
7005	Central-nucleus	84.0
7006	Medial-nucleus	11.0
7007	Cortical-nucleus	36.0
7008	Accessory-Basal-nucleus	473.0
7009	Corticoamygdaloid-transitio	288.0
7010	Anterior-amygdaloid-area-AAA	56.0
7015	Paralaminar-nucleus	78.0
