frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VPL
0	30	317.06222	457.68425	712.95465	529.78706	2181.05804	1044.40931	1414.32959	947.87055	527.28154	647.6963	919.95261	514.45943	512.11879	706.46376	975.71645	749.04873	873.94678	381.11109	590.86883	551.72883	584.60698	769.50287	595.63512	363.23012	429.19049	789.38162	769.52321	1115.11199	1076.03832	776.56565	549.22859	849.27561	619.21918	1060.41792	495.4295	655.13802	1134.15281	927.32149	784.92441	853.07974	389.6443	407.72773	791.87704	908.92264	903.48665
30	60	7740.85503	5863.14622	9589.46088	8841.74368	10091.80957	7679.9512	9247.9869	7361.02454	10130.85466	9440.97224	10170.46524	6539.1728	9403.79454	9307.29334	7061.01188	7749.66645	7881.30642	6319.05677	5943.6981	7041.32152	8190.06101	5582.96436	7621.8178	6548.01882	5808.03406	9616.77989	6942.46557	11549.52429	7712.44659	11001.47381	8715.49116	9358.00804	8235.6625	9869.46876	7135.61202	5486.69318	10741.96639	9102.53024	8838.46259	8775.14718	5957.79145	6257.33029	8198.55694	9442.28148	8170.52426
60	90	16159.24013	16607.45018	19984.27072	20098.11065	19216.31974	19384.73341	22400.47051	19577.47826	23147.76052	21112.70089	18875.14858	15660.96539	17904.5106	22023.55047	17747.02279	22009.5173	18641.90187	14810.30154	17253.47754	15768.67652	18014.3467	10436.55371	17493.29316	17412.88653	15575.58905	22759.89371	19915.22099	25956.81812	17926.96323	29258.02326	17514.78798	21725.83694	20290.30747	17697.64736	13453.90763	19250.38969	23233.27917	18046.13108	21629.94924	18568.70537	12738.60534	15757.4195	15780.25456	18952.15709	18300.7234
90	120	25537.45682	21580.20673	31791.79731	29204.82433	35064.14867	26001.45101	38924.83227	26308.04204	37551.13395	32050.83416	25902.4131	23458.09397	27297.65262	36313.19766	28193.54385	31329.21017	28722.62746	19320.06183	21592.71345	24787.43845	29519.28437	20929.16992	28048.47657	26540.29241	22109.75543	32538.58152	28671.56355	33485.09045	25289.73726	40956.84697	24893.03754	34421.99975	30990.94792	25249.71733	22982.14307	29160.82271	35340.78483	25032.5461	31698.65086	30131.06719	20192.92165	21860.16825	25136.23848	30035.50116	26925.87105
120	150	36573.07106	27472.68875	42941.20638	41181.39857	39448.23357	30519.9345	44224.73268	40370.27344	46161.50264	40954.98351	33990.72411	28983.44076	39794.05269	45909.6488	33142.16734	43398.28095	37191.28443	25829.68502	26109.02818	30495.56816	38173.87841	27120.70117	37870.52253	28582.26439	27230.2359	44441.50863	39030.13472	46464.05908	32542.02861	49932.48817	34834.64822	44064.8545	39847.82496	34951.22017	27277.28206	36763.2472	47773.11968	33591.125	43152.71644	39570.93404	23437.91589	26707.29185	31962.9183	39977.70147	38657.71718
150	180	34642.63334	31135.48505	42490.60438	39453.57169	38157.87431	31442.86141	47841.33003	33535.0368	46987.61112	39623.7482	30073.05404	33327.86437	34988.35778	52056.24155	33257.63102	38958.51431	38563.37397	25118.60698	31359.20173	33560.48962	39989.25746	26424.74219	38514.58531	33221.17435	29671.08067	42003.46443	36977.79307	41608.99487	31884.30703	50366.61947	32812.85655	42758.82494	39234.9216	33034.74712	29403.64323	36911.30842	49875.93349	35460.45958	43725.87087	40137.17916	27434.50184	28565.32003	33625.66108	37068.49198	36799.84155
180	240	35461.6161	31310.38951	42437.91927	42013.71222	35887.1057	32201.43433	50864.09838	32733.64206	46317.05192	40041.09311	29407.23674	32041.64931	40962.90202	49020.73563	32999.3027	43038.91616	38758.66963	27872.19147	29941.37919	33428.69379	40798.71994	28271.00586	38921.8295	33059.97856	30013.08428	48315.06332	40713.9713	46874.76807	32290.40761	52712.8444	34768.75	47158.43914	42322.26687	32587.90642	28670.07503	39073.78382	49205.25626	36818.01237	42182.44347	38837.82532	25773.60934	28672.31557	32595.30609	39716.44997	38044.83437
240	300	33419.58691	30515.5457	41146.69368	37836.76052	34369.99299	29410.7264	45254.06682	31667.90471	43063.49792	38818.06878	29291.93628	32939.01649	37769.59877	41963.02144	31358.64668	40667.27209	34110.32839	26492.91093	30322.0173	33872.66786	38207.17622	25255.59766	36907.02098	30091.24163	31487.62738	40725.85012	35386.4953	41901.85925	28233.88287	51363.95638	30851.66515	44349.2483	39325.39879	29582.01431	29429.90137	34239.61222	46341.73243	32070.01243	41171.38098	36730.84117	26476.72775	31775.59487	32580.31057	39027.94273	36829.86197
300	360	33238.64897	28695.0292	39044.29926	37090.87283	30597.88224	29021.41047	46160.83117	34062.33172	41699.48379	37115.71765	27487.80432	28067.76042	36824.61958	43686.76269	31801.54511	40972.5006	34185.2767	25653.49809	27905.54743	31071.38638	36448.11664	23937.57812	36626.08975	31336.74581	28187.74633	43278.99363	37625.97841	41614.54846	28630.07474	45266.81	30478.727	42251.98938	38117.00381	28239.95825	25852.87207	37402.16957	44500.89762	31565.93201	37710.21534	35189.18723	24156.01493	27769.80692	32042.62891	37434.53924	36087.96227
360	480	30766.10108	27957.67807	35669.55219	35155.35761	29239.46909	27766.77948	41933.83977	30927.02097	41078.47824	36135.89818	30473.71151	28569.53494	33673.88855	41013.57801	31236.73775	37584.07361	33050.78809	27121.09083	27208.83454	31570.16266	36560.07507	26037.96289	35535.22404	30561.89375	27893.05916	38423.32627	38255.54646	35135.97144	28362.96779	42747.15299	30914.15972	41020.66835	36326.83757	29386.64666	26217.60514	36220.90075	41330.35142	32413.13308	37713.79605	32714.21021	26840.27337	27539.46708	33571.47747	36666.02466	34755.12929
480	600	28504.68848	27953.19703	31465.89073	37265.34625	26658.44692	26474.21361	36421.00062	30308.19326	38631.10126	32664.50332	27964.49529	27854.52214	34140.62269	39472.19929	30473.73225	36919.12143	31342.47463	27013.28903	27467.52148	32108.78611	36406.73716	27531.14648	35757.28908	27211.94546	28067.94895	34790.24496	36592.54736	34715.80103	27400.59278	40670.04615	28220.81207	39928.50575	34216.62503	28461.26509	27499.15674	33045.13912	40325.58568	30326.47415	36796.12032	30254.98125	25744.14405	28914.59794	32036.22382	36630.90253	34829.88612
600	900	28539.41466	29039.13089	30697.6148	34919.71953	24519.22243	26975.99875	33704.42241	27497.76974	36136.50323	31211.70049	27700.64177	26401.18924	30935.96142	35125.40569	29398.36068	33904.26802	27687.28673	26878.92215	27939.29883	31912.60989	34380.43351	27103.54492	34251.93322	26862.73882	28415.23861	32022.07566	34955.91901	29404.53931	26724.04839	34950.27789	27817.55013	35105.72453	31015.85028	28101.36311	25086.23698	32193.71644	35930.99881	29082.16551	35005.04824	28760.1218	25500.68328	28347.36412	31051.1314	34084.67174	33347.76916
900	1200	25380.42903	27298.14554	25440.61404	30153.32492	19901.67084	25118.17114	26724.78332	24820.31558	31160.21866	26369.58507	26050.16583	25174.99154	26290.05533	30340.74235	25731.51817	28868.17333	23731.57104	26104.77587	26940.11133	29151.96372	30899.94849	24990.41797	30594.92323	25047.02847	27211.82637	27056.31178	32173.20051	24360.47632	26162.63439	28450.20871	24790.79557	31238.58639	26916.82794	27594.11011	24688.60498	28369.97834	32609.64216	28081.09882	29902.06921	25496.93995	26020.14752	28145.19308	29447.69746	30704.8755	31223.29365
1200	1500	22477.53924	23913.13136	22468.47146	27622.11	17742.25776	23726.29829	22565.93411	22941.1178	27925.94432	23873.04626	24520.6251	21317.18989	24018.61049	26116.75856	24551.07911	25349.17641	21453.25471	24815.01722	23591.69029	26892.76746	27364.32721	26369.73242	27817.39225	22431.36235	25186.04363	24506.48016	26705.56461	21401.72064	25319.52613	23020.20584	20112.83919	27909.08097	24000.07314	25439.15674	22169.52295	24479.94935	26701.68313	24629.71741	26525.31037	21772.90626	23735.42718	25878.80804	26727.13105	27463.19958	27992.88577
1500	1800	20797.19703	21748.97121	19660.8336	23877.4878	14954.56101	21338.87672	20105.56874	19860.05006	23767.0857	20017.76827	22744.03849	20598.6148	21224.88293	21832.10472	21513.51899	21447.21468	17764.38199	22202.23468	22682.25391	23899.83987	24416.18336	21745.24023	24385.37422	20156.5291	21657.86984	20798.08871	24603.72416	17564.2099	22494.99152	19555.13753	17706.82758	24961.2693	21415.90019	22332.21191	19920.36882	21260.86182	22849.24057	21738.33205	23336.5147	19057.32907	22017.89094	22318.03571	24433.73845	24842.87437	24578.41336
