frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	551.71616	593.62737	675.40764	806.92405	494.79829	308.81409	586.29923	947.34413	690.2821	868.86522	752.28111	376.63604	507.97489	1111.41374	769.76682	677.11235	865.28972	585.54993	314.82808	537.42792	522.56888	348.70262	540.33809	373.75129	626.89859	410.26068	892.54559	286.50881	479.73674	509.89532	765.40088	846.03455	778.60595	702.23416	1073.82866	493.94754	1003.1794	579.69893	716.16429	697.35976	438.10452	931.16693	618.45043	531.50596	187.89539	452.37138
30	60	5871.83157	5483.95352	5691.94053	5165.65251	4613.88383	3830.39344	6777.41738	4330.09501	6138.49479	5719.18449	3925.16419	3114.56641	5193.77894	5835.21014	4254.6287	5254.62172	4730.80031	4763.75738	4214.88364	4435.04174	5189.0946	3614.62254	4280.81295	6538.19371	4625.85	6230.1711	4698.94878	4885.34195	3748.27907	4996.55291	4467.19846	6209.10605	5609.95513	4863.90041	3458.88876	3687.1076	4863.46361	4412.07273	4973.61692	4474.18426	4498.42432	3483.88657	4874.59502	5042.40637	2486.82981	4050.2894
60	90	13028.73687	10665.79604	16860.89946	11554.65483	13280.5872	9907.32134	14376.91883	8507.10889	14879.17185	12488.29313	9486.68729	9626.72738	8719.65151	13722.95595	10798.29513	10053.86879	9834.5428	8867.39098	10378.02686	10066.64877	11681.65007	9620.04429	10150.21619	9368.43009	9677.68638	10610.08184	11338.67714	8403.5949	10475.06798	10612.83627	9054.14297	15115.75119	11913.93197	9778.06209	7974.47971	8575.3414	12027.35006	10287.82001	10604.83686	8975.10514	8356.34389	8535.35675	9537.71926	11693.4505	6843.23442	9902.05267
90	120	17001.97871	14430.51786	20018.72949	21795.15128	16754.72038	14539.15012	17510.45998	16531.2846	22767.59782	19568.20592	16321.29425	11835.55404	17043.37625	21083.86559	15639.71353	17228.61908	15567.38027	13722.49962	14225.8656	15723.39156	16771.10812	11627.63142	15326.39617	16725.48298	13256.13264	17762.87492	17175.98264	13143.28645	14959.33141	18682.52818	14416.98926	22888.94659	18791.87311	15828.63616	11015.87367	13622.39768	19649.27458	14629.9909	14771.93587	14613.14998	14488.29769	11862.68066	15571.13901	16857.36818	14173.20793	15587.88748
120	150	17309.90124	17325.04685	20665.50439	19210.94531	15043.10796	16870.66828	21838.37326	15437.53892	24845.59371	21808.6965	16665.79672	11926.37912	16527.42626	24909.68499	17109.31049	21939.30889	17950.78535	14407.91007	14267.25195	16771.08659	19066.96804	13170.42962	17825.55103	18508.59847	17374.50681	22691.20499	20746.36871	19889.5023	15181.45018	19711.20993	15852.95391	23938.21726	21868.96702	16616.654	15787.77663	17618.54092	22836.73331	17113.87693	18044.12883	17545.12292	15042.84217	16458.20349	18297.38114	20560.90843	14113.1084	18233.02993
150	180	18458.54543	17524.46021	21729.03774	21499.75196	19135.7564	16002.39428	21453.22787	19190.70689	25852.52734	21045.77017	21669.52347	15245.80078	19034.89415	24916.09074	20411.2167	19771.76524	17349.66177	16223.69184	17106.45093	18497.26275	21203.19238	14159.604	19074.59321	17352.19452	18494.41755	20686.88612	20792.95732	18252.12031	16768.83213	21042.50051	17395.1542	24066.98287	20685.56263	16727.95276	16233.75479	16707.5265	23749.50233	16822.87618	18368.05008	17211.44198	15923.40214	17384.39624	17070.48973	19756.06015	11391.78597	17196.84409
180	240	20000.72768	21401.3845	21972.84399	22017.57471	17019.83796	17788.95959	20446.21303	18277.70675	24224.9294	21511.42674	17666.30902	17063.24121	17290.54721	22854.42118	20076.84254	18274.35027	17191.2875	18202.35888	20511.21484	18102.01657	19777.63406	14347.99072	18922.64863	17422.08795	18026.83267	19019.24749	21263.61196	16226.02703	15912.47692	18627.56671	15688.17607	22651.82708	19361.98225	18136.68302	15007.04794	16531.34798	22971.56953	17824.28352	16920.56111	17283.7302	16116.18511	16610.47083	18578.512	19826.30864	14400.84554	18067.82799
240	300	17293.94255	17630.79231	20254.85366	20732.55969	18128.53064	14038.70109	20640.7961	15864.1981	24138.10049	19322.69148	17426.55493	16021.17904	16748.18953	23433.36168	16692.21864	17532.00361	16477.59764	15275.83648	17973.31787	17280.07578	19879.38698	11821.25398	16767.41612	16659.20021	15950.7259	19007.84536	18258.4689	16636.86477	16002.95266	16488.55546	14671.04375	21682.48702	18230.71553	16164.89465	14147.44371	15682.98251	18609.38517	16497.86669	16903.9578	15177.35912	14098.82096	15159.44189	16927.18201	18549.26307	13257.39478	16225.7711
300	360	15951.85199	15342.0968	20347.51338	19767.98386	16244.49544	15387.56856	18316.13419	13970.50223	20882.23104	17192.96272	15936.7857	14042.1378	13945.29707	20519.92161	16511.27898	16194.30035	15159.01723	15625.34626	14063.0824	17238.18301	18384.98392	14608.26779	17638.40479	14363.56875	17165.23002	17688.15884	19139.35261	12928.48266	15522.29016	14616.36932	15163.94902	21882.75088	18368.34695	18588.82486	15840.70392	15794.84915	19091.70298	16945.89795	16620.20694	14326.43807	14209.2534	16683.34448	16866.2028	18202.89941	13411.53117	17512.15611
360	480	15544.31137	14579.64342	18160.27129	17962.51387	13532.31163	15167.05863	14965.09395	14785.90988	19472.52448	16479.74854	15603.64167	11686.33539	13758.12228	19015.01678	16210.6075	16060.8458	13974.2065	14399.00356	14039.35437	16212.45681	17048.81167	12478.01995	16781.722	13431.31162	15201.28809	16319.35275	18140.78839	13686.8282	13122.65039	15705.66569	13165.02314	19451.13091	16254.71228	13177.84042	12082.50897	14530.11504	19465.4929	14044.30407	16680.26726	14092.27782	13929.79018	14315.60315	15903.79186	17589.00902	11923.382	16558.7397
480	600	13686.42129	15377.5072	15604.14873	14567.00507	12142.24512	14522.32489	13838.84701	11034.26437	17288.03078	14102.77696	14524.93872	13017.66851	10756.68941	15782.34741	14827.12772	13566.91309	12295.01491	14455.61739	15423.41357	14501.8094	15229.80012	11301.2154	14289.54259	11607.78617	14049.77869	13557.76061	15119.37269	10897.04168	12587.51871	10834.08727	11218.7814	15934.88393	13560.98193	13590.80174	12987.21325	12301.26788	15438.95897	13462.85028	11560.00449	11729.94217	12452.49647	13877.4198	13909.23294	14168.83557	10672.53768	13810.81958
600	900	11030.41449	12585.25713	11582.96572	13545.6053	9533.72767	11999.12951	11233.81978	10254.44029	13643.81042	11442.48366	12582.66888	11198.69173	11163.93196	13974.8275	12440.63139	11379.64309	10951.82547	12489.44937	12711.72986	12994.50643	13219.691	10253.35477	12448.49284	10840.34913	12447.51492	10889.09511	13453.20605	8498.7558	10870.58074	9841.08966	11181.5083	13962.57579	11605.53089	12372.60855	10865.61328	10579.62074	13119.49999	11478.73445	11161.85278	10226.80171	11738.27137	12368.8429	12537.52105	12770.6103	9859.36035	12172.86978
900	1200	9375.33141	10369.4697	9791.72888	11616.70988	7056.69877	11341.50562	8651.47349	9045.62144	11240.4998	9558.11624	10746.41504	8601.64692	9765.31163	11461.65332	10841.05202	9244.73317	9206.71467	10330.31528	10457.07288	10773.85014	10985.63811	9496.05594	10971.25069	8947.1544	10932.50395	9594.13218	11006.82423	8128.71447	10042.97613	8953.58421	8347.93867	11649.6048	9840.7068	9971.18201	9270.13335	8523.43505	10531.78915	9945.11602	9303.58226	8689.65238	10203.65976	10559.677	11002.90503	11302.64813	8300.21244	10325.85761
1200	1500	8217.13452	8462.95445	8525.92756	9889.5487	7699.78993	9750.25546	7402.82305	6382.16051	9043.929	7867.24442	9030.76859	7268.89361	7239.69879	8193.44276	8439.6185	8709.0635	7451.62089	8707.5774	8130.0517	9560.85593	9654.47687	8983.45333	9427.55579	8350.46457	8775.44373	7822.81475	8944.80552	6334.49422	8502.17597	6836.63856	7677.03789	9288.24984	7676.33118	8366.17078	7370.23642	7470.09892	8871.85774	8472.37127	8807.62347	7395.95352	9003.9461	8366.10492	9497.0377	9182.16393	7776.10071	9303.0565
1500	1800	7832.09261	8158.03424	7291.43059	9102.71348	6632.6176	8982.52331	7513.36832	6207.79464	7594.58808	6959.34237	9009.09345	7181.55165	7648.10432	8210.1422	8410.58019	7912.88239	7157.27967	8818.56924	7679.96606	8312.64049	8124.54562	7913.23964	8537.30257	7315.36508	8660.85031	6690.46295	7583.80265	5245.23383	7781.35868	6137.56174	7119.29033	8113.21675	6992.29026	7325.54801	7460.51953	6375.95623	7399.11071	7150.37122	7772.40715	6536.78291	8388.73725	8471.03973	8324.09091	7817.65343	8037.40157	8373.18451
1800	2100	5723.62224	7170.02722	5339.26901	6739.20352	5143.51579	7663.13058	6311.31311	5045.98863	7137.48479	5877.09908	7281.5078	6073.93815	6110.84088	6501.49255	7016.9081	6622.57163	6190.52773	7576.32286	7271.66516	8147.10856	7684.85741	7757.34246	7468.75303	5839.88665	7651.69288	5616.10625	7604.65828	5793.09943	7113.81983	5774.12581	6403.65586	6953.03529	5725.5966	7238.97919	6000.19229	5890.54523	6607.63435	6602.95768	6542.94971	5885.53345	7497.14127	7327.25079	7700.90354	7462.96764	7112.88009	7360.05509
