frame_start	frame_end	Left-Cerebral-White-Matter	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-choroid-plexus	Optic-Chiasm	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	30	5.553917858613735	3.0709090075973	0.2122836577381776	2.8154505152220244	3.895731740908293	3.0672652381352945	1.2918684987905755	19.239644680018127	1.7485947836032238	1.4776434189800618	4.235354066685783	6.6413421935720045	0.57183423103267	0.23959113055546938	2.107869894834303	2.640655080649441	1.301530260881941	0.19184380024671555	1.9026102382287213	7.5187847597203765	12.153997551541075	4.799501339425467	13.050948491484988	7.307035481900185	2.070597153400374	20.96128534914814	7.680733555998282	1.6366180750421986	4.221215004550169	7.345575045894071	19.980514661845692	4.282217391825844	5.660381983047801	0.5171100427290194	3.6369279137729307	2.399488974979159	1.9458630073346108	7.297555991342892	6.108573464527281	1.8756492903580664	12.261055161823966	5.23781202166309	6.584987921919995	2.218833397575936	2.599398638276303	8.726241690733746	3.826090923408685	4.244713659983082	6.757489078769051	3.0532564448388517	5.931332026866383	10.19492569401854	6.866458503419052	4.417293463987614	0.2519187020687385	3.3405901198544474	4.413182838728375	12.424954382052832	1.6588005037614124	1.122179660413978	8.299469360219469	2.6810545549910705	3.830516232539654	3.2650019214245405	3.0071805116666255	4.531422795143923	4.9925712935413	5.776968379038534	3.8245761660870254	5.386106712017381	20.4990510645568	0.6674201789402878	14.189190003974373	7.693021204009637	8.19908421966825	17.84239106502113	10.753047698039643	0.5953959536328114	18.697253135234796	8.822641585943032	2.918150521978737	6.541193223136603	9.885377470179233	7.014454425805589	7.393270085360768	1.1394860869065162	5.871759883799134	1.6856899439644766	2.4798303629097993	3.394869351627942	7.743015607409951	8.971199501257598	13.784741213459096	0.7108376544185641	7.290910511469167	1.9137317159270537	12.13501019639234	2.385271263284894	1.3944204157870177	5.818360048895187	4.806045884489386	3.522297063422945	3.1448766907764836	6.011481534531217	1.8492768670537647	0.5045204091025339	42.21010361671674	8.002817154939182
30	60	769.6030732772495	364.93792978373875	728.834028193381	617.9485237917377	845.0938598108778	865.1338032896597	948.4743137651366	1109.4168255427267	806.0866015167057	941.8012117506345	586.4548489285955	785.6910018838975	1027.6350049314315	1177.2583729170824	936.1068038337455	1995.574558182518	1090.5835071976555	1088.3748779296875	575.6943729018276	735.6992186094012	418.76183648434755	891.5083730103539	727.167714555653	860.4751031206677	1104.915361134678	793.1066817440723	1156.9766629625003	755.8878143581915	829.8079528678842	663.3666443609833	835.0520395299294	805.2194552174825	823.7527746476799	1794.7448769846271	192.234629616498	208.64466761446272	832.1380099726138	613.1787707544912	978.1918165523674	136.13529972394164	1030.6260607005745	1363.3658637483134	1302.577646456793	1134.592149493563	844.2497521658709	784.9854814753025	911.6904654385135	901.0744238319368	932.4164291355871	796.3994513106994	1273.9030002953712	1039.6538404481494	1367.7562407849175	993.0859197470868	1066.358221773723	996.4794278524869	1349.40712934943	1210.2462558697969	1135.330032503087	1008.9364529671516	1032.9139144792275	1410.0215072784933	1081.2433002429493	917.3762481641198	1276.219607776688	1241.3398554503706	1162.116590108962	903.1036031184306	1298.6587005064962	1061.4942908738408	1380.7761098466071	1237.0074228242697	1853.0343313548603	1594.4577198346585	920.2922465592977	1438.5103108089654	965.9579373136528	1076.4652968730702	966.4790538759374	886.087254771112	988.9650730923206	792.3293578039242	1155.9050146438224	795.0759315439142	1184.6301979851035	853.3309507762301	1103.6858372634715	900.3319546097105	1068.58935730029	898.1089899340145	1374.208165477226	1045.934331034493	1117.3499053712153	994.7095214154441	949.3109993178493	1117.9419669022993	1109.9660490030724	929.842940818861	989.6356505060488	1048.1944486753937	1179.7905642835906	907.2042850376926	1278.9795296297457	1189.5561200403233	1140.0708412428844	842.0205027062908	1766.1062133046821	1265.3082799751587
60	90	5727.1549842416125	2582.854948692391	5843.917764579301	6041.044313514075	7706.024880484962	8063.445629169414	6860.637035413001	9728.114580537922	6376.479473392775	6488.349011941461	4319.600313299625	5640.661763866603	7854.141849250575	6652.130722038473	6363.080366871513	7570.9202880859375	6168.000289472724	6680.26416015625	3763.782632183084	5693.8273210355155	2799.138091155616	5686.792995765561	5868.22659396801	7630.17609114184	7861.767939300773	7587.566927423209	9694.7887328544	7289.640299629927	7073.5394676571805	6801.854102133112	9404.940775191373	6001.258760804863	5071.644233061692	4609.640052713374	1199.8632449107256	1391.042940027556	7529.351961871604	6945.622420380081	6887.350161306718	894.3589286220417	7764.619299882295	9837.75949648243	9195.97703622066	9319.40040858573	6373.138491170309	6724.558214969884	7493.909754396604	7688.985361019073	8884.224005601247	6555.725939712425	9098.666724829172	8044.508226114421	9050.61493066454	8000.480513461507	6885.627900916995	7185.207305274017	9940.574811079281	9050.369119162087	9078.294089006402	8124.773604421661	7259.549352400843	9486.959347292624	8159.0353669214	8396.791575608337	9030.0359112936	9334.251428931468	8581.453181748568	7258.364238382026	8479.571550205646	8138.807893541463	9823.551639241674	7277.300783214742	11376.936275934939	8919.3755012627	7926.785750734981	8768.268379733307	8192.366575870023	9792.591354386472	7228.407885514444	6761.640410871456	7673.232973719886	7409.325855506221	9378.228868682803	7187.138843991582	8832.92981113546	8346.922896085533	8838.060832786365	7926.254157189311	6549.562019093427	7395.586331604481	9388.715221885137	9138.526103064969	9329.770128021999	8675.67026838424	7841.45340139877	9225.149008581913	8161.441818436218	7767.671620273232	8721.471687176476	8966.428013007044	8464.358819926618	7214.571740206273	8296.121610589089	8332.141892857839	9418.044610137265	7136.79351830576	11412.330248954922	8860.8110876628
90	120	12635.760663985424	5858.702058646092	12764.882246439436	13937.094479222109	17184.8218520496	17601.83178421848	15935.815787103746	19890.25672453072	14511.626791318631	13789.98810941025	8733.567208709894	11598.068141791779	15676.866752008194	13583.38877547141	13026.919060516002	18908.30777551632	13338.797326800981	20738.77197265625	10488.481648336201	12595.07670422488	6378.727153983184	12595.546616851307	13300.414979596178	16911.77474009077	17234.595098292073	15953.082266384801	21207.70785155099	14865.245651601288	15185.661338422087	14186.618599154515	18109.329708583555	14189.526467450774	11792.263262055496	10524.31707829301	2321.523596127348	2818.557844465547	15915.235565726902	14106.114165254576	14306.305486872732	1771.7858700184663	18287.08527891315	19961.963246058072	18548.337762519477	20321.549640395548	13792.212192183364	14862.90453718221	16205.662343897124	16546.86042635851	17714.498425756876	15116.701937183218	19499.862374071487	18711.94873234225	19356.39748518011	17402.66279058279	14048.746571732716	15396.579738257165	20333.283100711233	18625.516085076782	19922.637333065886	18490.631528606023	15809.889892850517	20009.329424905936	17478.963886720405	18810.832509494176	19259.2443805313	19953.121214731695	18415.007870816884	15701.906343514764	17814.429550440622	17830.842147508556	21271.098520828942	14739.787582280003	24743.515639088113	18879.451863888076	17363.034355072938	17892.89158679364	18080.82788582693	20272.43751543869	14679.69637779122	14526.723081926646	17487.0534486588	15962.759832782987	18781.798681548324	16525.159364588	18934.799538454638	18047.42270919348	19581.660040788192	16861.964638532263	13295.345411048975	15298.169600378056	20622.986236351655	19440.816727979938	21714.55959713153	19847.830889453926	16580.88772208181	20232.919512192235	17574.48710627014	17078.068797655957	17335.257419141522	19188.02375064592	18543.217253522933	15542.84274263714	17657.746466796267	17989.72326059871	20755.015385533643	14634.172353707108	25367.28746291072	18493.262015753153
120	150	20040.71463154042	8861.979575165546	18956.623154901827	23096.844477187235	27861.493381811313	28307.538761753814	25791.93134469041	32609.945864111778	24233.154533860274	22612.118595063832	13967.682311302831	18139.23109702364	23795.95715422829	22340.3848540146	20124.47192530364	28517.336105497758	21116.91625578677	24222.18310546875	14267.073618926646	19712.47838360618	10374.18528114634	19311.264156153946	21572.74462206646	27301.812633255136	28181.115427102704	26362.823397770862	32851.79420531669	24247.43138300644	23797.613790623673	21116.776912937577	28079.39005273206	23305.617070898188	18278.585075431034	12592.83799563172	3240.7556159865867	4301.282183283307	27580.080650475542	22991.22221227754	22300.523017647847	2707.704293750166	28382.14725182809	30761.51601178686	30296.689491722667	33397.23813422263	21072.597297610748	24990.46897325957	27210.272674091662	26636.60852099606	29251.933290478322	24758.93774966774	29965.787328781065	29215.13110855066	29016.312198243304	27628.094987606462	22612.858660641425	25921.5947265625	32664.154102942543	28281.3905683159	31284.798086126964	31040.873893194846	25817.854094067843	31623.033192238017	27990.80480527638	30492.347662264117	30312.650519394825	31064.183093276235	29190.93146907383	25114.90155957335	28515.080171826503	27715.399894070557	32749.02314848361	23411.61109953147	37929.27670210041	28245.01165173295	28796.115617561474	26778.548795406292	28991.998384230297	31670.519680403435	22316.237936538015	23596.365977349727	27785.983890308857	25244.157453126547	29169.232472087664	26493.460379101154	28594.480389344055	27895.181418827677	30097.8250486785	27315.38997106903	21943.07675874404	24468.624230431116	31215.177513539737	29547.763363643477	32297.98967564521	32258.14218228632	27062.400553670355	30952.988031013258	28390.415893763504	27981.159369945024	27972.879695588093	30721.860158325213	29093.44742318264	24815.45860735162	28195.730015534977	28752.52616903796	32271.03995133008	22730.409992532168	38151.18780329163	29044.225018629444
150	180	23909.708391389086	10113.688741404147	24138.201772504148	27133.334281230655	34342.332511197856	33983.943728756596	30362.3392012234	40773.0500209945	26956.89782538345	22853.42898572088	17512.177772938445	21919.57707959321	28216.083336880783	26152.74436207421	22084.027463607043	34963.296548673425	25291.45071265279	27646.62646484375	17859.152651059878	23805.90272173235	12158.901872149316	23889.318951716188	25958.82790214241	33228.08538255827	33284.66686474006	32239.594052264416	38739.49707333413	29791.67706138269	28032.637105555114	25277.701060197985	32465.88150925823	25527.068485619227	21554.974212688576	12077.4453125	3600.3568298371592	4965.935797300498	31670.09398165761	27080.454490772194	25817.29280662547	3141.0167119257367	34594.314279046805	35192.80777638908	36938.28214341842	40021.204865380845	26299.37524783413	29802.015383384267	32463.117149493053	32154.471065078767	35686.42459807501	30064.855282959932	35561.10102269454	35642.99209569844	34347.43915439863	32810.213177276004	27088.6847713791	29806.27139829299	37864.05771379056	33505.84933778661	37389.95948604228	39442.42054889299	30449.571403661503	38044.93528210354	32836.34044989034	37043.01558062557	35673.424907007306	36997.20187125129	34555.12004197834	30054.29142430688	33528.122036653855	33773.567046087024	39270.48564222571	28182.91359062008	42089.762190061476	33248.37013634941	34028.471419680296	32681.68030324788	34719.26163371718	38978.94867813421	26639.31909070371	28914.10146640742	33867.570775784465	30962.760067169576	34387.10211963906	32505.30512603209	33716.283939713096	33729.279646778275	34423.08833302078	32674.869196668664	25564.25226868355	30357.65709963245	36764.88115225324	34746.77495676256	37833.859764847635	38513.42193997048	32451.547190293008	37334.94632433712	33560.69378846802	33565.54433732945	33437.66291631219	37087.33314867539	34925.742972243446	29915.574374522257	33158.57258265046	33849.2179926432	37592.78160812086	27245.191010199655	41710.70273583665	32963.74866746089
180	240	24545.840275331553	10890.664459588512	22147.108960176993	28129.992439352503	34544.89544599148	33660.07187955083	32346.23581040183	40941.80165746687	28760.090967998975	25674.11228706291	16769.949914451536	22295.192689457956	27071.96798763595	25332.90030033455	21149.476060371628	35832.133138826575	25395.05690957757	32199.18359375	16388.72307510198	24208.458603063293	12352.816327440372	24736.711986103997	26331.28534271726	33555.992683754834	33887.95259719212	33207.49210406674	40172.89164084371	31019.000847391395	26759.03755397667	27121.396563853166	34686.57079904359	26663.673747950095	20874.96207502694	10899.572869413643	3493.4224619939077	5014.428108460206	32504.05827105978	28035.953491934673	25558.624458757335	3186.57548578515	35481.09399845216	34209.94477083621	36823.97564224306	41048.669441251426	26236.09128846415	30753.236419426627	33007.49810479035	32687.673256207898	33989.701427232525	30950.33107458512	35689.22503135491	36429.46130533073	34693.59595926731	33653.59580918251	27253.353373080223	30355.367150926297	37809.086658754415	34132.43437797179	37499.70938348468	39476.85852662098	31417.40095268544	36923.44673651756	33309.60134188984	36503.45422379536	36433.54434925532	37596.476326294185	34852.02840417807	31217.89384492287	33321.209601373135	33942.59487808571	39004.46428383221	28604.37674434974	42552.77454918033	32623.947781705916	34149.00149452961	31191.334869597777	34900.274251009876	38631.18332605883	24865.33163770989	29797.172296151242	34185.3005130637	31408.184195718884	34592.050312352316	33474.818317317644	33728.26571508048	33866.42894490423	35149.52542354284	33075.22808289116	26561.44747677365	29755.49463875886	36918.27982724166	34584.12501339213	37660.05688743781	39005.39498684548	32489.643506007844	36301.21702130682	33724.56429713307	34423.5043935056	33062.706969465944	36924.90177549223	35016.44630294014	30732.40065813287	33190.48701947407	34363.3263556177	38482.5099712928	26884.569930810867	41256.21220730531	32424.665018178537
240	300	23490.15210445602	10082.003932962243	20003.18906422843	27006.563338957843	32566.057851292033	32595.505719772817	30886.651549684106	40040.89878364904	27633.92452954035	24245.830649321935	16208.838467375326	21113.943595714438	25376.931018638643	26448.815561796684	18559.338844714304	33212.37753326114	25750.692482596765	26921.05908203125	14536.491065818947	23160.831130961047	11452.313786579272	21299.959544697747	25377.05011832171	32112.469722579823	32825.55705721117	32199.453018482847	38986.912642621006	29586.92897398342	24701.938058035714	25161.425756387598	32494.915566151394	25333.240459543278	18164.679391163794	10842.239869476647	3305.822590945619	4917.348596629222	30589.707704483695	26341.982907944832	23824.905696817652	3227.2737015596126	33710.0625722182	32253.687830836563	34524.24266312287	37874.6761555015	24041.1897205347	29644.080309125122	31694.098052257857	31128.61455014396	31762.85285673612	29198.797011519775	33765.3281058191	34400.654200858065	33015.52270735087	31710.720098570306	25706.64090289693	29105.595825334694	35321.17037837893	31784.743582038955	34719.37084909453	36980.49753517067	30007.05491841018	34165.38976710563	31268.199338952487	34601.836044697564	33592.678022773	34844.08077808188	32590.109932094474	28945.79679868621	31468.981024954737	32366.504238154874	36426.52258856582	27895.247608481128	39254.72294441598	30561.28882928067	32618.35533635788	28959.388223356065	33249.751196595884	35327.47646227936	24390.13070086579	28897.65384516285	32040.911466478054	29616.956689762163	33074.36729161744	31796.286948672336	31921.601081290068	32605.9704179944	32807.01488434867	31207.208495398994	25347.765476342036	27965.182092780007	34229.620831643886	32387.567207226817	34827.7554244403	36283.89918466055	30558.91220430483	33064.53418892046	31610.5351044063	32220.141355920034	31423.406424118697	34720.35527542287	32266.291102256062	29116.52428883768	30940.017968689175	32011.156924166502	36233.31156370812	26539.891669858047	36309.973383419085	30445.365368103547
300	360	22162.45013540196	9407.242007066721	19475.982227426714	25841.28628256742	29930.983091673625	30744.332620246252	29210.542187131978	36609.81036946277	27198.39872905676	22476.05287216725	14940.453943197183	19819.518710663586	23593.410027528218	24834.055518647354	17097.1364318195	31905.41303517559	24771.182215725716	27585.57080078125	13305.692357772436	21832.740503238558	11073.683916385982	20864.32018442623	24743.106140510252	29401.449802459174	31488.521147785454	29220.380132698217	35897.71696867633	28622.55983987125	23863.47718148783	23695.312093234817	30501.230281083186	25092.044275297416	16368.018534482759	10152.737372941869	3260.3023075559618	4767.96188955662	28296.13994361413	25160.753417727505	21845.71389897623	3247.1761750464975	31581.743298259003	28842.40564103368	31448.902384976183	35177.525406775734	23111.652714208467	27695.87687446627	28790.930831211328	29336.927875949496	29402.38834118424	26903.587579053554	31245.360095654	31402.42253166217	30044.684731238773	30016.491802386226	23725.885917426032	27018.498343255807	32131.61962654565	28984.805135744664	31832.49692327209	32207.1999271053	27070.987837329652	31475.222239931718	28627.92413078163	31608.959787259566	31027.49775128445	32038.16123422327	29639.78278849335	26599.47731928762	29173.875077940254	29256.148285390504	34330.48223743149	26360.92070127985	35224.37303406763	29738.5168346329	30207.35968482486	27411.95913160918	29307.419796663442	32259.67699750469	22398.30781286439	26839.426263715628	29376.322589699073	28273.402437736415	29795.97892434133	29358.96070925468	29202.79626506506	30096.39684461573	30577.4080437104	28860.94283824171	23368.16477182749	26238.185114780266	31702.6706785073	29969.18060581737	31891.31438277363	32968.745544308265	27924.516064646585	31384.02478693182	28584.349625964984	29630.78172355589	28046.065942307923	31952.184506708596	29718.542008532982	26685.56752422437	28927.33948700512	29213.563488014097	33470.88585580817	24687.94587035335	32981.83111041277	28676.448573839043
360	480	20326.333847253147	8664.46609276965	17469.47044818169	23558.407824048645	26726.81408756076	27629.86742324771	25131.895095084412	32712.232840608343	24666.743910890484	20555.462457220314	13248.997950324614	18361.57012276114	21379.80469408812	23026.0377247757	14885.884879579991	30076.58493676516	23330.73764686885	25013.740234375	10683.038490846719	19931.258669490853	9291.462250719827	19484.92171490779	22700.78948178571	26146.553904187895	28049.42011488571	25857.022526980203	31944.60126839454	25271.772189931457	21073.731323906515	22916.15245012847	27675.114006431642	23083.348550137707	12030.676360452586	9283.843629242272	3072.758117846979	4546.180807999416	24885.998317934784	22729.02396703426	19223.780337063243	3189.566921141001	28143.935124344647	26355.75468036431	27546.23609197368	30289.726403220346	22217.082200227815	25388.88523363338	25359.9303043685	26085.55284843635	25761.529299090682	23838.840815969765	27537.898419982746	27876.786400879297	26536.53068181383	26531.025754567596	22590.371635485542	23352.577288711036	27941.38327554098	25756.09193390744	27439.14672532357	28631.9974579517	23712.294174743984	27884.33492043792	25223.91515683888	27411.85388053559	27443.743022299685	27944.660524686555	25968.05508313661	23436.240302847575	26236.442533150588	25775.171947374154	30019.772796888174	25011.543904992566	31087.094845030737	26007.607614089822	26807.860056068745	24533.633684998837	25512.675931883743	27777.063489907807	22045.500313374534	24697.693829400585	26271.731982488855	25134.313885498046	26004.750921550094	26092.098865283366	25830.02389600965	26272.09790186273	26761.16040967994	25843.257636759772	21765.45475887911	22905.940089195432	27306.34628634731	26472.59072848076	27789.15240224658	28512.27805200847	24350.058573594284	26966.0023125	25179.587640047117	26062.27510366361	25109.105619278424	27893.87618462273	26095.024076384045	23019.516203406027	25850.35185835799	25373.25597256109	29058.03204103001	23003.24824697457	27841.15820495206	25724.54412911509
