frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	41.52752	351.58127	102.92508	117.64397	177.51604	58.87673	91.8794	104.89558	125.8661	156.16085	77.70982	341.04688	100.73291	174.19934	104.14938	181.33164	100.42714	139.08251	103.36212	128.93388	161.776	344.68634	207.26951	297.05825	300.54975	223.00087	219.58023	132.57616
30	60	3802.21355	5795.7361	4093.64701	4194.78496	4521.44511	3935.44653	4486.8443	3689.65959	4889.38962	3783.66134	4037.34327	4473.88361	4211.38087	3972.78726	4518.11986	4118.93905	4479.86104	3756.10647	4475.77728	3177.09003	3874.79565	4922.61112	4427.05214	5457.60583	5238.89447	6009.58813	4088.99076	4037.16579
60	90	12590.81178	15221.35808	17831.14969	13728.48431	14661.95395	14136.14102	13724.07746	13910.10265	15113.70205	12619.9023	14625.3675	14205.71588	16535.70825	12486.52146	16586.18695	12877.38962	16522.77843	13086.50832	15686.37779	11960.03274	14336.89266	17877.85749	13707.31685	13632.85415	15828.13867	13595.40693	17098.34064	12637.18799
90	120	19496.4738	26495.63631	30117.29233	25019.27308	27571.8864	22890.55156	26709.88002	24606.05912	28225.9905	23314.69563	25654.08813	31136.7299	28555.64021	27730.53241	28558.20207	27104.04026	28828.58708	24908.85596	27755.31879	23031.42404	24195.00127	30697.75653	25172.10467	25172.20098	27303.34415	24557.92231	26085.74848	21609.79054
120	150	32866.60911	32759.29664	41969.54593	38907.68602	36312.99062	38062.45497	36550.32136	37987.15917	40422.75726	36537.01412	37141.65743	41996.09546	41926.58121	39205.54184	41013.86415	38650.40107	40786.13279	38562.01535	40120.55778	32856.05084	38283.12819	40495.30429	35637.18279	32709.16362	38884.92875	34281.65294	36147.89622	35847.89636
150	180	34739.44529	32104.38455	45499.50667	42174.74621	38786.53996	40887.20425	40271.80033	42628.37531	45397.63538	38551.5186	41725.53643	43948.14002	46241.88023	43346.60489	46037.36529	41869.33662	45627.82121	41964.01243	44572.7808	38085.79462	39373.68546	41163.84854	42284.03933	35372.76187	37374.29869	32120.37109	36089.0435	37787.54459
180	240	30440.46267	36858.56327	41938.65293	39485.4189	41678.47637	36517.39987	42271.68079	38838.94744	46258.06863	37454.22007	42055.40542	40075.54715	41418.84133	39895.46756	43353.79267	39447.60639	43719.99016	38887.9827	43778.41769	37914.37447	38970.14018	44673.31534	42156.46893	40233.68428	39751.41893	35975.7404	42373.32243	35085.21112
240	300	30053.66043	31861.78591	43256.29821	37718.07455	37847.44367	36256.40054	38551.52768	40909.30852	43840.17409	37095.58287	39317.45526	37527.81516	41197.62196	37121.37877	42867.30104	36542.29528	43043.90054	38720.46453	41608.71658	40322.97207	39276.09183	40049.46689	40321.66593	35981.84756	37665.65243	32524.9078	39720.78562	36399.56464
300	360	29985.25166	30085.04007	38774.58645	37276.51851	35378.87961	37512.06776	36024.26628	41039.40643	42581.5402	35427.0335	37856.19419	36832.16405	38385.47522	38339.27974	41080.70285	37365.74226	40537.43461	38229.56908	39970.2342	39867.8063	39217.19224	39084.17855	37577.22585	33763.88696	36638.1525	30779.87864	39272.34176	35211.19733
360	480	27101.16637	27696.22504	35426.90578	33405.14199	32089.84205	34347.20163	31539.15017	38383.32738	37384.44273	31990.67983	32027.36265	30238.22432	33097.34859	34021.10799	35658.1537	33026.14571	35970.72898	34614.7889	34680.91096	36573.70543	34139.03986	34297.94427	35181.52246	30639.8875	31963.82968	29236.207	35896.27486	32461.82932
480	600	22368.8544	26169.23723	28855.20035	28684.1151	27811.97253	29249.77971	27501.72759	33681.57065	31586.7586	28226.89661	28011.90627	26339.05673	28046.26536	28240.89501	30193.00185	27978.16282	30221.52075	30000.63438	29542.12236	31202.10727	29948.2701	32343.70261	32714.07919	30603.38379	30407.90993	27941.26326	30826.97315	26780.02666
600	900	20290.6684	22381.48373	23753.20745	23782.57119	21476.53599	25104.10304	22371.18035	27111.2129	24482.13676	23589.15612	21804.30191	22449.39695	22389.02903	24281.81733	23329.98531	23865.87312	23581.93234	24999.31116	23076.49967	27898.47888	24742.62601	26918.59505	29656.91726	27716.00479	24830.43867	23033.88359	24677.03602	24449.75464
900	1200	14526.55147	18771.33433	19121.49961	17998.2785	16688.1745	17895.29095	17871.58522	20621.50023	19430.96056	18313.37948	17888.83696	17348.42764	18226.94153	17751.69873	18384.62623	17898.91207	18384.25127	18797.19918	18513.30637	21791.38215	18910.14828	22260.64816	23920.13033	23167.92593	20335.94423	19220.44034	19549.64112	17734.11882
1200	1500	13363.12851	17071.56879	16553.64626	14833.05269	14295.24141	14818.26468	14317.55698	15998.70518	15763.13703	15212.36945	14582.26103	14704.67336	15885.26317	14191.02327	15444.07312	14554.01886	15591.96281	15014.04005	15238.7518	18217.93316	15694.44581	19645.88109	21459.95685	20630.70254	17621.07134	16819.66189	16552.9278	14480.09753
1500	1800	10849.60914	16355.23126	15122.07939	12719.0974	13214.23927	12318.62727	12587.7536	13387.95129	13752.32986	13194.39572	12945.17626	14649.23992	14463.18008	13536.73584	13942.87668	13666.25273	14072.43894	13155.64071	13595.21275	15274.21801	13390.06469	17692.95053	18454.66992	17774.62681	15924.69141	15650.08386	15119.4446	11795.28229
1800	2100	9847.02794	14892.58912	14546.53719	11581.19488	12317.92357	10494.96425	11909.07253	11383.03062	12627.60808	12230.23925	12581.13902	13335.73374	14113.23239	11568.45731	13212.38717	11915.97299	13339.50861	11600.21962	12956.05332	14311.12868	12590.53501	15620.80304	16637.38241	16291.93044	14053.64976	14363.78472	14510.76448	11099.94149
2100	2400	9551.98435	13383.65756	12334.49796	10999.88166	11529.6697	10155.92078	11496.85055	10384.59353	11398.75351	11485.06722	11827.16136	13605.63073	12678.77661	11322.66227	11759.21065	11448.69369	11815.19894	11063.28895	11721.27895	12312.79697	11248.81004	14561.68257	13408.44269	14193.21152	13047.65256	12607.7499	12456.8825	10245.11684
