frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	0.20727	0.76561	1.32299	10.77116	3.16738	0.34682	1.02015	0.70445	12.07347	8.8666	0.87362	0.22674	0.53285	7.01101	1.22442	10.17152	5.50723	0.54341	1.73377	4.20694	6.79714	9.47117	1.13815	0.85265	15.65198	0.32913	36.03116	1.14949	35.61923	0.24645	13.24846	7.46169	0.08924	2.09176	1.18868	0.06586	2.31571	2.84342	5.85492	10.63202	0.75666	1.72994	5.17617	13.5204	4.54043	2.78026
30	60	1782.31966	1078.01572	1446.29386	1492.62609	1543.47502	2442.55275	2670.57666	2114.56468	1975.30531	1716.00527	3958.09793	1115.51746	1504.59402	2494.67316	2562.35093	2305.80907	2280.24821	1658.0537	966.33107	2090.60567	2072.88525	2087.61434	2904.66659	1080.73754	2573.48091	1987.0081	3132.05227	2024.63807	3404.77761	1507.56423	2062.58148	2280.91448	2320.10795	1137.72114	806.90692	2014.3234	2847.58151	2106.53725	2334.59644	2723.58098	1827.98892	1197.04637	1678.18266	1631.98256	1451.41138	2043.06517
60	90	11141.28198	6364.89768	11563.37536	9718.64343	12840.93213	9840.30543	14149.9663	9799.42181	12612.27634	11508.95211	9176.5352	6444.54133	8977.19359	13128.26888	9994.78104	12566.67637	12189.19055	7799.02421	5919.03749	9799.10904	10570.70088	9879.47113	9705.22662	7044.96123	13772.15498	9842.70546	14085.26647	10922.10659	15252.24578	10313.29721	12318.78648	11737.99837	9551.58521	7307.3348	6693.34668	10521.26218	13685.72986	10393.3047	11300.28608	12428.73651	6854.3561	7357.96543	7457.59935	9157.78864	6233.854	9179.78379
90	120	20017.11455	15719.11546	21105.22923	21427.71295	24264.46072	17446.35418	26544.48027	19185.77162	23053.73551	23028.45748	19229.20291	18939.38175	23853.94093	24212.79656	19650.24325	24230.81361	21782.05242	14736.37526	15253.13867	16826.84415	19065.95701	19271.5434	18942.45385	14412.92383	24855.26152	19282.83129	22984.65936	15987.33976	28980.79165	21577.64108	22831.36617	22748.89778	16856.74165	13166.20459	16484.05859	19372.64691	24543.15675	20668.4671	21876.79979	24069.28516	14770.00592	12807.80244	15035.31581	17894.10196	13606.26953	16702.68899
120	150	25429.96992	19280.69745	29343.33629	30131.42283	29749.29058	24474.75027	37169.15323	28682.02665	32227.40198	29871.74532	25176.39009	22439.46875	31745.3652	33647.83343	28485.91405	35723.2351	31970.38011	19415.25095	17522.50998	23898.38215	27223.12294	27220.85437	24688.30596	17195.29576	37546.58926	26523.53228	40786.04776	23866.03407	41246.05914	26594.11178	34674.01984	31920.92156	24450.67929	22330.47021	18389.92383	25705.63546	33834.21714	26549.27418	29988.99369	32678.8416	17245.01882	17759.91572	21332.21569	26559.24461	17917.03516	24730.24402
150	180	29184.90786	22580.29952	35086.91388	33105.44037	35148.60015	26237.07138	39644.89304	33439.61956	39195.76079	33934.7472	24268.29483	25893.58878	35639.52465	40476.05859	27680.30392	37588.37618	34104.9353	20120.37384	22586.6046	25207.05384	29565.57255	30927.28143	26496.59263	24647.33823	35365.52207	31469.15281	37509.69221	22905.89558	39473.26765	25383.56806	35623.13415	32882.44888	20265.14603	24679.85514	27046.67969	30071.24871	40008.96474	24959.64932	34196.41959	35864.95311	22099.5299	23952.04004	25194.9164	29535.716	21153.60547	27352.79261
180	240	26661.43152	22454.77278	31715.91371	31511.79578	39360.11849	25693.49899	43994.77837	31846.48326	36241.09335	33262.42169	23821.30409	27057.91424	31584.20515	39628.2605	29514.5618	36732.49846	35100.63704	21294.43063	22296.43359	26119.39532	29831.13752	30278.41609	27828.25335	21640.93684	38012.58848	30471.87916	37514.92143	24064.90226	43483.91864	26283.79282	37220.3953	33820.31741	21249.08099	22619.22949	26959.58594	28972.82336	36470.84795	27429.29011	34298.51495	35086.37657	20755.29733	20968.41543	24183.60173	29716.39069	23168.8457	27042.73951
240	300	25617.30435	21897.81497	30737.10529	30733.27644	35818.77289	24568.03534	41793.32964	29741.73828	36179.01611	31574.4426	22213.49998	23389.01491	31038.0712	38167.80129	27897.68402	38962.07302	33151.4078	22091.77813	21764.59505	26101.42224	30286.20912	30138.89628	26493.35537	24519.70347	33819.43555	33268.59827	34456.16815	22927.4798	44367.65841	30473.76653	38086.68696	34398.42618	22413.24063	23829.5804	28505.78906	32117.30187	37757.05177	27573.2141	34955.44823	34858.26302	21673.5995	24782.83164	25008.91602	30621.10581	22115.55859	27204.79887
300	360	26429.351	22147.72731	30030.00284	29170.12862	29459.47233	22421.78649	36186.9895	28963.84082	36706.86579	31452.2197	23869.38184	23785.2777	30802.66649	37584.02819	27947.82855	37006.27605	32457.35332	22440.15467	19961.49457	26675.62746	30543.87753	29613.75179	25047.93375	22440.25098	34923.32559	31602.35842	35371.82475	21982.84525	42071.97415	27382.34435	35922.24375	31961.53934	21053.3002	20714.14421	28724.73828	30259.7793	35915.55898	24483.43773	33437.07367	33076.26964	22061.24893	22097.39609	25092.57155	29608.55793	24521.55469	27219.44589
360	480	23731.61528	21542.78688	26857.12269	29536.70343	28439.9171	22203.60755	35679.11713	25762.64676	31556.54852	27561.39794	22944.07251	22976.54723	27139.17165	34632.50003	25419.40784	34018.67231	29168.99311	21353.8486	21488.90712	25680.56851	29526.28489	29627.19964	23354.38097	20810.96804	32685.25605	29883.14921	31575.65376	21604.64656	35861.90737	24923.80649	35032.36236	30457.08452	22065.14255	21848.98812	24157.31836	29104.81459	34688.08032	25469.24024	33024.49729	30882.03743	19693.36088	21287.35059	24781.5273	28503.58614	21746.15039	27057.89694
