frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Paralaminar-nucleus
0	30	55.33364	43.07204	22.43621	28.97424	44.39798	40.33301	60.45844	49.18358	10.31789	23.77583	6.30515	27.66852	10.34592	22.69258	8.27404	17.8658	9.82855	27.74848	16.81921	20.21657	11.69372	3.98002	4.02292	4.05063	16.21567	40.8976	28.78022
30	60	2528.47663	3627.13713	3280.0169	2729.40632	3177.84425	2070.26665	2604.07256	2404.41982	2559.11411	3171.52962	2753.36841	3112.47533	3240.14399	2834.09796	3177.77309	3008.34772	3067.60341	2825.09782	2906.03405	1979.99087	2995.9184	2759.44387	3011.20782	2671.62308	3322.069	3241.3584	2888.78296
60	90	10264.14022	9642.57001	13197.27988	12405.30196	11871.68238	10438.8979	12100.13907	10760.43179	11308.06234	10245.58226	9486.40854	12501.91944	11467.77442	12686.51355	12418.77785	11946.20579	12130.88145	11451.00963	11528.30363	7633.28543	10839.5421	9591.66062	10775.8817	10886.90174	11023.61942	10282.23858	10163.32577
90	120	18284.46154	17215.39605	23669.47342	20715.18305	20537.38583	17478.16927	19536.35563	17409.84568	20332.62494	17044.292	16812.77713	21851.07219	20866.93004	20094.84043	22544.18796	19128.50719	22017.14937	18438.4856	20477.30334	15951.28018	17033.93147	20251.02379	18709.83412	16410.48764	19015.67841	16494.62351	16971.40362
120	150	25276.17974	21074.24929	31825.77384	30141.01556	27666.91426	29521.38592	29876.75576	27861.46919	30322.28366	25585.93762	26159.96144	29967.63926	28923.32913	29313.07332	30926.49615	28957.01372	30833.35798	27801.03852	29931.59303	26015.8502	28588.97406	29154.13791	25008.87779	22427.44899	29237.09107	23231.18219	25176.81572
150	180	27492.75069	23894.08431	34168.72282	32298.76756	29262.52734	28169.25527	29937.8177	29059.58142	32831.14318	28607.83348	27401.91852	31024.73891	30121.83257	30707.68303	33343.68914	29149.2497	33085.95456	30188.78245	31371.71775	29011.54141	31149.21732	26035.07341	23640.9096	23790.49204	28102.97985	24204.64714	30924.51249
180	240	26273.99658	22570.69697	34728.85693	32612.92554	29638.56749	30226.22743	29714.44983	31798.63496	33300.51882	28736.48584	27740.37116	29880.67784	31873.18814	31496.52326	34864.26709	30118.44339	34213.61776	31399.40672	32345.10065	28166.17547	30371.66577	28804.99862	26497.31836	24519.80934	28113.37145	23717.3916	29716.60306
240	300	22704.43947	21744.17559	29300.93319	29458.33641	26882.28576	27004.90151	27167.84808	29335.57378	31612.54185	27017.31165	27042.34772	27461.32943	27763.51094	29480.81242	31201.19079	28600.92521	30830.29985	28601.23452	29823.86101	28498.63973	30203.21267	26647.36195	23597.25698	22727.12538	27017.70511	21705.64317	27053.27728
300	360	23141.64628	21441.21442	27797.28098	28618.12906	25913.58395	26002.28988	26364.35605	28847.15949	30144.95814	25665.26862	24990.30432	26426.71019	27496.82376	27987.44725	30289.715	26039.81842	29791.86845	28380.36508	28623.26438	27773.09062	29989.85001	26394.6784	25708.44057	24388.35705	26592.18227	21908.56773	28165.05203
360	480	22093.01502	20906.31154	27104.91523	26436.03943	23623.83102	26360.41568	23892.34939	27833.01916	27722.61966	24010.58081	23999.7146	23673.79466	24667.73328	25429.8906	27329.51232	24951.05738	27192.35625	26186.45473	26165.41619	25873.2164	26113.69962	24946.20427	22462.62221	22471.69546	25390.5765	21578.46063	25444.18673
480	600	18226.76417	17505.81011	24042.97062	23552.98852	19987.96068	22703.87462	21185.01721	24853.83406	25022.10127	21264.58821	22095.15715	22043.45029	21725.05123	23617.53663	24319.4814	22462.29945	24308.18848	23262.71171	23342.09493	24008.45909	25032.05893	23403.49247	20933.38951	21851.24076	23276.50473	19295.03773	22889.79506
600	900	16533.19113	17064.80088	20775.29663	20489.90922	16915.10305	20344.47771	19131.99503	21739.66785	21794.05082	19389.28598	18699.76632	19229.79682	18809.07758	20121.40966	20770.30041	19672.43193	20681.80919	20771.42135	20056.73889	21921.22716	21638.52209	19649.25048	19143.17662	20073.27689	20275.41734	17526.02621	20413.57656
900	1200	13592.56395	13113.91743	16260.122	16621.14684	14175.70476	16344.37976	15199.76384	18152.93671	17455.39064	16172.9606	16123.58771	15589.60317	15993.53319	17227.91215	16733.00592	16705.10516	16726.18551	17324.73942	16486.24327	18949.88455	17348.41477	17165.65013	16528.46191	17329.91572	16519.62131	14536.00267	15958.60536
1200	1500	12934.26096	12411.25037	15491.29392	14676.11289	12108.47397	14607.93733	13922.40018	15002.63081	14610.01712	14194.1997	13164.29005	13650.83202	13817.52778	14357.34484	14199.0532	14189.0938	14349.14016	14903.83786	14013.6458	16461.46144	15103.84936	14193.51212	14274.26535	14409.01007	13288.09221	11807.11209	14133.64136
1500	1800	10801.43173	10866.2642	12371.74419	11901.2253	10543.89579	12541.7603	11804.4259	12952.84429	12167.12274	11748.32226	11390.38585	11661.28908	12706.49995	11857.78106	12178.52469	11760.00667	12105.67128	12264.01419	11994.5107	13486.26035	11744.1498	11711.47735	11933.17732	12464.41643	11409.97675	10057.52484	11078.71023
1800	2100	8752.71783	10068.77458	12022.47244	10754.89368	9543.15574	9945.85025	10424.16602	10980.16384	11329.13708	10157.71027	11028.15776	9863.32189	11422.22372	10137.46766	11333.11254	9888.152	11316.12766	10449.16505	11079.07075	11696.06343	9785.86493	11379.35261	11470.601	11454.10697	10010.6778	9479.08724	9631.52649
2100	2400	7889.22402	9418.86814	9503.54201	8692.49665	8179.12527	9359.89658	8648.74581	10094.70572	9426.795	8664.32012	10046.24251	8104.66241	9783.15436	7831.1738	9118.12103	8263.85913	9223.56445	8838.76959	9339.96027	10737.02243	8881.2186	8973.90022	9293.41685	9983.34687	8675.40132	8736.47906	8707.00051
2400	2700	6665.59668	8802.3088	9166.39089	7575.94984	7631.84402	7382.53726	7666.58675	8716.157	7935.5447	7991.61408	8080.15891	7461.32703	8901.92798	7187.41235	8203.96198	7362.24425	8143.55951	7789.81336	8026.26027	9630.01338	7418.79522	9545.80275	9859.92564	9717.02115	7147.17507	7042.2201	7632.9933
2700	3000	5940.69543	7801.36974	7619.85022	6948.94752	6869.49383	6221.41306	6826.92557	6552.6559	7580.1169	6768.44201	7416.65948	7341.32706	9362.50733	5988.78813	7901.67258	6190.91863	7698.22696	6243.97896	7614.87694	8508.77115	6533.75526	7813.8268	7931.22726	8424.84619	6823.95845	6836.59814	6357.85693
3000	3300	4985.12769	6858.03394	7504.97184	5766.37069	6591.29064	6049.56136	5949.47407	6679.24825	5773.53644	5984.56592	7517.07393	6374.78308	8079.71869	4912.0858	6600.5533	5360.70416	6588.12088	5853.1032	6581.94183	6455.81808	5097.36773	7066.76976	7519.11963	7471.50695	5983.36435	6082.81056	5091.37636
3300	3600	5292.81122	6917.00549	7482.07676	5811.24939	5976.15509	5684.25339	5837.93057	5532.2723	6264.82269	5399.71665	5938.12803	5959.83333	7814.00243	5045.71485	6610.20333	5278.47227	6523.70728	5327.12085	6312.68031	7023.69721	5136.48945	6690.4607	7524.65827	7463.26326	5325.96931	5193.50894	5746.35837
3600	3900	5026.39872	6305.25665	6492.31107	5338.2833	5385.87866	5478.30678	5447.74901	6252.11861	5320.74826	5391.18742	6352.09067	6011.69729	6897.5704	4983.87886	5749.95213	5172.4979	5727.17193	5415.19001	5822.80294	5943.42143	5087.54272	6589.52802	6688.87207	5368.61877	5908.50268	5432.76507	5038.41883
3900	4200	4613.00497	4981.5824	5362.31824	4902.70764	4634.23309	4918.25303	5192.82791	5516.91663	5806.91178	4942.22708	5054.75288	4509.60716	5583.10763	4533.55234	4877.25077	5207.80133	4967.40392	4642.9512	5050.89489	5865.02414	4515.70311	5469.90421	6022.87374	5772.42629	4827.39788	4259.31996	3182.41749
4200	4500	5246.15127	5644.89099	5616.54479	5276.61023	4591.22253	5247.19002	5428.49715	4737.57119	6099.34791	4312.98583	6162.40707	4795.10497	6613.06173	3952.91164	5922.57987	4287.18177	5788.78155	4422.8118	5873.62465	5569.42719	3770.98109	4930.83777	5061.59305	5545.33455	4582.95473	5029.29921	3866.34396
