frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	100.72907	74.56008	79.03846	155.66434	141.27149	147.6745	192.84224	111.31879	95.03747	79.31138	71.51032	156.89393	45.71147	111.78446	61.42856	116.18828	58.21668	87.32652	92.03032	81.83602	62.28938	169.84861	138.0103	92.86018	51.46704	35.56872	26.10085
30	60	4309.07642	6375.04663	5479.29754	5851.64014	6002.45056	5369.75993	5856.49119	7344.52279	6322.68872	6490.91225	6069.68475	7846.59605	4669.41277	8578.01876	5368.48328	7144.5057	5292.12894	6897.48824	5896.48883	6795.71537	6396.0693	8102.30156	8412.16138	5822.23237	5061.99062	6327.05427	6224.87077
60	90	11058.35145	15689.13694	15397.73117	14301.26487	17072.33327	13037.55111	13452.92733	15825.23112	14924.32645	16662.2567	16117.25986	16400.21528	15379.18692	16177.56323	15550.842	15508.75012	15193.26617	15437.24914	15193.70771	17361.07041	16473.10005	19363.7043	18282.7666	17929.7617	16284.98645	14285.77581	13792.17177
90	120	20707.46159	22455.87999	25426.95859	23919.13911	28218.02628	22639.48611	22566.29592	27497.92592	24531.80482	27371.97157	26351.84503	27144.52792	24932.40169	24393.92082	24610.18083	25089.0498	24184.35388	26914.57154	24418.67394	28645.07883	27158.89287	31926.82148	28085.75879	24445.62573	23102.69516	24026.82394	28152.60395
120	150	26958.06554	31393.77235	31661.47109	29883.06033	36997.88934	29796.17687	27252.94774	31644.97754	30769.25939	35001.32528	35030.89056	32468.89952	32520.71007	28712.0343	32939.69067	28891.77653	31271.97649	33944.92812	30944.66342	39117.60676	39960.72708	44282.86719	37952.86523	41160.81676	38748.1894	34995.48214	34931.51888
150	180	21966.91211	27580.99306	33616.41414	27419.29601	35027.72204	25723.40929	26507.19332	31668.8544	30948.54372	32179.75705	34796.57727	33168.84975	37035.45168	28214.21645	33168.77613	27264.58187	32851.92137	31223.74096	32143.03354	40327.20951	37004.52713	40346.01094	36057.51953	35589.05012	33285.05163	36748.08873	32304.74371
180	240	23620.08789	28363.30317	34160.60547	28552.83442	38449.64494	26994.28385	30267.77775	32276.04315	34127.95343	32431.69993	34992.96033	31560.12876	35866.42086	28725.03681	35915.48471	28013.66838	34984.59787	31921.74124	34407.35731	39161.90814	37193.56027	33596.44063	31206.69336	34290.08472	33429.25361	35366.80385	34565.37956
240	300	20966.63433	27969.89822	30093.21484	24445.92556	34025.59121	23541.83095	24374.99971	27904.32975	26617.20127	31471.56712	30793.32794	28737.96347	31999.73734	25860.42803	29243.3121	25495.19889	28732.02561	29336.23415	28240.34518	39524.24911	36214.42015	35397.6875	31694.9502	35648.52103	33678.23538	36163.16239	31011.50195
300	360	20677.23698	22267.54145	29629.06609	23643.53689	31404.7498	22809.95768	24741.42269	27476.24456	27085.02148	27946.76631	29021.64148	25941.61212	28803.09997	23558.64358	28323.31762	23344.19385	28087.92101	27330.02712	27438.49223	35321.03229	33703.50843	28021.94102	25158.9502	29391.73769	29531.27178	32503.79102	31116.20356
360	480	17667.97461	21447.26237	25654.10617	20748.75955	26721.7144	19462.93967	22854.82267	23795.14328	24467.50682	24511.55596	25737.09131	23540.56127	25528.2019	21429.27329	24707.61685	21410.70117	24925.89677	23455.92533	24786.26213	31510.97474	28456.46279	25518.24258	23848.27637	26063.37022	25676.79883	30112.43806	26168.5421
