frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	321.71311	1652.44722	394.67217	478.64201	389.71891	213.57756	1034.96628	237.94703	444.807	714.4022	313.52281	822.3774	266.90049	579.1906	301.16632	680.82641	352.70252	439.89174	446.86256	619.07973	686.48766	511.19041	689.14557	737.58156	810.36952	1439.15053	1047.62562	424.96198
30	60	6678.24356	8561.0893	6225.78712	6220.73984	6643.99146	6100.18631	6453.98919	4876.92079	6263.59677	6022.69199	5521.34266	8156.32768	5595.23929	5794.76723	5813.166	6350.9068	5913.68473	5289.83746	5903.89841	3843.65666	5641.23921	8242.99944	7693.8916	8099.45347	7178.86724	6897.57406	6658.57343	5976.53536
60	90	12930.18776	13019.60419	18021.40245	16219.73172	17558.31091	14381.8579	18126.3418	14111.35282	17363.86737	13110.18076	13390.79902	15701.06262	16979.63371	14881.47645	17903.29767	14392.27805	17739.03061	14065.25637	17056.70044	13492.84655	15808.39728	13599.12162	13377.51237	12656.61305	14138.68835	14361.72565	20535.97392	13982.40661
90	120	25502.2234	26343.72867	30337.12498	25473.99147	29201.30019	25272.33858	26482.57564	24950.81356	24448.70073	23862.83382	19186.30417	27568.56982	26984.71514	25453.27944	26395.11871	25549.34328	26184.5289	24414.66924	25083.1076	21810.06669	26749.18718	25429.82708	24820.45573	25284.02022	28596.51728	26247.64537	27844.58	23501.52611
120	150	31819.5123	31986.94636	41655.81441	34214.59843	35917.77426	32334.81265	36771.75568	32715.67765	34520.09318	30877.17485	28917.39418	38392.62622	35340.21169	32474.25612	37166.66208	32355.60417	36766.58126	31531.71978	34752.77487	30655.99099	35775.56223	38498.52581	34215.52962	33408.29056	36531.3785	29915.17338	40505.59652	29627.25463
150	180	35435.84876	32176.79905	42729.06373	38856.94167	40878.09282	37593.81947	40003.77587	36101.41819	41170.64399	33263.22442	32701.04542	39814.2806	38267.27301	36093.51325	41972.80393	35530.28173	41458.20056	35386.74211	39478.16926	32048.14375	35027.80645	38256.51758	33646.23438	36334.51654	36374.14943	31309.6773	38208.83765	29848.25817
180	240	36525.59554	33449.80702	40051.59697	38703.05755	40054.94139	40027.95588	36270.24803	39334.02112	39949.26911	35806.29153	31394.30177	43010.54032	35553.71711	42405.95142	38655.39313	40556.10868	38255.71669	38863.58633	36225.60673	32896.56228	35807.2396	38317.57408	35474.32422	35023.8588	36421.46106	30277.86196	36510.00456	32925.13158
240	300	37348.55094	34405.39506	40885.98637	40096.40154	39898.5901	40015.15121	37720.64535	40102.31381	41923.67398	36532.49483	33347.9139	40318.86926	35828.97888	38501.54277	40301.68839	38280.74592	40161.91235	38198.46423	37940.51648	35701.59144	35258.92871	37473.55301	35215.63216	34684.19405	35908.67523	30262.80596	35276.01668	33582.38014
300	360	35298.7195	27688.74684	39409.71939	38100.17153	37625.99943	37740.7814	35164.02944	38075.77291	39344.25521	34165.277	33933.59365	40376.38432	36958.89512	38854.92577	39705.48544	37469.92731	39322.25027	37135.67626	37390.39852	36688.7508	35118.94689	36711.524	31766.09993	32223.60248	33003.77329	26683.6233	36656.882	31441.74978
360	480	33139.08708	29027.08864	37046.92383	36496.78621	34580.40466	37145.23974	32633.47944	36932.26067	37230.26975	33242.10784	30331.78693	37087.78931	34615.70946	37341.48786	37226.41149	36544.45572	36620.44086	35901.43636	34604.06412	36117.32619	34389.28445	34605.10575	31056.73796	33610.11363	34810.7289	28404.99028	37406.4637	31496.90256
480	600	31421.29157	26543.36726	33463.5833	34033.7446	31751.71493	34201.35637	32177.41961	33986.89795	35240.94808	31589.67669	28210.95801	35012.88464	31761.53218	35593.51102	34397.54131	34102.7635	33927.76328	33884.71014	32533.96035	34063.50367	32968.9775	33671.95801	30878.76465	31080.47415	31311.54967	25571.02542	34177.64819	29651.55621
600	900	26409.21445	23209.48238	28334.84284	28309.16735	27289.1878	28936.46621	26651.05649	29125.88381	28899.26891	27066.26179	24415.03489	27504.27389	25795.32996	28355.04526	27971.8003	27952.44141	27940.36789	28424.62137	26979.58212	30397.41669	29243.20528	29179.86447	27985.03418	27703.65993	27580.23743	22322.34615	28831.65031	27171.14193
900	1200	21058.66024	19882.48073	24121.96198	23222.92238	22135.13111	23822.80939	21810.05254	24951.70691	23799.67003	21983.05094	21248.68242	21007.01485	22506.76042	22596.94851	22941.53624	22533.73745	23101.48126	23276.85893	22661.91739	26877.25891	23581.57898	25618.96526	25637.48405	23901.83548	22693.77592	18958.91936	25065.83993	21742.73242
1200	1500	19115.62088	18118.14044	21658.1699	19701.74316	18351.30906	20202.5094	19438.51547	20202.41353	19866.54195	19031.40394	18135.52127	18591.05407	19920.97381	18900.81682	19957.46013	19001.36557	20086.84918	19472.90078	19697.02473	21500.10334	19522.9842	21027.1642	22655.1224	21681.19083	19609.51457	17830.55697	19813.00338	18383.12789
