index	name	volume-mm3
203	parasubiculum	47.0
211	HATA	64.0
212	fimbria	84.0
215	hippocampal_fissure	143.0
226	HP_tail	721.0
233	presubiculum-head	143.0
234	presubiculum-body	144.0
235	subiculum-head	216.0
236	subiculum-body	255.0
237	CA1-head	664.0
238	CA1-body	117.0
239	CA3-head	108.0
240	CA3-body	94.0
241	CA4-head	143.0
242	CA4-body	131.0
243	GC-ML-DG-head	153.0
244	GC-ML-DG-body	138.0
245	molecular_layer_HP-head	360.0
246	molecular_layer_HP-body	222.0
7001	Lateral-nucleus	805.0
7003	Basal-nucleus	561.0
7005	Central-nucleus	45.0
7006	Medial-nucleus	5.0
7007	Cortical-nucleus	16.0
7008	Accessory-Basal-nucleus	298.0
7009	Corticoamygdaloid-transitio	220.0
7010	Anterior-amygdaloid-area-AAA	35.0
7015	Paralaminar-nucleus	44.0
