index	name	volume-mm3
203	parasubiculum	46.0
211	HATA	66.0
212	fimbria	75.0
215	hippocampal_fissure	142.0
226	HP_tail	627.0
233	presubiculum-head	150.0
234	presubiculum-body	177.0
235	subiculum-head	223.0
236	subiculum-body	227.0
237	CA1-head	625.0
238	CA1-body	116.0
239	CA3-head	86.0
240	CA3-body	94.0
241	CA4-head	130.0
242	CA4-body	112.0
243	GC-ML-DG-head	146.0
244	GC-ML-DG-body	137.0
245	molecular_layer_HP-head	330.0
246	molecular_layer_HP-body	231.0
7001	Lateral-nucleus	737.0
7003	Basal-nucleus	514.0
7005	Central-nucleus	45.0
7006	Medial-nucleus	7.0
7007	Cortical-nucleus	34.0
7008	Accessory-Basal-nucleus	307.0
7009	Corticoamygdaloid-transitio	193.0
7010	Anterior-amygdaloid-area-AAA	43.0
7015	Paralaminar-nucleus	44.0
