frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	0.46511	0.15038	0.12572	3.15827	0.13073	1.23249	0.15255	3.55325	0.39846	1.69299	2.45745	0.08106	1.18309	3.99318	1.19755	0.63308	3.12728	0.23173	0.0419	0.335	0.27042	1.51655	0.67084	3.61389	0.53029	1.29116	0.8651	0.13774	3.03781	0.54632	1.06947	0.72618	0.74692	0.88213	0.05649	0.95611	0.19636	4.599	4.22576	2.15255	3.05135	1.43035	0.02743	1.10641	0.73534	51.41973	8.29671
30	60	280.89824	172.92211	590.29088	88.58598	792.97364	195.89997	660.89074	202.10101	193.28688	185.56966	129.67974	45.89258	157.74764	181.107	226.63442	374.15161	265.62344	232.32467	81.81471	318.13842	334.99481	121.82202	210.69114	246.38042	225.01383	264.20703	242.58397	803.83842	475.10572	518.61248	536.33857	218.02452	218.66817	340.19648	110.26678	210.54889	192.8015	290.42358	563.48022	226.14825	403.00241	338.2304	261.6939	176.85267	203.9666	107.27271	183.46399
60	90	6181.99569	5443.55191	7399.28711	6875.6295	5630.84892	5970.55572	5357.31728	5873.224	9220.37247	7559.52459	6947.70866	4706.56794	4546.56614	7715.64632	5956.61855	5522.72741	5419.60138	5200.03223	4329.98358	5874.99988	6942.99654	5011.49188	6365.65163	5184.24715	5791.61316	7086.13627	5535.35462	6223.24097	6444.43259	6054.06981	6253.97482	7138.92881	6950.71312	7560.05712	5445.31699	7211.41187	5700.77276	7202.40038	5823.59342	5453.76257	5288.54116	4905.54277	5326.12472	5423.15154	6290.97057	6207.63013	6258.52036
90	120	15093.13281	14072.87901	17748.12876	17087.72347	17710.8358	14165.95624	17074.44716	14063.11426	18862.24767	17829.14122	16775.51361	11175.93597	13236.59522	18395.70438	13591.65561	15338.21233	14319.31506	14273.48727	11532.60352	15374.78597	17008.7287	12058.77966	15065.93734	15756.46305	14342.70642	19679.29072	18998.77773	17815.28698	14756.49197	18221.76073	14800.91839	19424.8173	18417.59679	16622.22118	12728.24648	15593.71436	18089.24214	19783.55939	13771.94925	15274.01873	15809.78423	13574.82258	14265.13574	15353.10077	16681.01715	10202.17578	14777.57043
120	150	29374.49054	27953.43087	32862.23428	29306.38679	25687.76805	26235.71943	24422.67379	22611.94043	35400.59578	33335.65811	32901.91236	23741.28962	25115.74442	30890.77055	26145.67779	26017.12505	26373.04106	23648.7607	23203.8689	27685.41575	28256.57001	18911.23975	24877.16681	30172.42342	24926.59066	36121.80349	31020.64336	29327.26589	26652.14537	29385.28593	25583.78711	33778.82489	33046.3349	29902.55106	25215.33516	31448.03418	28115.94943	35237.37812	25731.55232	26371.40777	26624.21693	23184.60609	21867.28041	27120.30585	29705.33239	23747.02832	27911.08936
150	180	32508.31772	32116.13514	36939.44111	36467.67982	29331.30967	29950.90355	30866.90725	27465.33252	41005.80992	40346.09526	34503.86799	28699.01562	28399.58374	44003.77631	31887.35982	32775.40827	32775.35089	26774.3642	29188.39868	30868.5771	33640.01762	28053.86523	32360.41755	33523.84692	32170.26884	41300.96815	40723.41808	32174.34615	34045.8648	33512.23445	32476.73019	42400.25194	40650.6549	39391.97888	29963.30117	36648.89258	41691.39374	37418.71471	33837.94754	34933.81193	31894.86782	30242.98013	30945.67606	34027.14907	37639.51101	25928.61816	32707.51712
180	240	39694.87868	37465.48608	43175.38506	42455.17764	36860.3486	32896.8159	37331.06152	29872.62109	47161.35789	42981.28043	38979.61406	30667.73689	32521.00124	45585.10914	36489.77518	34441.12509	34135.97478	33021.63098	31877.10425	38989.05628	39928.77037	27693.74268	35638.09141	37104.28366	35802.6566	45343.79117	44003.18085	37924.38503	35231.16608	38176.35307	32431.44559	48116.97571	43727.51497	42770.76231	28997.36719	44262.19531	35196.75572	45001.29072	35224.99653	35115.40481	33786.0439	31312.41564	32300.73884	36312.13706	41276.1127	25646.68945	36931.55975
240	300	36361.2059	40255.83405	39710.81846	45010.82336	32870.82779	33593.16371	37495.16854	30091.9917	47217.31996	43300.52582	37276.87513	36417.90792	34172.41215	49028.16224	36621.42219	37667.82911	34272.16969	33293.19558	36469.55566	38303.84481	40114.14607	25333.92822	38515.43248	37105.43857	37494.88262	44037.85006	45858.00583	37049.70401	34700.9932	39965.55962	31125.9255	47224.55733	43939.58257	37961.5824	30165.26328	45061.27734	41120.22926	48124.80446	36369.71117	38683.17648	35481.82947	34374.4908	34347.95647	40434.25748	42236.91031	28695.52051	38556.28524
300	360	38176.26908	39057.90343	42947.15449	44545.71721	35822.7174	33471.85108	36914.81823	27922.6792	46179.3633	41566.34692	38662.57344	32927.10826	35959.13225	46078.34978	35210.10053	36426.91087	34277.09369	32626.96474	34357.18042	38898.15389	40070.71012	28509.14258	36295.63719	33802.99046	40473.12109	45201.45312	45352.42406	38717.2255	30547.7343	41247.09499	31176.2832	47296.59281	42778.98001	36567.17206	33311.22617	47634.07031	40078.14727	50145.97685	33671.24939	39699.30123	35276.5041	33957.63961	39966.63895	37144.36118	43041.84149	28624.72656	39493.40842
360	480	35114.66313	36173.37441	39369.92441	39312.77771	31642.22905	31888.63635	33584.27795	26874.0376	43926.3452	40157.78775	35836.33023	30634.91574	32818.54898	41810.29917	33098.22291	33941.35336	31855.96672	31887.01321	31719.31934	36954.74156	37187.53923	27245.61084	33881.84776	33166.64851	35371.11917	43731.63972	43061.34162	34671.67045	33474.58207	36684.35155	29318.80441	46780.18391	41626.09068	37203.96718	29719.49414	44821.60938	36381.17448	45196.23764	33804.8896	35663.31948	33252.06647	31724.22414	33583.2168	38011.08599	41159.1552	27428.19238	36134.59427
480	600	33491.63189	33810.45009	37850.01943	36481.90021	31766.04061	28487.82781	31178.69585	26681.83203	40817.30863	36326.12564	32553.80787	29796.56055	30059.01634	38848.24373	30258.49094	31414.56634	29566.79871	28244.86906	30708.20898	33689.93865	35188.86211	25811.3418	32150.79091	32413.11526	34134.10938	37389.33248	39204.40743	30225.0981	28633.49254	31296.40056	26481.14565	39808.77259	36133.78688	33217.72975	27977.47734	42358.04883	36023.80352	38841.61429	30750.51646	30937.47808	29270.84865	30244.67087	31604.57227	34104.57288	36240.4435	26859.01465	32457.928
600	900	27864.48383	29518.59167	29517.05586	32175.69829	25091.4181	25313.22887	25476.77499	23089.35791	32733.9073	29737.27024	28048.75911	26812.10212	27279.90689	31880.39478	27402.48894	27487.58623	24657.58948	26875.78481	28533.00562	29363.76361	29563.91438	23472.38281	27733.53812	26723.56962	28785.72527	30872.56415	34464.34646	25683.71005	25659.76663	26941.36599	23799.21401	33274.08732	30041.38736	27774.74585	26367.97656	33073.08789	29910.55999	33487.95324	28626.87097	27260.84615	26423.08508	27219.44696	28665.09542	29980.37202	31112.85693	23881.47949	28542.75769
900	1200	21889.21906	24665.72281	21980.21992	25431.6274	18576.57826	21452.40339	19183.54624	18347.5957	25629.61106	23219.96468	22848.71928	20802.5332	21330.99234	25182.12691	22260.01757	21635.03828	20118.78715	22463.19114	23023.37842	25219.819	24042.23572	20327.60205	23548.25515	21852.52756	23828.29376	23888.97191	26303.11372	20230.41087	21847.19921	20875.13536	16623.0106	25843.20677	23626.38625	21663.06884	20738.35938	27009.03125	23673.38351	25145.72198	22066.04585	22633.98641	19734.49692	22264.75036	22730.94029	23903.39813	24792.4926	21175.51758	24018.91005
1200	1500	18883.67141	19888.63411	19096.76963	20111.43762	16898.58927	18785.03765	16740.86968	16417.87061	20983.4826	18685.13498	18682.29948	18715.78153	18111.89893	19511.26926	18723.72018	18983.79398	16691.91671	19915.76356	19487.33325	20600.45449	19729.68228	17741.7439	19158.74967	18610.59216	19404.17036	19430.0924	21146.0043	17020.10094	19010.27336	17515.8739	14070.68945	19267.7452	17900.24719	18412.44036	18144.94492	19735.80273	18643.37247	20854.29094	18453.0536	19755.2996	17382.77571	19410.69501	19955.22824	20392.02217	20675.70723	18645.4043	20838.05307
1500	1800	17080.41094	16556.78599	15711.40254	17492.60881	13334.16376	17195.0995	12753.72403	14252.88672	16827.19958	15090.58895	16738.41434	15388.71247	15157.87898	16524.89517	16646.43815	16038.00646	14445.66205	17053.69007	16626.1449	18322.6953	17141.78807	16292.3291	17331.8979	15599.73577	16034.2076	16505.42037	18163.09663	13073.7286	16653.20864	13942.29182	13247.74079	18013.27368	15806.28427	16607.91403	14708.7334	17106.47168	16508.81143	16771.9345	16339.95809	15990.74193	14154.39971	17049.852	16072.64286	17773.63037	17503.15659	17069.04639	16842.68387
1800	2100	14615.63504	14420.91313	13644.33452	14862.41303	12136.67932	15296.73442	13372.28357	13150.86011	15084.26429	13708.53809	14680.15874	12687.46596	13494.99333	14283.44954	13355.41107	14766.34839	12266.13201	15713.95015	13657.92285	15884.52464	14897.4017	14225.65601	15338.48268	13991.57649	13986.59419	14604.92653	14985.53602	13828.7282	15214.73209	12450.51447	10282.38072	14499.21177	13487.77012	13614.88009	12867.3832	15081.23633	13805.07706	12963.70177	13538.40453	13854.39053	12130.07903	14371.29908	13829.03725	15323.2308	15256.58336	15116.19824	14842.50464
2100	2400	12016.58327	13923.55996	10687.51357	12277.32757	10202.44531	13596.88654	10314.37641	11570.27979	11568.12123	10964.58922	12753.9309	13375.27651	12257.31759	11470.2647	12485.38129	12644.55848	10749.87632	13249.48487	14266.43604	12921.73861	12239.41741	14307.68835	13457.84121	12040.75815	12110.33126	11259.71965	12925.04068	9406.06152	13456.6607	9588.78046	8310.16902	11293.48089	10780.33767	13248.21435	10872.29707	11951.40137	11098.58126	11150.20922	11556.99241	12834.25476	10404.22884	12949.94	11976.31124	12782.76297	12410.36827	13399.11084	13268.27934
