frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	447.4716	419.24458	155.72417	540.36854	409.18913	322.23432	267.26128	503.43531	358.87232	540.14193	270.48415	196.94202	125.26188	498.31645	187.74823	532.34841	209.86445	547.72815	230.20521	286.69379	548.96659	388.87576	530.20384	452.97983	375.9409	529.95914	313.03461	915.08736
30	60	8012.38338	6804.10911	6808.95555	7958.8492	7928.78834	7039.11895	7056.35727	6823.1927	7289.88166	8224.69751	7089.43269	7486.20816	5867.39158	8052.20039	6528.54763	7972.62976	6651.12807	7980.37886	6709.90482	6737.91729	7287.45048	5855.92056	8202.00092	7742.02731	6780.21128	7386.04008	6114.16916	8195.50647
60	90	11676.54689	17488.08367	15192.0394	16129.56657	16757.0213	12688.88871	15370.559	14264.0496	17081.03484	16612.88034	15874.67936	17100.53206	13272.4053	16928.31065	16184.38759	16790.55323	16132.97377	16056.99536	15658.90252	14401.86075	15377.64248	14274.72201	15918.63422	16533.68923	15437.18464	17841.73317	13963.6189	17716.04116
90	120	16564.61411	25784.29063	23391.77741	24184.89357	25109.14852	19353.04455	25278.42301	25316.79414	25484.13174	25778.163	22987.74365	26060.06155	19153.99012	24569.89938	24044.00965	24441.89383	24246.93837	25639.75501	23719.1892	23094.26565	24931.19388	21719.95567	24529.9137	23417.66621	24090.72349	26172.56264	21765.68347	27654.26635
120	150	19808.13344	34388.22389	31626.83324	33593.19001	35078.57342	26877.65249	32496.96332	30031.40728	34367.06623	32616.02617	32747.11175	31901.2657	26453.09598	33589.59717	30764.81294	34092.05673	31535.62344	32962.17264	31531.97676	29499.82153	28770.76272	30320.79221	32433.80981	34608.33958	32847.92301	32432.92896	22216.15088	29046.5094
150	180	20528.96903	34457.18088	34468.1892	35079.01495	36667.94438	26542.19234	32702.74785	28769.97806	34720.69553	34608.36068	36066.65756	34680.32204	31820.80318	36652.44494	34784.93081	36230.32922	34997.62485	35034.56149	34539.26996	30375.51422	28523.74617	32138.32053	37344.77136	37969.69779	34171.73841	34594.42447	26161.77124	30326.95247
180	240	21157.21688	35817.72456	35249.38137	36882.81305	35776.40977	29057.66974	33969.27697	33282.93913	36596.13651	35773.65266	36755.09585	35216.78811	32091.40857	37756.50239	36309.22293	37561.62941	36648.0795	36962.89806	36014.01045	32424.99902	29223.26351	30096.08816	33281.73523	35600.02422	32687.00448	32368.92431	26283.30646	31596.91949
240	300	18564.12645	36592.61023	33520.02375	35813.71024	36426.42933	26485.65875	34711.95054	33135.35141	38010.1124	35836.61016	35818.30968	32490.03541	30339.50929	37557.12697	35681.5538	37170.29962	36120.12489	36390.68863	35463.89518	31244.91197	30970.21903	30488.85145	35549.82983	38196.17174	35035.37275	35217.90022	27768.58112	31037.14352
300	360	17669.96267	31463.18645	32046.25092	32382.8811	34644.721	23913.63697	33332.12073	28997.27724	35789.19593	32811.95236	32137.7687	32524.42543	28508.8228	34842.76554	33778.98873	33997.14804	34079.24613	33164.34095	33166.96087	31941.05372	31475.48586	31408.16905	33060.30383	34226.54043	33630.70388	30938.09752	26353.51941	30565.19654
360	480	17473.35195	30215.97042	29600.10695	31403.63308	30166.51833	23948.6987	29163.10125	29101.96486	33079.67341	31381.26674	32408.55563	28195.2805	27538.70271	31563.83424	32349.08054	31380.9086	32333.31058	32026.72007	31528.85776	30185.41362	27403.15324	29865.76562	32169.5769	34829.61693	32287.60962	30690.26547	24227.04321	28089.06301
480	600	16820.1002	29388.98857	26717.41582	27800.80346	27450.38765	22495.32377	26954.82229	25197.10682	29766.97065	27257.14765	28552.18604	27690.90395	25281.3993	29087.43664	28123.09696	28611.3866	28481.94956	28173.89043	28085.13357	27260.88423	26361.1208	29954.7411	30613.0697	32815.27253	31927.93957	29959.15473	22875.5119	25418.97193
600	900	13863.42928	26152.70837	23276.78488	24321.72237	23646.4013	19300.37776	22821.72754	22821.04986	24806.31312	24715.93784	24535.97542	23472.64203	21896.77573	25474.81302	24129.83963	25422.93502	24296.62375	25038.99423	23880.58048	25113.20351	24237.95996	24719.50255	26564.56714	27530.00339	26161.06482	25615.0497	22875.00287	22509.864
900	1200	12814.44609	19947.32236	18931.7048	20313.96605	19629.65576	16670.54355	19935.97541	18897.30226	21029.69113	20464.82713	20696.81729	20096.99064	18323.31197	22061.29403	20055.3149	21461.60137	20316.39085	20957.45659	20298.5747	21888.00363	21628.39699	20960.9962	21630.31067	22044.53509	22641.24806	21230.44354	20492.3158	20089.36155
1200	1500	12601.99512	19021.28473	17780.73242	18841.0344	17797.1811	15934.01624	17831.33258	16380.26396	19801.5822	18949.66734	19905.84256	18225.94028	17361.39824	20199.2216	18752.50493	19512.81209	19011.11847	19216.79491	18941.71674	19742.48854	18442.73132	18270.08469	19951.09302	19791.55651	19860.00333	19377.79324	17781.05469	17657.47537
1500	1800	10989.36602	16439.4849	15895.22866	17517.92161	16852.663	13725.6883	16229.79257	16165.18457	17466.75925	17797.343	17925.94217	16701.07632	16118.24026	19119.48487	17097.74692	18694.90218	17271.97917	17871.54789	17327.10816	19112.01211	16987.52872	17022.51503	17660.2995	17015.74987	18254.92693	17370.72766	17402.68893	15446.07024
1800	2100	9643.70931	14954.2102	13640.83887	15524.5759	14926.14219	12902.59016	14452.65986	15881.97271	16376.43893	16202.90295	17498.16007	14187.03492	14377.59844	16259.31059	15110.72743	15937.64654	15466.74123	16380.76722	15758.79672	17228.75937	16263.53218	15485.94322	15762.29718	15387.90579	17322.58012	16312.34906	15742.72983	14430.76584
2100	2400	10491.45948	12796.48883	13734.86316	14977.40185	13428.60519	13111.04438	13323.2202	14358.1966	15477.833	14898.04582	15644.26808	13112.61994	14252.7739	15665.43972	14853.06017	15380.46241	14940.67806	15136.26185	14806.22052	16601.72341	13932.98596	14550.40066	14067.33917	13348.66315	13259.22926	13021.51479	15519.85886	13298.94723
2400	2700	10727.4554	11154.58922	12335.26809	14006.50858	12745.3948	12441.69018	11913.51237	13557.9642	14046.57117	14143.61655	15830.95068	11989.62536	13523.61807	14495.25399	13791.58565	14106.59816	13941.99618	14471.49776	14037.88934	14936.96874	13399.11924	13390.8205	12495.8562	11652.64603	13004.01674	12108.69922	13480.73459	12376.4401
2700	3000	8390.0742	9731.24864	11864.71084	11746.20734	11661.75609	9620.18561	10706.4254	12324.64972	13130.33409	12718.76283	14149.30723	10649.55509	12602.07337	11341.70897	12597.38614	11386.68134	12727.41567	12419.21858	12720.80608	13722.08535	11991.59227	11927.08591	11861.54083	11395.5401	11189.89267	10457.80878	11896.02872	11987.30107
3000	3300	7913.21135	8973.23152	10823.64954	12320.48235	11721.24918	10039.59126	11028.16671	12438.44382	13381.63794	11841.20766	14162.7819	11052.24479	11919.11081	12568.27219	12979.4983	12288.55641	13097.88108	12241.12997	13032.22091	12508.66367	11437.34426	12142.32243	11580.04108	10846.11305	9887.76693	9324.02219	11769.54156	10755.59661
3300	3600	8122.05273	9633.28154	10075.1678	11343.75358	10726.06148	8940.48759	10286.98808	11336.09436	11946.41565	12265.13996	13110.92524	9990.31815	10948.90291	11970.47149	11293.25599	11653.67928	11513.93753	11880.81199	11685.61168	12865.41127	11350.92439	10993.32932	10473.09732	9982.64098	10914.15799	10318.7572	11925.41177	10177.47978
3600	3900	7197.12891	7618.29546	10884.28663	10336.21247	9440.17958	8845.49986	10191.6366	11106.76431	11893.68132	10463.27101	12705.86922	9562.99594	11171.12493	10822.248	11088.59089	10394.1303	11410.94742	10743.75844	11534.87719	11196.89571	10832.56526	9778.22586	10147.19971	9352.47332	9581.19941	8779.47075	9308.33859	11067.75423
3900	4200	7652.78404	6923.58096	8723.54611	9880.71419	8815.60764	9037.93738	8867.76392	9976.56123	10644.39722	9840.49728	12245.44986	8499.7814	10076.15433	10209.34942	10518.03904	9833.25912	10679.87095	10103.03477	10727.28413	12017.21536	9999.4653	10647.81627	10095.85812	9727.26292	9400.87756	8058.16161	10857.47824	9756.89044
4200	4500	6570.47547	8801.82521	8299.96181	9863.78766	8499.14657	8245.96912	8717.08563	9617.72329	10679.56189	9955.00936	11307.02337	8156.98407	9002.59178	9177.8179	10003.46021	9338.75614	10107.03537	9667.79812	10081.24352	10219.19845	8752.1552	8988.34791	9588.40213	9240.84263	8936.08529	8905.76443	8621.632	9106.64531
