frame_start	frame_end	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
0	30	32.13625	57.94594	46.9693	43.97311	29.98144	68.47617	88.1356	73.47603	17.85626	28.00999	61.65989	89.90644	96.83293	14.35478	96.48784	62.29273	131.2015	22.56621	46.67555	142.40455	76.1894	77.04245	36.19475	58.2106	132.43423	76.72608	83.44933	59.26498	81.44886	88.76273	74.4861	37.75134	165.15478	47.79086	57.93867	62.31865	29.77576	22.82263	24.41119	76.61208	77.59542	32.67624	107.31153	46.74462	60.65034	49.08762	69.3069	74.72717	65.03761	37.10156	116.54233	68.79253	107.19389	42.68595	79.38975	84.87604	45.88117	54.94024	67.48754	48.40213	65.2066	34.37494	66.49655	44.05795	59.72596	44.24215	54.1579	62.06657	29.31682	75.1241	26.9717	63.91177	67.17817	60.83837	48.36998	38.91116	105.47136	52.70443	58.51276	59.89607	119.96662	42.03686	93.80817	39.93978	104.5436	48.94122	77.5568	56.07905	35.88357	86.52001	78.88798	57.65749	67.80524	43.1274	52.18239	58.94955	40.05495	63.99459	64.41204	47.31076	47.69697	59.32775	32.80541	203.87316	49.49501	72.5915	24.05941	50.57317	77.93355	32.86577	90.25877	51.93061	49.29369	42.22262	35.76313	64.80734	62.75485	33.50493	68.83904	61.57159	129.1637	47.26919	65.20941	71.34601	36.16506	48.38732	71.41561	34.55672	65.15491	27.09096	33.30284	41.46935	57.35147	54.70817	49.63738	60.68357	33.29378	67.20833	18.29068	78.71289	54.76367	26.25076	42.03653	26.66987	151.58858	56.1068	50.05222	74.26521	72.37918	48.95932	88.41684	61.83928	86.91545	62.89766	59.50027	48.99714	42.35454	58.98957	62.1339	63.25252	68.35861	40.24259	44.83956	57.79523	30.32208	61.4391	69.77462	39.61694	53.23301	51.38865	62.15233	235.2697	43.00469	90.20121	50.72529	54.58568
30	60	2174.46476	3546.95529	2412.97222	3323.60133	3780.87448	3454.55921	4343.09749	3276.35624	2887.43672	2368.42512	3005.09986	3640.21793	2630.04294	3935.34753	4350.73719	3342.94969	4633.07275	2855.86318	2116.46326	2098.73555	2651.55993	3368.73471	4006.0677	3286.11919	4469.81216	3108.82395	3188.68692	3116.30918	3121.65525	3718.80502	2995.218	2718.05686	4061.89687	1596.4674	2087.58892	1694.582	1742.72544	2280.24733	3768.86731	3617.06437	4135.81946	4683.07404	2952.01204	3340.32484	3402.83306	3129.8677	3887.36071	3413.95028	4019.09376	4028.67379	4046.07894	3310.26972	3341.72318	3851.03597	4106.70196	3495.40294	3964.64783	4522.5126	3562.86949	4056.36174	3657.85314	4503.40817	4387.94492	3705.83722	4071.28678	3412.49207	4041.50554	3806.25335	4215.73158	2543.93491	4910.3871	3764.42094	4004.90463	3830.97947	3829.58867	4389.11828	2630.10968	3484.89116	3499.83008	3152.2115	4050.70912	3486.58923	3834.58684	4175.29136	4058.42229	3498.51488	3375.00993	3903.30464	3576.26226	3799.72734	3845.3408	5285.71034	3476.22073	3843.20793	3482.19566	4257.14123	3949.94902	3647.27937	3970.94539	3335.07659	3826.17047	3706.66582	3818.71604	2626.03575	4622.92879	4012.37874	2439.65192	1887.46148	2728.07317	3830.19051	3026.30294	2838.12891	2847.27135	2730.98209	2575.23713	3032.59213	3029.20043	3427.66837	2880.15687	2996.92838	3323.97551	2925.51102	2870.96679	4211.50695	2886.69432	3460.15735	3375.84384	2440.12049	2622.37751	2795.97684	2512.66827	3008.42537	3003.91644	2706.40703	3069.38047	2923.27302	5026.59061	1937.63321	3370.08935	2888.04281	2467.23031	2158.06586	2857.63322	3874.63994	2525.10635	2835.34907	2702.18186	2462.32855	2293.47599	3086.32795	2981.09527	3430.68882	2780.61787	2925.16655	2739.29498	2777.30263	2508.05033	4019.98383	3152.08234	3742.22398	3123.6988	2112.77246	2629.34443	3079.33018	2097.85228	2982.62285	2918.29518	2689.24745	2957.21371	2942.41232	4324.84073	2102.66424	3435.18499	3065.38741	2022.61743	1782.55206
60	90	7661.40585	11600.30745	10245.51641	12874.43928	15608.66299	13877.32137	17490.11425	10806.8489	12502.07377	9546.43954	11439.29771	12539.64048	12585.44457	13572.17996	14820.96931	12627.80655	10343.46973	10656.86359	7534.76601	11197.23893	10043.10113	13100.85571	14853.58677	12933.31194	17267.7665	13930.23102	11734.81521	12941.49101	15191.30449	12334.76317	10000.70896	9037.23244	9518.2469	7102.58388	7013.30792	6506.49241	7132.97038	7196.0359	13423.79073	12701.31689	15248.52445	16352.09283	9616.18648	13095.43528	13874.00862	11652.58229	14168.66683	12917.42262	13133.02812	14743.88625	14913.18001	12194.50085	11692.9586	14723.73631	14715.07248	12676.23123	13786.23502	17918.53709	13190.43118	14484.15237	13475.19215	15622.21577	14501.07412	13543.29061	14603.94002	12874.78335	13212.66294	13593.15675	14950.92273	10484.30686	16142.22012	14023.51105	13218.22051	13795.75362	14771.60207	16490.93915	9280.09778	13399.9766	13103.34785	11835.39793	14096.0891	13231.67188	14588.02015	15092.40772	13668.4051	12137.19209	11481.64922	13820.22401	13495.53993	13218.77903	13596.80595	17696.15982	12862.65605	14140.31197	12858.844	14862.66642	12645.55244	13941.68852	14548.19775	12834.47694	12781.6487	13005.7526	12357.94984	9316.7803	16452.94116	14553.20734	9048.52123	6316.79858	9973.4524	13811.78125	10691.02276	10947.81243	11116.69556	9437.77694	8651.15847	11667.12677	10037.61874	12856.4451	11139.23017	10779.50621	11343.06286	10786.06975	11144.74789	14441.63071	10716.98989	12840.33881	12024.03286	7812.86276	9465.74279	10173.80199	8522.05124	11208.45994	10696.2709	10105.79992	10587.38855	10324.59304	17331.52713	8744.01515	12756.98053	10797.84615	8430.71212	7541.2088	10301.92771	14185.39163	9294.8491	10875.27243	10629.67171	8983.97052	9028.02605	11765.82982	10700.32302	12928.78876	10341.71023	9828.3725	10566.45378	9469.57422	9996.14021	13738.66761	11349.39344	13100.21983	11812.51593	8004.21565	9217.24202	10614.36168	7479.77298	11020.76218	10820.77698	10507.32735	10094.41805	10288.40707	14524.25806	7534.44399	13436.13614	11140.29983	6938.4612	6847.9777
90	120	14031.38878	20172.00425	19433.99176	24688.2069	29171.69081	24449.26733	30674.25822	22214.01804	21202.86628	16785.89645	20425.63894	23427.60417	21221.17228	26646.86424	28032.08812	23201.27455	17499.35938	19179.17833	13715.93298	19641.61661	19026.99149	24778.77845	27087.49989	25735.7676	33075.7622	26082.88285	22226.50717	20270.35006	29875.91663	21810.66705	20235.1619	17846.81836	18168.08071	12304.33794	11933.88527	10998.66758	12287.43429	13140.52756	25231.65316	23541.83678	27420.1652	28895.3804	18052.05496	25188.75506	25502.55577	23608.07672	26853.52663	24452.78828	25374.43088	27978.58002	27307.82497	23607.9141	23011.0208	27738.87935	26352.51954	22972.48127	26092.44356	32213.65889	25433.6893	27378.09099	25922.16277	29197.89811	25073.25643	26196.115	27190.71992	24404.2805	24348.92002	25393.68148	27885.98916	21034.46989	30314.23414	26166.64479	25243.2095	25561.18614	27680.88932	30107.78264	20572.2832	25251.57163	25287.4718	23877.10489	25809.9663	24924.75491	27095.08667	28695.35923	27429.42959	24539.72085	21645.01536	26300.86523	25379.10328	25787.72163	26128.42447	32071.18974	24768.42136	26968.46487	24709.75796	29488.98268	21686.21611	26491.77365	27842.14479	24728.82596	23919.08725	24604.87964	24566.59346	17988.35955	27696.31713	24882.38623	16122.5034	12640.55447	18132.04734	24904.03554	19055.8894	20307.10784	20343.88223	19106.31894	15724.88698	21682.08282	18954.239	24568.63753	20094.66249	20513.23144	23514.69121	20569.52885	19957.82999	26962.05541	20260.39226	23159.83993	23036.76304	14879.19733	17995.68838	19718.95405	15527.4738	21555.96432	20237.06308	19610.7256	20196.65276	19129.34941	31781.49679	16408.21606	23247.18259	20168.60183	17125.72529	13927.15564	19703.82989	25993.49865	21393.70667	20227.98511	20658.29483	18918.71946	16197.95508	21883.55613	20476.73648	24297.67965	20062.65046	20068.68148	20323.83207	18383.73475	19628.93619	28040.54863	20642.79573	23852.543	23248.04159	15208.17821	17810.79004	20507.37647	12227.33304	21883.2108	20655.87742	20375.92454	19748.38694	19112.2927	28779.41386	14822.82881	22373.34509	20149.3324	13262.69058	13017.12066
120	150	19862.35765	29343.04148	28080.50703	35873.11813	41852.68403	36400.81311	45822.29589	33145.26605	31453.97821	23383.37661	30576.22228	32734.74507	31265.53776	35385.68906	41895.25426	31346.89811	32746.6582	27715.85665	20186.52138	28854.26594	27361.14158	36047.85591	41287.30217	36983.15205	46779.07477	35413.15267	30729.61659	30079.89058	43284.50196	31666.58165	33384.80376	24425.96522	25077.41948	16426.8765	18093.57509	16284.24591	14107.2018	18237.60164	35240.12403	33475.80558	40803.36765	42975.56273	28199.12002	36059.6179	37199.39747	33812.97314	35855.85965	36353.30868	37033.88452	41067.9383	37070.09275	33978.25784	32166.62327	39328.94967	37271.62103	33421.26073	36560.08069	48025.52854	35857.58312	39980.58225	36629.93943	41673.30976	37068.7188	37445.32637	38483.05287	36262.31507	34312.31867	36689.24979	37071.15192	30184.23631	40139.85847	34931.3534	37114.55101	36665.85935	39684.23757	43717.26112	27201.56064	35242.71143	36482.98344	33641.43812	36008.73936	36803.7081	37929.03263	41277.73051	38980.07019	34566.36682	30757.37101	37848.87356	37250.64014	35531.999	37302.64642	47779.66901	35153.01381	38643.47734	35501.39872	40947.1741	30784.40541	38072.34594	39912.03692	35391.90481	33783.58884	35058.8967	35065.35689	27641.30942	39569.57647	34627.46419	23636.00096	18190.00742	26475.0206	37912.72164	28561.57679	28927.57758	29519.41518	27360.97296	22150.67977	32173.34934	27962.58212	36119.37992	28035.06735	30381.72243	32211.787	28323.0484	28424.85774	41801.4278	29887.16759	35185.74027	32988.59084	22964.97841	26199.69691	28122.87772	22946.46427	31042.09468	28537.48756	28637.49981	28085.69596	27743.98413	42090.47873	24625.99689	32388.7056	28629.36891	23944.56832	20451.00732	27987.46686	38676.33636	26036.39267	27995.558	28991.54532	26795.5949	22510.42782	32393.47609	28333.1427	35134.32097	26888.69187	27996.79532	28632.34681	25549.71299	28416.99298	37937.97951	30207.77773	35521.00462	32685.84194	21686.85288	25301.25959	28809.59879	17830.57537	30903.8261	29524.62328	28784.86414	27483.23781	27805.78772	40404.82787	20709.73368	31601.19857	28636.6352	18909.72976	18449.83182
150	180	22054.40554	32199.18756	31440.94347	41106.35475	45209.82988	40006.27245	50169.00903	35645.92807	34450.91621	26210.91964	33088.73987	36236.78144	36404.81971	38237.53509	45866.58443	32868.11419	27963.35742	30858.55414	21025.93367	32859.3363	31334.72639	41021.37749	44935.25566	40875.55915	52373.3734	39282.8572	35152.87668	32469.68434	48874.58946	32792.93062	33108.6837	26205.07118	24395.98261	16546.35996	18637.36859	17418.30261	16692.2963	19750.19952	39592.83783	37616.51913	44663.00625	46684.67669	29757.27419	39600.12511	41904.68276	38615.04552	39099.24205	41220.64517	40529.45376	46251.01364	41540.17032	38156.378	34876.34164	43537.9688	42528.85523	36653.68638	41929.6277	53382.13045	39915.33859	43503.18585	41186.68791	46490.68066	40174.08839	42489.14625	42658.32031	41131.3767	37715.79634	40771.79295	41620.20454	32614.69721	47674.94039	40182.56685	41371.03663	40399.54771	44227.15528	49624.67304	31876.12847	39364.5217	41033.81213	37880.17695	40323.97543	42030.54768	42360.71545	46347.98063	43576.11971	40233.42468	34920.39739	42962.96329	42068.79994	40047.33561	41414.44331	51259.61315	38777.57083	42422.74705	40189.65251	46115.59427	34922.65531	42758.98933	44221.54338	40051.8863	37720.54256	38510.18989	38948.39317	30351.60208	45202.98823	38552.6245	26164.21788	20407.83306	30188.23004	42485.84039	31535.41706	32477.81829	33562.3866	30707.18111	25540.75541	36557.87755	31797.09693	41052.10583	32750.81095	33853.28508	35705.96642	32244.96627	33898.46437	46658.43637	34519.28604	38922.25155	36964.86387	24268.25618	28904.26334	31253.43354	23987.32444	35326.82032	32280.35008	33643.77218	31618.46208	31236.29095	47646.90784	28139.01654	39654.7735	31990.33494	25935.60464	21769.34961	31461.32317	44295.6052	31014.01406	32030.39462	33153.29133	29947.60645	26121.10689	36009.98491	32938.47139	39113.60812	31281.11417	33191.23985	33366.79857	29281.7839	32723.08334	42459.99492	34487.119	38503.49281	36810.926	24269.80448	28985.97138	31977.44438	21015.63742	34741.1937	33885.45607	32036.4628	31496.00707	30564.6467	47612.36288	24109.2408	37937.418	31782.26268	20930.8248	20218.89521
180	240	20793.4539	31667.4842	32392.97432	41914.92461	47261.18565	41191.7473	51912.10671	37241.63912	35827.65114	27373.19086	34133.60827	36055.74029	35088.18806	38100.84304	43630.75264	34309.15719	28574.48926	29539.75176	21039.52691	31906.14933	32304.22513	42299.63236	46372.46161	41116.68124	51536.42539	41725.69949	33978.99422	35185.36779	48389.89642	34186.8766	32762.71618	27105.30114	22393.72798	18507.50496	20595.47076	17966.38972	17608.12162	20103.62984	40314.42745	37534.71609	45117.0719	47445.76859	32918.23488	40872.70002	42291.40975	40000.61925	40654.75076	42399.36355	40716.14592	45608.96476	42143.07138	38862.0529	36013.16209	43427.54345	42612.26021	35925.74044	41598.21552	54533.64421	41154.46194	44608.02885	42220.54139	47589.45909	40096.89273	42683.46801	43915.00451	41450.52324	39016.52256	41366.3992	42018.34929	34119.16923	44822.93036	39644.048	41339.2275	40247.86537	43944.85837	49749.43427	31986.77843	41751.52674	41929.08913	39735.3229	39452.16127	42930.85765	42320.10548	46570.69002	44802.92973	40239.00589	34182.32156	43518.78109	41035.62441	39766.08243	42263.88087	53021.3717	39440.88782	44655.63366	39938.86508	46233.64563	35707.02645	43647.35194	45191.07392	40833.42981	38824.65012	39611.72137	39276.66742	30748.69054	44216.81515	39808.03902	27199.83115	20827.7106	30539.56884	43053.9938	34476.3083	34068.83471	34534.28658	32259.75976	25839.00297	37522.78363	33580.32426	41003.87349	33404.7217	35236.53914	36209.83695	33137.69967	34227.40146	45502.00858	34418.06357	41142.93034	38459.60445	25861.52987	30275.05434	32588.76069	25277.85606	36080.17172	33566.6647	33621.32553	32536.76351	31734.3513	48907.69903	29763.35145	35980.70618	33171.21926	27221.54646	23168.47861	31979.18412	44232.25627	32677.45634	33926.13119	33448.0775	31332.76653	24854.01664	37270.10584	33025.0463	39974.75202	32791.18268	33491.85142	31821.84398	29963.99779	32883.81396	45281.25677	35496.95883	39162.50166	37630.70402	25631.63499	29657.89688	32590.98403	22300.66726	36404.74228	34571.97526	33232.45411	32759.82932	32223.88238	48334.0228	25048.91919	37693.67687	33093.76959	21684.8301	21184.24227
240	300	20186.46518	30364.90009	32205.66604	41176.89063	46693.97432	39223.49635	50504.79212	37614.08673	34450.71018	27615.79089	33527.54413	35905.26033	33915.17742	36703.86832	42845.05611	33694.221	31714.69141	27025.27598	20544.34991	28688.58256	31331.54777	40708.38966	45909.32975	39478.76569	51317.03606	41611.54396	32394.40532	34086.12755	46205.68251	33908.08686	33396.16941	24267.27579	21026.94354	17908.07798	18721.05867	18691.3667	16569.08381	19878.9647	40597.46419	36639.41538	43999.54472	45269.70063	33011.20798	41031.88889	40910.65714	39298.55095	38475.70155	40716.44816	39489.20856	44366.99228	40800.13531	38290.70098	34891.37967	42146.0755	40342.25505	34197.17724	39413.92707	51514.43598	39430.76142	43266.31585	40345.78428	45104.20416	40415.66	41353.55977	41811.6661	39927.81419	38048.63012	39930.91483	39504.11238	35009.69024	43146.5174	39381.29877	40884.84125	39667.02752	42605.73655	48080.21287	30603.29693	40126.69208	40589.34132	38952.05844	38563.4155	41205.94497	41476.18652	44582.41792	43178.80206	38808.00822	34168.07999	41616.10237	39387.71343	38378.20259	39999.47276	50737.36201	37640.59987	42550.43871	38608.44439	44148.51955	34519.61081	41768.56977	42898.88075	39120.64986	37850.67647	38330.57644	37556.71346	31328.73718	41703.19274	38027.58382	27248.72107	20253.65894	29650.20861	41755.26031	35211.33524	33457.02979	33604.4752	31453.96912	24949.0833	36429.07569	32377.93448	39789.07127	32611.87301	34756.77846	34970.11934	31892.51456	33728.75141	43744.26497	32873.92047	38583.87071	37166.05148	24914.48555	29783.49699	31599.046	25466.40714	34953.5272	32569.30851	32810.42577	32012.62572	31375.82468	46396.54936	30655.84751	35847.84625	32890.88187	27824.41031	22937.87416	31319.77933	43006.7738	29937.41186	32938.51915	32955.03208	31120.65498	25766.7918	35774.75662	33408.14542	38641.65512	32487.14755	32605.75583	32270.78488	28866.9657	32538.90131	43943.96954	34492.44489	37819.46168	36252.65514	24316.17051	29404.64981	31695.2175	22079.11699	35516.9187	33633.99302	32038.31354	32385.66857	31487.95201	46412.5483	23914.96492	35490.29082	32983.70922	21659.00235	20889.42003
300	360	19003.01412	30426.65073	31304.16879	38941.27786	44431.85271	37211.95143	46820.09123	36076.51232	34696.92216	24742.24268	31522.24941	34791.57265	33963.73229	34765.68022	41322.71993	33000.93679	33566.11328	25820.29652	20132.49459	27868.98651	30797.76079	39315.05077	44316.15578	36819.81474	48733.8451	41167.32558	32160.46619	32506.21973	44028.99671	32285.64575	32497.22882	24868.58341	21383.29983	18086.84047	18036.79758	17796.38082	17125.0567	20395.71271	38543.71867	35733.8461	40661.87263	40787.08182	31978.16292	38276.35763	38098.06197	37253.90114	36506.72916	38310.25916	36705.78748	41335.58115	39061.58673	36035.16918	33983.28993	39759.47556	38264.01787	32239.23229	37356.12619	46123.94788	36545.15451	42404.14297	37640.23293	41557.58219	38392.67279	38624.33184	39148.02188	37124.79408	35939.69901	37619.8083	35674.60129	31940.76394	39575.52418	36124.73822	38892.85305	37047.91681	39609.41206	44010.54367	29607.34306	37516.75884	37820.52644	36913.5773	36773.94206	38628.8439	38973.19324	41301.49948	40833.2763	36712.44871	32859.2853	39157.25557	37276.93273	35539.80673	37437.02633	44700.49964	35581.971	40569.93835	36115.7324	41207.71277	33846.19999	38957.48786	39976.51325	36452.25904	35496.54935	35620.33143	34343.04892	29449.73813	38843.04115	36820.37828	27259.21561	20477.7158	28592.2266	37931.10885	33164.81781	32512.82228	32466.14622	30721.89098	24703.6691	34282.409	31388.1652	37192.52183	32236.8077	33282.28201	34059.24667	30608.27004	33131.80394	42816.77821	32817.01633	35373.05041	34528.08696	24666.48602	28390.61893	29872.57923	25616.81974	33853.8477	31724.08824	31245.18446	30930.26976	30557.38569	43401.97004	29235.60302	33850.91208	31645.36432	26906.05583	22766.24921	30088.94134	39705.05991	30066.83935	31522.7622	31538.07003	30376.55669	25138.40329	34167.45284	32065.26682	36058.93333	31627.54672	31546.80978	32074.72022	28764.7372	31039.6851	42148.05721	33270.18572	34240.22896	34732.64134	23758.55027	28108.05944	30389.51866	22394.85633	33577.48237	32299.52049	30762.9263	30623.59751	28977.64891	42979.68474	24398.28344	34471.76829	31090.60325	21229.36087	20850.62916
360	480	17090.80283	26597.1815	29136.85753	35662.95101	41512.17245	31992.20892	42087.81964	34752.72857	31143.45123	22781.97218	29812.88843	30998.83116	30487.29468	32223.30432	37194.82942	30637.14734	29019.32812	23352.61407	17702.48244	27142.46668	28528.00754	35405.123	39830.12013	33040.46025	43023.93957	38445.59141	29109.90876	30348.46134	39808.29923	30519.06548	28206.45785	21785.24246	19193.88485	17261.52796	16730.79599	15029.64696	15651.90544	18785.3166	34413.98648	31601.79845	35532.98902	36043.56298	28992.179	34277.12598	33855.85917	33895.96496	31584.51353	33530.59122	33288.87951	35545.78867	34928.74235	32118.36743	31091.8025	35075.70487	34106.70958	28931.18769	33022.04189	39503.92984	32688.27619	35665.52757	33508.62148	36552.40113	35155.00923	34232.00058	35037.60168	32744.2256	32246.31184	33469.02472	32296.50821	30242.51844	35247.21651	34157.51516	34356.40942	32699.49683	34834.9053	38714.54404	27052.88192	34809.4417	33359.7073	33758.72098	31957.55123	33623.01071	35264.24023	36709.8093	36564.40111	33000.38762	29579.43915	34515.10922	33012.20468	30818.20751	32417.32754	39552.47221	31274.74052	34238.43387	32143.60649	35914.56257	30650.71652	34821.405	35555.98145	32339.53719	32127.58561	31672.22915	31369.80828	30064.21948	33863.90994	32986.54333	24730.04141	19514.83881	26288.73228	33704.43047	30373.33493	28927.9684	29307.04078	28380.78493	22355.7738	30744.16038	28993.17885	32107.70925	29832.20573	30022.20413	31345.43015	27919.37727	29258.74214	38273.21029	29311.61082	30730.96662	30759.72372	22343.24435	26336.46073	27360.45465	23750.53536	30732.91297	29411.10534	28096.85348	28423.26217	27335.02287	38954.46171	28332.52867	30496.52794	29765.5421	24862.65783	20890.09486	27763.4692	35205.28243	27518.68002	29213.41837	28620.96521	28181.35596	22202.7127	30412.44453	30030.11953	32217.81436	28844.37669	29120.68736	28936.98392	25828.0792	28815.6722	36556.50838	30024.90124	30901.31556	30575.37917	22151.96259	25916.09175	27237.05514	21004.36559	31256.51883	29544.98496	27827.6605	28643.27452	27528.78938	41129.53078	24412.6411	30161.92142	29075.52032	20403.63649	19952.46535
