frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VPL
0	30	5.6054	10.32074	11.34484	32.42399	59.63145	52.66436	60.72307	71.69728	8.46228	8.82754	80.48419	17.05909	32.75689	21.77155	90.22926	16.06579	26.34388	5.08022	15.69193	40.93952	45.52765	3.84678	36.30727	42.98541	8.38705	66.22838	13.76659	190.91333	131.9733	77.40892	14.3341	22.48043	16.45524	35.98802	22.19777	13.80208	46.63177	22.66416	61.44063	29.28223	40.15462	7.40626	42.05702	32.26218	59.16095
30	60	4019.77298	3258.88196	4051.51123	3255.81595	3316.75502	4939.79754	3322.00446	3075.35066	5276.18923	3981.86098	3945.54545	2664.40549	2535.32575	4375.16134	4021.59006	3306.12031	4023.43816	3094.64208	2893.51253	4152.01152	4253.19756	1735.7146	3234.69415	3476.48376	3052.79749	4439.26131	4186.99852	3747.77267	5113.99327	3943.60237	4988.17595	4639.20537	4209.61624	4526.68304	3163.76827	3406.87009	5853.81645	4235.565	3814.83752	4405.5749	3016.78289	2718.73901	3271.64002	4312.8222	3969.03761
60	90	15507.11424	15433.5529	15890.258	15616.57182	16110.47126	17327.88427	15375.16882	12761.19238	22931.16664	18389.16761	17664.9826	14396.15625	12637.29734	18298.29353	14747.09196	15960.86525	14688.16575	13293.20964	13460.96094	14779.68363	16644.74149	10729.15234	14569.85191	15574.40308	13377.24237	17385.24785	15003.54544	13875.48155	17539.22672	13984.95392	12420.79321	19046.01184	17015.36204	15876.57675	13828.9747	12160.67918	16966.39803	14746.31162	16888.22558	14037.94468	12310.97125	12188.76306	13486.78482	14913.16988	15607.62263
90	120	29720.8869	25191.46348	33963.34253	30858.72807	24685.95168	25694.6087	28635.04598	29241.28792	38325.97685	34179.51738	30105.29533	21342.93652	29372.58059	34559.82105	27916.85059	31723.84925	28727.45966	22194.72492	25852.58724	28789.12335	30054.85645	21370.90625	27764.29448	25743.22235	22148.02032	30946.03568	24210.88411	23306.34442	28784.81855	26965.74546	27499.06226	32573.55832	30105.27206	29680.24657	19443.88272	21988.00214	32903.12494	30724.94764	30816.03459	27543.68676	19520.77279	21994.5437	25049.46428	28179.00176	28243.37293
120	150	37963.40298	30789.21564	41706.00757	44646.20688	37378.49304	38899.52665	43363.60902	35593.54818	51643.09663	45336.59192	40106.37838	31049.31079	36042.41678	53767.808	40117.72176	48178.51763	41931.7537	31260.01004	30962.46647	38943.96978	44479.61302	27434.62109	44483.37181	35798.62024	37665.20398	52890.2724	45239.45874	47994.56579	37674.63643	44703.13137	36460.78613	54281.7853	48539.65102	39652.57883	36731.55771	39828.30246	49487.67973	37369.27407	42213.30157	38862.68013	31308.97219	41147.93896	37898.18541	43297.38084	42769.705
150	180	42274.59811	38530.82046	47368.34009	48271.57041	37014.80876	42330.56673	43439.09781	43638.49495	56646.46734	49912.97806	44649.53051	35425.80884	46092.3029	55320.63741	42037.70008	51363.67441	43529.41202	36826.63413	39576.75846	43112.93387	48657.24325	35147.75391	45640.29111	38343.99923	36301.19067	52003.5125	50827.22368	39833.71294	37722.64457	47777.97917	40330.74023	57957.92756	51606.385	37779.59466	38824.63068	47963.52595	57004.39122	42035.36097	46564.75036	43918.70629	31423.76525	36661.70898	42655.14816	48185.4636	45901.83508
180	240	40308.80534	41257.57629	46368.22266	51389.51963	38277.05545	41821.17679	45707.07014	43996.99154	60308.02587	52441.34917	43793.76316	37049.10986	45647.56819	57056.40305	47201.78307	51565.30124	45362.26177	37550.37032	40637.34115	44756.11918	50042.07452	35725.49219	49701.19612	40072.29651	40343.57031	49524.76484	49518.34412	38540.38096	38879.37522	44748.6373	41230.37207	58460.83641	52473.59645	41551.91432	37390.14702	44801.73307	55896.53224	41555.77873	51467.22391	43843.23003	36192.56162	40002.98828	43795.86089	49631.04155	49541.51264
240	300	39850.96351	40512.24198	45574.12305	52592.76875	36258.42332	40489.36923	44990.82225	42064.81771	60233.26595	51000.64338	44087.43423	37209.65674	44730.93996	60096.55912	44921.98706	49793.81403	44948.67029	35776.39768	41617.22396	46560.99356	49690.12484	33718.21875	48613.47007	41777.05023	42477.89324	51735.76615	48987.10211	42729.68514	41365.30053	48983.81356	40378.04907	56211.98248	50957.59646	42360.28016	40172.23846	45176.4216	55624.52427	43481.08406	47632.90032	42292.4136	36804.60671	43039.12646	44531.224	48100.65911	49548.74969
300	360	38325.75936	39361.16181	43317.32202	49445.37336	36467.85963	39837.00276	43963.79079	38503.37223	56666.15904	48926.75455	41912.65421	35042.20239	42777.71119	55849.87539	43480.43726	47601.07935	42504.7516	35236.74207	39550.03581	44122.59033	47490.76344	31889.11914	45276.77471	37049.49561	39340.10313	44633.78906	50071.49586	34674.76352	37467.3165	40126.81372	41664.46631	55578.60894	49387.08214	39245.06825	36050.82422	44159.63839	54906.25499	42142.59028	47207.76289	40862.365	35760.26664	37775.81982	42431.5533	47224.4503	47847.69262
360	480	35669.7319	38013.81209	40604.67236	47122.60398	31433.19896	34145.50593	37946.50014	40544.43831	50679.79617	43571.92988	39533.11779	32839.604	39973.30239	50574.67067	40609.87185	43607.93726	38790.71173	33707.14343	37015.69531	41865.64238	45066.62299	33769.29297	44445.76043	35476.63822	37364.0011	43076.81354	44147.69716	35085.88148	35202.54224	40259.7475	35914.27271	49370.80597	43646.23835	39370.74278	35508.6582	39181.70526	46439.77002	37692.30669	39711.91242	34961.93767	33247.84253	38559.54004	39568.29436	43130.94046	42418.60446
480	600	28848.50982	31344.4449	32882.16846	39981.35578	28838.84494	31556.94472	34110.34667	30536.51904	42816.35232	36896.51927	35853.79098	27119.79102	36454.89759	42171.74535	34498.93997	38076.9021	32092.20285	29855.37835	31310.74056	36215.32435	39740.67148	30635.12305	39100.94308	30193.67178	29886.52761	34675.91706	39590.43143	27075.72158	30267.20106	32499.83169	32115.39148	41961.9693	37012.0176	33116.35039	27595.82457	35470.57571	42919.22262	33461.72779	36398.56025	31726.23314	30262.03839	30145.21899	37635.84292	38566.74016	39326.16998
600	900	24437.51154	26974.55043	25735.36523	32754.58441	22263.36634	26438.78254	25422.55497	25058.97754	32654.45505	28643.30781	27551.37354	24534.81177	29735.20516	32248.22683	28239.63489	28482.88955	25086.62113	25959.00476	27555.27507	30040.74156	31302.79546	26008.72266	31386.78573	24036.72886	26825.65291	27083.52565	31801.33679	21730.11652	24918.08942	24175.31452	25181.45129	33499.50501	29266.21846	27274.86525	26094.59251	28470.07896	30849.56444	27039.29971	29069.64144	23936.79637	26592.77634	28850.48755	31542.71122	31942.92599	31571.57364
900	1200	18218.74684	21131.74358	18227.36176	24709.96342	15926.82248	20591.16527	17740.09086	20248.68457	22863.30005	20309.77374	22154.9865	19606.35864	21952.25701	22453.61623	21724.20511	20688.84548	18850.20981	20301.54258	22322.23438	22516.57178	23062.37182	20908.23242	23072.53264	18598.40374	21180.22273	20124.82904	23668.11017	16525.33661	19783.90004	17305.04473	18099.91943	23868.39527	20947.36519	21091.39772	20138.62944	21307.51814	21718.77381	20967.57778	20504.4733	17437.50555	21577.7122	23089.6167	24266.72175	23614.43025	23434.39714
1200	1500	14819.79574	16997.72946	14675.6756	19371.60381	13000.77615	16832.71693	13199.81415	15167.26676	17577.57273	15583.71189	16613.14175	15502.63525	18834.96336	16947.43068	17070.50051	16531.92401	14836.71323	17396.31817	18097.98307	18922.25168	18350.72922	18284.65234	18360.00635	15239.23942	15930.4277	15408.17891	17327.33718	12616.22849	16414.91431	13398.06619	13255.02283	17592.1291	15583.58367	15900.43904	15704.46635	15542.75623	16514.03368	17437.25186	17069.31344	14083.91368	17166.55849	17370.83081	19332.95294	18586.0278	19422.89669
1500	1800	12752.93122	12864.44243	11308.20844	13803.72428	9892.50505	15243.35646	11258.20159	12461.05184	13379.2538	12229.46877	15001.00916	12676.55823	12972.71809	13003.92944	14254.389	14574.50688	12166.71265	15004.68936	13399.76025	15443.56579	14885.31304	16468.43359	15614.18601	13137.81364	13605.52516	13260.45202	13758.96473	11040.70467	14206.02674	11281.63335	11966.90271	14730.76036	13078.63376	13589.62022	13967.26536	12954.51453	13180.80134	14401.60962	13904.10503	11585.41635	14774.0039	14580.88037	14971.21379	14301.25225	15763.32097
1800	2100	11552.79209	11684.84205	9665.18149	10297.88068	9194.19659	13365.47968	9466.25251	9862.29865	11090.39278	10135.27141	11578.97829	11225.01648	9972.91286	10161.19045	12416.1755	11924.56037	10113.4439	12854.81709	12665.64225	13624.64449	12474.32955	15704.64648	12953.57555	11299.59653	12260.41052	10713.93304	11186.58337	9843.45354	12770.98536	9158.61186	9223.86703	11962.72353	10900.12535	12025.77048	12748.67782	10550.42566	9922.71746	12253.50239	11039.8395	9884.95661	12971.78452	14569.56787	13377.30117	12674.2233	12572.90535
2100	2400	9623.54225	9339.37581	7827.46341	10698.86882	8027.86889	11602.0112	8145.03769	8726.35478	9351.03061	8439.95135	11169.42971	9045.41089	8692.722	9575.3765	11091.03475	10479.26234	8925.21569	11452.44154	9660.33952	11861.25316	11295.71736	14341.47852	12096.00295	9272.95914	9739.87024	8965.39574	8768.9029	8179.05786	11680.91698	7285.59381	7663.47232	9924.75904	8782.05066	10298.34263	10181.31818	8330.87808	8842.48907	10415.45637	9861.68638	8190.10821	10770.13987	10691.85803	11165.82242	10373.73526	11389.98014
2400	2700	8647.02597	8742.87988	7539.24759	8505.6225	7811.48592	10252.50692	7395.19486	7791.3986	8152.1164	7813.54173	9494.74222	8850.00024	8211.50818	7511.46639	9129.00588	9161.27957	7941.48401	9834.73642	9859.99268	9521.17428	8948.48483	12120.66211	9537.92218	9443.50428	8346.19731	9159.60859	8788.83007	8395.63903	10402.2831	6846.58399	7152.09549	9072.05344	8242.2551	7961.70756	7763.03254	7630.25682	7391.2294	9072.30285	8559.31108	7386.80255	10028.02538	9336.97107	10578.64613	9310.77153	9043.82838
2700	3000	7392.15537	8251.93058	5690.27638	6449.11569	6800.01023	9785.05696	6702.5015	5958.29102	7319.20253	6318.50483	7942.92667	8707.12415	6303.16135	6534.25891	8549.69203	7355.77236	6393.91667	8818.96355	9838.38151	9465.63743	8609.05583	9208.37012	8311.49141	7764.99938	7409.63618	7337.7249	7571.76339	6421.23737	8850.63814	6659.86666	6884.49457	7925.7553	7023.58154	7763.25548	7547.37078	6200.36929	7683.43445	8611.62361	7701.64262	7054.43409	9524.57277	7538.71661	8258.35692	8242.28828	8688.28059
3000	3300	6843.78703	6886.32647	5601.5051	5872.72603	5842.66933	8871.04817	5890.19088	5446.45848	6060.39676	5746.14159	6913.51467	6239.03448	5165.36173	6079.91409	7798.14233	6907.21591	6707.26037	7594.23023	7624.35506	7529.94009	7102.10337	9857.26953	7413.26123	7157.28	7290.38571	5700.48805	6647.57893	4577.71379	9195.72792	5366.02429	5450.85593	7130.40111	6367.83407	6145.90338	5566.56454	5974.53077	6002.07201	7390.83199	7286.70243	5766.60747	8564.71887	7286.99487	7983.17913	7477.93692	8012.83872
3300	3600	6063.97381	6023.60882	5297.60052	5458.28833	5604.52202	7431.59121	4482.63165	4633.43909	5395.15133	5088.95723	5713.21125	5354.52502	4405.67782	5150.99745	5961.96017	6017.84038	5210.88915	7056.42469	6522.77515	6275.28949	6299.92755	8587.80371	7058.01607	5841.50647	5607.16628	5679.22503	6036.66824	5514.78468	6203.68799	5407.91773	4674.92683	5636.75602	5407.51418	5343.34976	5551.4502	5512.66759	5691.38143	4286.63129	6003.74731	5085.79269	6680.33661	6345.96698	6700.08849	6617.91408	6352.88768
3600	3900	6081.2717	5965.85619	4234.61716	5786.83031	5277.09734	7318.66839	5834.97398	4664.92811	5521.13461	5025.23739	5809.54317	5015.89288	4706.39328	6064.75984	6225.5423	6196.93156	5667.44641	6764.82699	6002.58618	6828.47519	5920.82373	7226.41309	6874.82126	5684.97401	5801.10341	4743.65801	5324.83572	4447.91248	6189.3985	5022.7701	5360.0493	5258.9148	4672.96168	6138.01309	5960.88499	4982.7868	5587.5388	7073.89985	6838.32589	5378.65276	6715.86657	6268.40576	6648.84704	6317.74282	7028.57557
3900	4200	5126.34057	4899.28694	4232.35962	4533.83784	3786.97997	7200.06696	3974.59721	3957.82782	4988.56643	4653.04562	6026.72855	5246.08038	4418.56102	3982.37394	4671.6469	5507.10142	4683.33936	5380.22978	5297.88599	5428.35435	5434.00889	6790.63428	5415.18488	4948.06605	4610.59778	4942.48143	4779.90836	4253.28339	6730.66961	5107.33429	5115.8826	4831.30343	4823.04977	6535.8864	4681.94724	3823.76074	4860.86818	6057.31812	5422.43571	5153.31035	5682.24642	4816.14722	5466.90471	5338.05922	5486.79636
4200	4500	4836.41298	5375.36483	4642.28369	3997.64504	3340.20715	5351.93624	3278.76879	3772.5103	4507.23438	4539.34324	3871.23824	5581.7334	3068.42113	4758.09714	4446.81254	4874.59288	4589.78205	5486.09722	6914.23454	5261.31685	4547.69939	4514.40576	4980.22142	5116.62	4791.54337	4423.27858	4994.36053	4009.12294	4329.07033	3862.58859	3067.6918	5037.09571	4602.474	4632.83161	4849.54663	3917.15167	4685.23327	3419.98306	5112.50126	4204.64572	6094.60686	4983.38837	6189.01883	5781.89563	5540.10607
4500	4800	3785.94867	5243.42345	3323.47021	3797.48416	2724.57209	6179.60144	2955.52381	4388.63877	3853.11543	3910.42931	4436.03925	3456.2319	3334.91128	4163.34078	5690.57593	5323.27425	4680.26188	4795.68794	4275.03361	4310.09273	4565.12177	7338.72119	5639.12324	4444.38176	4952.61955	3826.18193	4931.19332	3370.36539	5181.371	3201.77336	4963.63538	4026.72672	4144.59934	4984.35684	4193.47761	4563.0156	4450.25161	4688.02716	3555.45053	3643.40666	5660.02376	5825.37311	5574.78709	4896.85063	5363.04025
4800	5100	3398.08642	6402.21464	3178.73274	4138.4576	2677.534	5591.30026	4462.97101	2500.74228	4414.55373	3647.68157	3929.74916	7170.24084	3590.80698	4187.53693	4044.82225	4669.20539	3923.77807	4798.62205	9645.24235	4821.0119	5175.5487	5479.76611	5360.41553	4350.45395	4714.62795	4422.50109	3817.78776	3319.66152	6868.76621	4179.84501	4544.75066	3906.44031	3419.56448	5148.84358	4940.73806	3210.86001	4345.23198	4960.99483	4076.52707	5162.74948	5090.31952	5314.92352	4330.80642	4253.06312	4563.86597
5100	5400	4166.16709	3152.41464	3803.12679	4357.16812	4138.13222	6244.10626	3272.94231	4063.18709	3431.18157	3572.83224	4368.95043	2816.13214	3434.75558	4723.21647	5345.19028	6980.71662	4863.54593	5396.6526	2390.46077	4767.19439	4091.30567	8253.13867	5762.85512	5045.02061	3892.97913	4171.06927	2297.27884	3785.79932	4409.04604	3404.48463	3610.81668	3745.0445	3409.37133	3114.89272	3890.2553	3121.24577	3334.49583	3989.17957	4357.56637	4209.92586	5201.02981	3839.08881	4899.97437	4320.32521	3798.30963
