frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	0.00025	0.07696	8e-05	0.00446	0.0	0.00101	0.00042	0.03002	0.00378	0.22339	0.00484	0.14902	3e-05	0.00687	0.00095	0.02975	0.00153	0.05542	0.00232	0.3641	0.07584	0.14174	0.01874	0.00902	0.00925	0.03584	0.04834
30	60	586.84527	467.95	571.24339	702.13206	422.45532	887.85055	1136.83438	864.01775	1093.61381	414.39537	599.70565	745.12178	588.03093	538.48897	811.83128	600.35082	799.74459	576.88424	799.53884	352.56455	528.32824	498.4138	522.34043	645.8286	639.7475	783.15158	370.34166
60	90	6799.61605	7221.7646	4960.96529	6293.63228	4285.86719	6409.39932	6596.7615	4886.79438	6154.16296	5989.41894	6049.94893	8243.66314	6502.99427	6237.28374	6251.44896	6623.01647	6072.71912	5931.73081	6197.87816	4486.12951	6298.44517	5840.3876	5881.45738	6903.70926	6834.30294	5223.23427	6102.69985
90	120	10817.99473	9595.48052	10810.51126	9791.5641	10834.76074	10327.32502	9992.75296	9420.66444	10382.40333	9759.88448	9766.30981	10082.02272	9863.89072	10043.16181	9558.14865	10271.73941	9737.82308	10034.4515	9666.71192	7093.14495	8074.16061	8046.45049	7689.51039	8936.32976	8648.90807	7257.94417	7624.24458
120	150	15729.15322	11842.92593	12475.94355	15026.79964	12960.30762	15226.28986	14537.80462	13465.43314	18168.52586	13493.57007	15224.47926	14650.33127	13966.87447	15229.76402	15132.32445	14904.65385	15037.45632	14271.47329	15543.29175	12651.96702	12961.38407	8628.82344	9037.11809	11256.23134	12299.52279	13575.52531	16500.24834
150	180	15543.06758	14481.82871	16181.42691	16626.21244	14710.30762	15852.41493	15516.09178	16839.94411	18256.56425	15757.37688	17497.54737	17811.43525	17060.73055	17028.68068	17101.47853	16214.88886	16929.42018	16716.66352	17397.37916	13791.14874	14955.93343	11657.63359	13346.30259	13835.35404	14347.39985	15616.13922	18332.0416
180	240	21007.25781	14691.8606	19375.93687	19662.55958	21296.07031	20599.30078	18570.18627	19093.67554	22196.19788	19634.87033	19780.51092	19763.67135	20193.69107	19251.49574	19114.07527	19004.09977	19246.97283	20033.53271	19678.35473	18333.62192	20481.97889	14793.35781	13782.03516	17014.91684	16650.08454	16829.56632	24195.06191
240	300	21172.21797	17495.83335	21429.02553	23630.51171	22312.18555	23463.21245	25009.228	23092.89429	27994.83344	20672.48729	26305.33307	21175.86601	23218.63876	22860.33189	25160.23701	21986.08285	25003.41767	22391.61541	25941.53781	19071.95415	19755.99281	16459.75508	16798.81264	17892.9894	18754.13075	20186.49652	21974.14023
300	360	21763.10864	19007.66963	22070.76044	24203.0801	21386.05078	24277.1132	24601.20662	23379.49398	28792.78655	20702.7344	26040.07129	23195.83457	26188.74484	23949.48835	25900.25243	23451.50169	25596.43975	22482.42739	26556.79315	23463.90329	23869.24089	19596.72773	18309.77511	21320.41047	21243.42874	21521.27548	24904.85781
360	480	25781.95791	19092.68408	24731.70089	25543.57956	25084.19336	27024.5595	25982.21704	24880.46448	29181.39847	22273.782	25334.39258	21208.32999	26745.99326	23452.26551	27405.99391	23294.23558	26971.35537	24027.4909	26716.65358	21184.36114	22632.41989	19084.62617	18509.21038	19893.13444	20214.97015	19205.8868	26352.8042
