frame_start	frame_end	parasubiculum	fimbria	hippocampal_fissure	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	0.02437	2.74609	1.33556	0.22104	4.35194	0.27246	1.98424	0.69916	0.15141	0.36559	0.59619	0.45963	1.81882	0.56582	1.04303	0.46922	0.87304	1.14904	0.63178	0.49214	0.56749	0.76278	0.57236	1.39973	0.28605
30	60	837.06777	581.21175	721.01974	736.29462	538.45052	732.48846	451.83451	718.44756	689.12749	748.07574	663.53731	692.04433	606.04525	653.57346	668.82291	705.59426	607.70488	724.52756	753.63721	892.71252	624.75607	754.36509	755.97202	684.8094	923.53355
60	90	7190.1958	6226.18525	6630.04929	6748.05306	5281.89097	7138.54551	5798.14075	7699.69905	7067.95308	5987.20471	7492.28569	5632.7565	6903.92529	5817.97945	6867.93078	7454.78387	6482.91523	5865.25755	6706.08548	4965.28125	5099.24707	6215.32094	6457.8239	5455.43604	7657.15074
90	120	8670.88454	10904.22866	9818.24988	10858.17555	8579.04797	10853.82173	9471.99773	9991.26168	10080.93506	11176.44214	10948.95898	11611.37601	10089.06002	11530.03295	9732.69988	10713.30874	9292.35466	9092.62832	8437.48238	11035.46387	9430.1748	8584.24397	7314.52776	7720.85869	7467.10205
120	150	13225.02424	14757.92632	12585.39755	13277.08757	11395.23597	13558.02598	13178.68521	14174.53896	15149.18374	10969.49475	15770.86298	11268.16237	14371.83673	11876.73794	13192.92153	13863.54966	13275.73765	13410.24504	12520.64376	17214.2793	12885.0874	12427.67043	11231.99051	10136.34023	11444.68834
150	180	19932.98366	16812.09438	16948.8989	17397.90214	14349.43822	17428.57107	16976.23576	16849.18038	21321.51475	13285.49786	19900.6661	13468.48287	19024.49407	13772.91147	18685.24696	16695.09134	18295.9978	16644.39346	15638.77792	13098.06836	11965.21729	14021.96279	14984.11021	14214.92754	18243.32533
180	240	18554.35352	22710.10732	20847.52381	19880.66176	18650.47415	21205.88676	21494.78902	19043.20078	23133.37178	19707.75415	23490.85878	19861.6229	23149.74782	20019.7185	22045.47806	20268.16541	21594.69395	20130.36737	18089.54869	18506.08398	15043.4209	16526.55369	15938.40047	16450.65781	19018.51814
240	300	21383.71928	23711.44688	23619.89165	21094.5644	21215.20228	22158.05234	24341.35974	20663.72143	28104.79531	20309.65796	27756.77556	19457.30784	26563.57782	18870.36833	26178.22943	21433.34201	25787.08818	23538.75084	22079.97364	19985.66992	16728.54199	19733.08127	19669.33644	22151.22031	23250.13225
300	360	19370.02504	24622.85518	22900.07496	19982.06256	20607.54544	22165.32704	23910.84711	20313.8382	28041.44824	18679.49261	29564.31997	18880.7192	26962.01698	18885.56394	25781.53056	21019.50821	25417.24912	21570.75024	20474.7287	20345.62695	17255.26953	19199.22441	18790.17829	16679.29863	22025.3192
360	480	22581.95401	25063.67783	24864.57989	21867.5764	22516.91185	23487.56923	25071.64685	21600.35047	28191.08906	21434.08081	29004.25323	20852.21379	27640.18096	20525.30732	27326.62075	22511.68066	26762.20142	23260.67277	21848.66114	21875.70508	18505.6084	19938.83843	19520.97695	21043.55781	23292.53237
