frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-Pt	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VPL
0	30	0.26508	0.75378	0.00045	0.02546	0.02712	0.12532	0.01094	0.33451	0.01444	0.38614	0.0704	0.70524	0.02095	0.0	0.08148	0.07239	0.16901	0.03695	1.31466	0.21013	0.0661	0.03602	0.17663	0.15055	1.15964	31.90178	0.19253	3.99466	6.57421	0.1136	19.83527	0.42319	0.19623	1.8692	7.58608	36.77328	2.57637	5.61127	0.13863	6.36797	5.4822	7.24878	14.21276	0.21784	0.56622	1.72625
30	60	741.18983	477.17988	600.72898	316.60964	731.90402	1200.48452	702.7336	1408.03083	538.08023	523.60777	1631.98941	189.40117	412.63291	609.13202	1019.50555	947.81545	733.35059	880.91873	496.41287	429.61231	370.04598	344.8275	414.40968	559.82308	909.59091	768.2263	890.21474	640.6603	787.89356	674.29471	493.33806	684.44213	1211.88011	990.80519	583.67228	721.06076	337.50092	752.27837	697.74311	650.48872	598.05623	622.86789	910.87723	611.0867	661.18085	435.46212
60	90	7630.08026	6390.08187	9230.14123	7448.03735	10164.69184	8491.38643	7684.72057	9234.57003	9577.55599	8093.23135	8755.97004	5801.52116	6220.85992	10192.52441	9458.78211	7487.92803	7244.10717	7213.1406	5718.01561	5591.92676	6718.0923	7578.22615	6318.64551	7649.11869	6682.83355	6817.11432	8411.07235	7932.67156	8324.00817	7673.21741	8528.93384	7927.69788	9668.65288	9069.34031	7932.46216	8439.55047	6857.78813	8425.2664	8697.08605	6218.7533	7719.59971	4884.38508	6519.22666	6234.09273	8044.51206	7417.32381
90	120	12507.08503	11694.75487	16980.14093	12814.47446	14392.10824	13017.98306	13892.5915	14394.82048	15618.88933	15313.68433	11739.87225	11671.06478	13046.55785	15555.57227	15515.26259	10475.99556	12883.47729	11859.70432	10206.30923	11070.9502	11496.23858	12742.57741	8630.39355	11592.34287	13680.03613	10814.86314	16438.12093	12171.93389	15338.07595	11763.0383	14749.56822	11530.32129	17132.56988	15662.00983	12678.80593	7866.99533	11405.87311	14933.96464	11410.52707	11839.02008	11296.9115	9805.79888	8892.73774	11059.78734	13043.80401	12618.95388
120	150	17155.04131	15505.23968	21623.81626	21013.26074	20488.04379	15627.12119	20259.06811	18030.36442	23323.77533	20756.21848	16395.43595	14981.84473	18124.01002	22488.45508	24091.82841	18938.9093	19762.92215	18390.93148	14291.57282	14058.55527	16288.0551	17807.42224	14225.91276	19235.66898	16632.71308	16496.31345	20871.99837	19637.2202	17226.95394	17726.49147	18829.13324	17669.36562	20621.48606	20364.228	16172.91941	17466.4073	20276.84287	21622.62761	17306.603	20473.04449	17504.4516	13835.0831	15885.28955	15221.27977	17675.93602	18964.4211
150	180	19602.45523	17411.36324	26987.75721	20821.67124	23132.34601	20859.96247	23867.03016	20624.01392	25444.82769	24162.33359	19500.78951	17037.19043	20048.73414	28219.73438	24979.36715	21531.24696	22579.14749	20212.74637	15777.95672	15835.91758	19007.06148	21587.54224	14726.61296	21030.97822	21427.14999	18362.13417	27374.08952	21029.12923	25034.25239	19314.21443	22697.31255	17790.34967	27154.10534	24755.77258	18771.07838	15526.4338	18959.72976	24093.65712	19181.82836	23799.15802	20246.08386	15383.94055	16852.78965	19059.90388	21230.18098	21764.32489
180	240	24096.27985	23363.87661	32147.73903	26473.19396	30991.71114	23194.16938	32534.9597	23741.50944	32658.21096	29634.05486	22715.83884	26484.51823	26151.69109	32348.4375	31341.51079	23508.01596	27215.11412	24805.34639	22202.13939	23276.18594	26282.55945	27940.35705	20994.05599	26334.29709	24241.66106	22043.45553	29433.82194	27315.66035	26864.00391	24221.48775	27489.64007	22477.28346	30182.7754	29097.96469	24361.98579	22953.44238	26878.42326	29659.81499	24162.56427	29033.48335	25803.24116	20881.68963	20954.93125	23258.18454	25327.32568	25733.78215
240	300	28517.38758	26606.77405	33077.66076	30197.2561	32679.06157	27182.06186	34101.09101	26367.55404	35955.38703	32747.90771	24644.07292	25039.07845	27994.28793	31279.92188	34323.30529	26723.4095	31548.06627	28683.05378	24161.04139	25647.04922	27828.51731	30181.04308	23372.73438	28933.40971	29272.95969	27081.72402	32488.83236	32252.69501	33496.96897	25189.23795	33948.35791	25878.17357	38564.86381	34128.57216	24903.47105	23588.6409	28600.51148	36931.16249	28619.45503	33528.28953	29691.72703	24084.28835	27166.48398	27874.05136	31102.59957	31470.21201
300	360	29394.40205	27298.66695	35416.35081	31831.59436	32492.25154	29787.82271	35749.47124	28009.08512	39660.1089	35359.23146	26025.6815	25848.20736	27593.99313	33321.82812	37885.36544	30362.98565	31277.40332	30911.92115	24613.21992	26873.6582	30465.23133	34036.8909	22674.11003	31159.53295	28792.83951	28932.10976	32896.09212	34523.4905	31587.93251	28356.34012	36214.21349	25505.49271	38203.84277	34200.39371	27211.76909	24800.97949	29477.25071	38520.41432	31345.36274	35217.49206	31641.19377	24391.08015	27618.37637	29055.87735	32559.9216	33439.03854
360	480	31001.21463	29246.58874	34704.63582	34015.69601	33470.53423	27647.39247	36757.71568	24369.78125	39606.93593	35334.09994	25773.09611	25850.98047	29804.57117	34495.93359	37793.02305	27747.51947	33311.95358	29960.96826	27466.0751	27635.55195	31582.56508	34076.09595	25720.82422	32598.19641	29922.40333	30244.90761	34851.34277	34008.23868	33816.99989	28184.92872	37435.95923	24447.4625	39261.77249	35218.3364	27175.23958	27976.10184	29082.3885	37250.72659	30517.20676	34254.50006	30706.41497	26085.68119	29922.75469	30282.58286	34130.27792	33687.61539
