frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	0.00545	0.07696	0.47353	0.16793	0.0	0.05812	1.50094	0.08744	0.5532	0.32576	0.02927	0.19288	0.15764	0.11587	0.49847	0.14607	0.1879	0.16002	0.22416	0.55157	0.21521	0.20014	0.14069	0.19864	0.15633	0.2794	0.10997
30	60	640.81483	467.95	572.96207	704.4516	422.45532	848.51542	930.49512	832.86608	915.57182	479.81643	614.60929	745.72005	607.99239	575.456	755.51089	611.89913	776.3165	609.4206	750.66395	441.40108	584.81065	564.13025	545.09946	673.13338	670.10465	765.59048	513.76178
60	90	6883.85874	7221.7646	5179.10666	6334.94665	4285.86719	6497.29418	6143.35787	5420.10386	6055.39551	6357.40954	6219.61628	7786.6589	6764.53108	6091.74941	6430.02143	6448.33862	6215.02015	6316.74051	6270.49907	4815.50889	6400.63599	5694.53654	5707.63287	6730.5298	6735.96886	5264.69887	6505.70564
90	120	10354.89253	9595.48052	10826.66943	9794.8413	10834.76074	10465.10302	9505.26848	9760.09643	10129.83919	9809.66851	9818.74736	10303.67729	10150.74784	10420.69486	9703.45071	10544.76537	9736.9063	10206.05854	9571.33428	7570.6848	8165.24127	8544.61938	8076.32471	8847.75472	8300.3759	7340.60747	7583.50392
120	150	15189.04697	11842.92593	12869.38886	14726.97833	12960.30762	14720.39003	13454.16026	13487.36302	16784.24749	13640.09001	15211.93	13904.84539	14443.79097	14276.0451	14924.19096	14247.65323	14707.38167	14168.35505	14965.57096	12833.06778	12850.89545	10059.73275	9892.22238	11550.933	12020.68973	12961.38511	15189.5476
150	180	16489.91222	14481.82871	16290.16268	16665.8406	14710.30762	16253.53375	15113.79745	16979.35576	17901.37635	15992.29362	18134.87527	16894.78971	17811.51811	16171.59602	17627.77752	15685.02584	17243.62076	16711.21033	17626.32659	14472.59379	15127.11483	11897.70605	13039.39475	13882.29964	14513.70479	15365.92285	18309.04109
180	240	20478.20002	14691.8606	19950.79384	19808.08151	21296.07031	20412.78378	18597.87174	19593.93609	22001.61348	19507.56439	20339.32106	19752.34635	21065.3561	19398.3782	20218.57512	19224.46987	19747.75798	20092.84506	20166.59402	18762.74154	19882.22366	15412.14551	14062.3431	16892.05818	16464.19691	16761.90409	22852.99501
240	300	21217.8359	17495.83335	21822.54645	23629.20749	22312.18555	22848.44883	23700.94327	22871.48435	26981.28913	20670.60119	26605.24344	21000.43147	24418.37608	22041.08536	25544.30923	21310.03159	25213.64714	22149.37529	25902.18759	20138.76642	20338.58856	17047.40755	16783.19694	18355.90559	18993.17701	20537.34005	22304.95298
300	360	21246.95335	19007.66963	22510.77677	24043.06193	21386.05078	23162.36723	23224.08208	23091.92812	27438.44206	20619.05796	26373.63411	22281.1324	27081.13827	22729.22911	26190.84063	22460.77935	25629.56127	22112.61883	26266.46346	23011.75849	23018.27503	19721.54427	18075.44054	20786.77876	20602.65437	20656.63675	24158.31076
360	480	25091.76099	19092.68408	24788.93829	25460.19363	25084.19336	25686.10587	24787.28421	24550.56824	28041.27383	22128.88382	25810.50866	21254.05167	27343.00451	22826.32713	27470.08721	22693.43039	27034.92917	23644.3121	26728.25812	21680.25	22435.94043	19549.80599	18508.40994	19904.6323	20033.70327	19534.04234	25559.40039
480	600	22943.61933	19027.04424	22282.63447	23423.00469	22745.24414	23261.40734	23937.62364	23142.56984	25217.58524	21092.46276	23424.76641	20831.84295	23603.53262	21338.59373	24403.04722	21009.28178	24256.73795	22215.90585	24023.17297	22258.74089	23016.21269	18293.31348	18299.00651	19654.89121	20415.80584	22497.69782	27188.29565
600	900	21030.47836	15167.12017	20189.80784	20868.2508	20875.64258	21220.15874	20614.55884	20580.81847	22863.15958	18487.74361	20964.77332	18418.0491	20614.59476	19374.86058	21496.83378	19168.57156	21459.12241	19662.88198	21337.7219	19341.14506	19069.65942	16987.8418	15896.99425	17003.64967	17703.5462	20988.70068	20624.72208
900	1200	15663.62862	13766.51475	15950.58637	16115.9743	16138.75195	16089.98294	16520.36728	16348.70433	17799.6287	14620.68933	16042.98488	14008.33913	16948.56362	15020.73476	17343.75357	14709.16584	17160.83088	15214.25884	16932.63238	15093.28091	15426.71262	14792.28695	14630.77865	14570.42028	15401.53787	17028.77225	16108.64797
1200	1500	14738.17546	11128.72158	13215.05323	14755.56975	13835.18457	15065.76403	13470.50801	14496.7627	15128.82084	13207.45534	14367.89013	13581.82124	14059.16327	14147.78557	14227.32389	14042.77077	14176.92251	13989.82291	14331.92431	14349.4045	13953.00917	13261.60661	12852.28722	12599.44759	13270.46591	15404.75164	14209.06301
1500	1800	12852.11954	12253.06807	12997.11986	12584.75331	13720.40918	12704.86919	12202.8609	12713.23783	13176.58166	12296.84911	12352.0304	12055.08302	12722.4066	12274.13374	12832.62033	12240.43377	12772.81155	12491.7942	12516.04275	12416.30924	11659.22608	12586.25765	12711.80208	11661.24943	12423.40452	13512.37964	12195.01161
1800	2100	12008.82855	10640.13052	11573.31654	12238.73744	12231.45215	12147.91376	12544.55379	11781.73168	13290.99923	10996.01535	11434.25834	10956.02152	11863.3194	11886.03701	12511.12745	11741.92275	12488.04953	11354.85918	12207.3466	11488.32346	10567.25452	11928.85107	11377.97732	10669.57999	11233.87658	12199.14589	10550.14258
2100	2400	10684.52859	11130.21396	10761.1685	10594.8219	11908.66797	10869.02329	10923.75653	10706.12526	11774.77726	10147.88637	10863.40729	9978.24079	10484.28868	10063.06485	10761.7868	9995.67846	10879.33284	10228.42031	10755.86894	10808.84598	10294.58241	11276.02913	11294.59364	10504.51907	10917.65033	11196.20288	9993.85489
2400	2700	9397.02265	10653.27085	9825.87695	8950.24611	9174.20898	9153.11212	10274.37878	8888.26712	11527.11745	9061.07252	9827.80275	8972.37742	9651.84915	8932.97416	10225.60306	9091.16286	10253.49399	8859.89907	10237.92013	10085.48514	9385.02408	10442.73796	10392.95486	9525.26456	9647.56135	10163.11597	8684.13227
2700	3000	8671.7632	10489.19067	9556.72891	8860.92178	9926.96094	8967.10335	10117.6293	8576.46038	10350.51669	8553.18934	9651.33735	8820.19471	10692.95312	8592.27687	10791.06598	8675.06296	10658.09708	8554.21399	10366.36421	9121.0372	8728.0928	11026.36279	12138.49783	9940.35268	9998.11018	9286.66657	7855.68412
