index	name	volume-mm3
203	parasubiculum	94.0
211	HATA	107.0
212	fimbria	89.0
215	hippocampal_fissure	313.0
226	HP_tail	1091.0
233	presubiculum-head	255.0
234	presubiculum-body	317.0
235	subiculum-head	384.0
236	subiculum-body	478.0
237	CA1-head	1292.0
238	CA1-body	312.0
239	CA3-head	208.0
240	CA3-body	199.0
241	CA4-head	255.0
242	CA4-body	240.0
243	GC-ML-DG-head	295.0
244	GC-ML-DG-body	238.0
245	molecular_layer_HP-head	624.0
246	molecular_layer_HP-body	459.0
7001	Lateral-nucleus	1380.0
7003	Basal-nucleus	889.0
7005	Central-nucleus	91.0
7006	Medial-nucleus	18.0
7007	Cortical-nucleus	44.0
7008	Accessory-Basal-nucleus	525.0
7009	Corticoamygdaloid-transitio	325.0
7010	Anterior-amygdaloid-area-AAA	56.0
7015	Paralaminar-nucleus	74.0
