frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	22.67071	6.46777	14.67249	7.38835	1.55534	4.42037	4.25523	12.6415	8.20708	9.79595	3.11174	2.70858	11.74777	3.58804	13.19548	3.76795	9.39006	28.03116	2.96621	16.38328	8.04746	16.78756	2.87037	47.26653	26.16759	12.61716	14.7866	24.06273	24.1749	18.95384	4.41473	5.78806	7.69763	3.30762	9.93854	6.72822	7.07807	4.07022	23.90285	16.31053	24.42691	12.7976	19.87567	16.88857	23.50343	20.34407
30	60	3628.79432	2903.04671	4978.03953	3291.31582	5398.83688	2443.01144	4632.87072	3182.05615	4633.62349	4304.7358	2895.50758	3473.20337	3091.5825	4054.9309	3147.39266	3848.64164	3607.21416	3299.21352	3525.02586	3595.99106	3922.19007	2726.66574	3454.0799	3927.27512	3288.74827	5010.13335	4163.2355	4508.90183	3739.40559	3061.25586	4953.90012	5250.81845	4442.76319	4837.69496	2598.00214	2484.15358	3441.61261	4720.1937	3604.63934	3190.13796	2668.06889	3445.11416	2879.33649	3313.13222	2526.46265	3103.80614
60	90	15270.28363	14508.49164	17033.58724	19010.72754	12112.74129	11722.39854	15252.69891	13630.06299	19559.91203	17527.01251	16040.7293	13001.39482	13979.79029	18246.83616	13373.49905	14809.5989	14535.87556	11755.32089	13990.73104	13315.90369	14707.38423	8958.89757	13834.56886	14652.78539	15257.21553	17558.82561	16126.35683	14519.51777	13172.78058	14402.99905	14475.24308	20561.44763	17494.49908	15940.26782	12667.26562	13546.32683	17322.64985	14676.26774	13701.15129	15498.56428	12796.93499	15131.03477	14849.93772	16341.59404	8600.2915	12799.5154
90	120	33859.99858	28804.34215	40739.38672	32221.04952	31759.24609	23190.4462	32194.34516	29842.93206	37005.84065	33707.34264	29800.80347	20086.67578	27975.2484	32962.6366	28930.75124	27405.86415	26272.42523	24832.36701	23287.93359	26144.20644	30054.67263	25193.62543	26345.16666	31690.20403	33186.10863	37573.54763	27894.59182	31688.3793	24394.79064	30254.17292	27726.82901	35758.58451	32347.59484	29420.78751	27542.93083	24010.46282	32617.77885	24280.56509	28613.80787	26628.28147	23993.04643	31747.65879	24377.58588	28307.98955	16426.854	24507.75798
120	150	45482.00501	36942.33462	53204.54055	43158.46944	40015.40565	33686.89191	44984.35746	37243.35533	50721.96362	44888.50466	42564.90063	30728.02793	36259.3194	49951.71372	37767.92674	41595.28309	37945.64068	33654.17725	32226.67367	37088.70807	40085.72536	28245.0217	37989.52158	39205.9878	40833.35422	44361.37064	48439.36813	36455.00352	31691.06063	37970.24292	41058.36701	51235.11719	45681.89675	41070.14847	36893.42204	36999.41406	47004.91028	36474.15314	36776.5172	38576.92559	32420.20018	38902.71719	37533.16722	42105.02514	21197.23047	36515.14332
150	180	46980.85475	42310.41466	55131.56362	53310.88609	41051.51743	39392.25692	45203.29084	38337.61649	56677.39832	51151.63563	48833.44885	32552.75957	42171.02499	56017.39442	41588.74815	46001.40576	40279.39673	37029.82069	35552.28939	41847.44886	45233.17029	34767.69922	45464.49809	45142.13653	47074.53357	55054.06986	51253.93415	46897.49492	37395.18587	43786.82467	35860.96005	59916.28039	51074.11481	47597.15826	42288.28971	39751.82969	53929.66914	41378.30521	41447.05232	40550.63736	37037.35509	46349.12617	42545.388	49312.23429	27952.06152	42247.6598
180	240	46916.97471	46578.10687	53818.30878	51600.88395	33034.13762	37670.36596	44601.93666	45331.63421	59541.01661	50902.89169	46660.19051	39781.52461	40397.52748	59384.43237	46436.62638	47763.57093	43642.15362	40085.05558	43205.60091	44572.9141	48443.05508	31924.8036	47248.3396	48779.6955	48804.87407	52790.40234	51978.49931	39738.86367	41647.62748	44386.05066	42783.95579	61932.39341	52102.21173	53456.21291	43280.84473	40581.10522	55780.50935	46766.60528	45476.10458	41831.08166	39224.06122	46036.95078	43520.05633	48524.41281	27177.09668	44284.60074
240	300	43523.30869	43694.14934	53255.891	52757.02206	32833.24895	38363.72746	44443.38027	39350.64035	59149.30195	49110.15597	47402.17497	37573.91914	41001.44184	55335.21737	45044.11173	44520.50918	40551.35762	36762.79862	39043.00651	42078.42096	48011.67813	38955.44575	47640.3603	45831.58464	50384.18734	54534.22175	52190.38638	41918.62305	37468.18771	42144.48194	41934.70011	60441.32913	50934.84618	47322.20415	40328.40332	47048.19652	55306.16281	46207.18423	45718.37496	43351.19206	40416.60468	45366.47734	43659.55509	48254.86699	28112.66406	42259.71372
300	360	44478.19603	46454.73133	50760.94922	52646.35243	33310.18179	39634.12141	42556.16424	40597.29408	55713.77808	47497.25868	50930.52002	40373.95508	41633.68103	56609.21802	44609.47298	43056.64264	38969.67945	39022.9122	44707.41276	43196.13955	46487.658	35267.9553	47114.26259	44361.3104	45090.31735	53959.6887	50311.36135	43010.12422	37719.99189	40370.30856	36381.17099	56229.35768	47457.85566	44115.53669	37932.80241	43139.8299	52758.09768	40886.26242	40274.21103	39429.43314	39957.06299	43669.28672	42574.3243	48085.10475	26780.54102	41290.95624
360	480	41113.87988	43851.5595	48162.70219	49039.32491	28725.49639	34674.92823	37951.85903	36524.31557	52243.64904	44151.61607	43748.80977	38194.61445	38475.96262	51660.32063	41244.50162	41489.23263	37205.26301	35923.77872	42483.76595	40554.14738	44464.23412	30640.95204	43787.90593	42844.42259	41520.43057	49713.52517	47308.65398	40280.51582	35117.4198	40327.36799	35707.5158	53668.5001	44491.68623	45594.20645	35382.97445	40822.37067	48423.49037	40237.66763	39292.13549	34975.83944	37678.88864	39184.23633	41350.002	45486.11126	26992.45605	40643.26723
