index	name	volume-mm3
8103	Left-AV	153.0
8104	Left-CeM	63.0
8105	Left-CL	20.0
8106	Left-CM	260.0
8108	Left-LD	29.0
8109	Left-LGN	348.0
8110	Left-LP	160.0
8111	Left-L-Sg	4.0
8112	Left-MDl	231.0
8113	Left-MDm	757.0
8115	Left-MGN	78.0
8116	Left-MV(Re)	7.0
8118	Left-Pf	52.0
8120	Left-PuA	231.0
8121	Left-PuI	266.0
8122	Left-PuL	154.0
8123	Left-PuM	1246.0
8126	Left-VA	366.0
8127	Left-VAmc	8.0
8128	Left-VLa	573.0
8129	Left-VLp	928.0
8130	Left-VM	8.0
8133	Left-VPL	1032.0
8203	Right-AV	153.0
8204	Right-CeM	62.0
8205	Right-CL	13.0
8206	Right-CM	259.0
8208	Right-LD	22.0
8209	Right-LGN	286.0
8210	Right-LP	139.0
8211	Right-L-Sg	7.0
8212	Right-MDl	236.0
8213	Right-MDm	769.0
8215	Right-MGN	106.0
8216	Right-MV(Re)	5.0
8217	Right-Pc	2.0
8218	Right-Pf	42.0
8220	Right-PuA	189.0
8221	Right-PuI	210.0
8222	Right-PuL	148.0
8223	Right-PuM	1145.0
8226	Right-VA	378.0
8227	Right-VAmc	7.0
8228	Right-VLa	647.0
8229	Right-VLp	954.0
8230	Right-VM	2.0
8233	Right-VPL	1176.0
