frame_start	frame_end	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
0	30	9.36162	10.07146	7.88955	6.382	3.86042	6.23147	1.33362	3.85642	3.5039	0.82831	8.05873	7.6612	4.67701	1.22474	3.28665	1.98835	0.18475	12.69163	10.07964	2.1816	9.92479	8.20125	9.74281	2.67522	4.53904	2.48873	3.38075	0.98095	0.9155	6.92353	0.65281	7.36606	1.49448	0.7446	8.55441	8.26792	4.89122	13.36661	2.24189	4.79192	13.73074	2.26288	5.7766	3.09041	4.01731	3.21764	4.68609	11.85451	9.24666	1.13479	4.81699	7.06827	2.66507	2.6347	1.37708	11.6486	7.24554	4.83164	1.80963	7.26815	2.79635	3.37956	5.4137	6.57797	4.86858	2.97795	3.72926	4.14955	0.61818	1.18896	1.6021	3.23166	27.14896	19.94659	7.02434	5.83038	0.38522	2.62269	8.77453	8.78129	6.06976	7.98592	4.1562	3.65297	7.25577	10.81147	3.73214	3.53209	3.43591	4.16597	4.90417	3.4548	5.16367	4.88103	3.71637	6.54032	5.13099	3.52099	4.87836	7.22953	8.54858	2.62689	8.09989	1.71432	9.59796	9.96421	0.88464	13.86927	5.99124	3.80754	4.6088	5.34946	3.69959	3.18282	6.66015	7.6909	8.2988	1.18226	7.80258	2.93209	4.60797	1.30348	4.51828	17.95469	12.85643	7.68843	2.38016	18.97092	2.04024	9.26101	6.22475	12.59473	6.89964	3.03216	2.95856	4.22001	0.88069	1.644	0.97172	2.57503	26.6969	16.49782	12.82679	13.31432	0.34649	6.30039	7.86568	6.09452	6.19272	4.79345	4.19754	4.88932	4.34755	30.19658	8.43696	15.72362	3.56646	3.18212	6.04772	4.85726	3.73451	5.01111	7.03232	8.78211	2.51602	3.28921	3.18411	12.30899	6.71317	3.15205	5.82796	2.63213	1.703	11.34014	14.77606	13.68274
30	60	55.04043	11.03806	4.93669	4.19524	31.34812	56.60326	27.80472	43.71504	69.47003	3.93811	15.54158	17.55267	10.63462	65.84117	39.76854	38.69643	28.71805	52.26695	38.88352	21.90667	4.10004	7.18262	73.03917	36.3828	42.63262	74.63444	19.72116	17.44458	43.76005	52.89395	77.48641	87.75768	27.89659	129.05804	35.37174	24.83077	52.44519	80.18596	86.45177	39.37348	72.25283	121.72005	5.54915	12.93608	62.29942	10.60014	76.38418	36.58298	20.65298	36.01561	21.04487	35.05853	18.19662	62.94478	50.55352	21.42437	21.79556	79.53927	98.53528	81.51068	81.89481	72.5376	29.88833	49.74339	76.13708	86.26939	34.92373	47.95994	38.77592	7.23863	52.63611	35.90816	46.25689	48.25602	96.14587	96.40957	3.71159	11.46715	44.98538	18.2564	52.9269	32.55397	17.68089	25.02666	15.42752	44.03349	14.15114	69.87768	43.98316	16.55718	22.53688	61.62176	77.10029	89.98295	77.53357	88.02437	49.39403	60.44069	84.99935	77.37615	49.11803	69.64785	8.57461	6.96166	93.58598	39.42287	58.51157	45.3668	72.08555	126.25317	5.85767	16.61751	75.10225	17.66854	77.75493	46.47816	25.91443	40.03027	27.13449	40.95811	17.09712	54.2701	58.14329	40.38078	23.92595	85.38207	102.0665	75.18524	78.83612	68.65993	45.43644	50.99545	68.30967	91.50181	32.63892	45.14654	53.58879	4.41964	50.86855	44.04863	32.73644	52.20612	129.96778	94.11925	4.65862	15.85081	59.13951	16.42061	53.06374	53.36067	24.86954	25.47566	16.0722	38.68848	15.88391	51.17652	43.41285	15.43803	22.50812	73.29974	77.65788	40.20774	69.68591	83.40054	69.90174	58.07969	97.01876	75.30287	47.02596	52.16856	7.42007	4.0807	95.29911	41.70001	53.14007	47.21415
60	90	1858.27714	3356.42157	2199.86058	2741.27945	3062.97522	2598.37911	3674.8205	2922.49876	2659.90058	1881.64819	2508.87557	2906.81106	2062.45778	2888.06763	2579.13886	2796.75094	3127.71912	2350.21129	1970.42646	2089.78216	2111.59519	2625.81476	3354.92954	2627.48586	3109.58415	3014.26767	2673.30414	2393.53682	3955.56184	3142.76599	4316.95203	2587.13769	2821.39344	2481.11768	2671.78818	2415.85113	2471.37979	2193.01805	3403.68575	2857.48298	3216.48037	3822.4193	2309.52587	2618.80141	2830.59057	2576.73532	3402.82138	2870.77781	2947.12622	3493.65554	3155.29408	2642.56341	2389.73111	2613.35311	3571.83862	2959.95615	3044.29875	3643.83814	2834.59945	3623.44192	3049.75072	3456.47305	3051.55077	2846.22861	2981.50831	2606.53652	3198.08871	2933.85864	2856.17884	2836.30181	5067.20666	3497.56756	2896.51539	3452.39463	3293.59213	3821.80505	2215.23754	2261.89816	2906.34842	2531.12357	3229.29125	2694.30163	3025.33147	3159.41674	3403.27329	3072.05859	2403.35898	2871.69771	2986.69286	3490.82105	2975.49739	3383.70349	2823.15603	3594.59238	3090.10309	3417.22425	3203.65713	3282.31208	3466.32012	2630.12048	3493.76372	2910.43464	2810.18515	3012.71096	4864.7658	3342.54886	2593.67292	1982.40571	2721.36064	3243.46234	1712.3845	2186.33102	2736.90378	2271.13905	2201.85628	2621.39158	2485.1264	2874.46815	2737.67283	2447.32219	2506.35895	2273.84805	2713.98814	2777.31834	2558.15712	2712.92525	2791.27181	2333.67659	2629.51813	2626.5062	1974.60194	2643.30922	2585.1967	2589.91378	2756.40083	2589.36796	3065.21148	2757.87407	3894.5888	2666.33059	1985.64649	2588.61141	2875.52986	3130.13374	2026.51922	1878.61112	2756.51617	2174.43146	2309.1147	2457.01453	2338.41597	2745.45774	3013.88855	2446.47585	2859.86388	2541.40807	2062.15368	2718.68871	2376.40978	2677.77033	2726.48528	2800.33825	2516.97727	2497.52565	2303.72642	2807.69304	2907.97041	2547.43672	3223.2605	2362.76564	2825.78033	2285.30553	3844.85212	2682.50929	1695.59156	1795.44358
90	120	6123.17574	7362.87196	7845.84136	9735.8102	11174.0187	9200.63927	11346.42382	9461.74876	11053.52055	7000.52687	8334.1656	8806.24799	7640.03724	10486.85757	11840.98714	9090.62561	10190.5223	6812.68114	5441.99123	6669.5444	8123.37765	9929.09741	11620.99121	8514.24711	11685.63603	8108.12645	8807.64157	7981.95571	10266.64697	10394.85822	11346.86861	6985.79379	6940.00454	6925.51628	6809.02682	6049.20056	6961.13546	6887.48539	11426.99453	9617.8453	10569.51383	12451.21512	6517.83505	8829.74632	9555.73789	8856.76388	10960.19499	9677.18833	10392.2931	11152.82975	10325.38233	9241.36596	8686.54853	8890.93756	11455.13348	10028.64836	10248.88148	12076.72139	9409.76013	12063.25824	10387.81663	11774.715	10217.63227	9868.82626	10176.25735	9018.99785	9983.29757	9247.26098	9251.18279	7360.43332	16764.71895	11239.17657	11843.53094	11017.1925	11609.58534	12419.67427	7315.6532	8513.42249	10161.44863	8671.567	10850.84053	9673.2245	9927.09582	10631.43561	10906.78597	9995.80383	8045.07112	10242.87707	10263.30145	10558.0482	10719.14299	12701.56009	9724.25178	12377.8188	10333.79011	12277.8694	9530.92002	10955.97634	11136.18141	9095.64215	11089.08545	9787.3027	10723.61553	8827.6709	15472.52344	10423.40667	9410.45917	6074.61408	9311.51518	10919.34755	6132.55818	7098.70431	8840.94261	7550.28036	7095.839	9121.36513	7741.97536	9200.38937	8452.90188	8380.19841	8889.56266	6318.37725	9349.59423	9871.60668	8393.68246	9351.16916	9177.99036	7523.39199	8985.5354	8533.45903	7333.98863	9536.09568	8895.88075	8722.04252	8827.89479	8502.15653	9825.60849	6994.42937	13109.01269	8504.80207	7666.00838	7780.69937	9490.55479	10925.0373	7448.63931	6380.67428	8909.1074	7175.92257	7911.65038	8600.65927	7793.5017	8949.38641	9715.9358	8018.07495	8834.11011	7899.70399	7175.73667	8638.98678	7969.60692	9786.89627	9173.18553	8807.57602	8109.96038	8914.17013	7138.83762	9185.91968	9301.03551	8374.82411	10219.5763	7329.17689	9907.68925	8022.9323	12615.17547	8235.3988	5312.24189	5424.13602
120	150	11341.30894	14360.19655	15654.29262	19018.51402	20776.75014	17902.11728	23384.90367	18902.83066	19086.37197	12240.06156	16902.55435	15959.12081	14897.0006	20191.42339	23723.77087	17427.25174	18071.82878	11835.58375	9711.66677	13494.56564	15492.64989	19224.75145	22972.40839	16370.76149	22515.49493	16164.36316	15608.81596	13740.65512	20001.37481	17336.98586	21786.19647	13107.57338	14725.01121	11121.87384	12642.83823	11808.21883	12738.60175	12528.45367	20841.1876	18802.19008	21014.47036	23584.75712	13746.04155	17173.6885	17972.18396	16854.87723	20592.57819	18561.44713	20043.70104	22050.99958	19643.51066	17596.94986	15894.38173	17985.00285	21880.01212	19440.26245	18959.60051	24489.64436	17978.06171	22635.33356	20045.21329	22215.10037	18711.85626	18857.127	19075.06758	17722.08076	18326.22979	18449.39033	19888.74092	16298.53106	28450.30988	20178.66163	21370.52014	20473.54046	22001.96274	22577.08512	14321.45393	16288.63147	19004.9498	17444.66522	20465.32595	18245.13609	19163.56706	20118.7408	21181.74035	19542.17873	15842.19712	20104.93257	19506.25921	21117.53889	21071.22558	23384.11092	18321.13804	22746.78763	20040.86684	22419.0482	19425.93639	20998.20522	20478.48613	17722.87939	20250.27339	18434.38458	20615.99343	15521.10585	25338.94674	19027.40511	16645.88978	12448.24091	17245.84953	20093.55604	12820.9726	13126.48392	16691.75884	14597.00356	12990.69693	16779.38886	15096.27404	18253.33382	14698.81863	15898.02664	15039.79176	12542.35129	17419.42143	20808.48774	15805.75691	18194.95721	17680.13823	14006.94613	17195.48837	15824.30163	12505.99166	17608.03557	16154.257	17063.80737	16649.78696	16103.14718	19761.22348	14437.97858	22986.18553	15366.94479	13756.55497	14308.72997	17463.86157	19416.76305	13692.40544	12423.27778	16452.85911	14349.27627	14281.71781	15707.2229	14833.55535	17402.09545	18122.78412	15055.11974	16314.10607	15240.32217	13615.40873	17071.84706	16608.99771	18269.41721	17893.15685	16201.74934	15494.95845	16050.10798	13396.05202	17126.91467	17611.93173	16606.19919	18705.94124	14032.42746	19609.61896	14289.60492	21166.44408	15491.1889	9785.3602	9972.84123
150	180	15655.88747	19923.80405	22173.51212	27975.78297	28688.40986	27263.14084	33614.23091	27500.16243	26142.91849	18984.65834	24063.52592	22803.08953	20530.90976	24461.29617	32697.57963	25283.67618	30711.7526	16304.02332	13605.89642	21050.9029	21921.09225	27810.99617	30278.10258	22944.44658	32077.88767	22905.48077	23444.20522	21650.28214	29116.81659	24954.35686	37305.08896	18914.28689	17288.35611	17198.61622	17860.67156	15621.99511	15178.75421	14849.04046	30397.46882	26759.47872	30370.51045	34809.27499	20045.09162	25847.48505	26531.89506	25423.21954	30473.76997	27439.36039	28754.90679	30871.68769	27976.89934	26389.05376	23080.49936	24955.79423	29453.37254	26852.20974	27970.77211	34378.60108	25949.27228	32196.06779	28574.55553	32229.00712	26764.50806	27277.23035	27559.04765	24550.24943	26134.31287	25620.87381	27827.15848	21529.26213	40597.79893	28919.30971	28820.61746	29346.02332	30724.74836	31996.87568	21726.08435	24048.64156	27696.13771	25159.46821	29677.12896	27038.32319	26966.7668	28889.13319	29944.17473	27436.96098	21814.43746	28999.41481	28750.30827	29281.45841	30146.83235	34168.64582	26256.61933	34212.70941	28484.7043	31635.90983	27106.23119	29568.50742	28903.29019	24770.07128	27539.39205	26334.43142	28121.81828	20340.49432	37836.93852	26114.0201	24480.49071	17241.55426	24348.25305	29969.99844	19080.1849	19111.50856	24027.49648	21092.43223	18105.88927	25003.95717	21486.59529	25323.72122	21359.72596	23190.5725	21818.46271	17533.33448	24097.03399	27015.03219	23918.03449	25625.14766	25628.47132	19396.96695	24618.35884	22692.9462	17432.39234	25230.32376	22927.36535	23381.82949	23126.37326	22604.76042	30536.99751	20119.27285	32755.85177	22443.27066	19118.66265	19869.2348	23793.51939	27583.08547	21113.02695	17751.04713	23116.92252	19786.01051	20179.29701	23212.7061	20471.8344	25022.76334	26323.8285	20859.486	22590.64375	21669.49407	20455.98307	23203.66284	22584.93257	25491.97741	25063.11184	23436.51483	22402.05197	23065.78387	18445.43337	23863.72925	24722.32962	22782.61111	25883.22512	19570.09325	26586.62086	20131.36722	32353.03479	22230.31331	13771.69796	13855.85347
180	240	19762.18498	23446.34573	27638.52948	34796.12978	35552.24935	33858.63196	42506.32206	34051.53385	31964.87852	20973.68834	28894.92252	28180.49831	27393.30039	30353.52268	41601.67515	30272.62431	35596.46224	20373.54537	16678.67445	23136.64568	26862.34297	34622.45303	38235.67301	29788.09642	39843.26667	29050.08797	27425.53678	25748.359	35918.70312	30708.16647	36772.56232	21414.62497	18819.1797	19657.52339	20373.52771	18114.21284	19664.90101	18464.15646	37317.41466	33791.79081	36313.3678	41639.97316	25553.69034	32544.50797	33299.00191	31201.28303	36452.73378	34327.20556	35120.27115	37997.95935	33656.04337	32060.82709	28428.2416	32062.43596	37651.52037	33966.23804	33891.15576	41976.70558	32268.00497	38141.4077	35027.00734	39468.02507	33008.55668	33679.98476	33656.0909	31989.3543	31146.9238	32178.3901	34249.63986	26921.23898	48335.87204	34605.01759	36917.70812	35196.38642	37872.89863	39567.42005	24049.2328	29947.93425	34896.26172	31970.35142	35640.20718	34097.83151	33773.98072	35970.00012	37279.23716	34484.4301	26624.45921	34584.93408	34953.29487	38353.67399	37613.74146	41415.58606	33178.51747	40655.37309	34710.82294	39241.70055	31571.35357	36974.86601	35162.91362	31330.50856	34237.26565	33241.23897	34341.38118	24801.8204	42373.43866	32132.79664	30964.36331	21995.84565	29696.70799	35847.70946	24558.17133	24258.42219	30230.89316	26127.76804	22750.1474	31296.53026	26651.86827	30778.91414	25782.93201	28562.56416	28306.08675	22584.69773	29624.55107	33619.44428	28119.37359	30423.54508	31965.89727	23163.76913	29633.27089	28486.81509	21601.89568	31432.85279	27857.16515	29889.79771	28467.34295	28804.12019	35604.36572	25201.74795	39035.21528	27722.79026	23442.67758	24998.66299	29810.71913	34612.75367	25037.57717	21998.53133	29129.05707	25341.47865	24617.79124	28728.25595	25977.02431	30885.10092	33350.86729	25706.99653	26742.36723	26345.40709	24628.35697	31170.53057	28303.978	31174.36919	31077.63801	28638.52668	26680.87238	28481.02434	21793.93143	30034.72597	29555.31557	28760.69111	30662.31579	24425.85867	32731.83465	24694.57755	34740.37346	26432.93771	16672.3699	17170.7172
240	300	20983.55822	25892.57318	30673.80456	38662.12309	39418.68429	36140.71867	46585.30853	38330.21684	34964.21482	23329.92919	31887.21602	30512.88241	29128.83417	33475.6866	43024.21299	32963.59087	37400.78125	22067.36737	17199.87555	25165.40822	30159.46442	38240.26573	41159.758	33165.95385	44132.86121	32598.81491	29438.54826	26381.32983	39131.93317	34490.1401	38982.67951	21473.3024	19701.5027	20884.37404	23634.40065	20747.3702	21467.42752	18314.58512	39883.21722	36307.01692	39112.60258	45997.73992	28200.69268	35394.9308	36376.87664	34646.04645	39457.71921	37376.43006	38415.92902	41495.20134	37531.95586	35614.25496	31565.17239	35207.96525	41315.32719	36639.31116	35930.54237	46307.20431	34686.0961	42800.09426	38303.72449	42686.74499	36023.39858	37030.00558	36942.59709	34568.79517	34475.43456	35091.22336	37418.01131	28639.74204	50341.04279	37501.46553	39319.40838	37689.07228	40539.85013	42819.30067	26851.32719	33113.06816	38017.6737	35153.91305	37892.37036	38003.91739	37000.11939	39297.48447	40011.05502	38553.12373	29904.25293	37667.19942	38254.68183	42412.37212	40255.55974	44858.69349	35700.62101	45164.23148	37971.98533	42588.54165	35096.17657	40470.74751	37657.40074	34064.61788	36743.40201	35929.20684	37287.45106	25394.16709	42754.01879	35614.89097	32423.72053	23821.57065	32303.09779	39991.4258	28345.46829	27267.26812	33374.88	29664.12735	23983.11228	34175.34588	29762.23947	34072.5716	28951.13748	31227.93783	30832.43544	25059.82197	32474.70368	37134.35086	31665.85972	33789.68829	34909.803	26314.61976	33125.78992	31137.43483	23960.13055	34156.0209	30638.14873	32502.24257	31275.12474	31655.59321	40765.99167	26756.19782	41316.63886	30872.30005	25771.67998	26110.43061	31790.26028	38253.3582	28071.7111	24879.10754	31719.48137	28641.66951	25258.35468	32076.09466	28333.63927	34584.15106	35130.40367	28395.87842	29429.16053	28848.65367	27380.56041	35255.02296	30403.90283	34206.30162	33651.90551	31161.05918	29715.63861	31634.3019	23809.14717	33006.24839	32414.83095	31782.62577	32891.28044	26461.44905	36072.12669	25186.93008	35499.04781	29436.46211	18889.09937	19147.01535
300	360	20125.6535	24250.92537	30783.33999	37875.63912	38857.71875	36247.80513	45373.1714	38343.37601	34093.67434	22562.3218	31364.67603	29955.56133	31517.28795	30988.43457	45250.52544	33464.70756	36165.42969	19436.31622	18087.10659	24022.80658	30129.56555	37911.6585	40697.01095	33257.64713	43642.326	32778.07102	29657.03998	27786.33799	39823.21009	34566.2509	36859.1511	21662.26434	18927.78181	19963.8639	20303.86959	21236.08294	19927.64018	20885.54211	38916.81583	34982.05451	38077.2515	44395.03919	27922.16339	36425.91476	35211.9398	35263.57623	36730.93303	36738.69555	36900.78037	41100.65191	36981.14692	35477.32939	31287.78986	34502.04103	39824.22421	36330.83522	35891.72844	45101.87072	34196.39418	40395.79648	37430.72508	41945.24541	35868.48327	36077.20337	36015.04821	33848.72617	34517.94473	34393.62175	36644.75896	29882.72687	46839.10847	36801.11489	38275.70557	36375.22385	40245.53779	40824.66242	26387.29929	33908.44515	37339.86814	35287.32624	36713.82884	37168.35748	36229.4117	38785.77694	38920.0412	37685.89451	29852.87809	36379.76106	37446.11181	41288.65993	39499.24787	43850.47762	34767.81967	44293.29444	36839.90912	40693.35324	33519.07525	39954.59039	36868.16946	33717.11518	36093.40979	35464.74342	35509.00647	25796.99686	43183.51423	35135.30518	32071.38006	23460.79678	32040.31517	39431.42137	27698.42729	28033.9511	32870.99135	29799.92663	24498.76098	34287.59834	29405.55803	34047.99941	29034.93822	31926.45477	30334.50611	25515.96005	32423.52234	36532.9322	31503.76731	33530.77107	34085.60612	25462.30675	32209.76775	30750.4472	24192.06812	33520.736	29945.57173	32253.51312	31722.49418	31343.50758	39220.98907	29243.95254	39265.6461	30279.78883	25104.16216	27292.77858	31727.96686	37061.73039	28265.31755	25484.22265	31480.64987	29236.0948	26716.89905	31695.98293	28756.76406	34019.08136	34580.33002	28005.05303	30003.90378	28255.81222	26932.2995	34577.65428	30361.57117	33472.5408	33041.39181	30869.45184	28868.62852	30668.87354	24501.29575	32616.11122	31851.30787	31352.55065	32454.87532	26917.88331	34681.3764	26188.5605	35347.49644	29755.40993	19169.14667	19263.94233
360	480	19093.66872	23055.65686	28897.64215	35502.34734	36766.69441	33947.2362	42173.16594	36589.05643	32458.75586	20989.21294	29662.64848	27897.41668	29348.79156	28385.20138	40892.41435	30546.30869	32484.37826	17979.94731	16961.93307	23436.20013	28321.94224	35113.98586	38219.54408	30623.31321	40140.49521	32054.50271	27799.54422	26767.53933	36774.21929	32609.24916	33399.07475	20731.99727	15109.80096	18673.66738	19782.37098	20070.7692	20267.99716	18770.39625	35435.11788	33738.72725	34521.5429	40577.76832	27143.10145	33983.82704	32805.54667	32933.95577	34708.1657	33504.55679	34489.24733	36938.26424	34976.29303	33154.25975	30160.02024	31680.9213	36185.12008	32890.25333	32815.3134	40413.57099	30918.25827	36769.5656	33960.06647	37475.727	33217.33747	33053.92801	32863.17099	31293.46759	31602.57523	31560.94698	32641.64175	28021.38182	41604.65997	34123.42416	35838.32715	33925.16351	36479.36346	37908.13157	23656.21642	32297.19757	34243.76797	32927.10601	32934.68219	34209.05331	33773.24692	34794.86448	35927.87416	35031.8003	27882.22095	32942.70416	34288.86487	37190.43108	36227.47906	39844.17599	32043.47993	39634.32262	33481.3146	37221.66236	32200.02826	36158.3979	33388.61554	30673.37845	33220.94084	32645.66609	33332.79737	24486.67041	36863.85256	33013.30449	30105.88202	23277.22902	29493.0673	36144.42215	26911.57474	26913.81122	30428.31396	29118.14113	22996.01844	31738.9123	28005.40319	31246.82533	27770.43977	30241.33409	28610.16951	23431.54012	30120.86475	33441.14259	29031.96544	30299.30025	31265.29158	23817.30942	30085.52873	28729.06851	23009.79086	30862.90377	27938.85978	29678.44892	29477.52753	29222.6675	35953.44487	27466.57485	35258.18353	29136.63485	24719.16763	25313.05534	29072.03946	34133.42404	26634.67718	25002.57465	29378.03708	27988.81545	24094.19578	29681.52989	27439.36306	31198.05097	31932.57191	26792.86758	28422.5374	26568.47292	25925.61707	31906.94463	28896.47512	31125.46502	30346.53268	28346.27612	27039.44119	28545.99967	23966.99359	30259.0483	29399.48927	28881.90478	30483.7674	25231.60488	32982.13175	25499.31284	30421.2478	28027.35638	18618.129	18942.01627
