frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	0.69751	1.54184	0.74347	11.15296	1.36267	4.60387	1.16091	13.16046	6.16567	4.37732	1.59958	0.40218	6.24776	2.38196	1.01406	11.76411	1.60096	2.73937	0.60322	2.1768	4.45926	0.84421	5.61127	3.48363	13.02161	2.8335	6.46543	12.7291	54.18221	16.16957	48.6248	4.87075	4.96276	27.86495	3.65903	16.95543	11.85742	1.94542	68.51171	0.28607	6.57914	8.14058	15.17102	4.42269	6.59826	3.5526	5.38099
30	60	68.07373	20.13697	89.45162	20.26726	86.92241	16.26063	75.44316	26.16656	35.0914	58.90682	13.7345	34.296	37.89484	9.45774	15.45353	21.51936	15.42314	38.27649	43.06346	32.86963	19.50773	6.55027	12.17265	50.49604	16.59291	80.46244	81.60481	39.16082	11.09438	32.56068	34.27081	64.37419	76.45686	16.17411	17.1489	9.03112	73.81988	152.38157	44.75612	212.77377	100.73074	17.97772	8.35803	37.07359	50.81239	65.41218	90.63516
60	90	3001.60865	2583.3891	3504.07002	2968.97048	3100.10144	2302.53051	3218.87222	3235.88611	4247.17399	4207.32121	3544.33596	1799.00342	2658.58111	3246.33721	2474.75151	3130.83454	2942.33803	2537.04758	2098.90808	3342.20136	3232.43268	3711.94394	3048.65282	2374.48852	2678.1748	3388.25178	4089.01807	2869.84645	3698.9003	2796.04114	3640.83629	4624.00731	4271.8778	4871.94369	2398.15332	3240.52173	3492.13574	4354.29148	3863.9114	3363.90701	3564.8722	2329.91982	3079.4142	2707.29176	3460.465	3401.01782	3432.1527
90	120	10675.9592	12814.20795	13365.18979	12035.16052	11225.54189	9356.0899	10631.906	10104.07495	15416.08535	14907.37278	11995.6406	12121.40444	9627.55081	13328.82342	10612.35315	9325.30192	10949.34867	9795.67656	11350.08044	11134.66012	11834.65472	7817.4906	9729.98748	10831.7716	13358.71094	11343.76758	13258.9864	7299.51203	10593.67984	7551.48384	10091.10756	15283.23604	14783.81138	12774.89781	12150.32871	16097.15869	11315.95528	13485.33106	12066.86736	9923.02545	10615.64222	11099.8152	13514.43569	12217.79522	12385.43187	9136.02783	11657.47777
120	150	21473.13844	24469.42008	22824.57051	25576.93885	17054.59712	15822.85745	17699.22976	17914.10693	29414.72642	27751.24297	20855.66832	21206.26116	20821.42745	25746.00279	20240.83449	17130.66185	20483.02128	18848.73049	22308.44336	20055.88461	21311.39313	18225.11987	19426.13647	22579.36946	27260.59769	27660.85111	28131.63885	21218.43572	16789.65253	20625.75958	21125.79018	30134.87047	29212.75271	21004.56696	20569.74648	31591.50586	25792.45115	28647.69288	21422.20808	21794.56738	22051.35728	21744.27317	25159.0399	23464.67929	23078.25184	15868.84619	21710.87155
150	180	30513.52399	28167.89636	32553.42725	37122.27503	23789.73626	25832.47216	27107.46063	22790.34668	39469.68243	36619.08037	32453.8252	24918.21429	27794.47151	35385.34695	26940.71729	24300.31948	26174.40468	25733.40398	25137.16113	30054.23291	31560.57648	20381.91895	27034.69632	28867.17385	33535.33528	33284.68089	38058.3191	23012.14276	27558.8988	25470.69885	28997.78265	39790.66919	36752.44945	36872.66904	27715.38164	41211.33398	29211.92836	35254.23681	31257.65184	25647.96536	27081.84152	28665.60423	31504.67467	31306.1428	33659.64791	20818.1416	29780.17168
180	240	36695.976	40045.13052	40694.20937	45489.63169	32213.23862	29281.00899	33547.91963	29255.46191	51416.5353	47362.17993	39702.03122	31637.45257	36027.41016	46593.42728	34285.16473	29625.75247	33297.48857	30266.46417	34378.1106	34710.2436	37884.65086	27688.21436	33779.92968	33724.7944	43341.44525	42915.3155	45887.31865	31788.18395	31677.1044	34000.25568	32667.28962	51209.54491	46326.98974	36690.02692	36418.55625	52421.65625	41191.33059	46551.4736	37766.20165	33241.60613	33810.48231	34618.35252	42768.8471	40329.66427	43945.43897	29336.24121	37920.11237
240	300	39409.48297	41919.97669	42760.75566	50441.47012	35139.4668	33523.74546	37752.09969	33375.6416	55001.52643	51610.59078	40353.3726	35700.5971	38869.08936	51567.55746	36988.52426	37181.41022	38105.82806	35187.52488	37306.81104	38114.48534	40778.32055	28799.94434	36330.1711	39962.36942	45111.40367	46734.80529	50939.70392	33069.05513	35759.92082	33378.63968	34680.31445	55684.94831	50077.12868	42224.24057	37937.38672	53779.19336	43629.44071	49675.44998	38622.96365	36778.85015	35141.95827	38702.75647	43600.41741	44369.1707	46772.68408	32336.40039	40740.27367
300	360	37646.58317	43717.42801	42184.4666	48555.55871	32661.10964	34884.21743	35357.3584	32391.77295	54537.97661	49515.60782	43244.26019	36466.92857	35407.05799	49647.79942	39601.30261	35921.47083	37031.03641	34539.87694	37838.1084	38057.5543	41188.1914	29986.15039	37368.18689	35737.61774	44181.02457	42687.86088	55116.62719	29224.65483	37729.70506	31261.45976	33455.69392	54132.2499	49829.02682	46463.02274	35130.56953	51512.70898	46485.58082	48896.80751	38544.85288	37311.38605	33894.30644	37440.88461	42026.83761	42368.20312	45480.00347	31359.66602	42881.59294
360	480	35561.39791	39221.1441	36804.12988	47163.31087	29565.42012	32688.90953	34708.70629	31310.57422	49949.51464	45238.20884	39220.74316	33330.03544	36047.06889	46243.14218	36685.22733	34634.94781	35102.50667	32812.73227	33873.9043	37705.0971	39735.25098	27550.78735	34801.67425	33261.52256	41683.43599	42160.42353	46471.80617	30730.61621	34737.08127	31876.50667	32085.25614	51308.97996	45146.88757	40673.66767	35277.96797	49770.74414	37242.82068	47688.03098	37455.88527	34392.32669	33140.48377	33769.9941	39929.31138	39898.06269	44273.13521	30668.17871	40061.36355
