frame_start	frame_end	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
0	30	288.29985	266.09973	278.34871	226.90141	346.42367	439.29445	456.89854	316.79399	342.87727	246.18718	325.17455	296.95023	202.01206	316.09324	645.07499	469.63939	162.48314	181.90946	331.38244	447.07438	369.16431	248.36398	327.13355	506.66077	496.49048	338.59949	340.76865	408.00508	722.94683	417.46543	239.48582	258.59058	383.83324	687.30164	304.24508	224.42032	193.55602	274.94784	538.3482	278.34668	423.87328	336.271	249.58906	330.87697	341.93062	201.71166	124.93273	286.4726	158.7445	301.97919	295.63041	328.2062	160.58989	200.63431	367.78271	362.75665	144.49848	268.35564	293.56898	260.33882	266.5531	297.17166	326.02236	460.98528	299.98203	404.95167	223.01502	261.58033	303.08685	92.03962	126.01456	387.31473	671.45022	389.84219	365.64526	415.84709	300.03839	613.47438	340.898	214.18422	207.92983	384.38188	173.10486	315.27325	349.20828	427.74263	162.59988	245.40897	370.09207	450.99391	179.12102	301.98137	363.26907	280.10654	430.06571	311.37393	390.62171	371.59211	357.13397	349.7089	227.11026	292.99096	312.98339	78.47301	162.25651	426.14798	518.0184	355.91017	312.51809	388.89609	231.08858	229.06677	287.71266	309.24869	238.54653	194.02519	221.04655	349.03989	262.04684	337.1867	244.69824	132.65752	398.52641	333.45284	330.73222	329.90553	302.33575	315.70114	221.24824	307.54455	284.31282	387.9683	373.60976	420.01966	293.35965	325.0758	319.11244	177.56474	190.22431	290.44226	401.57121	314.24711	285.28807	363.45449	274.31109	210.22612	344.93534	308.95521	246.8056	238.90772	306.23715	441.66463	336.56775	402.41926	186.38437	264.7287	267.153	402.21916	298.72933	398.98739	320.7349	356.20825	305.97046	317.08391	316.54381	404.28313	327.13401	369.43983	331.23222	357.47289	418.87912	256.44495	207.66267	521.52132	406.54046	248.66313	242.97531
30	60	6374.22166	6239.09246	7861.65401	7082.71951	8887.52244	8998.04187	9665.8031	7150.94645	8226.98815	7920.79072	6150.44023	7421.30588	6823.14956	9640.10438	9969.24088	7677.86307	5126.92986	6295.18093	6662.14871	7421.24229	8106.71467	6460.55477	8991.97418	8141.75996	9773.7299	7196.41484	6986.60927	7350.63813	10225.24738	7913.26019	7219.82395	6789.25711	4058.60555	7985.10293	4105.31629	7583.00213	4330.99559	4538.51756	6383.67791	7151.66819	8592.67698	7681.90665	7521.09962	5927.55753	7963.64891	4380.61827	3777.0874	7289.39459	4005.38552	6357.49653	8708.42128	7684.61755	4146.0	6586.15397	8601.28574	7661.2246	4942.82395	6511.06139	8463.52527	5402.04801	8677.85787	6966.65144	8127.56594	9827.82726	7398.89632	9080.93941	4979.07712	5950.95348	5394.50468	2652.02786	4171.60469	10128.93239	10227.33021	8122.36089	6845.35936	7692.69534	7952.56864	4845.26275	7825.76046	4899.60088	4383.56626	8520.93783	4408.91259	5458.83934	7759.32829	7395.10218	4300.94107	7411.16217	7887.22037	8385.82834	4638.17898	6610.5996	9919.81222	6095.08828	8699.48955	6995.03336	8249.45123	9120.77769	7302.42342	7669.34777	5252.40927	5901.36309	6150.0148	2606.53553	5371.41032	7483.17346	8952.52409	8561.06152	5453.74072	7764.21274	7501.24036	6142.92787	7784.96163	7190.96535	6010.5957	5392.81278	6417.56175	8100.89137	7046.77591	8000.43437	6069.04039	7639.71397	7600.09666	8587.29451	8017.46364	8199.58035	6789.02227	7032.20525	5267.69883	7426.78158	6603.41408	6388.75951	8473.35486	7587.55778	7071.0398	7146.77214	7357.63365	5161.52154	6383.39296	7393.59129	7295.61009	6813.76335	5159.56477	7736.86048	9034.91181	4114.6143	8182.39164	7356.95289	6538.41233	5928.57722	7228.44219	7802.33613	7966.59087	7399.24739	6929.9942	7679.96463	5635.67774	7580.70268	7655.45648	8349.98246	8250.51227	7761.17424	5360.3204	7366.23389	6555.70486	6317.33683	8033.88424	6902.99229	6684.09134	7414.10691	8191.89219	6396.97835	5857.52249	7907.31369	7722.06679	4823.65715	4906.43382
60	90	14629.58526	13877.60737	17479.1018	15698.60378	19443.34794	19967.35115	22582.99733	16278.93936	18017.39292	18257.73307	13054.08198	15567.00782	14298.19491	20420.95933	19663.42821	16141.73336	11948.25936	14322.98342	15305.06903	16429.47081	18631.05843	14765.5612	19287.54185	20107.18438	20286.63832	17042.73377	15696.67176	15175.40056	20108.7711	15322.3868	12978.18544	15561.63467	10946.45703	15563.58648	9612.7109	16199.30396	11432.08706	10770.509	13851.88507	14409.19113	19258.41084	17003.5392	16186.06762	11681.97987	17080.80417	10155.43386	7593.97542	18010.32157	8834.14966	14026.94916	19596.84198	16580.14086	9561.26115	13989.33362	18914.2909	16615.33178	10269.10133	15078.68011	18386.09631	11987.46839	20283.99104	15419.12999	18461.42322	23248.91781	16622.17253	19843.8037	11341.52062	12835.28675	11699.36174	6477.93321	10948.1092	22928.69558	20446.16793	17903.76479	15995.12622	16411.2792	17744.87946	7706.30004	17061.99225	10998.11409	9184.69433	19746.62525	10468.45301	11147.18821	16838.55762	16258.31153	9331.77825	16982.16933	18440.98331	18185.03034	11114.62028	14954.40948	23064.69813	13039.6449	19561.43338	15486.36105	18976.27026	21186.31639	16943.81362	17428.91197	12042.12334	13294.94637	13151.56389	6272.86608	12596.7571	18675.51973	18646.8615	17892.49519	12331.14001	16928.14872	17014.9351	13648.59469	17461.64223	16605.1518	13618.5413	12320.60627	14985.62101	17660.33947	16919.10217	17656.26508	14267.09588	15206.51603	16205.18736	19160.7712	16861.82825	19126.25388	15666.31434	15250.03923	12827.05885	17084.38952	15017.15181	14454.71569	19145.03819	17316.31097	15910.3706	15891.50679	15381.10689	11797.82787	14822.78266	16642.00604	16239.35292	14959.33849	11533.8212	16780.01355	19520.65181	9098.1133	18045.3883	16661.72734	13683.76527	13585.50299	16979.57795	16836.5351	17191.46189	16863.92024	14915.1179	17634.44474	13547.09322	16758.39862	17829.15615	18590.62652	18578.44822	16663.82026	12107.45918	16743.61734	14452.55877	13611.44745	18676.02264	15598.18215	15299.44964	16693.80925	17970.6816	14192.32169	14519.20775	18909.14838	16493.08386	11088.98181	11435.74713
90	120	21371.49134	22842.89531	26604.84239	24123.82144	30002.42652	30540.14487	34877.92764	26840.88514	27303.97915	28256.9403	20064.69544	25675.55453	25531.8159	31466.45364	29823.69929	24518.64933	22082.18451	22462.43692	22624.51502	26991.60066	28410.57675	22707.29452	31245.46103	30359.82838	32478.73984	24403.36045	23454.69203	24948.9036	29590.69244	24092.55235	25702.12326	24036.57952	16290.43717	21574.94355	14610.61307	24106.43637	15260.18961	14588.99615	20476.80459	23296.29682	30049.34799	26727.28003	24753.29182	16849.64973	26805.95375	15330.50481	11729.98563	26561.11829	13765.88766	21309.12318	30436.87724	26883.24685	15265.17319	22865.56943	28068.33798	25428.49618	17635.49739	23448.06535	31228.71681	18780.73108	31427.99546	23992.3065	28314.5505	36234.16957	25844.57497	30635.55887	17725.83684	20484.58654	17390.99776	9902.38371	16590.59018	35687.19729	30212.30213	27370.89041	25438.16277	25606.42119	27903.44133	10426.97553	26303.62866	17440.88428	13745.67612	28183.65786	15333.9278	16412.33807	26225.76368	24729.77352	14895.56746	26679.97694	28110.46836	29282.99223	18328.31451	23054.74721	37243.81815	20738.93868	29815.09987	24473.38491	28859.58429	32607.41791	26117.26439	27278.30583	18804.87768	21437.8907	20576.51549	9268.98559	21790.9526	29364.01838	28017.24176	28477.77503	18782.99027	26684.08084	25237.96352	21226.41355	27545.8228	25139.22924	20521.26267	17716.01683	23466.94811	27494.78971	25988.47286	28450.32286	22275.49426	26196.04526	24269.03104	28736.87742	28466.90939	29430.54054	25962.15662	24444.05758	19382.69168	26781.86528	23025.39423	22398.57725	29467.33342	26760.49502	25055.3202	25267.66888	23709.06411	18237.0428	21919.59273	26118.24956	24711.79332	24228.2235	19030.16991	26005.42646	30654.56523	14223.74362	27861.12973	26539.21495	20994.30394	21270.94689	26007.94125	25775.04654	27437.13302	25836.58495	23609.8188	27190.28507	21718.40907	26253.52818	28451.75313	28414.1313	30179.77539	26629.66949	18600.69266	26148.94463	22573.03524	21416.87204	28681.19514	24976.8825	23909.50227	26671.57088	27474.63744	22683.65932	22739.10706	29554.50275	25609.67241	17095.89921	17509.21078
120	150	27352.41725	28925.57765	34134.74849	30918.85647	38148.62303	39318.05846	45353.28805	36226.37952	33685.16649	34604.2931	25100.2629	32114.7218	31445.60373	40466.36183	36998.85051	31228.72959	27054.03297	26702.05546	29460.4215	35175.14212	37041.33502	29030.53914	40702.05291	38610.48832	41740.55672	31154.40741	32152.49843	32636.41025	35040.22125	29586.11976	29648.43207	31591.77474	19175.14583	28901.46637	18089.4301	30588.11595	19525.12864	17133.32973	27074.99473	30087.08875	37599.53269	34553.73771	31076.14989	19742.01813	33814.75376	20015.75984	14819.97883	33665.05145	17297.20894	26217.62655	38866.31512	32486.3919	20063.0641	28643.51863	36243.67505	33782.00547	21032.72598	30363.48969	39401.02061	24577.48294	39575.50386	30668.20011	35882.18246	45635.08229	33109.79304	38140.07116	22884.26974	26370.19581	22569.55937	11929.86768	23990.42451	42961.36721	37165.86946	35350.26663	30525.15316	32716.34416	34894.14977	12789.1636	33170.45776	21695.48131	16900.63028	34767.57329	19713.83253	20539.41175	31608.35222	29821.08766	18993.61625	33232.40858	36145.33743	37353.96141	23120.70011	30339.08503	46464.21527	26194.40229	37329.47907	31029.6421	37959.38655	40604.83646	33405.44899	34138.12622	24254.86136	27414.64771	25168.61999	12285.00665	28452.34874	35552.2529	34686.27108	36568.29286	23242.91351	34470.98629	33643.20356	28446.86015	34628.87908	32618.21654	26643.44405	22971.04415	30126.18161	34971.06819	33784.60418	35483.6405	29358.50284	31826.43718	31159.45151	37600.26546	34413.15611	37485.95049	33745.68362	31755.00092	24263.65138	33686.95106	29986.0091	29565.28548	38036.07088	33698.07271	32340.20747	32189.95153	31471.90336	24063.94317	31710.88379	32401.16981	31580.5852	30321.66429	23589.51956	32908.04251	39235.1711	17119.54822	35960.49693	33093.25573	25845.71805	24668.67643	33258.152	32725.78556	33828.62579	32842.60692	30577.86514	35083.89639	27435.44469	33683.2873	34418.15529	37044.16165	38207.29839	33629.22206	23561.41435	33141.02077	29457.91647	27139.061	36512.0258	31517.14043	31283.58047	33759.22728	34069.0492	29443.36112	30874.22543	36283.49013	32770.64209	21959.43702	22150.98229
150	180	29026.0165	30820.7292	36001.42999	33704.66893	42182.96359	42327.2538	46467.11641	36578.81486	37545.6381	37025.156	26938.46329	35491.34059	34438.91594	42749.13919	37466.3806	31249.43968	30352.85053	28340.7579	31112.26717	37140.42051	39187.35655	31238.47237	42680.36368	42066.98033	43489.75827	33722.65323	32467.41947	33242.87592	36802.88722	29889.78366	32612.37522	33113.75198	22800.65234	27757.76953	18302.66344	34408.9817	21035.77969	21392.20583	27350.51015	32446.93249	38779.1678	35624.49249	31623.96448	21365.0933	35802.09809	21392.03514	15249.1735	36139.05541	18547.8362	27014.14213	40893.64457	33816.9888	21365.05616	30067.36738	36834.81659	34690.57442	22656.99024	32156.66307	40564.11045	25273.49417	41819.83286	32280.04201	36847.8454	48766.33545	35071.85668	39760.60487	23796.91106	28236.95626	23461.38533	12525.96482	26622.68138	46032.63141	39010.77843	36611.54518	33006.39479	34801.24551	36398.80226	10873.15171	35316.62549	23136.70511	17239.23675	37695.87995	20294.83358	21215.02188	32647.77765	31100.71372	20527.40514	34773.28697	38063.51026	39184.19445	26809.35217	32481.77636	49208.80427	27256.56598	40865.7504	33104.9235	39541.10595	42389.82724	35246.30275	35927.62252	25555.95861	29567.73756	27069.21557	12086.29483	30413.88263	39104.09708	35621.29015	38944.44278	25396.84652	36034.45208	34468.72427	28878.95619	37211.89778	34705.57585	28275.29553	25622.8325	32134.96933	36358.36985	35236.43324	37913.21856	31430.87352	34854.8853	32268.86965	38393.51771	36495.40373	39359.03725	35211.72275	32886.55617	25726.01943	36498.69094	31171.86747	32027.72531	39194.03674	35031.38078	33641.07693	34314.79297	32409.99103	23716.02326	32126.72185	35125.8406	32851.65232	32105.55309	25873.27684	34946.25687	41586.91964	17031.93643	38462.35832	35497.71249	26925.27258	27593.14632	35113.77598	33826.19318	35156.0669	34368.05747	32554.75219	34764.57525	28826.44982	35660.86088	38302.3834	39271.41012	40416.64885	35669.51499	24318.00789	35059.08873	31078.62757	29251.19131	38295.5598	33455.15912	33064.22831	35871.18457	36617.25096	28710.81665	33709.05949	39461.75394	34923.94045	23033.54012	23834.22059
180	240	28481.10906	32270.3346	36447.51898	33224.25061	42305.43548	42145.15041	47505.01649	37622.25429	38182.52994	35936.04925	26278.29926	35190.59636	34508.00145	43279.593	39392.71363	30542.97517	31629.91831	27880.44947	30180.84699	38089.29766	38567.9487	30776.56873	42473.39115	41179.67854	43486.22122	34194.23438	33070.50277	35830.94166	35153.78779	29990.32658	28915.67079	32887.09361	25245.19596	26876.73427	18127.08732	31570.01901	21958.70701	20360.95171	26365.2572	31105.87061	38012.976	35203.36324	32559.40832	20385.22791	35414.81256	21568.21982	15159.78255	34468.96582	18108.54914	26947.58605	41157.34542	33137.93524	21762.05033	30062.60278	37746.75323	33868.18915	23320.78339	32168.089	41566.30457	25377.30975	40357.22905	31805.61204	37078.07843	46771.43478	34156.00442	39097.32009	24151.58671	28084.12727	23318.86783	12042.00273	27093.11556	44843.45825	38032.94914	37791.71921	32587.99659	34282.82188	36430.63751	10284.88095	34965.59279	23097.39603	16646.65533	36065.23236	20145.43898	21134.29112	32613.61682	30392.55059	20597.37712	34730.35911	37277.96936	37528.88345	27309.43532	32703.74353	48770.9843	26974.32208	38074.40784	32233.33492	39392.22589	42095.67775	34725.67994	35394.64227	25784.38525	30022.16091	26187.05934	11177.60949	30759.41718	38308.63951	35989.50562	38249.79387	25498.63276	35547.44255	35165.11239	29293.2761	37708.17408	34838.42744	27993.4915	23482.86796	32011.07407	36341.30346	35496.26875	37445.14016	31306.81757	35325.93623	33233.72195	37192.7398	35853.31389	39433.4771	35142.64786	32526.35527	25214.04786	35122.43025	31490.4493	31711.54026	38622.57523	35232.96991	33919.25872	34003.09183	32330.48195	22827.93535	32738.7639	34895.42114	33540.75419	32626.55345	25881.44944	35150.05918	41140.75484	16968.9884	37909.07845	35653.01442	25965.84948	26008.98696	34749.73557	34386.23053	35209.60627	34239.05199	32394.32334	35372.64182	27972.22476	34932.60364	37860.35411	37791.65488	40388.61167	35194.60357	24090.94558	34847.46413	30859.24576	29302.73167	37959.17741	32558.28512	32703.04839	35701.62579	36194.71546	27111.01328	32650.71377	38840.65255	35173.69445	23309.85802	24091.79157
240	300	27004.011	31999.67498	36016.4902	32034.22344	41823.75085	40252.79031	46018.49832	36795.4724	36219.75644	35017.94688	26043.54281	34890.8191	34207.3644	41352.59006	37859.09942	30473.08787	31632.72886	26222.01562	28763.38885	38018.0014	37909.84111	29774.36393	41539.07184	40612.08895	41485.28009	33179.02609	32726.23035	34469.35076	34554.86268	29086.44582	31244.70334	30764.19258	24669.38216	23276.35708	17878.83402	29583.22526	20236.30174	20105.6965	25649.68001	30242.43523	36535.29266	33758.10839	30657.0939	19505.86002	34149.04405	20757.60418	14553.15949	34006.87478	17053.98709	25478.78431	38795.24968	31888.73982	21089.74208	30343.04975	35733.96883	32722.63076	22085.79591	31881.28498	39728.57386	24558.4274	38408.82378	30203.95516	34728.0528	44910.97208	32716.34946	37163.92719	23429.47163	27527.56198	22285.51997	10798.29071	26165.57604	42458.34293	36597.1802	35902.65205	30890.19177	32673.59778	34170.51441	10028.89088	33271.93078	22267.93064	16150.40394	34633.11334	19146.26482	20520.66444	30937.47676	29538.84911	20161.39767	33276.45486	36349.94346	35626.38581	27255.18467	31448.49724	45800.43122	25841.59027	37686.26841	31219.27865	36904.72288	40571.83536	32832.79633	34002.44264	24447.65192	28724.2696	24836.76112	10376.7436	30350.25365	36335.94566	35016.70223	37020.47665	25939.68818	34321.7323	32656.40454	28154.97616	36524.39565	33361.21538	26151.42238	22832.16377	30086.67581	35220.27362	34224.60656	36272.09027	30265.49907	34893.84506	31697.40921	36207.10645	34404.82439	38013.47072	33676.80591	31712.08308	23785.56265	33499.59485	30007.63627	30371.04726	37351.88374	33583.57763	32829.75062	33357.60493	30965.16483	20559.07449	30366.2577	33579.65115	32779.84282	31699.20899	26055.86481	33128.55729	39141.83442	16426.23556	36658.89648	34466.53038	25247.35257	25344.6056	32859.0992	32154.72505	33557.82554	34200.12584	31804.09891	34354.94952	28114.92846	33194.28736	36924.77105	36560.16733	38442.22043	33299.81306	23889.49729	33702.88078	29479.86832	28527.36471	36540.11841	31208.75927	31392.89261	34505.23663	34177.02261	25310.64474	32612.22709	38678.76009	33734.87664	22910.24742	23676.84323
300	360	25526.48355	30389.35052	33151.39624	30171.92091	40224.92588	37852.88746	43490.28972	35426.44864	35594.33534	32599.64942	24819.86533	32527.14099	33673.3652	39123.72359	35207.0582	28772.74789	31209.4205	24053.83823	27030.60851	34429.83942	35549.28207	28372.55047	40128.58421	37996.0685	39400.89806	31980.68145	30695.26808	32727.82947	31193.9831	28169.54629	30394.68186	28630.0821	24335.83659	23647.28161	16724.15052	26893.91351	20050.97249	20123.56119	25765.97439	27766.60911	35064.6807	31655.29291	28630.10244	18851.84923	31915.35473	19013.77756	13971.89961	31450.36343	16146.84348	23614.95769	36279.47071	29425.67002	20425.24166	27381.01603	32767.02742	30806.84221	21428.81663	29436.056	36791.45018	22908.0818	35441.96283	28385.96018	32627.66205	42755.31483	30597.67816	34610.37743	21782.677	25939.3319	20917.93819	9987.52167	25920.26743	39810.10222	34360.72493	33542.73557	29337.54778	30478.40038	32422.59925	9327.18141	31412.78393	20411.88274	14940.43805	32426.14926	18109.05652	18847.30466	28970.3203	27606.03716	19090.58149	32411.99303	34038.96549	33035.2345	25722.57772	29494.59409	42494.28105	24073.72685	35114.02242	29003.42307	34813.68331	38686.64755	30594.47111	31980.61263	22665.12045	27921.94621	23096.18865	10129.59014	29026.66729	34540.10807	32892.87974	34305.40949	24496.86664	32657.70404	31243.80819	26738.90319	34444.34484	31505.70604	25411.63852	21554.78189	28496.9991	32903.73752	32140.65198	33978.88061	28651.23982	31149.54386	29395.06632	33872.72765	32970.36501	35216.20491	31601.51551	29422.9942	23277.01963	32125.91347	28234.37136	30155.64882	35080.50801	32063.47699	30785.09101	31326.49661	29591.69389	18454.82003	29478.20557	32475.16854	30881.26537	29771.42491	25075.84549	31920.68804	36613.01317	14953.36028	33592.49463	31879.71253	23679.81033	23913.23433	31055.01849	29949.19729	31667.19079	31410.21313	29823.56276	33283.95526	26231.35788	31350.87822	32855.11329	34340.12743	35739.94106	31547.74062	22059.25889	31414.04357	28245.22068	27913.17411	34283.00983	30328.45349	29624.33744	33124.91801	32004.62165	23964.26498	30189.93724	36483.09399	32254.07843	22756.27439	23260.45941
360	480	23574.16901	28219.53556	30533.43389	27292.78685	37554.81898	34526.91912	39005.33765	32853.18656	33012.44881	29828.57023	23634.40953	30531.40763	31357.85938	35401.31776	33605.92781	26998.03862	29786.2083	22940.86958	24461.44307	32191.34208	32347.01242	25733.17133	37208.40427	34942.21445	36272.43451	30072.64307	28314.08716	30329.3045	30188.27203	25655.69104	29921.05707	26082.93916	22838.19596	22732.3292	15391.07569	24711.72813	17512.53101	18160.4629	24013.8793	24168.73964	30989.22567	27457.51304	25506.79998	16882.11287	28549.77311	17310.54802	12581.8979	28680.69295	14330.62786	21556.02837	31445.56978	25967.23891	18476.21972	25563.37424	28889.93153	27507.16142	19597.60603	26307.15661	32218.54518	20339.99405	31677.66818	25209.9833	28682.58665	37929.17349	27271.78043	30693.51754	19058.9369	23766.93352	18541.10492	8764.71511	23965.78579	34693.08034	31277.46888	30456.92905	27194.70352	26869.64136	28018.46053	8677.25696	27895.09101	18307.88489	13535.66591	29396.92302	15642.38972	17396.24776	25735.78661	24484.53615	17293.34152	28880.93549	29605.92219	29817.61606	23882.34159	26715.27414	36759.79205	21130.51951	31046.42186	25871.1437	30352.07877	34810.08969	27272.25223	28406.78601	19993.67556	24980.37403	20407.01176	8885.60907	27413.99762	31362.3166	30563.21066	30700.20009	22412.33088	28861.18707	28119.00407	24392.48311	31041.22235	27914.28238	22841.57644	20314.16093	24983.18428	30355.35502	28363.20464	31147.15321	25868.05604	29340.39034	26502.21948	30277.64177	29224.86388	31530.19147	28186.54741	26417.82233	21717.92151	28563.77337	25718.22344	27978.61048	31440.44412	29146.71401	27163.70602	28384.17153	26233.62124	16167.61452	27526.37135	28795.64494	28987.8305	26930.84683	23210.06826	28445.0113	32374.11467	14214.47129	30795.5501	28295.13299	21302.73554	22578.06357	27361.15134	27249.9497	28213.95114	28321.63119	26844.1647	30088.28515	24138.53194	28917.13929	30514.60497	30868.68005	31439.76922	27495.55812	20865.1931	28410.47947	25684.11274	26022.22118	30995.4597	27562.43821	26818.41701	29417.85468	28180.30504	20370.11498	28187.20376	32713.5363	30218.41143	21428.24152	21773.7415
