frame_start	frame_end	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-choroid-plexus	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
0	30	13.87911	17.99393	44.30989	23.43178	41.77849	31.19733	35.74167	14.35294	14.54817	31.68043	44.25806	22.29355	27.81241	29.28433	19.15593	30.36203	63.20625	14.99707	27.80894	42.10547	30.1647	23.2507	36.04497	36.97181	32.67967	23.5943	51.74155	62.35409	44.55755	36.79157	55.77246	24.08351	25.72924	12.49921	12.11725	26.53311	94.81566	11.71678	20.64045	29.54904	20.76849	25.73568	15.45915	18.08641	26.2716	8.30641	11.23591	34.0095	35.5129	19.52258	22.38858	14.54476	30.87811	27.99355	22.87313	49.99301	26.09695	14.57545	57.00338	18.60056	23.78918	26.59313	19.45533	23.38348	12.46795	17.24664	16.73421	27.59249	32.67114	5.78616	45.71196	15.25667	21.60709	12.79842	10.63495	61.54068	19.41703	14.61962	27.72893	37.15433	9.05681	37.35201	22.65533	21.01136	18.45795	25.47298	19.40701	23.8449	21.42251	29.21629	16.91302	17.66415	25.55856	15.78145	41.198	20.87602	40.26993	15.87827	14.75934	34.24864	27.45131	25.77512	15.75432	11.065	36.94021	12.78274	21.61891	28.46313	22.33886	15.87534	12.11405	26.22923	25.23203	6.16855	16.17482	41.36591	49.98756	19.31677	22.44147	21.17087	21.82533	36.408	22.73127	48.83436	26.64906	17.28128	21.89822	14.59867	16.74014	34.87427	23.5575	29.01402	17.22408	16.19479	19.43393	21.011	27.59967	5.40946	34.22007	11.16199	34.96458	14.17083	10.20218	52.67319	17.03491	15.22955	36.33946	36.69442	7.15971	24.97664	22.92551	26.83	17.09566	17.36975	20.0599	21.43809	28.13404	26.12347	11.05016	21.23372	15.96783	18.80269	27.17687	40.51394	38.66577	15.9636	15.58732	36.69909	22.54241	17.18753	10.67042	12.79308	29.46159	26.91305	25.20113
30	60	1570.34668	2358.85387	1955.42234	2343.36083	2549.20103	2542.64348	2942.32202	2142.683	2076.92635	1959.68597	2147.73461	2915.59683	2397.79147	2776.27851	2854.12252	2304.10229	2008.78087	1812.37631	1723.96385	1695.88421	1885.96253	2231.68658	2651.0531	2224.26747	3206.25378	2231.06772	2396.76668	2302.95299	3238.19076	2279.47284	1836.74121	2122.57383	1728.83538	1619.75342	1383.48112	1629.45264	2134.67241	2295.66885	3105.55943	2670.79613	3129.61206	2461.55091	2646.08705	2375.4132	2347.22207	3201.08592	2430.86897	3014.75662	3252.14782	3021.27395	2332.89142	2499.79128	2242.67795	3003.47699	2889.4707	2684.08529	3196.72807	2371.45822	2833.95066	2589.92299	2786.01307	3218.09331	2745.51598	2872.26762	2254.2325	2649.52086	2813.36587	2271.13519	2052.0083	3970.81401	3601.46189	2846.78348	3090.28207	2765.35105	3290.54897	2686.95184	2403.14284	2390.37433	2210.02833	3146.93323	2787.34993	3101.81291	2967.32028	2941.40417	2291.68343	2469.61439	2560.41685	3283.19997	2573.56033	3032.36922	3470.8811	2540.90853	2826.91413	2407.36381	2963.48196	3497.65496	2839.06716	2759.49397	2360.2582	2771.1093	2634.73288	2823.08886	2199.73024	3217.5505	3490.59246	1585.6296	1724.64471	1941.75206	2674.56535	2158.84012	1819.02737	1741.04762	1921.10446	2139.97732	2106.54175	2465.29599	2535.71517	2380.94431	1721.77862	2340.47678	1617.21047	2291.85154	3090.65082	2357.53091	2238.11306	2044.59782	1558.80541	1805.10813	1871.19953	1797.24164	2058.52124	1974.59021	1721.62196	1966.57751	1868.53044	2640.38543	2018.91523	2364.37667	2251.35008	1626.76225	1774.96257	1860.71342	2723.28494	2480.43677	1740.51072	1762.25893	1982.99738	2264.98004	2161.18257	2432.36002	2477.13432	2390.98871	1759.17584	2420.2301	1649.78437	2303.17334	2528.47995	2238.38039	2729.30176	2143.9925	1852.76789	1641.11975	1950.68972	2464.43953	1884.99589	1942.94371	1842.61526	2110.91742	1689.95719	3443.04172	2216.55515	2304.84636	2195.5839	1323.79824	1301.92277
60	90	8334.35405	10059.82693	10420.04007	12922.36869	13249.66517	13672.0048	16401.29582	12326.07932	11026.15594	10234.73802	10534.41009	12054.2896	10662.99515	15704.49326	17072.83191	11011.02017	11304.10938	10001.22543	8829.8899	9667.95678	9785.0709	12897.13471	14174.14333	13879.85659	16237.96548	11873.17079	11629.47241	10731.54262	17058.6816	11046.63453	10575.96882	8368.76543	6727.76557	8558.83181	7375.3568	7737.89248	7565.88579	13513.37093	14665.04112	14518.1459	16396.18482	12245.80446	13451.0347	13227.89992	11672.72793	15398.26033	13478.93683	14833.86449	16201.85245	16198.42256	12528.08212	13152.81251	12763.67421	14831.72763	13305.40396	13669.54188	17831.49224	12291.13355	14863.35416	13459.96943	15507.78978	15712.52577	14633.59783	14466.01189	12443.24867	12326.00734	13248.3977	15343.61713	10954.55564	15456.05893	14724.87655	13821.57036	13839.70471	14032.15899	17250.63395	11294.65803	13141.30865	13300.02181	11902.44242	14618.45225	14467.93257	14776.78939	15096.76537	15422.12706	12786.36112	11908.97764	13114.2555	14940.61884	14308.00367	15043.7349	17512.11498	13160.04276	15573.29816	13311.75652	15153.81043	16098.76706	14719.74547	14529.41771	11987.51338	13446.19508	13778.87949	14596.39207	10921.5454	15881.56481	14387.1228	8405.93085	8275.74301	9636.94922	14307.08526	11770.50543	9941.55885	9129.52461	10067.44143	9142.04443	11117.78715	11883.04833	12647.28432	12318.55537	9221.45546	12218.933	9061.52589	10707.42299	14454.36224	11315.66383	12493.59413	11187.83325	7870.94042	9264.92399	10295.37473	9750.10681	9876.04868	9666.96081	9732.09375	9863.5822	9358.96306	16786.0343	11306.3686	10203.06715	10735.46936	7982.23536	8212.31935	8832.3369	15119.75829	10593.78139	10138.86421	10035.65474	10999.57694	9917.24336	11454.34521	12104.35363	13092.19166	11746.93847	9411.53965	11538.22219	8738.1601	9634.27105	14498.14653	11523.47198	13322.35045	11280.55742	8899.36	8770.15824	10472.85236	10325.53146	10141.10536	10269.9413	9176.20137	10935.47165	9294.01084	15329.91865	9966.91643	10244.86811	10504.78161	6312.93973	6535.98389
90	120	15940.37736	18957.88407	20338.3716	25604.82256	25808.18923	27375.65957	31862.21944	24548.29189	22724.43203	20938.35315	20344.00232	24344.27542	21743.76849	26635.4453	29767.61966	21564.70215	23864.09831	18906.18461	17248.03531	18876.8876	19603.72336	25737.42101	27248.88363	27455.48629	31211.41347	22893.98645	22340.14989	21502.94304	27488.52607	21593.09768	19373.89269	14664.7782	12939.62897	16736.91399	13786.62947	14932.57159	15117.96563	25994.11699	28213.21563	29315.05103	31504.20889	23787.12747	26429.49064	25976.43855	23483.54174	28266.82258	27303.15319	27672.02343	31320.57239	29934.24545	24671.72585	22754.39704	25460.47123	29666.1963	27669.08959	27685.49623	33737.78864	24403.58468	28095.37399	26623.40453	29224.5756	31025.90925	29690.23692	28679.47682	24246.55943	23805.76545	26954.93322	30278.62299	21286.28234	31151.74068	28113.5167	26061.7076	27175.83822	29128.05193	32088.51236	20563.35719	25688.58175	26228.62183	23396.80233	28897.19347	28644.63339	28676.29182	30368.79295	28907.23361	25387.46038	21684.1267	26078.1699	29644.50595	28558.15878	29306.57484	34997.49568	25694.80466	29348.04578	25934.61049	29398.10314	30584.19097	29804.85105	28325.48168	24472.24191	24756.55238	27005.0747	30145.53201	21784.85915	30088.21564	26598.54721	17713.43695	16259.15253	19966.69489	27703.20403	22956.94001	19259.87841	18481.26456	19980.39261	19113.86449	22861.51568	22692.50033	24982.159	23941.64105	18221.10129	21977.45867	17516.12195	22202.05831	29213.18049	22715.35804	23854.50018	21543.27096	15406.31929	17900.10704	20134.4949	19350.37368	20266.85481	19941.4538	19039.12377	18871.03908	18761.82388	33577.91084	23471.58879	21565.27059	20649.46186	16083.99018	16708.24362	18391.59958	29018.71586	22180.18974	19296.83792	19970.08259	20884.15747	19085.92205	22606.21006	23632.85012	25837.47327	23012.79238	19059.34786	20419.06809	17337.10251	20177.77417	27711.57577	22251.8885	26512.75941	22252.19811	16982.64187	17942.39847	20070.38283	18962.20182	20583.48388	19970.83114	18703.55973	20787.46442	18822.40322	30568.30698	22226.65019	20267.41357	20346.07123	13000.80027	12954.1447
120	150	24135.05791	29130.10462	30651.1852	38007.92257	37936.47832	39455.77984	47981.28945	34325.65499	33134.18921	31370.14724	30485.17165	33676.16753	32269.80363	38493.53857	43478.10101	30833.92629	28712.12326	26748.82412	24584.42087	27269.05379	29239.43479	38647.24159	41059.68968	42248.14408	44448.83107	34254.15942	32424.31059	30883.04186	42224.77084	31466.06259	28808.92785	17386.26858	18832.49256	23042.00635	20639.65769	22674.34265	18878.28003	38261.02728	39014.24576	41702.32842	47486.77748	33840.22307	38021.51045	39124.12217	35985.45599	41041.72207	39404.90934	40990.93116	47595.85427	43388.6835	36697.77208	33657.0164	36196.20342	41667.57581	39266.39556	40302.20575	50259.77545	35071.32986	41578.41916	39024.44684	43677.08012	43424.63454	43159.34274	41153.61055	36566.21577	35888.97854	39451.35326	43171.78095	31318.82372	45807.22095	38721.86428	40095.53672	38032.99852	42566.31217	48497.96175	30335.17846	37304.03977	39414.78317	34626.44702	40566.51641	41738.74819	41125.82922	44763.13072	41909.36152	36776.92431	31911.28226	37817.79034	43350.56504	41352.84305	42609.52782	50853.26175	37230.16328	42897.53493	38191.33821	43488.65819	43109.33153	43733.44591	41224.9651	36014.94552	36825.46118	39709.40799	42129.37141	31423.94021	41976.88676	38318.23125	25063.44204	23531.4898	28097.26079	41297.10446	31944.39812	28221.76485	28442.50289	30282.49226	25943.77295	33577.61964	33094.32525	38360.19138	35352.26	26917.08989	31098.8602	24720.31832	29744.38605	41417.23743	32896.70794	35888.52671	31959.42027	22896.7777	26740.58853	29699.44984	27384.27422	29466.64168	28400.82089	28310.69434	29030.82943	27496.6796	47625.26084	31361.33227	31234.46262	30321.51015	23285.12853	24131.61046	27341.31821	43966.57704	31454.65141	28831.11844	29379.62831	30709.90404	26871.94768	33474.74399	33883.08634	38817.72867	33325.90723	27241.18371	31338.41741	25590.97115	29848.68379	40948.01048	32912.04093	38093.05928	32670.61498	23835.9757	26467.45529	29780.91575	27219.08467	29686.28064	29080.03986	27368.95704	30808.39422	27607.15858	41888.15578	30548.08076	30107.55249	30112.63574	18197.35592	19000.43258
150	180	27044.83237	33871.51179	35451.66632	44098.27977	44464.18975	48377.90227	55071.7553	38638.48763	38490.95561	35923.86492	34957.06388	39242.31615	37596.24258	44076.60812	48931.34942	34691.23969	33314.65864	29747.26259	27883.70707	31190.73229	34205.51383	44272.97163	45861.91942	47344.093	52388.37625	38228.1108	36984.9011	36173.61264	48189.62385	34995.01601	32100.49484	16865.25851	22470.81099	26439.48096	22948.19506	25075.84136	20983.24811	44183.26192	44912.4307	47782.51617	53635.92052	38760.46344	44459.7517	44607.17612	40994.35391	45695.06573	45354.88558	46504.3309	52797.79194	49872.89265	42192.63348	38335.48568	41633.64355	46918.998	45311.45147	46769.78829	58769.49421	41201.85722	49574.34099	44684.27413	50230.03965	49172.76369	49495.45311	47277.12875	42399.63141	40803.42046	44473.62421	47883.87002	35064.90695	48900.61895	43847.13886	44843.53051	43122.15718	48684.18754	55042.85526	34769.83287	43610.95681	44743.58253	40461.95788	47694.2791	48704.02388	46719.41036	50949.04759	48220.3233	43638.75503	36791.08038	42508.35906	48390.69947	47091.88483	48976.63177	59197.38054	42600.26082	48979.08052	43786.77082	49851.30117	48814.36514	49649.93887	47562.51608	42143.05183	42149.66146	45543.81431	50331.12714	35987.21835	49244.7125	43577.92979	30069.86342	27648.2909	32552.86271	47332.62126	37624.08369	33136.41702	31922.6622	35614.9592	28842.33056	38652.06576	37698.99872	42497.362	40086.9191	31258.36566	36420.60368	28841.68295	35121.16613	48308.33146	37980.0005	41030.35618	37781.74098	26634.13132	31471.51843	34218.61551	31050.05217	34419.01863	33470.76671	33259.14207	33160.58554	31411.02831	54586.39596	39207.75261	34360.46098	35368.65222	26537.34811	27553.3787	31653.56604	51556.30453	37028.75841	33126.97886	33371.00839	36458.54079	31914.11489	38715.26114	37579.90423	44417.8062	37166.33787	32761.33001	35628.2943	29029.20102	33560.58324	46304.50326	37615.12651	44861.58464	37261.07316	27403.98396	30246.93444	34152.28645	30327.90699	33720.8049	34463.93427	31874.03296	35853.66143	31826.05593	51673.08363	34352.88576	34556.88694	34743.06064	21288.64201	21840.09186
180	240	28168.3033	32196.21285	37075.12067	45748.66127	47151.63879	49631.18729	57822.88335	41300.6447	41742.4047	34890.08767	36287.78639	38122.82072	38487.34772	45541.01234	50290.42844	36985.62863	36939.03429	30003.81714	27419.36359	31961.20255	35473.93167	46398.48448	48276.93992	50410.94622	56428.49418	40338.96321	38215.59858	36211.89159	50204.36845	36875.30562	31265.85843	17802.43785	22010.3211	27213.14457	23831.26874	25098.2852	21049.2649	47252.18394	46872.78422	50153.21629	55445.61664	37306.43301	45952.92305	46175.4963	43104.6609	46168.721	47470.68259	48383.95535	55012.51028	49765.10411	44481.1922	39967.31721	42940.95699	49194.73595	46145.08734	47414.09572	58279.19156	42582.19104	49710.46097	45997.11748	50964.63824	50064.89244	51191.5558	48436.77811	44433.17995	42470.27148	46542.5313	50979.86056	36801.93711	50806.4714	44917.36905	47725.19387	43962.71746	50165.59655	55465.49311	36061.47393	45530.42176	47148.61323	42389.08847	47671.26061	50050.60372	48138.26853	52532.31359	49512.95047	45231.51715	37611.59707	44147.92251	51138.80267	49186.18462	50340.05924	61394.04053	44789.46257	50594.94782	44695.56614	51895.26073	49899.99843	52261.29734	48579.86169	44350.66968	43838.32725	48040.59399	50856.43017	36484.89737	50157.2435	44460.78552	30921.0269	28536.78204	34452.62884	49368.11223	37898.52409	34737.87184	33552.29267	37506.55022	30814.22914	40604.31562	40372.80399	44653.82115	40304.20635	33243.75518	37933.96111	30514.75742	36995.2944	49197.09322	39383.52603	42203.99665	39460.07487	27423.73317	32610.26736	35410.50534	32162.40395	35564.91028	34752.15572	34922.62986	34694.85035	33822.14463	55664.20996	40892.64238	36452.10603	37189.50873	28632.79058	28494.77299	32641.85521	51544.17848	39101.18352	35403.20647	36021.437	37979.25848	32127.07634	40209.70711	39556.58936	45689.34139	39563.87309	34634.41133	36966.55219	30706.90792	36116.74274	48193.21272	39655.45923	46403.79019	39590.26766	28901.92349	31380.58516	35948.65715	31227.97285	36199.84644	35498.51331	34030.30853	37684.61313	34171.2779	54026.54946	36983.65422	35944.40348	36373.35813	22512.78489	23068.44213
240	300	26159.05748	33483.46057	37111.93644	45762.33655	47107.04774	48508.21708	57608.89052	42907.61297	41519.38374	35513.28645	36487.58443	38571.75664	40557.32016	43573.65759	48776.5295	37147.20535	41608.68793	27529.70791	26718.88799	31721.8931	35427.42431	45862.71215	48679.2654	49198.86152	56315.08271	42434.72775	38388.63852	37251.17693	49986.52712	37358.77182	28933.85897	16179.83911	21014.07888	26216.25209	22291.00906	24905.85857	21743.30474	46256.48126	45783.78338	48719.00977	54225.25715	38207.50563	45685.32873	45685.07132	43129.26096	45107.39854	45961.43072	47212.79062	53721.91657	48702.73408	43986.53564	40420.66364	43507.53526	47360.79824	45340.45234	46262.17787	55263.87422	41458.77794	48870.98719	45560.77616	49809.00057	47922.61198	50276.86988	47608.54148	43951.6603	42449.56535	46029.56266	48546.17548	36145.78946	50230.88346	44550.00262	46792.99276	44780.10661	48175.61741	53099.44853	34961.67791	45911.71401	46739.24723	41656.51381	46606.37139	48603.5701	46877.32573	51061.31371	48072.71935	45472.09274	37375.34261	44675.88455	48892.28883	48008.87913	48874.27185	57728.41633	43763.54325	49304.52674	44239.47679	50299.86501	48590.92289	51175.77158	47951.16261	43605.67846	43753.64179	46904.64132	50836.79287	38201.76943	50161.29077	43974.32295	31089.82855	28276.9892	34178.79646	48886.40502	40185.61232	35482.44363	33650.90204	37465.84051	30291.44914	39557.45456	38618.68264	43730.83037	40196.55504	33466.7605	38189.67724	31161.06417	36190.87426	48618.06871	38850.2841	40431.6129	38717.02573	27661.37396	33089.517	34730.50886	32085.00846	35716.87963	34882.52854	34793.41628	35246.69977	33858.69271	55601.81225	39733.43835	38263.9871	37111.79337	28835.56614	29179.06519	32737.25989	49890.7742	38058.22119	36354.6444	36395.67111	37307.45631	32158.95625	39777.47007	39303.00198	45103.96371	38257.49376	35016.8491	38394.78326	31403.52478	35968.05229	48521.87594	39733.20412	44632.5615	38959.73468	28823.58213	31992.64735	35673.81996	32023.08133	36283.57308	35715.95815	34064.74524	37972.38605	33914.78575	52505.67355	38232.626	36300.0519	36712.76597	22689.43451	23355.33436
300	360	25392.0615	31956.06041	35708.17776	42991.4701	45130.05479	45318.46338	54796.03181	41516.83002	38571.40622	32566.34678	33932.23243	36261.40209	38204.97185	41420.53622	46781.74865	36494.78782	37435.60156	25758.09047	24868.28915	29758.82911	34348.98499	43596.4065	47216.6108	46821.51423	52580.58632	41280.34473	36228.52097	36715.26868	48704.9574	35522.11164	28174.21419	15739.12758	20786.55927	25836.33724	22256.55723	25010.39065	22896.6914	44787.08605	42964.77848	45523.89656	49809.25008	36623.46599	43310.21862	42595.51103	40518.33302	42939.71591	42604.40064	44071.12336	48200.04613	46283.89347	41498.15519	38670.47941	39999.43452	44287.52402	41631.87781	43649.09009	51923.41284	39116.40713	45941.37966	42018.99528	46289.03887	45667.73015	46855.09385	44225.7105	40844.46946	40088.44704	42790.32103	45585.1885	36273.09512	48206.20703	42480.53154	44436.32054	42030.17385	44852.1283	48557.09956	33847.92977	43123.38907	44000.84687	39949.61128	42543.18594	46054.26074	43718.21132	48007.43183	45675.86156	42944.48705	34995.16847	41193.71022	45105.92381	44746.25241	44974.56049	51522.19466	40848.60862	46434.43058	41549.42323	47095.38162	46809.74607	47243.13444	44528.98776	40916.03868	40582.70629	43874.76801	46422.98324	35915.00467	45594.02154	42010.03047	30780.44934	27006.36231	33219.56011	45194.04687	37672.97196	33969.25052	32002.93972	35613.28346	29543.01089	37155.92601	36931.9977	39968.66974	38413.5956	32317.10573	37224.48018	29614.91996	34744.47755	44125.64617	36910.93568	38423.5108	36818.26633	26791.29219	31253.79282	33148.95972	31162.09282	34316.98836	33693.27278	33293.16195	33886.91615	32388.89568	52113.67948	39383.97326	36832.7073	35839.1637	27190.93491	27693.93745	31563.23899	45715.33491	37576.87211	34278.58088	34495.1393	35919.16982	29653.22935	37961.45231	37255.51248	42445.05975	36705.67463	33989.23757	36046.73621	29876.04054	33538.29128	45589.11391	37468.22675	40804.3467	36997.92834	27609.74055	30830.60472	33883.94221	31532.95862	34727.46541	34092.62254	32452.33205	35504.31125	32818.46955	49497.98704	34999.6997	33663.15654	34761.01698	22563.4184	23125.6008
360	480	22230.56837	30656.42028	33126.72358	38775.28513	42483.65166	39614.0163	49021.3229	39182.67387	36593.00778	29701.36555	31726.26981	33830.05188	35506.28405	36221.82192	43554.73542	34059.27238	37031.11719	23197.505	22544.33102	27036.52671	31916.81071	39417.52145	43100.13256	41864.68326	47080.60841	38617.38348	33482.90548	34400.87504	44170.06175	33456.25654	24931.8831	13871.43607	19926.04542	22194.77022	19583.02255	22543.82921	20453.64632	39682.64761	38484.98304	39723.37308	43020.25491	33274.57757	39519.17801	37963.30178	36896.79197	36714.87367	37534.24683	38646.88263	43146.54941	40472.88292	37328.45152	34912.64612	35594.89146	39093.90707	37638.00303	37809.61907	43329.28894	34513.06332	40412.53994	37228.74627	40553.06031	40615.03809	41082.90416	39035.55638	36305.96107	36173.37254	37706.73428	40387.25324	34033.76889	41030.10015	38346.38309	39545.93073	37358.14164	39628.46077	42233.24474	31301.30582	39230.7388	38418.78936	36349.4572	37723.82083	39744.21813	38820.99246	42094.02944	40226.29668	37967.68187	32223.93965	36494.41712	40264.54374	38896.06873	39656.79245	44652.87484	36174.97619	41662.67289	36623.12393	41064.61754	40280.78148	41828.25749	39394.40327	36486.1007	36710.42728	38693.22825	41389.2504	34513.18242	40315.8699	38640.8025	28474.72954	25583.95528	30053.03599	39727.17213	35059.42978	31485.40256	29570.13283	33389.67869	26582.0779	33405.13754	33273.4276	35971.85122	34496.90121	30042.5239	33649.19036	27376.06209	32000.31086	40496.37978	32984.9662	33693.5709	33103.79989	24490.23436	29067.83629	30540.6018	28842.05472	31292.33241	30285.3389	30287.5162	31511.21814	29924.33307	45420.70324	37564.38682	32980.84609	33269.73891	25333.11829	26185.03185	28651.64855	40426.39945	33221.0944	31747.19826	31287.60828	33713.63395	27477.73881	33795.10608	34050.1387	37774.98897	33469.15227	31328.10644	32623.9245	27462.58991	31302.68646	40069.12763	33491.32302	36325.61875	33347.11831	26007.36928	28028.62922	30782.13377	28458.56539	31855.49745	31448.98614	29684.40115	33014.14057	30043.45972	44028.20072	34474.86656	30504.51844	33040.43372	21576.10587	22007.9112
