frame_start	frame_end	Left-Cerebral-White-Matter	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	30	419.12540292640335	290.5755887258743	352.5757570768657	454.46308679925806	476.9541294408333	591.2962281575842	431.8774448748905	646.6245586606261	901.2743575867429	508.8548171258742	568.7696831682415	500.2137828931822	351.437959096011	461.81553843977264	461.7076039527779	337.0888452113819	492.80929262111533	315.03691492371036	500.60408983932246	328.1650153845265	228.88895924183547	436.24603559649506	567.3249728221643	461.6554183969913	333.4432526225469	570.5961250156219	488.2763956217141	448.2249351860356	984.9715541451616	810.444486068292	296.1915982439013	448.80186157226564	262.5225204710212	1363.5754832503187	66.48309516972586	57.84646334370698	375.08406300255746	437.1274258892682	375.3751048525844	33.19226580931891	344.8136511168678	635.6689026691994	184.0779060566914	390.00296711152976	746.990544522879	324.2258926376236	274.88148285014387	246.14393918775292	279.94198198671694	403.1127255514637	387.50634315664763	430.1234559853899	496.2937944792049	206.07328329930627	543.248246874246	399.54194105660923	203.90529018391385	71.59924182550965	225.33352402712995	389.9437081377993	129.11801882396338	385.7200977161884	179.7084385533689	333.21893412030914	541.605850796266	119.9426560171577	299.41668265890934	196.06053324116587	265.925572367703	209.07520966013254	8.831433640212186	154.97970464298396	495.44200472310933	612.1053844491396	745.6928960494382	981.3721290135121	222.3458016019708	533.6398375041148	807.0958172541923	376.3511413244409	363.2159930536875	425.0696249987168	516.1258985290783	464.2152361280749	540.600228997942	683.3641471670303	773.216329538626	540.5811397207299	825.7936156352711	542.9202753933263	619.5224531796836	449.6659521490263	487.8207525868286	672.8259408100455	236.88976926543043	880.2950046762438	259.46035842212376	478.5526702969115	813.062380851088	357.37582466026987	341.62562700736635	275.9544427787652	651.6554008220592	296.96479595012926	18.521698477969956	397.4130757390649	646.4098426300345	712.2910564993552
30	60	6510.3867976084475	4286.869928611047	6682.9094041255485	7921.044297036894	8303.032337429946	6851.338418309624	5033.181159267038	8301.899557603183	11056.65291984962	8802.948131930443	6735.160907629765	7344.9621602531915	5990.439250825218	6372.313310276858	8523.130247201492	9163.934429707951	7113.290006218201	5841.00881364809	7258.605764849092	5250.992476691305	6842.0143732734805	7760.2354885809	8510.739626950179	8408.473725201224	4617.675168941863	9656.186039997354	8173.667535278518	7469.958347678462	8455.931236986416	9798.592523680649	7503.228371621909	14298.73720703125	4748.886758648468	10225.944137764774	1114.5842571963553	973.8112857719443	7497.093654819302	7042.610984583484	5211.682791875469	617.2892176593639	5275.317107863904	7515.576024409077	2565.6564729225624	6525.460189308403	7930.5758096322925	6311.141240397893	3414.204571211	4527.583245502255	6220.082925849672	6241.925193595932	5649.139244663773	7465.422452532453	7493.246166423961	3618.2533796569664	8360.492870586664	5487.511492061711	3731.496632031032	1688.0332533911921	3278.4698714259375	7292.126814866151	2351.1879658347684	7725.600968773398	2845.4487735574203	6017.239329197306	8797.391004342744	2062.259286204846	4294.743023151523	3011.5937499325723	4252.723832256294	3115.3758797338455	539.6585333146827	4447.892443018656	8900.831456923836	9175.612427083133	8728.664861533847	11371.526136335213	3743.824377757697	7416.015017868849	8402.044550414568	6380.274884402414	5341.77405500204	7616.223040717479	8662.809604999706	7537.905831857378	8343.172268737128	9684.008807849516	9043.659291279975	7397.442344923063	8873.106675471503	7273.728684970057	8241.926506861473	6306.34863132228	7538.950358309677	9824.029909484563	3653.759150278933	10585.217670041611	4638.322715665209	7478.4954808934335	11220.564675477332	5095.207491168316	4634.280228990423	4003.762625880104	8011.3743649730595	5260.453429461853	600.9711836569173	4832.279310893094	7200.72850904084	8245.640548121675
60	90	15005.116362712948	10634.882915150782	15443.567901932565	18200.82480536864	19604.55284322885	16037.2367497362	12039.920103051592	19712.40604922881	26424.784093536568	20953.96323294691	14180.518664273348	16199.629202799262	14097.460783669312	17123.888203845047	18510.792137032124	22341.507711946444	16059.59297854925	13675.149868038276	16817.260232460576	11334.956623936123	14873.261208887257	18285.888436593137	19887.542664296212	18684.25810797831	10268.555742325456	22254.27545368349	16792.310863612216	17117.98782262657	18541.066965217844	20105.062534358087	17256.888307531357	29290.715234375	10592.534788930772	17115.270246306223	2665.4224907849007	2299.84458497005	17567.668824380373	16034.137185964717	11614.132305503337	1444.0323499893116	12432.4872303999	18343.21359749546	6041.740116203225	14285.368000498704	16138.59860900312	15167.178761128667	7908.2617972369835	11227.191135007746	14505.62689495633	14451.286676565338	13031.476434657885	16207.556449372423	17219.96644596684	8230.588263699632	18256.17982504699	12545.670794589321	8587.752119941651	4844.244936487832	7963.776945067082	17063.573853632883	4996.398177331697	16994.219036934504	6550.826803312767	13852.092903349088	19704.7174087062	4640.869992832234	9653.292859613624	6838.6940449476715	9401.739924149691	6814.393606753312	1242.5918809142881	10921.677396391528	17767.42812015879	19946.198301170632	19547.543066860657	26579.29858424493	8944.232101522159	17192.351347437583	17706.034603094413	14860.213134996382	12375.451760765856	18309.978995227222	19421.483839650566	18039.07051284432	19108.26004402108	22132.263353600847	21822.72054780097	17175.190461987713	18657.67485039665	15625.616790151902	19344.168843893083	16108.212585619529	17554.266822410817	21162.717489021506	8341.6259186694	23918.022791035397	10087.585300416677	16489.57130439482	25665.046996790974	11599.954889776971	10244.1195518223	8919.450534085934	17963.482565079965	11554.83471316302	1499.9110638880834	11877.109656396766	16897.88520755377	18140.044847647652
90	120	24422.25422568633	17383.53166691201	26611.91311334978	29708.35545052048	31704.016470566286	26833.409751649804	18804.49533377275	31508.57338594253	41454.89215793078	32975.059755124326	23027.84639670632	26228.234895960533	22374.722401614643	24425.105230234734	29143.053860336986	34464.24489733311	27060.752577106647	20756.57392143589	26964.939415407876	17659.220885495106	24256.525644207526	30343.29059308781	32008.833122372136	28394.599979949006	16289.417783041294	35518.05353695565	28515.68474212004	25643.82983556192	29650.146561224017	34147.16008885529	29531.001761205276	55183.169921875	16595.805242278697	29288.627925601464	4356.948643139471	3766.2014373914635	28944.831892391463	24729.53892720313	18710.465367456432	2329.753088360495	19864.99588472043	29278.09784071873	9881.923989889505	23307.312055736365	27673.169265416385	24162.741486622126	13367.368520544216	18177.447746524966	23235.028407192633	24503.786113351558	21238.205972953463	27055.159787333847	28848.743667848357	13261.379540548793	30240.559473966223	20198.61826357846	14220.727715820121	7544.266019864021	13757.903244083194	27100.878090697806	8448.474554461205	27872.130040133885	10552.92503851902	22073.25696976639	31220.585236890387	7816.767346845269	15702.001796674807	11397.83093157919	14959.305985233459	10833.19312932027	2120.4235287002516	17703.38922440378	28840.163196377565	31789.98657626957	31077.60101762439	43390.51660746843	14005.578816361267	27207.59402619935	25267.45185044386	24438.747633666608	20210.354441847787	30119.423264982368	31369.525339668573	29442.145714146543	30241.98109792833	35585.5030248364	34524.89704373753	27809.36076797785	29562.625863634017	24792.642730162854	31091.198341642626	27385.72572738067	28077.30101559365	34893.890260033266	13700.928512908027	39636.14709678624	16365.182244758185	26770.228378488715	41285.53447168788	18660.1190128775	16849.80295578997	14453.022677389745	28323.529605027983	19266.73253002939	2721.1624590078295	17961.302028860337	27842.23680903199	29249.28511863479
120	150	32362.069420903907	22958.918199812837	32652.27704221491	38740.78911014683	41883.907645246625	34439.423290184706	25558.126059228627	40796.388858499326	58142.53324647837	42522.472332829304	31241.317919182056	34566.71611345175	29645.902920407945	33410.50008820565	36955.92438017432	45698.89297693063	34784.63336538905	27635.87527215676	35265.132282929946	22169.385516160033	29749.868708995167	39210.298404830944	41880.55007009061	38572.992923934624	21821.35559635841	48314.57164477197	39195.458374089314	35062.413701558056	35389.28477925483	36958.113619544994	38171.12667056245	64751.298828125	22146.40668191675	33181.35863134153	5589.78792759022	4933.269897775786	37735.69972296584	31798.852532912642	24225.54236832831	3061.4555690394204	26155.003479848685	39423.39242793255	13227.026411805358	31012.96264233177	35734.810670079096	32985.00333277865	17300.34194281038	23997.84693308796	29182.838196756275	31672.441985801976	27176.94895492775	34679.87798320467	36793.75563934	17960.690583136507	38000.85735595386	26931.130595978728	19597.962822379646	9762.707707953537	18556.21810021057	37935.69624705981	11149.194813484059	35376.37123444643	14098.395207403151	29219.500735965463	41072.2312610973	10336.318076145713	20670.796252699056	14993.356223075523	20366.411761859334	14172.051512201217	3288.4806187715694	26461.698250311703	37063.599741751794	41703.80712300043	41578.81316797867	54265.63086284907	18917.211981023003	34360.17905379864	31677.889674449914	32357.15636725006	26523.63888150744	40024.979880487896	38885.7604524112	39058.74899239058	38419.500192605614	46570.48216186415	43903.77316754982	35685.42183377364	37212.39381280974	31850.74672136135	40129.45139580411	34950.70638589955	37616.55831620169	46699.66870716249	17616.888284809156	50191.61438688572	20800.88444090512	35078.76990732408	54981.13401253218	24509.6529128536	21158.464109076373	18804.09478020051	36151.0276562117	24214.852191874525	3505.485950400007	23429.32558913626	34003.781972677316	38002.998155923284
150	180	34240.20332118692	24967.16968818346	33096.497053179824	40476.40979060668	43990.10410153568	37979.41287905752	28540.036279131542	45483.885206321334	61739.78592104795	45582.02299437164	33306.30142026959	36157.47762910306	32224.012164499964	35794.38423819125	40444.71597517782	46535.16087546357	37647.65040071246	29482.879923979068	37132.88069593877	24017.67225924669	33426.65336347548	41874.241530196996	44761.95155963916	40619.91879486633	23817.671923284262	51735.87479781562	41712.24000986576	36456.89759925651	35025.60287183324	43875.858777697904	40447.85479627139	79716.50859375	23508.063628556665	31058.501838716005	5522.542587739962	5200.494927393602	38806.84760275532	34366.51358193879	25385.255283782615	3233.810909238461	28288.471527627597	39403.47742750878	14074.877593110015	32618.13726526543	37132.16185389658	35191.10170467281	18853.178343475913	24645.34403600039	32142.288023294317	34171.670569918315	27312.325505102774	38082.186184551356	38730.34356652192	18680.99786627402	40563.618748478744	28121.123347977707	20291.23624533948	10418.47254981739	20150.409572727745	39255.4432311793	12192.74790082489	37727.07911110646	15460.400451479723	31332.340159249572	42557.00401944247	11421.581389759425	22254.097024996205	16394.883470861303	21360.574998821776	15946.377396358223	3481.26423547623	25963.08070501512	41565.01621502227	43597.89298012121	43714.004330501135	55570.031351442994	20701.166277239266	36455.617102097305	30055.955941862565	33409.011671137196	28651.160367540648	41467.950066771155	42546.7416365976	41730.10111683749	39733.68566509899	49143.348785572496	44842.097812694155	37149.753682722556	37599.40388710593	33375.889032686726	41124.900558726906	35530.78419757014	39276.44136686616	48881.25976894288	18996.60862159422	54827.852077145144	22280.206010195077	36354.56439956727	56734.19812002408	26467.4119475716	22847.090603284796	20962.262329563575	37874.394466300095	26268.688075493756	3300.486057171551	24846.163556907817	40625.804026977145	39999.77398188165
180	240	33867.08141126425	25141.573576821163	33167.28393640351	39945.73457361619	43639.389115239435	37915.25760130184	28260.96343126146	45465.030322880084	60733.46531507897	44815.45191742272	31036.294854366417	35584.130240092454	32138.53829914628	34189.8889796947	38801.82237129781	47256.52295347949	35803.889705119436	28356.711186786448	36587.75907994682	23620.511072868776	34479.37070528315	40864.456207780684	44287.361569038454	41418.15356515376	23969.444607602807	50370.722296369735	40089.80521030087	36085.290630956806	36490.943069378714	42730.34482831529	40549.32405316227	60559.11875	23613.80401239259	26023.62066063023	5449.371241949671	5237.068257891163	40757.282398997486	34373.90578784474	24994.376738188053	3270.3278605392106	26921.856042564945	40740.41833581784	14183.536738636729	32974.182036832404	36222.95686193885	35853.62752673833	18861.487892180972	24119.346355442663	29573.25918095528	33848.27223370273	27093.511323938048	37251.980865850746	37878.586385167044	18775.713597686532	39668.70505615129	28357.673383806134	20904.86152177029	11574.557190206044	19993.68019689184	37728.24844415043	12116.353412632636	37359.13809862173	15483.081870285141	31119.639858897342	43509.06770611387	11619.779066893856	21921.17263202844	16431.638370534038	21326.554923966145	15701.302593415383	3332.7231504678	26131.67570199756	42241.4064058264	42870.518253290444	42253.89484768269	55623.67015463803	20325.65842413634	34826.87664550665	28549.06441734487	33923.64458283695	28528.82283267987	40651.52022993073	38564.06974440748	41013.73652049812	38107.58577887511	47840.224922576475	44598.93618046916	36493.249573371475	37702.880751824065	33243.05638071664	41290.12715461985	34896.04378564606	38733.86152249699	48755.957934450504	18991.859030927822	52733.46352610465	22208.207582357547	35349.197060943494	55094.922651929584	25959.79741972849	22283.23647223436	20813.453298050514	37421.69597875516	26039.964628589554	3616.8543049774835	25195.3089988635	40538.342860875135	40005.578360721986
240	300	32233.36771346568	25150.52295513333	30875.83671875	37219.334063610884	41658.5834145204	37765.62047939104	29488.57330611597	43917.646698149874	59604.87899295674	42770.76884450605	28666.142745509293	33745.6135985435	31059.732932250423	33769.24920074885	37453.54343152402	45863.96999413722	35194.335528717565	26331.504789044204	34566.997296732094	21317.399787781884	33446.405618741366	38114.3864284578	41556.950475678816	39722.510510467284	23795.394939013262	50088.152271058956	39542.2480500371	34951.82453981164	34008.94063485987	42525.58646608593	38038.17872587584	56784.4375	21870.73177336657	23003.089463748693	5002.605158401572	5033.247466581016	37239.369464438554	32511.301499169553	23489.10447885128	3252.8663302289183	25976.724571993607	40039.23302139837	14534.402663468123	30496.173298822523	34835.349496374925	34607.625942533785	18191.540204882014	22494.092895507812	28064.03847186426	31936.995996345613	25462.951372494907	36269.82597189862	35362.833765219766	18112.863746088704	38678.7825988479	27528.68525579645	20362.72963912221	11537.669686491488	19340.378519293496	36883.053241469956	12083.984504785965	36512.33320269398	15574.293738709417	29365.50438206529	40483.14431596236	11886.319801381265	21187.432305834973	16364.303450078403	20534.074893382844	15286.718872126232	3792.8185076650757	24391.946484872402	39547.61284251549	39895.409355160446	40709.91553725809	49774.545864738975	19925.801404531077	32505.46365218324	26562.277495280156	33458.20124479413	26874.733475744917	36934.15472317959	36642.35199839232	38923.89362803612	34861.51439050215	45017.146271612495	41156.068523753376	33423.17156848011	35995.1368564152	30875.960934629693	38031.89808733938	30736.05595137693	36542.56198497301	44486.03276110974	18456.766156379344	48327.548839659205	21453.637396504724	33516.20418180759	50209.85276625668	24634.129603036174	21469.575481739008	19842.228950486828	34136.91917223821	24088.5366063468	3563.9251766554653	24556.15436705955	40473.313507113	38553.421512174435
300	360	30342.544616579165	23946.61861909068	29041.284861567983	34955.503699210065	38923.63794335102	36631.164988683755	29150.520705108986	43314.88719259859	55632.822106662636	42409.61962365591	27447.63999152906	32055.209808380056	30315.427235046664	32287.781428211405	35617.59517111707	42558.8358659195	32816.69778777131	24475.181489680912	32339.456120515162	19877.784345337765	30527.38009862742	35840.257964767516	39582.92107338298	39203.11344927582	23977.921221040055	47457.78584026083	37471.274857283795	32403.43809946651	34035.81577840804	38822.58372008204	37845.68387428701	50727.703515625	21556.284785130916	19861.457484799947	4646.073813058552	4843.84696026485	36778.62590713323	30565.397733712038	21968.78206837624	3245.455748429599	23390.818531075976	36648.1822551053	14741.947525679887	28739.99299603669	32995.98500953887	33231.44814909365	17873.75635919392	20647.297601183673	26488.178945476564	30085.46341159966	23853.12704824549	34507.55351129665	33301.49936199269	17599.760490804667	36564.41001553372	26718.27440039209	19772.490622767473	11625.361961331666	19398.46909053754	34702.69881316154	12021.386673158047	34738.462767785015	15779.104353953415	27893.296160943395	40181.59841752486	12060.768068616911	20661.361624400586	16015.33716907806	20213.72200508143	15097.412170013135	3331.592601030189	23998.068460513052	40294.3709787713	38136.337608246686	38862.99418523953	46345.36585067592	19476.33442698613	30902.77632548935	25103.247016302787	32864.28199598524	25105.334712075346	33527.41702067153	33626.10434934579	36295.016856889975	32503.366340179913	40481.100272736025	38428.99321369805	30397.846150304435	32312.715100796737	30034.141421757253	34912.52147414001	28514.209250145104	33279.812013874085	41606.52174501286	17751.564064732305	44180.75699741634	20478.763028561196	31674.60295405973	47440.86516807899	23666.77545186214	20429.387840370677	19066.6606610941	30897.555147974075	22492.07586282361	3701.646479257642	24289.94111488063	40354.03499823018	36916.57112771116
360	480	27207.019966623113	22098.024405913526	25392.980139802632	31320.117537315888	34778.87568532625	35216.34894241278	27861.98655518129	39792.57994894553	47644.838801045815	37303.05737567204	24745.36099982984	28800.175792697897	28173.108866833994	31036.859470406107	31685.432902321885	39468.430089714224	31391.560029532247	21978.67102422424	28862.079486585815	17906.08411163156	27309.58210138985	31911.34465142643	35208.60632867895	36259.84039266832	23665.838561033434	42800.63989213125	36306.01997710638	30472.989829766655	31574.430458890125	35692.483272898346	33423.643357957124	41433.076953125	19861.433037704686	16213.221896247385	4127.742446612711	4558.985355678638	33050.145475943325	27754.432999132914	19466.37629681992	3253.460108876854	21390.205837896538	33179.403327167754	14040.572705218365	25011.679074477743	30328.063943679856	30553.784111251454	15891.896269416167	18129.813951197677	23888.40391654138	26141.480286023783	21825.08848036614	31670.62053307797	29948.93024502412	16255.95859730802	32555.724853198695	23782.64946712223	18932.755643308632	10944.011883114285	17874.337119571355	31030.48367670531	11622.929541907952	31879.461813697	14855.53921734894	25206.29449085842	35680.12541503906	12172.833548864524	19186.67757922163	14737.52567868345	18964.283740839517	13912.159056342243	3312.302159024348	21931.169129350594	36503.6020556981	34001.0813673957	34878.74534521732	38783.57627679207	17745.82505990403	26128.6445419217	21220.515519853427	30294.38449071681	21958.88065308516	27884.069151078063	29318.14216965502	31515.262837322134	27363.510077524625	34943.91795889452	33727.21352974978	26067.02245828041	29306.929916583493	26694.23782842402	30678.76469144512	24775.382216326816	29068.176113563404	36302.87943600474	16071.4553533422	38228.09639352942	19035.01346140955	27444.000974588565	41309.79475203804	21275.605202254104	18595.736994345938	17691.690143180946	27269.42888320635	20033.53231159923	3819.3357082850025	23507.518141765264	38650.37706268541	33189.56169009079
