region	acq	desc	success	K1	k2	k3	k4	inpshift	vB	VT	Vnd	BPp	BPnd	K1-se	k2-se	k3-se	k4-se	VT-se	Vnd-se	BPp-se	BPnd-se	AIC	BIC	RSS	reduced_chisq
ACC	acq	NA	TRUE	0.2540368587797814	0.44982845299905383	0.15008125985578663	0.06521404213903899	-0.3634181473971376	0.05	1.8644178184790685	0.56474164114362	1.2996761773354484	2.301364168407278	0.025916436570793056	0.06440192175138416	0.08554040899577571	0.04714767435346002	0.013349113101215903	0.04164991370425089	0.0232529094676399	0.05856281053075685	51.869732483599336	58.34891681362098	7.1667790054978395	0.31159908719555823
Amygdala	acq	NA	TRUE	0.16941044413320572	0.5	0.34929538519486225	0.0926244518480157	-0.3634181473971376	0.05	1.61654583365422	0.33882088826641144	1.2777249453878086	3.7710926027180074	0.03329350156783495	0.10891336522421494	0.10014731714434284	0.031769343073706505	0.008338027472245515	0.07793790693233087	0.02145178145776179	0.0972675377851541	22.77421759049068	29.253401920512324	2.4396257803176966	0.10607068610076942
Caudate	acq	NA	TRUE	0.22690600181573808	0.3591590842559305	0.1298185989418414	0.07765044236843063	-0.3634181473971376	0.05	1.687984653057519	0.6317701869794523	1.0562144660780668	1.6718333467552802	0.018310041135065385	0.05110582385603432	0.08376102368600769	0.044886975281647645	0.010096736030880783	0.03504652640716	0.023423287912640593	0.05471325533313804	35.42379997948441	41.90298430950605	3.89754828375713	0.1694586210329187
Frontal	acq	NA	TRUE	0.264906928941461	0.4080850580606088	0.11479477650292315	0.05835462284435928	-0.3634181473971376	0.05	1.92614220416948	0.6491463573805171	1.2769958467889628	1.967192501767999	0.021749647600362642	0.052350077457202014	0.08009956786799718	0.05029328622892721	0.013688570764458558	0.03361640200421677	0.023441058259720482	0.049963265840119946	51.9918863792377	58.471070709259344	7.199276536165879	0.31301202331156
Hippocampus	acq	NA	TRUE	0.1892745202428939	0.5	0.23932117750173934	0.07473152480851115	-0.3634181473971376	0.05	1.5908192616989716	0.3785490404857878	1.2122702212131835	3.202412611210137	0.03116276826218449	0.08570514521226603	0.08875654915623724	0.03665426604710545	0.010974864228199313	0.05744492405822346	0.020647737260139454	0.07387657205596514	34.27146223244024	40.75064656246189	3.7347038854894827	0.16237842980389056
Insula	acq	NA	TRUE	0.2381486099138426	0.4476930563427684	0.16507606572950775	0.06380773505351674	-0.3634181473971376	0.05	1.908136415819419	0.531946177274432	1.376190238544987	2.5870854934915863	0.026744094629120918	0.0682103104820553	0.08403551143979593	0.04373636026942833	0.012810542361606385	0.04458287617359491	0.02183884449652569	0.06041944551553983	49.19053466545935	55.669718995481	6.489767934679796	0.28216382324694766
Occipital	acq	NA	TRUE	0.26554888651624664	0.4226642916544375	0.10005550530007075	0.04984191837581487	-0.3634181473971376	0.05	1.8895063039760318	0.6282737665791613	1.2612325373968705	2.007456947094985	0.022569999640494623	0.050649008726841235	0.07918109487484719	0.055592018319586725	0.016104844351171224	0.031480366198555466	0.025212672018681735	0.047200178709307074	55.008848405406766	61.48803273542841	8.05038466038755	0.35001672436467607
PCC	acq	NA	TRUE	0.27245395960384317	0.4311346457621634	0.11709624588320938	0.05701526286458967	-0.3634181473971376	0.05	1.9298188666817044	0.6319463357490019	1.2978725309327026	2.053770166092386	0.023049258403044236	0.054004026459692794	0.0802765420908989	0.05110944509477995	0.014409857387209029	0.03415748441974182	0.023790931801063318	0.050204006034157804	54.52132194507989	61.000506275101536	7.906327107600894	0.34375335250438666
Parietal	acq	NA	TRUE	0.23971125068838045	0.37750827494719663	0.10492002777720816	0.05603714296681441	-0.3634181473971376	0.05	1.8238801080848843	0.6349827714952995	1.188897336589585	1.8723300693495837	0.020740234582586503	0.05060462615519663	0.08125250291475716	0.052294327491591686	0.013887564263152673	0.032834790778988064	0.023993749254851756	0.049575201099444625	48.002006345850326	54.48119067587197	6.210287587847178	0.27001250381944253
Putamen	acq	NA	TRUE	0.2915720994311302	0.41634533596567286	0.1688028134147785	0.08848313447060535	-0.3634181473971376	0.05	2.036328446812602	0.7003131156852204	1.3360153311273817	1.9077399825935852	0.01591755717239773	0.04487777108965276	0.06482479889541587	0.031074224717304557	0.007349325190154623	0.030684750613648525	0.01759278734834401	0.04577862025130363	31.95620289981271	38.435387229834355	3.4277983985981137	0.14903471298252668
Temporal	acq	NA	TRUE	0.21757466373344267	0.3754806510295591	0.13228910270321062	0.0588947984963321	-0.3634181473971376	0.05	1.8810274700127072	0.5794563931240081	1.301571076888699	2.246193315551448	0.024563045866094636	0.06416833598359126	0.08943121295396735	0.050405934955860834	0.013860304220184487	0.04275596062678367	0.024082634077400664	0.060194493566581686	49.30038397002799	55.77956830004963	6.51622529283799	0.28331414316686915
Thalamus	acq	NA	TRUE	0.2668267168066462	0.47124226206072	0.23032153425255417	0.09813355694537117	-0.3634181473971376	0.05	1.8951497732832994	0.5662198369896317	1.3289299362936675	2.3470211558801357	0.025380169783373843	0.07442221889496409	0.09077394639615996	0.03666298166347408	0.009276315426001673	0.05135262709144671	0.023278997225323318	0.0718592281528754	42.408155501790766	48.88733983181241	5.048178799214669	0.21948603474846387
