index	name	volume-mm3
203	parasubiculum	88.0
211	HATA	67.0
212	fimbria	180.0
215	hippocampal_fissure	268.0
226	HP_tail	1105.0
233	presubiculum-head	235.0
234	presubiculum-body	278.0
235	subiculum-head	327.0
236	subiculum-body	434.0
237	CA1-head	913.0
238	CA1-body	229.0
239	CA3-head	136.0
240	CA3-body	137.0
241	CA4-head	210.0
242	CA4-body	205.0
243	GC-ML-DG-head	221.0
244	GC-ML-DG-body	227.0
245	molecular_layer_HP-head	498.0
246	molecular_layer_HP-body	383.0
7001	Lateral-nucleus	1022.0
7003	Basal-nucleus	660.0
7005	Central-nucleus	70.0
7006	Medial-nucleus	37.0
7007	Cortical-nucleus	46.0
7008	Accessory-Basal-nucleus	382.0
7009	Corticoamygdaloid-transitio	285.0
7010	Anterior-amygdaloid-area-AAA	53.0
7015	Paralaminar-nucleus	58.0
