pet	frame_start	frame_end	frame_dur	frame_mid	TAC	weights
sub-05_ses-baseline	0	30	30	15	0.01369719842432407	0.4762911592196668
sub-05_ses-baseline	30	60	30	45	5.575251566129606	0.6887473531321476
sub-05_ses-baseline	60	90	30	75	16.604225200682354	0.8477856232358625
sub-05_ses-baseline	90	120	30	105	29.33305874740011	0.9694350684503532
sub-05_ses-baseline	120	150	30	135	40.87408047829781	1.0554015248155129
sub-05_ses-baseline	150	180	30	165	44.51976675459246	1.0759533500309202
sub-05_ses-baseline	180	240	60	210	44.79077407889029	1.320642480065858
sub-05_ses-baseline	240	300	60	270	42.637571751314425	1.285764403681882
sub-05_ses-baseline	300	360	60	330	39.6474115214251	1.2431346566835313
sub-05_ses-baseline	360	480	120	420	35.30853649269696	1.4773992139613394
sub-05_ses-baseline	480	600	120	540	30.141120095225236	1.369151088402837
sub-05_ses-baseline	600	900	300	750	23.38617157158614	1.6521175310978973
sub-05_ses-baseline	900	1200	300	1050	17.5393811553342	1.4093671642599808
sub-05_ses-baseline	1200	1500	300	1350	14.727461417017857	1.2599072120521368
sub-05_ses-baseline	1500	1800	300	1650	13.06680808797422	1.152789969585658
sub-05_ses-baseline	1800	2100	300	1950	11.881113074016046	1.067446832960111
sub-05_ses-baseline	2100	2400	300	2250	10.827759014655754	0.9932990673424569
sub-05_ses-baseline	2400	2700	300	2550	10.036706025953416	0.9322262667981739
sub-05_ses-baseline	2700	3000	300	2850	9.438541971435605	0.8812036899463057
sub-05_ses-baseline	3000	3300	300	3150	8.900521865440734	0.8362653438341173
sub-05_ses-baseline	3300	3600	300	3450	8.498455259596772	0.7982503977045784
sub-05_ses-baseline	3600	3900	300	3750	8.098008325971048	0.7638241299225589
sub-05_ses-baseline	3900	4200	300	4050	7.856417816808629	0.7353740628717459
sub-05_ses-baseline	4200	4500	300	4350	7.595364182749688	0.7092054652193156
sub-05_ses-baseline	4500	4800	300	4650	7.392852646983202	0.686318011721844
sub-05_ses-baseline	4800	5100	300	4950	7.232466674885812	0.6660875235556826
sub-05_ses-baseline	5100	5400	300	5250	6.990889683118018	0.6466114094475255
