region	acq	desc	success	VT	VT-se	AIC	BIC	RSS	reduced_chisq
ACC	acq	NA	TRUE	2.6312708515126633	0.01668789877202759	23.110022970334413	24.564742919698414	2.338277357946772	0.2338277357946772
Amygdala	acq	NA	TRUE	2.1723574917394677	0.00946915004094377	19.224359811187007	20.67907976055101	1.6914890288710882	0.16914890288710882
Caudate	acq	NA	TRUE	2.0619440167064402	0.011612778518557475	15.886308032867392	17.341027982231395	1.280740263542878	0.1280740263542878
Frontal	acq	NA	TRUE	2.5811495699941354	0.017897670118471893	20.198808432978563	21.653528382342564	1.8345757850996023	0.18345757850996022
Hippocampus	acq	NA	TRUE	2.1868300499883877	0.011016721543133306	18.037183705997656	19.491903655361654	1.5321590448145188	0.1532159044814519
Insula	acq	NA	TRUE	2.6497788806093903	0.020822282082872432	24.57487678431632	26.02959673368032	2.641866401426018	0.2641866401426018
Occipital	acq	NA	TRUE	2.832940176342408	0.01763766452992886	19.44709170325254	20.90181165261654	1.723177920379464	0.1723177920379464
PCC	acq	NA	TRUE	2.773268488950668	0.02231994160186368	25.665702892510293	27.120422841874294	2.8932713393783045	0.28932713393783044
Parietal	acq	NA	TRUE	2.4535802926922448	0.017415314568536504	17.56737283228892	19.022092781652923	1.4733326961450455	0.14733326961450455
Putamen	acq	NA	TRUE	2.6838284856574646	0.013741327110008323	28.372721329412606	29.827441278776607	3.625429206295175	0.36254292062951754
Temporal	acq	NA	TRUE	2.716341801129793	0.01750731534170714	20.1694578527316	21.624177802095602	1.830094112837257	0.1830094112837257
Thalamus	acq	NA	TRUE	2.34463413049285	0.006762459144790784	20.631192389062683	22.085912338426684	1.9018845658265089	0.19018845658265088
