frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VPL
0	30	2499.9292	1100.95572	3320.20492	1364.89763	2862.3332	1568.9649	3970.16864	1975.35797	1662.62526	1685.77843	2222.11466	722.80683	1971.42059	1768.96385	1748.96108	1756.78258	1548.96626	1379.00851	626.14604	1449.83324	1753.6173	1422.69539	1909.35092	1430.74203	2091.44601	1529.25886	1564.91557	1510.79949	2069.47513	1938.63835	1920.36557	1808.92105	1411.27474	1340.94815	1836.97327	2137.86647	1798.28439	1816.06047	1656.5111	1449.21401	1008.0631	1558.54073	1365.3896	1667.03914	1515.6144
30	60	14436.00595	11364.67608	18578.49669	15073.30094	14421.06642	13137.72768	16846.90544	15005.8674	16733.11017	15892.03061	16175.27611	10121.74579	14495.92794	15806.35722	14844.17747	15079.56411	13592.43328	11473.06425	10853.28047	13915.96284	16088.13587	15075.56569	14566.09315	12173.79937	17456.91992	16021.57018	13655.80648	13460.23968	16728.82019	15325.41992	18910.56589	17050.75275	16549.3311	11816.79661	14262.54346	13487.72596	16900.06269	13822.21766	13139.99421	14954.68409	11973.10347	10897.14062	13555.83263	15295.49017	13430.18318
60	90	33012.47091	27476.2056	44685.46597	31293.09824	35894.31174	32808.70941	42539.46193	29902.69227	38042.80129	36308.6873	32647.0356	27231.62124	26089.6639	35356.58292	31588.66731	29834.73154	30596.80183	22555.70937	27785.46797	28088.31558	32601.50025	30720.63554	34851.10188	25347.13499	45579.66625	32107.05977	33417.26249	29135.63038	39917.24608	31672.31076	42068.96937	38540.21164	34679.33464	23353.19798	31716.63086	27471.67676	40762.20849	32056.48419	34094.20238	34457.12717	24362.26769	21732.11285	27187.74547	32356.16613	32727.01324
90	120	48025.37438	44393.24179	59674.25962	51396.5103	46388.40965	46181.00499	56153.56075	44918.27626	59542.6736	55965.89301	46526.39016	42877.27915	48793.34126	57354.80875	47607.89466	53753.3727	49092.23526	38180.34584	41194.89375	46667.86355	55570.97312	53361.82671	48414.41424	43145.37605	64534.17199	56560.47109	44725.41589	44129.29773	58095.72548	48874.17188	65097.63448	59558.54372	47204.8866	43088.58452	52685.33203	50205.60094	63647.6283	47354.32029	52922.51306	50430.48952	37208.82949	40209.37413	47324.97146	53395.73402	51896.05068
120	150	51638.03336	45318.60415	71869.97431	58050.84036	57786.63918	52311.30041	69420.4867	49628.03646	74056.53766	66919.77761	54100.78069	44531.26863	55484.16523	67255.25872	52574.92754	63219.64453	53111.09765	40416.66777	45002.77109	52202.97112	60645.00551	58497.41777	56089.96986	45371.96369	71312.61861	59335.04235	52866.3783	48783.19638	62094.18785	49665.87717	75641.79676	67025.5989	53558.02685	49078.35405	55891.54688	53199.04688	70530.19601	52867.97442	57735.63685	55434.02069	44857.94695	46858.5855	54316.14964	60456.24925	60863.15781
150	180	55643.51217	47308.0347	69927.77269	61918.50354	51094.56445	50157.28847	66747.50009	54709.15516	72595.82165	64524.34915	52954.7833	48712.73077	55915.95554	71622.92006	53866.47519	60994.21779	54309.78158	43324.18168	47143.97969	52522.24533	59879.72855	60121.55719	53960.71726	45579.76212	67690.88305	67743.10789	48578.12545	49352.56464	59798.67748	54850.77821	69767.13813	65903.90975	54856.89204	49462.38246	54135.38281	60417.39992	73024.13919	52194.37178	54647.82325	57819.41091	44963.7802	45484.06467	52078.16436	60022.49017	59455.09712
180	240	49383.8587	45964.50385	60753.12785	59023.13005	45212.77843	49272.23329	59914.60954	52964.96897	70875.80438	62416.56143	50405.81799	42584.02224	53658.76745	67566.78978	51664.30693	60721.22582	53777.39383	42034.0756	45492.19453	52177.28519	60695.26668	57894.44537	49397.17137	47341.96534	68407.15637	58509.00196	46222.1853	45738.967	62403.46754	54231.5	69373.52498	61503.52849	51157.3153	44659.79155	61682.6543	52758.82852	68435.69924	50663.69202	55010.12188	54724.42743	43992.78677	47062.45616	53231.9557	59203.82049	56871.70393
240	300	47140.01059	44030.06704	61469.503	57600.11253	43611.03067	47414.61915	58146.44055	51360.64453	66352.25421	59612.70048	52321.9401	40110.72927	52997.9232	65238.69597	50888.2573	57140.14319	48502.25463	40377.30328	41817.91328	48973.60996	56184.31172	55016.36088	45627.37757	49091.98608	61541.89796	62281.65246	38917.83744	42493.1725	51290.79096	52095.42665	69034.1231	61798.34899	49685.28991	45985.52663	57800.41016	58624.36453	65649.1316	48326.27788	49712.76935	50759.07464	42893.65318	47676.46658	50017.03667	55780.97293	53000.53676
300	360	42521.83552	47123.81744	51180.86433	54455.4743	33280.94021	44902.18019	45696.17857	45160.21224	61537.90171	54090.9112	48863.75121	45738.66526	48703.67121	60094.98129	46186.68306	52487.94499	43424.40078	39292.27446	47435.01016	48580.58831	52377.00313	53065.56929	42728.81946	48204.05123	52434.70478	56598.44412	31360.62575	39960.61245	42716.6185	46157.51693	63047.80516	55252.74629	46653.64327	45564.29439	61461.30859	48009.27641	59739.85446	46431.66158	47475.07785	45517.74435	40129.11552	45895.32031	48662.71829	54175.88228	51934.77833
360	480	36290.41128	42254.48024	42327.66647	50980.18802	23203.37117	41221.45206	35538.22373	39720.56944	55176.85658	47396.49537	45085.46898	39677.49429	43189.8578	50493.11128	44130.99913	42888.25084	37115.90981	36234.49945	43324.3	44548.45469	49172.35785	47432.5302	37833.03984	43231.13572	42006.692	54643.94448	23533.29714	41333.89441	35278.67811	42050.86545	57215.81867	48233.25212	43727.47733	41041.3647	53319.34961	45566.70844	53389.79825	46332.44456	39201.38402	39263.98647	37705.30368	42709.28689	45046.39993	49471.75436	48390.29881
480	600	32535.96961	41848.43193	35307.99955	44282.36073	18425.56031	36027.20147	22892.53998	34480.92687	47423.49081	40491.07785	38805.97198	37569.19411	37471.22781	42237.24543	38936.15548	34770.38111	31162.20431	36336.10331	43070.15391	41540.48444	41223.39364	41070.21503	33103.96182	42509.55258	33722.2642	49711.78756	19307.61831	36054.01635	26051.15855	37781.53733	48035.84297	42554.58207	39705.20741	38227.82919	47888.53125	42057.11719	43672.03428	40256.94178	34624.89304	32912.92931	36224.66248	41470.71571	40243.76236	41335.81568	41873.86746
600	900	25371.17882	36104.84961	23574.9239	37736.02566	11374.56207	32753.77296	15408.23809	28310.82704	37161.90472	31103.65735	35528.46789	35473.10066	30559.82451	30973.97698	33015.83297	25670.35209	23094.80578	31126.37262	37993.4875	34600.04933	34418.88764	34488.99782	25047.71257	37264.76863	20340.83227	39249.47743	11310.74788	33023.99126	14800.99224	30647.53928	36662.15571	31291.41335	37106.34084	35681.54474	41355.19922	31517.61293	33430.91432	35115.57119	25550.66222	24600.44391	32528.13351	38568.84679	34542.11213	33602.1478	34656.76023
900	1200	18336.68938	31038.28757	15718.51649	28233.38634	9041.66459	28767.70839	10094.00389	20775.31445	25762.48724	22290.09598	30572.84131	29911.24955	22254.33029	20953.3799	26277.75746	17785.14774	16334.19288	26668.31889	33117.47656	27074.47234	25098.97896	26385.69438	19330.46167	31895.92137	14416.35094	28928.31713	9997.34403	28630.88768	11008.12428	24918.98025	26661.02215	23147.21197	30163.5172	30238.06907	31421.04199	23213.57297	22443.30422	27850.41162	17073.65352	17981.83533	28240.7865	33230.85178	27898.99393	25897.6943	26507.97041
1200	1500	14388.94628	23962.99716	10869.16836	22635.96361	8030.53792	23794.20115	7445.71517	17306.24826	20449.46	17147.03357	23092.73438	23536.41767	18503.54104	15539.35805	20928.94454	14102.72581	13338.71622	20950.65108	26669.21719	21329.91205	19675.51578	20564.18386	14572.69027	22852.83156	10579.82499	21763.15382	9607.97827	25153.30783	9053.88795	18022.49078	18985.58861	16324.01253	24338.44979	22601.28232	21015.4375	17294.30299	16306.43059	22674.22471	13344.85923	14304.08134	22115.36743	24486.93511	21346.82577	19788.36732	20799.29895
1500	1800	10713.82484	17589.86907	8411.86647	16753.73272	8104.64529	20273.47547	6767.9993	12590.30621	14701.85564	13158.81517	18440.209	18380.32151	13821.27146	11934.14932	16874.02344	12013.26688	11229.39399	15676.99579	17931.37188	15678.93524	14605.60134	16457.86952	11521.67596	17878.13746	8477.96871	16618.17236	9477.66552	19857.25754	8312.96914	14985.47754	15193.19199	13315.8127	18306.80637	18373.58363	17387.2002	13817.3527	13408.1444	17679.70969	11899.90887	12595.18002	17699.90815	19426.86393	17051.71871	15243.1126	16636.04245
1800	2100	9008.55593	14425.42794	7078.20119	13483.64219	9116.2359	18030.63901	7091.36092	11412.40386	11989.43095	10744.68186	15564.66686	15271.5495	10886.21397	9641.81695	14967.3521	9715.89209	9577.39438	12767.51555	15134.1877	12796.2068	12038.40499	13269.39771	8891.35096	14494.82641	7424.3936	12648.44418	8920.73085	18029.24094	8863.82777	12022.27029	11464.15427	10326.73065	17174.23433	15006.7516	13763.19971	9993.66123	11277.71019	14228.93227	10177.68487	10900.54819	13939.41664	15670.18479	13161.22625	12563.74865	14535.34024
2100	2400	7421.9987	12257.45149	6684.7482	10300.214	9324.47201	14899.67898	7358.92033	8748.62581	9515.3286	8694.00109	11899.24265	11535.58038	7610.92024	7950.84009	11798.25167	7585.31158	8482.01796	11249.43994	13141.81289	10805.47202	10064.44249	11334.35659	8339.82495	11731.55937	7160.32688	10307.18192	9819.58529	16302.11194	8844.55186	10527.23752	8947.78772	8601.23291	13285.17923	10475.73908	12314.5293	8906.59357	8487.03156	12283.30719	8288.76426	9307.43022	11683.2495	11412.51443	10563.72319	9927.09506	11485.03061
2400	2700	6629.1708	9235.43768	5369.61296	8532.58417	9023.59431	13204.78249	6531.66235	8512.18202	7324.61781	6881.15533	10479.19843	9622.04327	7323.99323	6328.32703	10872.00846	7568.47293	7238.67785	8804.3513	9647.49316	9473.97367	9058.81509	9889.29548	7755.78243	10216.54468	7017.00253	7854.8759	10843.95962	13123.37586	8887.10901	9161.16461	7649.20492	7139.84263	10111.61794	10356.57173	8531.69971	6524.21808	8051.66098	11495.12001	8169.53218	9357.0373	9901.4171	10118.00651	9782.50432	8772.03078	9850.22064
2700	3000	6242.62227	8325.78699	5855.41973	7430.6158	9511.32791	12070.87118	7370.44896	7172.46338	6513.33606	6128.27514	9778.56037	8517.24823	6294.24305	6864.92619	9611.24277	7846.37666	7727.4259	7593.94621	8146.14775	7918.10085	7844.77971	9630.96612	6358.31597	8161.01149	7119.32694	8637.62069	9734.07025	12619.66885	8536.45217	7825.97748	6728.21907	6555.51401	8441.857	8087.7235	6705.0708	6704.87788	8279.4862	9366.98919	8236.15441	8877.05418	8183.10927	7941.47244	7924.52425	8032.8959	9682.91981
3000	3300	5073.56302	6379.18642	4829.76342	5700.44787	8478.18278	10535.40266	5696.43122	6407.80301	5140.0539	5561.94718	6687.43834	7024.21638	5427.32117	4528.80476	7619.17163	5211.35848	6010.19575	6376.40165	6439.17686	7265.86955	6839.92423	7387.61182	6340.3009	8095.21801	6897.18947	7136.4958	9908.32918	10835.5179	7875.97768	6539.94667	6818.37239	6409.99562	8361.23582	7518.70126	8242.21997	6215.39241	7070.50972	7683.43938	6793.59486	7678.64731	7999.4726	7916.76481	7433.83549	7839.17501	8832.44404
3300	3600	5675.85838	7066.03471	4983.21379	5258.65865	6920.59078	10403.75215	5108.3562	6877.5392	4569.31972	4929.95694	6570.62258	6073.29256	4390.39065	5042.92689	8198.19026	6438.00382	5969.26382	6852.94525	6421.91367	6397.67165	5645.59915	7786.85613	4977.28176	7346.70483	5801.67389	5732.85849	8186.6877	9050.21131	7436.57795	6096.68001	5622.82882	5348.95034	6425.53924	6263.81974	6839.49829	4053.91537	6288.55423	6975.15949	6174.48484	6701.20796	7128.90239	7317.69656	6525.90424	6690.03641	7853.90326
3600	3900	4718.27771	4830.79837	4525.66387	4998.56727	6779.33179	8356.07949	5278.17919	4826.90167	4988.69572	4332.64647	4880.93807	4032.69009	4523.08885	4631.38982	6691.712	4770.07486	5350.75052	5621.39234	4603.83486	5924.06527	6227.98428	6900.82614	4136.25048	4884.42364	5037.9084	4330.67873	7574.59957	8816.77857	6531.20832	6816.22157	5221.50787	4559.16824	5966.20519	4194.3066	5261.81909	3429.82986	5378.86299	6764.55231	5173.37074	6750.89351	5934.60564	5497.08181	6181.81986	5595.99726	6117.98679
3900	4200	3811.93253	5107.58716	4657.72794	5339.14497	6233.54071	7749.47255	5344.17834	5664.14233	4184.43835	4271.49235	6389.59542	4024.30031	4061.74085	4572.25256	6103.13292	4984.11007	5360.34688	4651.02646	5199.921	5605.25319	5076.86066	5555.17807	5021.52542	5367.8577	5214.91062	4658.26461	7174.97387	8654.99915	6956.64271	5475.20312	5246.35579	4596.092	5642.61175	3090.0874	6217.67896	4170.94567	4653.87974	6206.63669	5650.70063	6161.1128	6012.27731	4053.0434	5564.23951	5726.03934	6144.5389
4200	4500	4445.02219	4804.414	4408.22883	4315.1519	6923.52781	5997.24876	6520.97299	5365.7073	3832.17176	3588.44373	4344.67747	4884.28636	3791.36039	4808.07069	5390.37452	6127.91085	5767.59531	5166.59363	4244.40571	5229.63256	5091.71356	6195.96259	4260.50085	5290.07661	4037.063	4813.90977	6696.92904	7211.95918	6118.70628	3881.14459	4229.74011	3739.00953	5334.52094	5281.24734	4721.64722	3482.72886	4642.27768	5682.99618	4822.3506	5984.04996	4949.65838	5550.0651	5245.52867	5739.39895	5720.2071
4500	4800	3919.37422	4813.06658	3416.52544	3847.2413	6290.74472	6855.46484	5122.76058	4247.67524	3139.08077	3333.39465	6148.87835	5571.49373	2939.27623	4142.47356	6096.20286	5157.39917	4567.46999	4727.1504	4674.34492	4697.46067	4405.82813	5982.98923	4447.12193	4613.36278	4557.74576	4237.20381	6333.69642	6233.64152	5102.2382	4911.08447	3228.05388	3398.76632	3963.40319	4361.51685	3496.10449	3366.33011	4389.21671	6165.05695	5171.79362	6480.5577	4381.16578	4314.69477	5356.76115	5034.42643	5425.07101
4800	5100	4428.80411	3757.53248	4199.13948	3733.07239	6474.06406	7012.65868	5697.22858	3406.97637	3158.63221	3470.85352	5451.12052	3200.62126	3433.6359	3346.66826	4600.30563	4306.63044	3998.12918	4542.61402	2821.41499	3876.20762	3871.60035	4752.09166	4357.63372	2938.76582	3888.18039	3679.1923	4984.62411	5622.06176	4624.60874	4562.69849	3846.72141	3856.94336	4954.1918	2291.85787	2406.06799	3789.69342	3709.98913	4092.74146	3829.57139	4692.09656	3569.90251	2064.13561	3973.49226	4298.84871	4022.24098
5100	5400	2556.80103	2849.14446	2799.81489	3025.09615	5326.04404	7104.05528	4277.23717	2504.78381	2532.05609	2606.28708	3563.13714	3821.70406	2215.41852	3219.42437	5329.00234	4876.26194	4056.33033	2485.62699	3384.77451	3682.97826	4083.3462	5411.67361	3364.25446	3175.34813	5166.48373	3651.31997	8190.43616	5712.09725	5048.03374	4547.60704	2695.63784	2743.93853	3513.60921	3326.44378	2095.12848	3582.52588	3157.41855	5569.02128	3714.31454	3792.44291	3599.08043	3553.11947	3569.09598	3756.672	4056.13776
5400	5700	3634.19007	5409.46382	3650.61162	3875.31158	4333.76787	5424.74281	3365.81344	2991.19741	3380.44672	3372.09975	3071.0198	3011.76236	3349.85049	2527.94035	4352.62569	3834.62469	3968.94694	3776.52413	3641.88774	3793.38449	3982.1711	3186.95137	2827.42487	3399.92448	3065.80329	2902.21841	4515.93684	4033.74126	3502.32519	4880.91173	2397.4997	3014.91663	3358.63238	2853.54903	2689.90698	3975.82199	2880.96651	4424.27224	3589.63203	4322.15328	3294.20885	2869.18883	3577.03856	3209.88184	3367.71156
5700	6000	2745.44534	4100.22883	2665.14511	2138.54655	4680.63118	4690.97309	4380.22327	1973.6209	4071.14347	3318.8311	2118.63792	2479.11176	1092.85083	3294.65262	3130.28897	2627.30046	3348.18053	3995.0307	3192.11655	3643.11396	3987.86196	3784.56656	2738.74207	5617.85544	3313.66471	5187.28713	5099.39912	4147.17931	4597.98391	5760.58984	3489.01206	3352.34994	3164.07383	3652.52632	3926.19385	3365.00168	3612.17217	3779.6435	5318.03836	3894.12337	4240.47135	6299.51978	2858.56638	4040.33961	5253.62064
6000	6300	2487.9533	3809.1539	1914.25207	4632.30504	3361.44842	3430.16809	2750.74265	3233.40552	2476.55908	2476.45342	6442.2761	4849.58988	4176.10835	3960.92618	2722.08792	2626.37994	3057.90299	3537.18121	4208.75313	3145.27546	2957.16876	4252.88806	2300.46172	3536.11113	2171.50877	4243.98813	4416.94908	4725.71477	3867.94607	3417.93373	2158.71011	2420.51427	4478.71458	3584.00491	1924.14954	3874.51665	2793.24709	4717.69827	2516.96699	3552.49806	2761.21597	3805.33363	2803.77298	3736.0989	4243.34527
6300	6600	2169.90836	3313.44498	1684.0876	3273.90763	3620.56601	3394.86516	4006.92602	2919.4525	3251.29415	2925.63683	3667.15243	2098.36336	3499.22435	2840.48885	2589.203	2312.37398	3035.38392	2998.44263	4804.10576	3521.80328	3150.84012	3004.24994	2304.90913	2208.90241	3067.06193	2294.18077	5160.42612	3129.70562	3658.2657	4674.23123	1628.04169	2157.98161	3868.35598	1203.75198	1517.05219	2414.59475	3936.96454	3327.48171	2862.32265	3303.94953	2542.86453	1338.72922	2516.76004	3019.92015	4467.65145
6600	6900	3474.24191	4408.10044	2733.53223	2364.44518	4141.97306	4676.74984	2823.02228	2187.37559	1744.83153	2726.61986	2707.8181	6043.95677	2066.93684	2730.68907	4117.70819	2057.33859	3153.93719	2456.0729	3635.17256	2737.69284	2473.72833	2790.81671	4295.90534	3750.12503	2757.43159	1750.93889	3501.11716	4279.92233	4476.48652	2220.48378	2309.34691	2735.93209	2615.26485	4327.03447	2384.11548	1902.05237	3940.77258	2636.52962	2790.69918	4049.13778	2212.67171	2494.95166	2241.21632	1870.10989	2661.91776
6900	7200	2616.60165	4387.14762	1657.71008	3675.77753	2845.85619	4112.23887	3311.44662	2001.29234	2336.89173	2371.09923	2982.06327	2822.25187	2689.54005	2098.22193	3617.29699	3475.37228	3163.06236	2782.748	4444.97041	2839.28852	2690.1034	3853.92523	2242.28686	3772.36893	2419.83983	1577.27304	3764.42065	3142.33771	4950.75496	4883.25534	1410.34862	1776.15919	2861.6732	2816.13406	3118.09692	2339.90691	2372.56755	3918.6184	2678.7229	4326.76288	3721.12077	4055.28016	2939.56119	3283.78482	2926.31466
