frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VPL
0	30	52.85125	38.42052	48.7525	76.9828	13.01534	111.29346	22.71014	37.50214	63.87508	76.6019	90.56818	34.94514	88.71062	60.62919	54.50141	24.71828	23.61419	26.48806	21.93045	51.4061	49.31663	91.49022	88.61562	64.75172	124.35832	36.55983	36.47479	9.84527	14.78108	9.25397	23.65512	37.94181	67.68702	5.57537	132.04947	113.40543	70.82886	28.84818	22.77817	84.17181	204.97054	68.80034	97.22131	65.8201	42.80833	42.88515
30	60	4658.37953	4078.37028	5236.78368	4862.86746	7453.62757	4101.87246	7007.90808	4180.76878	5646.32533	5056.66752	4380.27007	3324.77066	4178.73309	6598.77772	3816.60965	6211.89871	4831.21278	3652.9693	3303.39205	4502.06955	4881.35792	3297.97803	5337.28767	4435.64086	4160.51	5730.82395	4515.87917	6045.34014	4964.53941	6633.70295	6040.07725	4899.53484	4767.74507	4772.11832	4195.95222	3975.22656	4515.42005	5219.21462	5103.14434	6295.17356	5776.78745	3704.04643	4095.67556	4230.29543	4208.4106	4459.62803
60	90	14036.47252	13684.01558	16747.12781	13825.15859	22527.11614	14542.38118	23139.36565	12880.60104	16810.79948	16645.70228	12011.89837	14676.62528	13674.80874	18821.72845	14198.10798	19303.30397	16315.43067	11225.49537	14589.0791	12018.57904	14258.12215	9389.54785	16019.71143	14571.81926	13841.02862	17876.94398	14965.07204	24593.08789	15423.70098	22026.32955	14748.47456	18294.26304	17383.68282	13573.32356	13288.7944	15740.04785	13443.18949	19560.62795	15996.53502	16362.52615	17543.53215	13503.83327	14290.27891	13522.70671	14270.70075	14897.52868
90	120	23420.91569	25640.6355	31039.44233	25991.2349	42450.90069	25641.51311	40001.30348	23426.50049	33102.85888	29291.67359	20391.63982	27000.61258	25736.2982	33055.58446	23451.34233	31980.30597	27495.28784	20474.34346	29777.47982	26051.94655	28988.14115	17424.48633	26825.21663	23282.18934	22864.26651	27256.79634	24095.14825	38735.32407	26576.0217	35755.95562	25033.60927	31310.55583	29564.84641	24553.08209	23391.56055	24903.14648	24759.36484	33378.67239	28120.84619	32088.63773	30491.21626	20273.18973	21738.71074	22185.95458	23987.0491	26353.95866
120	150	35604.4114	37430.80309	42982.89798	37575.65273	52483.89333	28744.12526	51507.40721	31849.3035	45073.51808	40740.52419	24059.7871	37380.851	35850.73032	46290.78625	29332.03994	42513.37609	38228.53768	32224.23046	35891.50586	34134.0659	37078.05367	23285.88281	35878.47033	34016.08375	33980.63293	39046.09482	36405.61457	52412.72115	30482.43774	51071.98303	35135.07288	42642.05092	40044.81682	31273.40151	38213.0634	32179.00781	35717.06031	47682.18802	35522.75386	44194.69411	40177.12068	29081.42421	35226.34355	31211.60198	33095.08951	35541.5046
150	180	38141.77952	35161.67006	48051.87086	40467.61303	61233.03035	35092.28384	59789.4375	35584.70473	48445.47337	44755.49065	28835.56523	36322.79018	42146.60735	49701.87163	36354.11426	48030.21735	41091.77921	29081.41237	34105.4248	34524.71951	40908.42615	26187.16406	39983.8039	35820.57172	33713.76391	43311.17152	38952.66463	53117.51743	32840.52964	52830.38752	35411.36462	46322.50343	44298.64714	26952.80302	34730.0954	36502.86719	35945.28749	47276.94595	36032.84678	44385.77055	40052.91565	28374.88087	33433.12559	35278.57752	39192.98311	38227.93548
180	240	38464.03943	36443.83627	48238.05653	41433.06535	54299.7796	31873.20523	58136.18862	35365.61084	48504.46496	44093.57184	25100.31134	40296.68973	40892.70681	49697.18872	32291.24166	47306.12521	40569.96965	31876.35357	37720.47461	36979.02607	40597.62697	25024.05273	39815.57393	37150.43732	34377.63459	42502.58061	39821.27903	51947.84105	32547.20372	54969.27096	36433.46772	46797.64743	43183.56592	30366.82474	38066.86208	36354.82031	37747.0135	50835.51903	35672.42852	49528.20728	41123.29251	31918.89311	35328.79824	35160.79828	38035.50843	39500.21647
240	300	40016.60208	36968.19689	47104.33502	38230.23207	55528.89062	30458.9191	57812.44282	33117.76444	47578.44276	43525.31023	24572.53196	37559.14202	37398.83677	50464.59611	32330.93549	45088.08146	40323.42747	31093.97012	38985.23568	35140.47261	38176.953	25681.5918	37161.21501	37154.16356	34167.79737	43288.84482	39467.56926	52131.79327	31595.28047	51130.60807	31949.02488	46354.48838	43670.90607	30345.80268	36637.59615	34488.125	39105.43764	47930.96459	32854.20542	44455.62769	38530.84521	30459.67226	34349.10566	34009.79697	37096.78834	38534.34351
300	360	36004.3732	34305.86057	42613.48667	37798.50542	46045.06205	28688.34364	49429.56981	33088.77372	44789.3368	40716.73424	23652.48265	36194.15262	36154.61133	44580.74548	28682.61593	43288.07459	37728.81136	29594.32338	34284.06901	33688.35749	37264.91476	28072.94531	36388.68858	32958.31529	33267.38575	38580.66087	36891.32813	46749.61388	30469.07553	49774.97597	31793.93514	44787.83101	41616.40022	26953.63538	36118.5927	35137.52344	35211.16317	45622.36959	32029.5456	44582.1477	35750.1278	28277.05504	33290.42285	31598.93025	35182.35216	36622.22393
360	480	32616.48458	31615.03864	37816.10926	36119.57272	39638.95598	25867.71013	44899.2692	27842.67194	40856.54263	36440.71249	21170.98037	33462.33943	33446.25543	41913.29625	26693.83044	38562.12478	33307.60108	29126.69396	33047.14062	33184.0365	36165.55741	24628.0918	33297.48537	32102.57198	30285.48457	36170.53267	35328.56565	40034.77224	26645.55484	44646.38911	29629.97697	40388.12606	36950.14568	24420.76156	29025.74189	32398.4043	35080.46724	42145.44007	28692.32363	40384.51971	33411.04406	27854.93905	29795.18184	31332.01595	33922.69337	34209.52546
