index	name	volume-mm3
203	parasubiculum	9.0
211	HATA	9.0
212	fimbria	25.0
215	hippocampal_fissure	9.0
226	HP_tail	129.0
233	presubiculum-head	9.0
234	presubiculum-body	53.0
235	subiculum-head	42.0
236	subiculum-body	57.0
237	CA1-head	120.0
238	CA1-body	32.0
239	CA3-head	27.0
240	CA3-body	27.0
241	CA4-head	39.0
242	CA4-body	29.0
243	GC-ML-DG-head	24.0
244	GC-ML-DG-body	27.0
245	molecular_layer_HP-head	35.0
246	molecular_layer_HP-body	52.0
7001	Lateral-nucleus	201.0
7003	Basal-nucleus	121.0
7005	Central-nucleus	5.0
7007	Cortical-nucleus	2.0
7008	Accessory-Basal-nucleus	56.0
7009	Corticoamygdaloid-transitio	39.0
7010	Anterior-amygdaloid-area-AAA	7.0
7015	Paralaminar-nucleus	9.0
