frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	55.95362	32.2742	120.97806	86.85859	50.33501	35.58167	94.70962	72.34234	96.9172	53.19592	99.36442	125.11213	80.28887	97.64768	93.06245	84.36486	67.76138	70.86415	67.89458	55.65914	81.85034	58.11554	57.76314	29.64903	31.15076	58.10557	105.49903
30	60	3287.86013	4602.73828	3676.9937	4012.68644	3638.33009	3604.05678	3848.57268	4080.74716	4077.44455	4487.12992	4204.84451	4955.71403	3740.94923	3857.24076	3929.93659	3928.07485	3741.19262	4205.22469	3902.23566	4128.32462	4273.12833	5310.09492	5970.24731	4810.29269	4638.3335	2774.52773	3961.32297
60	90	9322.68978	13925.7322	13190.33367	12550.33637	15690.93631	10235.76638	12098.84872	12587.99874	12669.2746	12703.22371	12922.26471	16395.79065	13108.16482	15661.93915	13659.98431	13808.31885	13059.62352	12819.07751	12805.50885	12773.13549	12758.96763	18882.14863	18882.85449	14352.1411	12499.79319	11763.2147	11073.14475
90	120	16788.70204	22741.8928	26862.08242	21985.40777	22145.18561	20697.45985	20211.16977	26712.20187	22821.76412	27419.70042	24897.45062	24362.81214	26132.33854	24679.66827	24923.76037	22567.26017	24897.48199	25843.86295	23613.91834	27713.9362	28884.44609	26571.90586	23897.75195	28204.71024	26309.91531	21867.69866	28127.6977
120	150	20605.72873	31910.2526	28615.86594	24931.74197	33567.02624	23400.29557	25033.62544	26854.40685	26641.24287	29574.4938	28550.96753	30328.00948	28501.25094	29434.79102	27167.13551	27311.11686	27493.01034	28756.42807	27098.45553	29817.55401	30983.10481	37260.42695	37052.46289	33064.54408	31437.14308	25972.41602	27915.42795
150	180	20801.00564	32084.20204	34019.06531	26937.08073	34116.97823	23917.49631	27148.20338	29526.10882	31733.00079	32092.61019	34397.69763	32337.14041	34405.37312	31526.63356	33425.49838	29951.45345	33879.12594	30495.60268	32880.49189	33193.61235	32317.93403	33794.60586	33919.26367	32295.20372	30474.30554	31080.8471	30052.46311
180	240	22142.43815	31025.61458	31651.78703	27318.41558	37335.0061	26349.61936	25161.03228	31638.13105	29488.26957	34753.25506	32537.33081	32349.87341	32783.04876	32392.00551	31721.03239	30296.98625	31727.15509	33267.41987	30539.14374	35484.58047	34221.77084	35419.51094	32658.36719	33697.58384	31524.41541	32339.98326	31028.8253
240	300	20503.69358	26138.75564	28781.9475	24697.24414	31421.45141	23858.93533	23739.88852	29663.84129	26304.99493	32817.62987	28981.54633	27973.47222	30864.29434	27431.67768	28902.37035	26112.82593	28814.57567	30756.99894	27452.84221	35215.50329	33552.6869	31616.12227	28569.71094	30913.31452	29792.59305	29795.20201	31120.41341
300	360	20444.16102	27081.75564	29805.68117	24593.76671	30404.60921	24192.37847	23200.94922	29465.99307	25496.62257	31066.2009	29579.48999	27753.94025	29805.82632	26929.45282	28327.08264	26112.88672	27945.79427	29944.59833	26891.6339	31851.96304	31663.98268	29095.98555	27339.12891	31335.613	30907.0605	30822.97098	29336.69444
360	480	17419.61871	22062.42014	25417.35711	21540.91493	25309.48967	20256.22179	20661.11829	25007.68225	22718.74113	25760.1266	25779.4201	24382.46267	26562.31207	23470.45778	25191.79256	22312.23405	24708.38274	25130.09297	23670.73854	29460.74261	28351.70611	22981.67969	22163.69922	25500.68541	25895.7181	27181.73689	26382.11936
480	600	17351.47493	19194.56033	22781.01797	18766.99175	22634.07546	19499.53277	17104.97385	22894.05171	20067.30387	21978.20301	23286.64563	19847.29753	23622.49479	19189.3134	22027.25343	19203.52966	22206.9545	22071.64392	21273.60577	26512.56751	24594.03811	21262.10078	20136.15918	21496.20595	22098.03851	25825.27316	23637.55165
600	900	17600.78754	19420.49609	20223.51367	18432.01562	18203.87464	18454.89497	17427.96652	19931.34277	18167.43024	20597.702	19763.09784	19384.11777	20464.82632	18819.08699	19517.71296	18724.44604	19514.08963	20207.7298	19117.54308	22335.38294	22534.05834	20477.46328	19986.83398	21407.18164	21652.32497	21193.85296	21936.97201
900	1200	15331.13194	13118.97233	16812.9491	15646.82422	14095.77688	15437.82671	14908.89886	15337.17839	15115.64971	15105.17314	15940.94519	15445.32042	16525.71799	14290.17541	16027.85624	14930.67306	15991.78469	15570.03982	15663.86619	17076.07519	17019.39634	16427.45508	15093.44434	15319.19697	15818.37427	18788.0572	16517.76107
1200	1500	13530.75922	15865.40571	15546.19586	14591.56402	12864.74573	13984.2526	13039.9778	14470.39618	13367.93291	15129.35781	14350.8479	15427.32603	14600.17144	14933.66078	14246.04091	15221.19999	14314.26233	14823.00413	13990.25684	15967.8369	16324.07003	16972.90352	16600.39551	17000.12671	16924.5494	16730.20201	14995.46723
1500	1800	12186.71322	15901.51411	15615.17766	13535.4898	12124.87608	12780.60558	12327.76778	13129.78734	12966.4921	14455.38266	14601.24933	15041.0982	14463.40148	14290.87397	14072.3886	14621.36995	14078.40281	13863.84141	13739.81357	15578.43018	15776.26746	15896.88496	16380.68994	16618.09195	16722.35517	15810.20522	14258.75239
