pet	frame_start	frame_end	frame_dur	frame_mid	TAC	weights
sub-21_ses-retest	0	30	30	15	1.0697228026462475	0.5511778309638395
sub-21_ses-retest	30	60	30	45	10.576028640280583	0.7556741939099217
sub-21_ses-retest	60	90	30	75	23.672559881367608	0.9012213792558956
sub-21_ses-retest	90	120	30	105	37.76859494986177	1.0139589854990456
sub-21_ses-retest	120	150	30	135	44.54559835355724	1.05693455044717
sub-21_ses-retest	150	180	30	165	45.51439745023352	1.0582992844004797
sub-21_ses-retest	180	240	60	210	44.17979674731328	1.2851096942233515
sub-21_ses-retest	240	300	60	270	41.05075563354798	1.2416741042087027
sub-21_ses-retest	300	360	60	330	37.57128557794986	1.1948959097844967
sub-21_ses-retest	360	480	120	420	32.827579229922165	1.4086564283277452
sub-21_ses-retest	480	600	120	540	27.89510069064827	1.3046861991795577
sub-21_ses-retest	600	900	300	750	22.684011819148143	1.5972753164981404
sub-21_ses-retest	900	1200	300	1050	18.66435011414738	1.406693122190139
sub-21_ses-retest	1200	1500	300	1350	16.454143750875115	1.2757465430963317
sub-21_ses-retest	1500	1800	300	1650	14.871427313470663	1.171683019612794
sub-21_ses-retest	1800	2100	300	1950	13.572308820771465	1.0838600619366017
sub-21_ses-retest	2100	2400	300	2250	12.471730087471656	1.0086857290784814
sub-21_ses-retest	2400	2700	300	2550	11.602396696804934	0.9455054741824801
sub-21_ses-retest	2700	3000	300	2850	11.001250188935815	0.8936919691356201
sub-21_ses-retest	3000	3300	300	3150	10.456133668799	0.847815506491772
sub-21_ses-retest	3300	3600	300	3450	9.91065735545961	0.8062471515269853
sub-21_ses-retest	3600	3900	300	3750	9.395763151880006	0.7691088759392685
sub-21_ses-retest	3900	4200	300	4050	8.858230646673956	0.7351121368830481
sub-21_ses-retest	4200	4500	300	4350	8.536093117321624	0.7075408907181635
sub-21_ses-retest	4500	4800	300	4650	8.15555678221756	0.6817056499331379
sub-21_ses-retest	4800	5100	300	4950	7.856742872353004	0.6593548691395116
sub-21_ses-retest	5100	5400	300	5250	7.4448402238967635	0.6376851234373182
