index	name	volume-mm3
203	parasubiculum	53.0
211	HATA	44.0
212	fimbria	75.0
215	hippocampal_fissure	48.0
226	HP_tail	621.0
233	presubiculum-head	123.0
234	presubiculum-body	149.0
235	subiculum-head	172.0
236	subiculum-body	244.0
237	CA1-head	521.0
238	CA1-body	117.0
239	CA3-head	96.0
240	CA3-body	87.0
241	CA4-head	121.0
242	CA4-body	114.0
243	GC-ML-DG-head	135.0
244	GC-ML-DG-body	129.0
245	molecular_layer_HP-head	295.0
246	molecular_layer_HP-body	207.0
7001	Lateral-nucleus	605.0
7003	Basal-nucleus	397.0
7005	Central-nucleus	30.0
7006	Medial-nucleus	8.0
7007	Cortical-nucleus	16.0
7008	Accessory-Basal-nucleus	226.0
7009	Corticoamygdaloid-transitio	147.0
7010	Anterior-amygdaloid-area-AAA	28.0
7015	Paralaminar-nucleus	34.0
