frame_start	frame_end	Left-Cerebral-White-Matter	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-choroid-plexus	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	30	38.78975296020508	44.49699401855469	6.953762531280518	63.88207244873047	49.34827423095703	31.49319076538086	7.037442684173584	82.97649383544922	124.25652313232422	767.1324462890625	38.300411224365234	419.48260498046875	41.16477966308594	-77.28848266601562	48.06059646606445	145.15435791015625	57.56999588012695	89.31939697265625	104.01830291748047	15.383625984191895	144.90524291992188	-79.267822265625	-20.4240665435791	-136.0810089111328	89.4940185546875	23.358814239501953	72.72372436523438	76.35633087158203	8.641204833984375	-16.484291076660156	25.32567024230957	47.484832763671875	-1.6212973594665527	-1.8624716997146606	69.19942474365234	31.957317352294922	223.23159790039062	81.5049057006836	9.547688484191895	-20.599424362182617	106.64823913574219	39.596641540527344	90.32097625732422	71.82635498046875	75.2110366821289	-19.2027587890625	112.33065795898438	49.00835037231445	57.8459587097168	-60.434715270996094	20.11083984375	34.846527099609375	63.61552047729492	43.210201263427734	-40.54905319213867	63.81969451904297	135.1588592529297	31.767181396484375	61.345603942871094	26.411479949951172	79.40299224853516	5.6210737228393555	-40.407413482666016	124.26187133789062	-16.431591033935547	478.0068359375	-39.24932861328125	32.849830627441406	-15.08476734161377	78.63973236083984	773.1337280273438	64.72599029541016	47.88559341430664	74.65243530273438	82.0832290649414	-10.193524360656738	56.25742721557617	85.07725524902344	165.00738525390625	79.38084411621094	134.1967315673828	53.4066162109375	70.02352142333984	57.71044921875	158.83253479003906	131.6160888671875	52.49839782714844	3.48905086517334	34.12038803100586	79.5952377319336	51.84086227416992	56.13648986816406	114.78816223144531	-0.2361488789319992	64.34026336669922	88.44217681884766	39.23066329956055	19.463083267211914	-107.7989730834961	256.1854248046875
30	60	2005.0721435546875	2208.5947265625	4876.396484375	6198.8828125	6626.150390625	9862.625	4077.68505859375	3506.549072265625	6615.8359375	-4583.33349609375	5060.97998046875	8567.82421875	1772.46923828125	-17463.556640625	1901.3720703125	2451.507080078125	5019.28369140625	5331.06982421875	7448.53662109375	7820.99755859375	3096.16748046875	4670.9091796875	381.35577392578125	7060.54443359375	3488.256103515625	16101.2470703125	1092.8782958984375	2432.0712890625	16409.34375	4300.455078125	5960.30810546875	1115.046875	2928.471923828125	2089.216064453125	8581.8720703125	10598.9580078125	4436.36572265625	9978.5146484375	5479.11767578125	6407.5009765625	5942.47509765625	5785.4794921875	9089.34765625	6834.24755859375	6974.31884765625	4493.44580078125	5769.38671875	7476.51123046875	8894.7685546875	3728.909423828125	7188.0703125	11256.08203125	7041.6328125	3621.953369140625	5850.95849609375	7573.853515625	8018.16015625	7810.8251953125	7424.2392578125	6119.791015625	6569.7041015625	6543.359375	7524.984375	8042.0771484375	632.008544921875	6103.5185546875	6847.5595703125	2487.727783203125	6538.6689453125	11011.6796875	10547.4033203125	6766.37939453125	5849.0712890625	7684.68798828125	3773.853515625	9173.08203125	9304.052734375	7167.30810546875	8239.5556640625	2474.66162109375	1118.769287109375	6597.06201171875	7018.68994140625	3082.228515625	7587.259765625	8537.0087890625	6622.45458984375	7921.58935546875	6132.1044921875	9272.591796875	4274.9453125	7171.07275390625	7835.04638671875	5149.7919921875	5538.458984375	7494.80224609375	4513.45458984375	7563.5791015625	3920.799072265625	8068.109375
60	90	6469.19921875	7223.4091796875	16653.748046875	18582.529296875	22828.33203125	30223.35546875	7617.669921875	10025.9365234375	19921.41796875	-5580.61376953125	17214.09375	11317.52734375	6376.92919921875	-22949.474609375	6082.46142578125	8876.943359375	17191.3203125	17965.267578125	23339.779296875	25730.357421875	9320.76953125	17974.20703125	2531.260498046875	7897.697265625	9484.6650390625	62799.96875	2825.758544921875	6479.65283203125	48233.91015625	14834.8955078125	18217.435546875	3563.280029296875	12721.4296875	1644.2811279296875	26899.78515625	33550.8046875	14649.9990234375	34456.015625	17375.681640625	19418.400390625	14339.666015625	18175.05078125	26125.08203125	23609.697265625	24275.693359375	17854.56640625	9856.8095703125	25379.095703125	25818.9765625	12273.3505859375	25714.5859375	32303.576171875	24660.3359375	12185.2138671875	18414.93359375	24899.12109375	21608.171875	25847.369140625	22422.275390625	18673.783203125	21599.76953125	21324.357421875	31679.375	30263.0	8603.96484375	16958.474609375	23688.609375	11850.4912109375	20936.38671875	34863.296875	26995.392578125	21356.30078125	19160.44140625	21726.201171875	9560.0908203125	26851.13671875	30060.84765625	23697.380859375	26170.455078125	13188.6806640625	-1521.67431640625	20499.822265625	23778.24609375	13522.5888671875	22449.37890625	33968.90625	21637.306640625	21685.724609375	18784.060546875	29646.67578125	14014.2734375	23422.7109375	24386.310546875	17171.57421875	19801.78125	23793.154296875	16748.36328125	19839.1875	15463.091796875	22260.724609375
90	120	11278.5986328125	10995.205078125	30147.6796875	34583.7890625	40971.56640625	52902.35546875	13129.544921875	18710.951171875	34472.62890625	13882.8134765625	26186.298828125	23979.337890625	7117.8974609375	-10637.03125	10640.298828125	11771.22265625	30930.515625	30930.439453125	40719.66015625	49814.2578125	11436.767578125	29026.341796875	12301.7373046875	12500.7890625	14048.16796875	120489.703125	4671.63720703125	10094.814453125	68913.7109375	26130.205078125	29977.181640625	6046.96142578125	22155.625	3980.770263671875	47474.7109375	53660.83203125	41856.37109375	60293.109375	34013.86328125	33579.14453125	22467.728515625	34195.75390625	47808.265625	40015.984375	40866.91796875	34095.50390625	25097.21484375	39337.61328125	46444.046875	20826.2578125	46747.07421875	58317.48046875	39482.4609375	22139.3515625	35884.31640625	43366.18359375	34367.125	46904.6484375	39756.09375	31780.720703125	36273.87109375	36400.5078125	55365.3046875	50950.66796875	12393.73828125	31829.349609375	37902.8515625	15355.505859375	36965.80078125	62440.3046875	36709.140625	41241.234375	35261.09375	39008.7109375	22581.828125	44841.53125	48770.640625	41633.5234375	46044.5703125	29755.55859375	-3402.611328125	39965.5625	42820.4140625	23747.349609375	40877.671875	54047.546875	39114.78125	31359.904296875	32958.8046875	49018.015625	27659.609375	43294.5859375	44241.6640625	32157.955078125	34778.1171875	41827.33984375	28049.708984375	34401.046875	23028.1015625	33211.625
120	150	15357.734375	14554.2470703125	42327.00390625	47351.9453125	59716.4765625	70526.3515625	15895.1943359375	24678.71484375	39457.3046875	11401.7861328125	37985.52734375	-1567.0045166015625	9638.2099609375	-69147.828125	13970.2841796875	18299.005859375	41732.31640625	42916.42578125	59038.46875	68216.4765625	19645.669921875	44553.484375	21222.2734375	-20902.12109375	17711.529296875	132511.890625	5170.80419921875	12528.001953125	111078.5546875	36773.421875	38534.1875	7898.34130859375	26423.287109375	10510.294921875	64779.82421875	67549.65625	55868.140625	85338.6328125	44737.06640625	45913.8515625	36124.06640625	44660.55859375	61180.15625	52682.69921875	54852.4375	50389.11328125	33712.625	52828.953125	59653.890625	33236.09765625	61760.88671875	80046.9609375	56017.55859375	25759.677734375	46346.30859375	59022.44140625	46032.51171875	64047.375	52692.9921875	45079.328125	49714.2421875	50696.00390625	73937.7109375	63592.4375	19822.642578125	43844.48828125	48032.91796875	22604.060546875	52004.89453125	81628.8984375	47099.22265625	57061.01953125	47005.82421875	54882.88671875	21473.26171875	58324.5859375	65745.375	57748.7421875	69640.71875	41646.875	-4385.0556640625	53217.2890625	53304.46484375	35906.10546875	57953.44140625	75521.953125	52909.94921875	44927.265625	46842.29296875	66929.140625	42322.34765625	58799.515625	59367.47265625	45572.03125	48072.00390625	54659.04296875	33677.78515625	42186.25	45702.41796875	42448.50390625
150	180	16302.6474609375	12431.5966796875	45669.98046875	50983.01171875	65434.8359375	79053.6875	19480.154296875	25617.65234375	45815.16015625	-852.0486450195312	37904.51953125	5041.4755859375	10203.9287109375	-22077.4765625	15119.63671875	15700.2109375	45394.9609375	46239.5546875	61441.640625	72496.421875	16419.708984375	53220.85546875	30658.240234375	474.3241882324219	13389.6943359375	137653.625	4689.71337890625	12726.556640625	119318.90625	39121.9765625	38682.15625	8212.5732421875	34298.02734375	9201.103515625	70497.921875	65627.2109375	61442.3671875	90254.5234375	49885.23046875	46302.36328125	36185.27734375	48295.2890625	64609.52734375	54861.6484375	58491.9453125	52396.6015625	37364.09765625	61947.97265625	64814.4296875	31999.349609375	66147.4296875	82572.375	62246.43359375	25548.544921875	50308.0546875	60687.0	48140.53125	67991.7578125	57568.14453125	47567.0234375	55830.6640625	53178.23828125	79195.234375	73882.671875	24615.326171875	44681.9765625	54571.66015625	21456.681640625	54812.390625	86168.9296875	45456.74609375	63017.2109375	51641.66796875	57359.5546875	29175.2109375	57963.390625	68174.2890625	56458.8515625	70727.0234375	46638.53125	-7072.06982421875	56428.67578125	58388.76171875	37303.0703125	56769.94921875	77340.234375	58105.55078125	51218.63671875	49382.48046875	70950.96875	38609.3984375	63067.734375	61568.8671875	49684.0390625	52423.5390625	56481.98046875	39486.25390625	49159.3359375	48341.62109375	48623.58984375
180	240	16355.537109375	13151.6279296875	45027.984375	51930.0859375	67062.78125	76813.328125	20112.828125	25741.84765625	43056.6953125	14318.607421875	36390.328125	-5309.46923828125	10323.3740234375	-63928.0234375	15138.9609375	16276.580078125	45331.8125	48020.69140625	63440.60546875	74820.8671875	14911.771484375	47256.17578125	33430.2109375	11131.697265625	14004.4609375	157889.125	4573.51806640625	12716.05078125	117644.65625	38002.8203125	36330.3359375	8648.8642578125	34285.45703125	12402.1015625	70795.890625	64612.21484375	66508.171875	92353.9609375	49920.95703125	49686.640625	37552.7109375	46986.50390625	63711.39453125	56180.91015625	59328.16015625	54273.47265625	39730.47265625	58891.9375	64605.6796875	36605.4140625	67929.640625	76693.7734375	61257.23046875	29679.89453125	50598.57421875	61311.5625	49681.7265625	69513.7421875	57101.23046875	48784.578125	55424.27734375	54279.94140625	71610.046875	74879.8203125	25227.25390625	46659.9375	51745.66796875	24707.494140625	56575.125	82008.3046875	49481.3984375	61943.86328125	52153.96875	57003.05859375	23299.37109375	56339.97265625	67832.9375	59394.3203125	65883.1171875	48812.140625	-6708.57666015625	58056.5390625	57845.8828125	42077.7734375	59638.96875	71509.8125	59217.2734375	45716.92578125	50343.8046875	70207.0546875	39723.68359375	62509.46484375	62917.46484375	50506.09375	53445.4765625	57855.72265625	42048.51171875	45726.02734375	41233.72265625	48972.61328125
240	300	15769.048828125	10794.673828125	43125.68359375	51205.98828125	65775.421875	71454.0703125	18739.865234375	26028.619140625	33989.08203125	34274.60546875	32999.61328125	5043.8935546875	9917.1240234375	-84680.75	14692.8291015625	13539.8310546875	43303.81640625	46981.96875	60631.10546875	68723.578125	19961.294921875	48750.29296875	29633.82421875	2226.833984375	14725.7431640625	132516.375	4459.9755859375	11989.5244140625	103921.5078125	35380.5078125	31804.623046875	8603.240234375	35856.40625	17803.349609375	66989.0859375	54955.59765625	75134.1171875	83633.6796875	46433.69140625	47357.9921875	33502.3125	42473.27734375	59935.78125	50952.6015625	54565.21875	54130.0078125	46960.7265625	55572.72265625	62021.69140625	36771.796875	59610.62109375	71271.328125	59193.4609375	27028.271484375	48583.93359375	55468.09765625	45233.25	64347.68359375	54841.875	48268.76171875	52464.015625	51814.24609375	71601.875	75387.953125	29622.68359375	47177.84765625	51447.55859375	26347.994140625	53219.6875	72674.109375	39207.40234375	61324.80859375	49718.078125	53785.875	25774.3515625	51566.80078125	62278.0859375	54083.1328125	66809.8828125	48530.61328125	-1503.6568603515625	54457.67578125	54972.4140625	41252.8046875	54692.72265625	64958.3125	56789.91796875	43146.87109375	48670.40234375	62991.6328125	38393.53125	59317.140625	60669.67578125	49425.234375	51801.5859375	53292.34375	40491.2109375	50353.61328125	45305.51171875	47000.78515625
300	360	15208.7451171875	11610.923828125	40491.27734375	48759.015625	60871.89453125	65862.8359375	19874.736328125	24903.28125	32369.234375	38678.765625	28269.818359375	1280.6317138671875	12932.2021484375	-32007.296875	14590.6533203125	16249.046875	39702.85546875	44896.5078125	53310.4453125	62951.140625	18315.29296875	48515.07421875	38883.65625	12153.90625	13391.947265625	101472.53125	4616.12158203125	11333.4443359375	81836.109375	32947.5625	27541.69921875	8634.5419921875	34183.39453125	17234.173828125	59798.66015625	48844.17578125	80066.28125	78318.375	42728.859375	43539.90625	32631.041015625	36450.859375	50992.4375	47189.30859375	52406.74609375	49521.05859375	40768.83203125	50347.2265625	55659.08984375	33316.03515625	53857.16796875	60317.32421875	53729.8671875	26459.873046875	45890.69140625	49474.21484375	44761.6875	58248.52734375	50179.19921875	43513.9921875	49477.43359375	46004.1875	61266.3671875	73193.7890625	25360.119140625	45851.6015625	45942.7421875	25446.142578125	49233.08984375	63627.37890625	48428.41796875	53793.01171875	44861.2578125	50387.05078125	21819.517578125	45371.79296875	56347.8359375	51264.34375	59173.5078125	47275.77734375	-2985.007080078125	50049.5703125	48983.08203125	40661.19921875	50504.33203125	55461.65234375	50856.19140625	37491.1484375	45229.0546875	54226.76953125	37217.5625	52696.3828125	53969.3125	45197.12109375	47449.42578125	48985.90625	34405.5703125	46665.28515625	38274.66796875	45508.79296875
360	480	14579.5986328125	11368.462890625	35702.62890625	45559.0859375	52706.0859375	55856.81640625	24400.5546875	24030.47265625	22722.373046875	42063.4453125	22932.9765625	11703.08984375	13577.4208984375	-6886.583984375	14210.40234375	12441.087890625	36167.98046875	42873.26171875	45907.5703125	54649.8203125	21071.658203125	41488.37109375	38046.15625	21168.025390625	12497.8310546875	80379.1796875	4805.97119140625	10505.1865234375	66448.5	29416.466796875	22263.548828125	8785.033203125	31076.798828125	24094.361328125	51812.40625	38683.609375	67775.546875	64689.21875	36300.5	39790.99609375	26797.0859375	30778.373046875	45887.01171875	41455.01171875	45959.4140625	43665.71484375	39632.68359375	43939.44921875	49019.19140625	30840.662109375	46354.19921875	51900.50390625	46512.609375	25176.052734375	39709.484375	42691.53515625	40369.10546875	49544.48046875	43930.44140625	38083.578125	44263.8359375	40040.71875	50313.421875	72933.390625	22080.744140625	42748.0	40996.56640625	25343.767578125	43433.68359375	53432.640625	41132.31640625	47290.7890625	39451.12890625	43584.53515625	21585.990234375	38967.47265625	49595.5546875	43685.640625	51855.9921875	43182.5703125	3327.7080078125	39977.31640625	41960.98046875	34834.01953125	43492.61328125	45245.84375	44832.12109375	33348.90625	39645.8203125	47603.03515625	37000.94921875	46141.14453125	46782.0625	39367.69921875	41936.13671875	41546.94140625	27927.615234375	42525.27734375	35253.13671875	40070.2265625
