index	name	volume-mm3
203	parasubiculum	52.0
211	HATA	67.0
212	fimbria	73.0
215	hippocampal_fissure	63.0
226	HP_tail	663.0
233	presubiculum-head	112.0
234	presubiculum-body	125.0
235	subiculum-head	145.0
236	subiculum-body	208.0
237	CA1-head	541.0
238	CA1-body	137.0
239	CA3-head	100.0
240	CA3-body	110.0
241	CA4-head	123.0
242	CA4-body	114.0
243	GC-ML-DG-head	146.0
244	GC-ML-DG-body	129.0
245	molecular_layer_HP-head	286.0
246	molecular_layer_HP-body	227.0
7001	Lateral-nucleus	732.0
7003	Basal-nucleus	454.0
7005	Central-nucleus	28.0
7006	Medial-nucleus	9.0
7007	Cortical-nucleus	26.0
7008	Accessory-Basal-nucleus	268.0
7009	Corticoamygdaloid-transitio	175.0
7010	Anterior-amygdaloid-area-AAA	30.0
7015	Paralaminar-nucleus	39.0
