frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	27.63323	37.83155	86.95939	114.11769	75.5494	39.37743	75.80106	69.49097	61.91755	65.42846	83.06203	187.3364	78.27894	128.16495	63.35671	113.84108	47.67591	77.15553	49.80384	40.4818	45.11875	62.11682	67.49681	29.96859	18.30343	55.10459	49.24708
30	60	3195.82899	5002.2749	3525.80683	3771.93698	4282.69325	3562.76644	3640.0739	4206.1764	3704.39086	4196.35536	3978.12383	5093.03013	3288.26277	4323.85321	3404.58357	3746.82688	3350.5368	4173.23737	3596.96066	4412.38878	4750.7617	6570.38662	7300.80615	5571.80708	5051.32976	3049.57227	4240.22881
60	90	9187.83008	14059.80849	13622.79375	12578.18251	15720.96418	9869.90809	12689.4557	12095.261	13461.89032	13607.11964	13501.0376	15408.21144	13424.10858	15418.50706	14219.40032	13939.55583	13629.15788	12520.83683	13586.25633	13441.1011	12849.53555	17495.93945	15956.1582	15156.17222	13005.97912	11726.66532	9774.47841
90	120	14376.93273	19721.43381	27829.31703	20961.96311	23024.41535	17884.75792	20480.31869	24861.74228	23484.53975	24754.27275	25839.08801	24557.42976	25021.38108	23465.06651	24416.77654	22338.48234	24412.8682	23663.78002	23700.38638	30122.56815	28098.7002	23927.49219	22068.98828	25058.96572	23537.22706	24566.79436	26791.60135
120	150	20724.06532	30112.27409	28457.20055	24961.59049	35542.14762	22339.63455	27149.37238	25405.73596	27801.38011	30017.78659	29392.94611	29094.18591	30042.22758	27857.05324	29418.88106	27495.23844	28710.94452	28260.59219	28416.8851	30982.14379	32331.96228	35817.90625	32875.86426	33440.38644	30929.9347	26454.70787	28398.58507
150	180	21020.93945	32124.63976	34544.47234	27746.62283	37091.68473	24243.2105	28520.52071	28400.121	32780.56949	32238.45008	35136.84491	32746.37189	34866.0191	30288.05283	34535.8812	30156.35807	34104.34664	30039.81256	33430.34375	33558.79472	31192.03955	32723.30352	32978.9248	31820.07935	29943.33383	29908.30078	28155.82943
180	240	23295.11502	28974.10286	32232.53781	27354.28559	39175.10115	26208.01562	27191.64096	31063.26409	32031.30911	33583.79383	33464.69238	31563.75318	34032.38122	29273.94	34115.84254	28721.53613	33524.92426	32286.65631	32526.60983	36278.6505	33104.21223	34474.42578	33313.75781	31665.11178	29178.04237	32184.2274	31144.83377
240	300	19901.51063	23468.51997	30783.52984	24470.32747	33078.9438	22863.3457	25576.04149	28617.54362	28285.70802	29605.31912	30723.99353	27497.85692	31228.11733	25388.31771	30323.62365	24956.72062	30047.5952	28551.976	29588.15794	35214.61424	31884.34451	29874.46094	26909.47656	27828.81198	26490.06265	29190.66797	30526.57878
300	360	20820.75109	24552.32986	29621.47375	25060.22418	31506.53924	23656.52821	24660.49609	28014.93392	27328.91444	29276.06204	29864.56439	28679.99081	29677.87999	25528.22321	29119.25269	25678.50374	28658.63411	28583.26696	28027.70613	32204.57918	30612.00862	27049.75195	26377.51465	28608.7486	28347.02734	30693.04046	28657.34983
360	480	16842.49219	21812.32248	25987.09578	21201.19076	26346.47588	18714.9898	21736.19682	23055.81827	24190.36362	23991.4679	26527.22668	24959.75528	26668.66558	23184.26082	25668.29701	22637.43327	25193.15878	23364.58365	24956.66643	28545.89802	26221.74638	22421.95898	23163.50586	22639.59947	22856.39528	26703.40681	24841.41276
