index	name	volume-mm3
203	parasubiculum	72.0
211	HATA	43.0
212	fimbria	73.0
215	hippocampal_fissure	131.0
226	HP_tail	633.0
233	presubiculum-head	152.0
234	presubiculum-body	168.0
235	subiculum-head	176.0
236	subiculum-body	262.0
237	CA1-head	569.0
238	CA1-body	136.0
239	CA3-head	107.0
240	CA3-body	101.0
241	CA4-head	137.0
242	CA4-body	125.0
243	GC-ML-DG-head	159.0
244	GC-ML-DG-body	147.0
245	molecular_layer_HP-head	306.0
246	molecular_layer_HP-body	240.0
7001	Lateral-nucleus	679.0
7003	Basal-nucleus	449.0
7005	Central-nucleus	36.0
7006	Medial-nucleus	7.0
7007	Cortical-nucleus	21.0
7008	Accessory-Basal-nucleus	237.0
7009	Corticoamygdaloid-transitio	148.0
7010	Anterior-amygdaloid-area-AAA	26.0
7015	Paralaminar-nucleus	39.0
