frame_start	frame_end	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
0	30	182.5496	159.36917	217.44441	264.71635	350.07158	184.29664	298.12339	224.57234	197.70576	120.17021	198.28375	259.44107	269.15771	432.05249	151.43662	288.71034	63.04869	210.07932	175.33616	215.64595	179.94426	252.58364	208.19002	204.47432	297.72862	171.97305	227.15189	173.07531	172.61437	191.43225	151.40628	111.33601	301.37344	83.91008	191.71428	162.75046	170.2611	218.44431	285.80382	321.04615	233.94278	286.10081	129.93357	245.75441	243.59057	217.64237	267.27742	220.22227	323.50025	272.99051	369.66133	233.02405	386.48555	277.43115	269.64725	291.75448	309.76553	251.83286	240.11455	303.364	216.25831	262.56648	439.89438	270.80598	285.38445	217.62562	325.8896	304.27119	249.4842	260.51558	328.25814	385.09146	264.69093	336.53382	249.33197	286.27798	284.42106	247.2962	222.89972	216.13734	214.05875	205.05166	331.40127	243.52768	340.43379	237.26911	393.62838	263.63639	350.71746	315.05157	277.4902	254.78717	266.54697	241.96554	253.29075	261.23162	357.53861	223.41432	249.94563	181.02642	323.63045	294.06296	182.57369	205.17661	414.75962	320.08642	150.12415	195.72113	140.8019	272.29117	201.01132	194.51192	188.23352	190.88153	209.25348	196.14257	261.70905	208.89475	308.23542	176.49659	339.42194	191.22324	230.32596	194.77723	201.90664	169.76966	150.86554	135.20918	158.45839	193.54993	299.20615	190.79912	218.42531	177.04014	189.8613	238.28083	294.19542	217.19867	300.97981	255.67258	184.27624	225.51716	185.39905	249.41369	216.46328	219.35889	154.89114	203.44512	155.43894	179.39958	262.99133	215.8733	221.06392	192.44701	292.6356	188.32835	206.11457	303.62523	184.96765	248.92771	246.88864	147.1258	192.77968	217.28269	193.20977	166.11984	192.39213	184.92153	294.40865	199.96245	215.01469	310.51671	248.63642	226.37617	159.85041	120.71289
30	60	2277.47668	2986.70691	3464.74141	4272.89266	4362.29113	3528.56379	4892.89144	3504.19411	3433.39736	3299.3955	3377.39783	3966.87989	3241.16632	4168.72738	3621.4183	3281.656	3937.67847	3406.16015	2374.86544	3087.31685	3394.66773	4596.71321	4135.03117	3937.58202	4415.13553	2780.52925	3662.21331	3482.65569	3703.70531	3510.35916	2629.29954	3145.78405	2150.66783	1906.67303	2065.95543	2159.31933	2068.65892	2317.29104	4238.6544	4087.61712	4665.08142	5275.50195	3528.52807	4085.21373	4229.30886	4096.31099	4515.98227	3846.03249	4595.12734	4529.18622	5121.53802	4061.63566	3497.86569	4111.26368	4964.8681	4628.19488	4784.49972	5068.07461	4130.47063	4314.17575	4240.43115	4953.19584	4539.67605	4722.25512	4367.79243	4006.42843	4221.48142	4603.94517	4829.11025	3491.47336	5301.47014	4632.85046	4243.4922	4317.17604	4233.84095	4990.73848	2976.79348	4159.76869	4323.78456	3707.83463	4492.0221	4088.22229	4606.91165	4653.27656	4834.76491	3748.16693	4042.34984	3855.03035	4482.38702	4208.52522	4442.51393	4982.49134	3923.98986	4474.77743	4131.88612	4715.2794	4523.6825	4519.66422	4268.72002	3771.67201	4208.77119	4353.38598	4499.70896	2853.6952	5332.78253	4225.86264	2960.26276	2110.26968	2905.26069	4377.41268	3324.68578	3270.35908	3085.39801	3453.44468	2784.42411	3232.4991	3354.06451	3803.23598	4008.02108	3144.14821	3756.09417	3078.7878	3446.60273	4294.8892	3202.5232	3698.81755	3427.74607	2254.76464	2773.54308	3331.00306	2946.68178	3205.90813	3219.04124	2993.88301	3020.63854	3114.52529	4735.70998	3380.83483	3976.61482	3494.07251	3029.60149	2242.21679	2882.6313	4498.06956	3155.86752	3440.67001	3015.40424	3229.82183	2669.41602	3427.0708	3499.90255	3908.977	3686.2316	3173.55142	3994.04931	2597.81389	3559.03778	4004.11536	3493.61377	4048.59234	3402.64547	2651.9813	2809.64145	3083.51222	2402.72223	3260.33672	3019.15721	2916.94277	3449.35622	3186.70089	4589.85271	2761.92188	3433.9091	3100.62612	1968.59783	1953.97439
60	90	5214.89784	6517.89541	7710.26631	10078.16469	9535.06107	8573.9872	11050.66327	7324.8075	7638.36768	8201.40396	7423.61943	9209.48003	7461.63105	9349.25945	8549.67559	7647.87116	6149.96851	8395.59173	5307.76084	6790.26255	7656.2628	10118.00724	9548.85241	9340.93193	10348.90508	7847.04984	8123.8483	6609.99936	10879.7096	7677.41272	6794.92371	6835.34879	3272.94918	4450.9767	5328.7028	5065.35565	3944.30335	4825.44211	10335.13438	9462.7452	10336.1265	11350.83151	7187.01185	9167.85789	10047.9263	9319.49301	9858.64673	8855.38593	10429.45572	10462.15033	10554.11526	9137.35167	7833.14946	9462.1146	10611.50468	10297.59148	10599.30159	11784.17003	9477.07091	10109.20111	9590.56718	11234.26035	10610.41022	11040.86513	10117.77449	9290.65391	9562.72511	10820.08104	10395.30495	8121.96693	12006.81052	9792.56825	9688.66782	9069.43119	9876.96276	11609.10777	6154.03727	9248.54161	9837.79799	8270.04417	9802.65856	9387.68488	9857.07736	10584.98795	10352.94244	8481.88972	7844.10713	8379.51224	9623.50358	9148.82765	10405.44293	12063.87484	8971.32399	9670.13767	9127.15913	10934.62098	10317.41205	10407.94875	9603.62262	8879.07604	9044.36675	9846.37904	10461.92773	6815.39879	10674.78798	9566.59873	7014.32736	5158.23075	6500.52091	9783.58504	8191.34656	7706.97007	6913.76013	7957.10896	6265.17123	7421.79843	7985.26177	9162.16044	8673.51696	7133.8955	7860.56489	6744.05288	7784.89018	10167.80315	7915.75908	8436.50785	7930.43673	5750.92156	6467.59908	7429.1083	6744.86069	7495.76897	7279.29599	6845.2875	6969.24759	7319.63276	11190.41043	7770.3526	9451.97584	7525.74399	6633.86434	4843.52055	6682.80713	10507.61172	7177.36261	7670.6409	7020.37677	7418.01647	6185.96363	8326.60699	7881.33757	8975.83495	8030.73194	7625.64787	7547.31764	5561.90054	7658.96453	9421.60001	7906.8783	9348.68007	8225.51408	5328.82524	6541.06255	7026.95402	6070.93902	7547.08291	6667.8156	6771.53249	7509.03241	7125.4692	11424.23199	6653.29585	7455.33724	7129.08296	4519.06126	4325.04703
90	120	9313.66799	11550.07431	14098.92425	17648.89589	17096.04584	15797.3702	20096.5387	13394.50766	15378.59116	12804.00541	12902.69657	15897.43029	13527.92229	16635.96412	16404.73596	13430.06161	13931.93929	15089.63801	9697.93132	12288.88596	14170.16623	18400.85644	17518.98317	15942.38936	18650.19909	13201.68119	14731.60822	13122.10687	18028.59493	14391.0181	13470.60786	12676.94035	6366.70193	7879.45417	9287.29036	9410.37019	7774.85451	7466.79847	18793.64477	15791.70038	19157.39134	20951.9207	13436.37278	16854.66327	18425.10326	16796.67016	17943.80722	16100.78032	18655.40905	18780.02288	19149.94146	16749.40565	15340.01358	17180.17002	19594.22735	18210.71379	19274.21953	22015.92883	17367.10001	18958.60788	17466.58569	20858.1735	19057.33951	19387.26918	18274.80431	16619.13406	16875.96099	19312.51169	18616.77766	14326.85645	19760.80052	17486.01947	17747.99289	15796.7223	17973.27106	21200.79913	10705.57115	16435.32029	18348.3837	15295.15721	17720.07871	17399.35922	18150.51388	19154.33705	19479.18566	15654.92246	14118.94758	15823.67495	18609.26415	16734.31181	18802.56122	21470.3625	16646.5347	18215.33674	16688.87238	19766.24309	18270.73733	18623.36555	17750.68863	16803.73802	16803.84959	17984.52874	18008.77383	13122.39982	19410.61773	17223.56845	12705.29726	9164.95442	11713.78577	18128.60563	13613.28943	13394.17144	13249.55756	13822.56137	11344.11345	13814.16085	14827.54868	16537.14098	15511.09948	12394.00958	15116.75394	12208.28395	14139.14331	17327.64882	14194.84725	15841.84247	14548.28897	10219.45241	11838.53683	14002.77598	11858.89287	13495.95889	13201.43742	12093.63495	13154.14629	12887.12252	19493.10528	14809.45905	16368.94515	13592.81338	12067.98139	8816.23257	11975.54303	19575.80115	12546.91059	13710.22255	13010.03504	13679.94913	11652.76154	14910.24119	14245.42771	16541.68223	14517.96012	13234.66148	15328.11685	10667.6611	14736.97229	17823.29785	14647.60151	17119.6452	14747.91301	10152.33059	11685.36104	12907.94417	10243.33356	13686.26243	12670.68157	12640.78062	13841.98651	13109.27241	20627.86333	12403.97444	13546.38639	12883.59419	8106.01167	7983.46868
120	150	12667.6703	14190.32825	19307.5614	24984.34764	23527.68421	22131.62664	27363.75848	18834.84666	20574.90839	19732.28761	17947.79565	20261.8843	18483.0553	22415.44381	22996.82392	18666.88421	17418.41374	16737.56579	13959.91555	17619.8372	19647.77202	25272.11862	23745.90091	22863.07246	26635.86308	17787.19807	19432.57369	18313.58123	21355.7299	18100.36381	17202.17695	16662.7451	8073.90287	9855.6603	12197.4816	11895.91697	10360.9108	9509.7962	24745.6944	20479.7328	26307.11211	29018.46101	17821.79642	23340.94753	24700.36336	22729.36713	23575.49084	23012.24323	24883.83442	26494.75113	25623.30623	22690.79046	21266.09361	22216.97835	26310.40636	24470.93036	25884.55176	32159.38272	23191.95758	23846.66687	24121.39987	27807.43451	25331.87005	26653.69069	25044.3915	23849.84331	23068.49509	25814.82513	25199.87697	19713.01865	25871.79553	22905.58374	24574.46932	22229.59796	24938.88472	29606.26727	14976.20136	22291.99751	24850.87993	21613.06561	23670.25212	24614.21691	23164.52044	26274.23295	24866.53949	21489.76569	17557.07242	21906.03267	24446.00497	22331.41923	25096.81582	31723.94128	22557.66943	23971.03598	22993.48278	27257.13608	23576.06173	25963.29452	24163.15762	22692.43038	22570.36936	24716.63043	24954.50537	17907.40471	27595.57336	22596.54428	17636.87958	12238.10958	16661.51888	25361.40558	18551.81356	18907.9078	17995.74477	19503.74001	14790.65283	20080.65083	19338.5148	23844.88379	20656.91323	17180.29309	20305.72937	16561.39617	19589.61045	23392.26934	18696.50735	23246.1359	19483.66961	13185.87036	16533.66556	18913.31967	15162.51238	18175.53883	17837.36021	17233.68406	17997.50936	17765.17245	27912.14313	21806.96531	20842.74823	18621.93006	17059.69411	12432.36897	16716.93127	27523.18063	19078.41898	18594.5428	17636.90164	19285.63411	15089.41499	21443.905	19025.21522	22877.26974	19286.64508	18567.58338	18896.67662	14956.15171	19623.38476	23671.24949	19720.42541	24862.53713	20342.85444	13442.1811	16273.84492	18030.99529	13515.44763	18814.87476	16723.48266	17414.82985	19224.51587	18191.24695	27007.94744	18575.03837	19600.18397	17783.60782	10985.03849	10840.08609
150	180	13282.6966	16734.89121	20378.49784	25924.85115	25222.04692	24468.93543	28160.47442	20638.75191	20436.00525	18465.28504	18723.71801	20727.64314	19401.77176	21912.1443	23162.12473	19640.55972	20809.99609	17816.36907	13331.00478	17352.98386	20365.89362	26200.13211	24945.04437	23689.58633	28076.06671	19920.60674	20086.513	18691.27662	23636.2203	18876.47054	17379.93447	14973.03917	7549.48039	9949.50584	12889.89316	11935.09581	11109.70865	9693.7535	26967.35954	22476.34765	26470.41014	30492.99349	18046.94684	23855.86507	26194.41883	23815.5026	24410.82625	23357.50662	25836.42739	26254.21303	25870.56902	24151.33959	20280.04441	23252.04857	27361.1364	24517.82658	26067.90021	33026.72014	24220.29887	24546.15148	25006.14062	28524.41095	25757.28623	27475.64398	25182.37139	24221.74419	23289.1035	26525.69337	26160.31407	19004.49597	27946.01566	23395.82474	25760.85061	22056.176	25998.96449	31371.15605	14011.89816	23489.81251	26356.73709	22489.70332	25138.57515	24872.29705	24021.99898	27552.56572	26533.07122	22829.67041	18061.91416	21673.33881	25506.50011	23217.97463	25274.09562	32530.88222	22870.49492	24070.40702	24075.59389	28065.82394	22894.36377	26789.48445	24986.27365	23785.95162	23459.05761	25200.47299	25113.77327	17530.95559	28320.28419	23374.93261	18723.51163	13254.31989	16958.86205	26937.49785	20155.4791	20256.53719	18949.52849	20472.92341	15736.43515	20415.7375	21804.17431	23961.74083	21607.42047	18554.03405	20855.63336	17411.92342	20410.38794	26190.38914	20742.98494	23984.59883	21109.41781	14235.94184	17467.84838	19816.01053	16583.58363	19068.86502	18344.35243	18090.69179	18632.72826	18747.60239	28744.29635	21015.88968	23092.08572	19452.02546	18177.26462	12763.4297	17253.86735	29182.50884	19400.46052	20966.86233	18543.77768	20222.75738	15532.05577	21750.68065	20724.43832	24486.92406	21164.23845	19576.05972	21040.87248	14997.56829	20722.27122	25413.83133	20902.63596	25664.22605	21052.11626	13646.82245	17020.82834	18588.66286	13322.97906	19527.81102	17555.55774	17955.43357	19700.6579	18902.37775	29561.23892	18465.76457	20081.02164	18915.49058	11620.40295	11417.71408
180	240	11999.6509	14712.42608	20111.57391	25338.78431	24519.57103	23781.74717	28225.72973	20914.60199	20353.67201	18056.59392	18359.21299	19428.86542	19366.47609	20917.02272	22026.52264	18516.40083	19604.2028	14774.59696	12931.17611	16415.44428	19554.44578	25978.44589	24495.6502	24467.1306	27990.48643	20419.10353	19532.73484	19153.46412	22318.0494	18889.58192	18123.50098	15436.47092	7621.00128	9656.05505	12146.92301	11872.69554	10576.76271	10196.2554	25318.92656	21089.51236	26098.54095	29720.74035	17776.01686	23158.25351	25504.2063	23731.72311	22713.47924	23402.0222	24455.88187	26530.25145	25447.90353	23715.42852	19820.55103	23133.90958	25939.27794	23693.86194	25131.0255	32274.24595	24199.10572	24569.96587	24592.9628	28102.53609	25306.54914	27070.39354	24927.71071	24562.51591	23389.8984	25776.39354	24927.74939	20371.03891	27675.60687	22759.00261	24917.86788	22937.42054	25505.61892	30250.61527	15700.33638	23117.58803	25706.1737	22176.63319	23062.9959	24927.08648	23838.77408	26296.3743	25407.17925	22527.25028	18787.55561	22219.11077	24395.16607	23291.82267	25053.77709	29799.77405	22295.98353	24227.03969	23491.07276	27283.99461	24115.66944	26097.55728	24267.91524	23723.73096	22852.92017	24989.49241	24543.35504	18306.8299	27566.30486	22501.21871	18544.90259	12127.86675	17163.04141	26233.21829	20097.95298	19352.34299	18795.31024	20759.50219	14320.21926	20328.79497	19936.62766	24038.20761	20752.90597	18311.62114	19384.04301	17010.88116	19756.5663	25065.13133	19671.25555	23521.50537	21100.01955	13772.17793	17467.07272	19420.52153	15815.40939	19115.49432	18159.65078	18254.73994	18804.14989	18501.78153	27726.83496	22739.81162	23106.57146	19054.0634	17623.99333	13433.67699	17319.21365	28425.84335	19326.28169	19780.38378	18249.30227	20087.51147	14792.83263	21754.04618	20032.84629	23396.23968	19995.99109	19505.02956	20446.52361	15226.35192	19321.663	24769.52477	20696.65834	24029.77895	20397.92223	13228.57759	16816.68639	18428.00244	14129.78264	19018.64005	17255.81465	18076.11902	19370.29112	19087.99414	28334.85526	18025.42832	19937.90136	18460.71928	11354.00884	11521.0123
240	300	11327.62734	14328.66169	19125.08164	23907.35919	23229.69241	21655.58337	27594.35728	21103.72353	19834.35563	18518.03459	17622.84615	19161.5994	18608.79316	19999.18436	21722.60756	17976.05294	22517.38965	13738.31834	12067.21512	16526.77508	18914.03602	24433.71513	23540.52843	22595.26569	26943.66014	19668.40126	18843.94395	17203.29544	20937.22257	18358.15539	18986.91914	13943.61098	6575.45214	9532.05272	11560.65285	10595.91006	10371.98851	10137.05587	25153.16482	20042.99947	24271.77727	27221.74688	16846.82899	22248.45929	23883.09423	22589.88141	20938.48462	21907.24727	23360.40851	24296.07135	23875.56316	22372.41632	18527.81071	21220.86794	24406.6735	22622.56059	23615.84627	28512.97905	22138.04348	22053.25795	23087.85484	25892.81546	23342.43932	24935.11091	22598.09553	22752.38575	21949.80352	23874.05163	22872.21139	19263.9531	25951.03451	22244.44752	23698.30466	21548.07618	23216.9662	27554.22465	13316.11896	21339.54802	23707.29553	21019.78031	22023.53781	23362.5841	21873.63207	24877.16241	24020.7363	21675.15016	17595.67314	20716.90256	23226.86686	21683.65149	23445.70589	29135.76764	21099.47608	23019.24673	21869.29666	25525.5926	22637.04697	24254.7723	22756.68083	22223.39842	21754.06697	23233.77168	22672.77646	17723.0452	25245.2447	22227.84366	18041.74299	12511.90964	16496.04423	24303.8119	19663.55906	18796.24311	17960.66426	20055.71645	14159.18791	19056.96149	19316.40804	21980.00003	19974.32437	17696.08742	18293.87688	15805.36666	19242.34995	23484.69194	19074.00283	21077.17263	19309.96201	12814.69263	16943.87693	18332.71516	15642.99841	18150.67831	17046.30865	17361.44237	17716.91296	17621.33683	25116.36558	20571.58199	21911.38559	18891.57845	17210.64079	12534.06646	15827.42826	26258.78884	18548.33671	18623.88702	17037.66538	18801.59011	14343.71179	20238.39624	18795.91076	22355.46526	19068.70931	18676.03345	19369.92858	14756.91476	18778.96799	23408.57715	19472.73415	23410.64835	19490.39733	13821.8307	15939.88269	17824.23725	14304.45864	18075.8803	16565.7912	17476.7445	18660.32204	17674.46716	26077.59923	18010.64812	18251.42072	18157.05476	11270.26945	10994.7985
300	360	10750.6585	14006.68721	18497.89049	22225.15367	22763.34291	20736.53205	25449.09091	19810.05927	18390.62328	14794.43996	16701.93224	18179.86367	18655.4346	18714.06099	19646.52296	17841.92688	19136.26823	12490.22679	11248.25095	15663.08652	18284.39431	22629.58067	22425.01592	20852.79615	25139.63697	19623.07643	18204.85089	17139.87027	20906.93963	17740.76821	17433.16865	12967.00271	6449.78791	9180.93301	10936.90557	10468.2769	9550.93604	10360.80626	22586.44959	18542.2429	22188.4379	25083.8432	15807.46141	20911.46404	22071.389	20946.85086	19587.28432	20840.98095	20867.28544	22786.23355	22119.13488	20895.50885	18481.09398	19311.16488	22283.16084	19912.82615	22028.61175	26449.19367	20489.10793	21288.23419	21073.93443	23064.15937	22469.66248	23002.96538	21384.1583	21183.23727	20584.59609	22434.11005	21617.38777	17956.56598	23668.88653	20485.15251	21438.66187	19974.1276	21624.13066	24890.63132	13601.61984	20557.68384	22351.10306	19570.52424	20510.63347	21778.13029	20754.46404	22748.65247	22064.53546	20307.73783	17079.24815	18768.59179	21497.00799	20560.89727	21961.53826	25301.63877	19263.0851	20676.26718	20312.72887	22960.04221	21342.01791	22647.14238	21062.88101	20547.47843	20110.90219	20928.95145	22342.66373	17094.9995	23388.30985	20872.83873	16309.62087	11715.21451	15443.27425	22841.05642	18322.2987	18031.78695	16950.57424	18694.71472	13383.47423	18651.04945	17617.58343	20809.37465	18455.61817	17128.74192	18916.00291	15350.89818	18299.71864	20847.00143	18137.77587	19731.57367	18205.12702	12742.96429	15708.13514	16985.03545	14631.10131	16946.73937	16384.98942	16555.27866	16908.76815	16926.34066	24728.04946	19846.00486	19734.15137	17930.70367	15678.37736	12462.6921	15358.97561	23598.09999	17860.39856	17682.85135	16539.38409	18019.81475	13930.39374	19190.34596	17803.5641	20414.76615	17965.54125	17887.16277	19220.58216	13967.40124	17524.28382	21241.13961	18540.55685	21126.2805	18146.63328	12938.07601	15336.46118	16066.05104	12982.97003	17146.93716	16091.08424	16192.99303	17427.4585	16151.3266	25932.70797	17996.01186	17410.58114	17337.2964	10699.41862	10862.74203
360	480	9519.95214	13502.13701	16796.61757	20357.99354	20702.84693	18212.30268	23705.70138	19088.80653	17508.52434	14088.17264	16048.92667	16383.77445	16827.17748	15937.31192	19614.28888	16334.84669	18520.04427	11187.56656	10145.29556	13629.44951	16738.8994	20457.22449	21240.32021	18894.40044	23017.16114	18447.45602	16744.95404	16880.74826	19204.51158	17244.05666	17424.15376	11556.70303	6220.81308	9079.96982	9538.59367	9746.722	9205.88712	9349.83297	20300.66765	17132.51496	19475.86014	22240.48459	15042.27299	19208.26068	19404.42826	18964.56282	17736.09028	18490.71842	18879.82525	20606.04757	19847.16734	18838.27489	16854.9771	17480.66026	19690.50986	17752.95343	18991.36338	22692.90041	18043.66994	18851.06527	18844.96105	20854.67164	19998.65789	20293.69121	18827.65192	18804.52884	18507.66521	19844.35777	19287.89077	17060.99805	20939.33574	18779.22284	19597.3732	17962.77443	19064.16691	21901.77895	13690.79889	18662.73611	19818.87344	18128.92791	18595.08077	19585.19096	18329.58939	20534.97772	19337.24513	18346.64174	15693.17151	16894.71453	19065.95633	18198.26072	19157.83122	22451.48976	17315.7829	18746.51273	18103.2645	20529.43009	18785.19982	20006.5443	18643.35868	18411.96461	18437.73242	18839.20408	18796.62502	16118.50569	21397.26815	18903.65173	15672.73951	11208.22599	14709.48892	20246.7983	17364.70102	16270.84476	15633.48475	17012.40452	12286.91036	16499.8274	16741.88006	18922.0396	17225.96611	16038.04522	17274.67315	13862.63497	16328.25571	19053.0214	16214.80975	17450.34586	16464.96517	12132.37738	14855.44721	15447.67692	13842.97566	15584.701	15168.72009	15218.21568	15917.33312	15685.00398	21864.12522	18619.44539	18414.0876	16816.19977	14823.28251	11399.21447	14052.26839	21311.69584	17160.59513	16252.94664	15213.583	16382.80563	12909.93555	17410.51212	16526.54613	18481.51439	16420.57602	15871.18139	16899.43529	13093.89142	15955.26748	19275.18909	16342.53835	19118.85989	16299.37647	12243.5355	13998.24102	15163.15032	12203.86357	15793.2906	14700.85008	15344.72444	16193.50702	14982.58622	21397.84153	16246.86568	16748.15858	16198.83172	10405.89872	10325.32485
