index	name	volume-mm3
203	parasubiculum	110.0
211	HATA	115.0
212	fimbria	124.0
215	hippocampal_fissure	166.0
226	HP_tail	1329.0
233	presubiculum-head	239.0
234	presubiculum-body	285.0
235	subiculum-head	392.0
236	subiculum-body	404.0
237	CA1-head	1062.0
238	CA1-body	235.0
239	CA3-head	188.0
240	CA3-body	194.0
241	CA4-head	268.0
242	CA4-body	224.0
243	GC-ML-DG-head	300.0
244	GC-ML-DG-body	275.0
245	molecular_layer_HP-head	613.0
246	molecular_layer_HP-body	407.0
7001	Lateral-nucleus	1229.0
7003	Basal-nucleus	826.0
7005	Central-nucleus	79.0
7006	Medial-nucleus	7.0
7007	Cortical-nucleus	39.0
7008	Accessory-Basal-nucleus	495.0
7009	Corticoamygdaloid-transitio	320.0
7010	Anterior-amygdaloid-area-AAA	56.0
7015	Paralaminar-nucleus	72.0
