frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	21.69272	19.20439	9.61872	18.0298	2.16217	21.61192	5.8577	8.26644	20.20763	21.41326	59.9071	24.79451	16.75692	54.63198	10.40494	67.79519	38.39871	12.27975	24.52154	10.6491	29.22125	103.85218	63.5622	63.00726	36.13539	21.62917	61.5775	13.79272	37.08955	17.81288	17.25555	56.92507	52.94747	28.2722	14.00881	23.85169	100.41992	24.08916	90.03005	69.33981	79.76536	32.92568	98.6381	78.58963	54.60225	106.06399
30	60	5163.71694	5875.97125	5667.1273	4547.91616	4796.43013	4431.7855	4819.44847	4295.29502	6539.28957	6179.64808	4994.68702	4804.70443	4481.60121	4963.31654	3661.1557	3831.59624	4147.49728	4201.43952	4869.1641	4511.93477	5325.67806	4145.3345	4436.86932	5334.88204	4915.80098	5130.08992	5142.46255	4117.99821	5453.14942	3431.99504	6687.80658	5681.56151	6398.98551	7767.02882	4346.96353	5519.07375	5421.96594	5338.60944	3067.56002	3868.68579	4156.5677	4624.3543	3886.86598	4075.04323	2792.00537	3947.98644
60	90	14072.54455	12536.08343	18417.32366	17721.34849	15843.44939	13140.81445	15056.10185	15171.61253	20648.44682	18017.4398	14853.33716	13324.85938	14964.55645	19347.53114	13747.51486	14071.19213	15208.60345	11398.62073	12911.87207	14202.45261	15120.5007	9209.67206	13968.97852	12762.01402	12818.17187	18116.66704	17725.52155	12739.13401	12642.00898	14156.82757	13836.31364	18613.22048	17055.51741	15128.59205	13305.58564	15321.0527	18308.31459	13366.20581	14758.69279	13658.16565	11537.39833	12969.96055	15511.89296	16508.8719	8052.09424	14182.02247
90	120	26700.29048	27256.35875	30524.75	25531.33534	22842.41811	22947.48606	27680.93045	24406.4399	32661.2643	31001.04078	25211.36729	23128.52235	24843.66315	31651.1098	23704.32918	22842.52478	22644.91044	22078.94961	25217.96122	25589.27818	26936.51113	16142.98633	24840.38875	28847.67101	27239.92023	29492.45158	27079.71486	20218.85755	25072.99942	23555.40262	24090.7054	34656.16295	32130.50707	28784.40051	23663.7584	24589.83099	28577.72731	25601.61954	23591.43235	22031.19755	23238.36789	26037.97109	26076.14264	27611.53081	20323.54688	25488.97549
120	150	34101.66873	37480.17004	40513.88114	38797.29219	31120.06613	32760.40311	31271.77928	38627.38597	49362.07391	43742.57485	36916.93172	32424.51888	38050.60204	41537.41069	35730.26822	30942.30042	33848.93998	29971.39919	36291.85882	35762.47919	37089.81881	24596.09521	31777.05603	31583.05508	39816.76763	39648.16982	43391.76272	26314.24811	34404.54151	35971.91723	36307.49154	51219.62473	44584.83236	38230.91251	33280.13848	39393.23447	49026.88001	35624.40649	34606.76877	33303.23796	30395.99458	39524.02344	36977.12413	41251.39683	22795.43555	36810.34001
150	180	36709.91727	41568.67847	40779.22545	41968.32923	30992.71603	33433.42338	36462.8528	34027.24399	50023.67315	46395.35257	40330.4419	34625.77148	38927.52847	45931.33362	35439.24798	34270.37705	35410.45093	34725.8177	39594.83873	36653.73516	39269.57242	24557.85913	35389.72929	34243.09638	41327.44446	47327.40317	46591.05631	31020.07334	39205.09652	40492.40146	38004.04167	58552.75171	49876.54426	41131.7146	35721.03555	41812.32049	47422.36458	39627.79406	38491.99462	36017.79546	32589.36068	39152.44375	39125.67433	44917.9918	27438.49023	38847.91535
180	240	35716.40467	40428.70078	40639.8683	44324.8039	30335.24554	33888.30023	33241.79464	36024.7829	49670.73384	45260.76455	39577.79149	35710.01085	38679.72127	45121.80277	36692.65355	33063.14022	33968.49054	32624.48395	39629.76228	38642.31883	41228.19659	26789.71875	36931.5392	35534.53215	42738.86297	40828.13692	49991.30958	27684.60459	34292.17875	32847.36807	38226.94401	53864.30301	47097.82427	42415.71164	36630.76445	42944.43391	46836.27447	38119.0827	35085.18347	33934.60143	35218.09392	41672.58984	40824.77346	44183.00768	26547.67188	39524.43005
240	300	35110.87258	40793.19361	38315.43694	41913.49763	25994.14983	33119.47053	31025.45775	35601.76803	49134.90379	44847.39161	38153.49548	36443.72483	37876.41155	43141.90563	36121.88357	30746.22243	32668.98628	33019.42337	39432.53348	36081.65491	39015.35786	25355.61938	35454.07017	32283.43289	40941.53693	36227.42352	43104.93629	25011.74231	34113.48326	30676.14136	33357.59375	49810.03134	44582.14102	37465.17596	37409.26953	37197.94504	44353.25032	37883.27763	34818.84645	31386.26885	32548.81793	41922.42109	37512.31539	40077.56205	24619.20117	36924.65373
300	360	33317.50523	35962.0045	33802.63923	43910.56339	22375.1024	31022.47734	24688.09063	29758.55183	45732.31951	40739.35556	36534.83635	33916.57053	35827.61723	40444.53963	32907.45005	26837.10183	28654.86757	31297.20928	33907.70926	35188.01272	37094.72613	22704.29346	33335.10619	30432.76979	39108.90481	31910.92136	43927.17932	19867.195	33773.81236	23833.43202	33656.52279	45462.02948	40499.99455	39989.01289	38016.11367	38589.94191	39494.72129	37633.66708	29017.25642	28469.05128	32242.64379	39615.15781	37131.09581	39240.13148	22566.66016	34867.46191
360	480	28009.08812	37561.39895	27930.9082	38394.73242	17514.91211	29595.84685	18683.82	31939.22761	40714.82248	36432.58544	35088.52687	34219.29253	32848.53234	36622.88089	32969.92532	23794.53469	25986.16709	30162.81122	36275.42578	32759.54349	33080.42803	21426.05835	31045.96135	25624.05872	37418.16023	27376.10609	41013.78527	16689.41724	30056.38728	20918.13884	28050.60807	40746.72006	36078.40266	34736.68019	33409.52168	33432.35878	35872.63647	32051.10976	24896.95403	25423.39317	30038.60263	37916.83125	33255.6841	34519.49726	21797.03516	32261.08414
