frame_start	frame_end	Left-Cerebral-White-Matter	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-choroid-plexus	Optic-Chiasm	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	30	27.91192840539145	15.534266117295472	4.765895493809964	15.442184824350319	27.45310851975638	10.936516948527228	21.180265246637568	30.22119594123911	15.661880330396299	22.67515177030128	29.758444982631314	44.795119742091906	17.47479182368119	66.77992396840258	28.16965454403813	23.168757547416703	11.445296924326463	5.337166175349044	31.754613300036844	49.51017343879874	73.95663228385875	33.195526729370165	46.24969830305989	17.93717920293684	12.232719557551524	39.73147300680305	9.701438315886827	29.916461341142373	33.52353438246244	61.1997246891361	43.15304606202969	47.273715017157855	430.51277347739415	26.72439375852765	15.466137207371222	9.174176688030993	24.773807704614846	36.18084644286054	12.799458123952359	7.373636424569889	21.763117515762637	20.501875825670815	25.093072277832775	125.49023559182086	37.75333071335334	24.426767875808228	20.236730418305974	46.28842119986495	26.862783123096694	35.585220655308184	22.679319520471527	43.454674262832384	21.410417962739295	14.238290017238564	29.295953286415525	79.2238470379749	125.81748258544678	19.249926798488644	9.840987838339462	21.24595424900951	44.21821217258379	22.884426511201543	37.01288559421807	91.64621328961975	36.103378104283536	33.420001789368676	31.062337607419575	41.02030033463022	35.7084279804615	2.8784704284876628	91.27968941851925	96.5838581017907	53.55552376326619	28.089171505781273	31.84979183825971	35.44345065199379	24.780221382200015	78.69192560764645	60.611245341558764	15.4673019602894	58.470234653222526	47.250882969027	25.88779674322191	65.1739451541222	33.538581764671335	31.55191698450876	37.97191248412465	11.072271503482103	46.820849606500204	20.06950595780301	27.688043888518035	32.60715364624749	13.46571867805506	29.854885537618653	19.178429720186006	38.03131926104145	22.758233910396893	36.8345745850535	25.62213683844321	37.228675341190154	28.542873449284897	61.59472494319764	23.13055537303908	6.488460426481616	79.35597187763513	90.40183993184432	61.64743998786054
30	60	3116.263565270096	2243.283386438841	2811.7885375151764	2979.409659049642	3763.795905432399	3617.6141442429666	3886.8511563779125	4499.261503551015	3231.8782944167697	2872.3097471579526	3070.1009785091364	3283.7273018639366	3897.2038862383315	3412.211472619098	3213.142334166479	5182.669071773831	3231.364872698444	2670.3129075865218	3126.504067987855	2032.8812057631221	3946.5314598083496	3012.9224102272706	3801.564340458702	3415.615046045079	3713.581526006621	4031.1870330917363	3488.393019627813	3841.61342490218	3745.272467497741	5442.448198264149	3344.9003650630793	2889.4717670555497	4127.771336213323	666.7812863227203	522.1404697341972	4727.759325229247	3363.4367686224314	3520.1623367766633	314.8146561395017	4129.175457480605	4272.099618803966	5134.772181404242	4821.611515682099	2941.4560599090046	3950.774758371356	4141.4987257554585	3775.910595521119	4096.095561815993	4212.532701700436	4878.063761918639	5008.699407939491	4918.482307416484	4071.6952303863063	3745.634230090726	4307.2894588084655	4800.881613424221	4603.80782723787	4898.167455240353	4225.047237520331	4720.0055858586775	4403.386579204359	4725.864704721849	4399.491944706396	4849.434561453123	4533.732510658683	4612.292075648952	4240.842483972999	4664.8743282485975	4288.207369045556	5503.939800125871	3267.229399636892	5855.511471994431	5051.291552112264	4496.716156681843	4203.142259576767	4585.52579810893	4762.982133800277	2973.1867288125527	4080.5144196432643	4138.658440881451	3704.9085427899813	4059.9882515245963	4649.251995707051	4851.607901255435	4801.130117535237	5286.197418458296	4163.134239250115	4312.843456100015	4566.702153413101	5060.696138671875	4538.71068666943	4951.298420066037	4938.615415346619	4516.153884458001	4640.988057599232	4361.824658086328	4395.079358915087	5297.509205113132	4291.250411524872	4629.290887095129	4243.418806272912	4576.72473176148	4330.50665393476	4761.722930908203	3135.7286318158563	6175.541631056778	4698.625697840507
60	90	11955.301413330128	8685.77814299382	11310.047772381757	12718.697416298926	15376.998847758594	14432.38833809377	15579.762313788964	17578.994638992255	11864.095109310763	11416.255320254832	11266.43366609998	11435.592685978214	14657.916316836898	12789.389762652852	12751.038384102281	17587.172322883882	12269.393769855817	10630.393401359292	12097.016977362122	8842.930660094307	14248.272141676684	12185.185105768182	15652.613578514118	14833.9377013227	15952.943810254043	15608.720078190392	13606.49786941756	13995.077505366646	12193.56403016936	17977.730915304066	11756.387789701768	11424.516369669733	8211.379864175811	2257.2385556122817	1812.6444534938437	16967.92287996702	12724.41786263941	12302.766855479933	1162.8362522850473	16004.994465948488	15085.34286329745	19026.373769158923	20262.564108767518	11709.086049974034	15148.187402917916	15724.38167497867	13948.192779943427	15976.678688836852	16118.653411613059	16622.91489801904	18427.655335324213	17003.77786281632	15178.999076395148	14385.287094464045	15708.085574722518	17923.03154308991	14120.480039291151	18542.219019049677	18250.010577932153	16425.331660210537	17986.384356668037	17542.899792030137	16763.09795001047	17221.93369796149	17539.85799418691	17428.656482761966	15802.996939177412	15695.434060750891	16205.578248621448	16480.81077170392	12713.610170036274	20277.668955772275	18116.447691330988	18054.594781624422	17618.414705174546	16748.74145297076	18506.36957097892	11475.69623421334	14222.393737822664	15877.481088289096	14569.164500291436	16152.760957055392	16647.698259421704	16343.307563977009	17613.727119776762	17738.676269997104	15671.49928927874	13780.896660075468	17204.41530613123	17563.173291913008	15193.78301402822	18263.23795525876	18187.758063483052	16114.286246713045	18923.885718584344	16223.740555161867	16945.330961806725	19130.67304546562	16796.925032675197	18002.23921792301	15679.844150420662	17000.55371896025	15865.76432746761	18746.031089399115	12444.192351747408	21931.611642808042	16608.658271069467
90	120	21996.793620022487	16702.03320331551	20838.685663996515	21814.374753346754	27579.992346657993	27682.84162414966	28198.8362754841	33356.38834941952	22511.183766961753	20778.953834468484	21321.129915905316	21205.264652210193	25670.667880788522	23654.398064283287	22041.358367844045	31059.721865866682	21290.629989537512	18917.13255322397	22042.078293422175	15447.621873064296	20846.99887084961	22956.60986760583	28162.778931856796	26935.61404888195	27649.966861872737	31410.865357132665	23554.959375728777	24557.986316142636	21048.87131740717	26640.529800529424	22550.1372854388	20050.863584996863	10652.506932848282	3869.3750924188166	3134.8367359372414	29961.89977427204	24360.075156536957	21592.72722004832	2106.0236904957314	29806.713287880797	26867.627657323257	33263.25757856948	36163.96407733386	19619.49177034411	26905.868843015065	28907.256867370885	26724.603430239957	29925.244894273037	29649.685325546583	30276.939933466718	34840.84207364158	30572.71104772557	28429.127489082803	26135.264968497984	28708.921935779472	31449.771009663848	27282.677931125792	31536.791452491416	33218.39826670434	29966.03530241073	30489.03117290296	31849.689410773375	31424.86063295237	29086.9592418222	32260.15233242628	31409.130973010895	28333.73694153804	28695.643774904882	30090.428085421543	33102.85619324391	24492.55683055072	37825.02305334104	30259.211521252524	31282.655416205194	30086.51951092985	30934.000768695478	34182.80125902231	20163.09088918325	26149.67294748931	29294.41490821758	26331.213220187452	30038.826944836088	31896.99025375023	30185.75560287599	33392.87270327734	30959.218521465475	28689.008035009676	24032.785098805147	29384.888994616667	30265.475111275337	29859.032113426227	31903.344797340484	34425.9297854102	28538.059362809337	32075.437773391164	28884.304585598416	30420.362180700427	30507.67810263181	31221.330352400964	31948.519274137354	28863.14668120608	29195.82564079257	29131.354903592808	31862.927242683963	22729.770544066338	38673.102667954816	28234.175302854113
120	150	30605.103125705857	23024.075917732516	27822.669413798565	31615.65024369918	39584.348712473904	38814.294289364596	39660.758548488666	45286.367379430725	31860.86427846026	29101.98548055677	29815.50644077035	28728.254742352216	33179.39431246959	33639.18171959918	27178.900851954873	38607.279637618034	31163.027122663123	25746.220949239807	30900.796265880508	20130.81221603227	33634.19573505108	32853.32130264532	40100.423492636015	38868.85742777108	41550.872635906846	43303.32393816105	33222.37972976912	34193.32842528525	32420.07804616638	39786.57498594453	31551.491432209255	27997.633173403534	14617.711429508588	5121.654024793948	4256.854706530302	42300.9568366916	34512.02833120961	29179.723316789226	2834.786268379877	40956.733291575096	38423.616398757455	47418.568785096795	50693.76591167025	28669.096333374728	37702.515269494885	39987.35420098259	37313.92176571219	40072.34622877066	41918.948304813304	41085.87566236718	47390.0736097322	41332.063696863464	39433.24456076545	36515.35455645161	37975.05411184826	44627.7203793812	36357.75273275231	45085.64821140247	47910.73431146551	41836.39067406824	42324.34649465461	43553.39522345158	43241.01478973722	38883.851501429825	44731.14501786054	43033.222950695716	40559.29883251279	38901.27046195676	41610.42704330314	44927.506423683386	33061.85174715	50303.89290332887	42134.53357092915	43794.20700607884	41133.54337794204	43193.25683575815	47170.71687838337	29041.68803240802	38443.53367710512	41420.52431810956	38109.14316683807	40814.37730399542	44688.12646488615	42071.35992121293	45837.33919519217	43229.091870879194	40093.83477583787	34414.99529939539	39035.31086638925	43861.803391891895	40445.01423891129	45001.967036999085	46770.06229345746	38808.12503244097	44969.43264788608	40966.887688947885	42825.041426578624	41899.83648397492	44290.74659188849	44150.81952842282	39906.33187864125	39806.6897618626	40227.71655294442	43985.61992282974	31533.21353200796	48781.46644619501	39654.85085075385
150	180	34509.91037460412	25074.570131513974	29767.688674514357	36209.105261299184	44547.04530919425	43412.77341180099	46371.44014139247	52262.76630313544	36760.2289484632	31240.162882581826	32340.578507189577	32177.391834094837	35902.33707564203	36610.826407099186	28411.204776075334	42666.432694469426	35454.823387096774	26688.72622030829	34633.59981816172	23031.079617233958	28980.237642728367	36629.98163565478	45096.794453558134	43688.29862632681	45097.1703524565	48449.89627006924	38344.9415585646	35926.534948374174	32224.8265625	46877.463341571405	35145.26494670406	29549.24008086852	12913.019203244276	5390.631376889745	4604.164429821005	47076.78547598938	37933.110994673494	31495.800293850123	3086.003505893559	47820.09857508904	42894.15936953246	52931.94785037914	55931.06135802818	33025.506912143246	43640.869572972806	45069.39864065026	43112.47427019144	43882.65425140172	47333.6201054624	45045.74641086427	52266.93662701977	45411.54428229639	44528.153558988655	40819.27981014785	43209.23823099005	46561.68363542959	41067.90463358254	49179.881819331466	54272.40608854764	45256.55710687774	48590.467454769736	48014.51327255966	49009.61690160174	43304.74849789784	49808.078499054005	48326.84138289414	44934.0289444158	43371.67178617167	46717.060863633276	49501.20738251977	34712.34720059488	53482.99384204601	44758.500849227006	48559.81667369362	44689.335912797076	48570.08352810778	50649.08928190617	32101.65952899005	43097.285961864174	46353.092744223206	42595.95835563528	42701.486810974195	50067.0646309362	44919.86160995176	50650.927791641276	47156.88768453131	45540.026475725404	37789.1596105239	43193.474105898	48882.16236739865	43606.09140767267	47580.17812734479	53252.980135234575	43261.50625979777	49800.23110473198	45015.41924072553	47613.66701124558	46711.824900707055	49102.70872146724	48901.93197988672	45354.47326927159	44495.53322335972	45308.98446555211	49501.681204854445	35192.2081230431	53817.27736232907	42383.56115948906
180	240	35153.708773615544	24454.62098363429	29142.845297323693	36797.945173070395	45187.10061968568	45647.3653910166	47505.62211852566	52752.35286893416	37703.0966001554	32656.197618462265	32909.687973032596	33009.73728082942	36718.81594726044	37890.23924762228	27307.251028522813	45755.53781896358	34099.75832245082	26685.819664967992	35303.78215349881	21977.84522713547	32175.982370229867	37413.147384130585	45461.2912090812	45135.746136163754	45846.58454632035	50131.98504793791	40187.372217525655	36622.07136930802	34881.85257050737	43202.163790175226	34967.06326553317	29364.619090000524	12325.984032084923	5312.00790227877	4621.569914867694	47198.54010718308	37867.13223186576	31356.601504854523	3172.348942732535	47617.85438591713	40788.245139968894	52723.438144788124	56135.71717949442	32838.943101404446	42500.874624159806	46296.234648154736	44207.82345849067	44802.239101676976	47277.87133445931	45559.26940059799	52163.544905131115	45172.925463488005	45269.715493911484	41575.34708249328	43659.85612212934	47809.48423057537	40512.52698675887	50066.55090579525	53011.818091782676	45473.010907975535	48477.32278645833	48315.6038567756	49818.264667020885	43430.62847875879	50174.23423577394	48532.9680157373	45823.80270054913	44364.12397703259	46530.098295317985	49248.668310262285	36419.52318148902	53807.466098922836	45142.67752801624	48215.71328392444	43449.59668008593	48693.939109848485	52260.82281593463	32559.617482778187	42627.61837316299	47855.435430637226	43217.93758900085	45129.78708241592	50914.73081131425	45058.06188991227	50857.15569500009	47455.832184449326	45652.25055536854	38501.72072017894	43524.42766364078	48808.36156967905	43060.26480560885	48749.01179300175	53879.745517575306	43536.92898225116	48628.18955970122	45252.77583553883	48012.15831090175	45034.21376716713	49589.24955889441	49651.44133370826	45269.002606530754	45140.3028191079	46529.39778832539	52237.50465913059	35831.58360000345	53378.20490626858	43983.78648979942
240	300	34390.261752356404	23282.629542368257	28263.398807010137	36306.000734629095	44247.02930690527	43817.70399422105	46424.299382084384	51929.01088517144	37344.277092917975	31922.892315583722	29623.40329825062	32285.11093081607	34854.08642759578	38483.657934358016	25972.356527380656	44854.989468581385	33882.52694376986	25469.78020631528	34510.20547440485	21510.823037196482	28479.726956881008	37322.223621909696	44569.26288674699	44726.82567032756	45380.46564607295	48843.47274631192	39557.19170213386	35134.53871700857	33511.390841128115	44696.178861741006	34420.79474916648	26819.91056777801	11498.5908203125	5230.364547307389	4566.248549244468	45295.544133586714	38552.56854471665	29857.711875095512	3234.7019257578645	45930.963703489695	41186.73689310362	50655.456622845704	52734.327944874545	33881.08145490878	42509.7048775493	44912.38462341982	43671.47560739949	43173.00566508008	45350.823048999315	44299.32375568844	50128.314181283095	44136.90469843245	44325.39501579048	41861.187477738575	42056.409381311714	45186.623674976734	39036.37725184691	46720.7123324068	50337.69468911453	43304.71000854414	45281.02471285636	46528.76948807334	47690.57908253927	41269.535850432985	48099.087144806486	46777.07609600291	43642.1368888367	42659.27294503133	44914.47258538758	46718.51243429954	36877.10799762204	51053.58609534749	43743.201941229025	46228.99954062626	42646.75404570201	47312.77040791437	49444.64070086942	31592.16479739627	42267.93256986551	45799.41619297535	42324.53143968832	43772.676401711215	48730.49163490316	43515.22807005655	49146.41628719134	45683.332061597044	44285.277659192645	37622.51932211483	41189.02587204799	45424.560000422294	41408.46047851901	46331.78849019703	51161.03246724664	41561.83274280846	47654.67185588579	43115.352484557	46633.78986272046	43577.393978410146	47799.92447193962	47499.40382099441	43445.552856195	44056.6928128794	44460.21422650201	48530.574692028196	35795.38732603549	50349.125592207936	42730.53988730129
300	360	32823.69462451623	21680.81670954448	26397.770821236274	35279.758933211946	41759.179560952165	43290.35030901752	43671.29338495749	48416.25981813155	37307.54317522758	29458.542252452407	29526.743275669643	31060.0545880964	34597.10353895467	36024.681506029214	24912.01282739853	42989.93685364209	34151.284959028286	22300.55871220098	32962.87979023554	19847.739710573587	28449.411442683293	35521.84128596586	42023.40998706963	42593.301786437034	42572.01831476603	47105.58188322744	39162.173667793846	33675.65044018841	35662.62568647251	43686.10591676818	33874.70105744236	23756.47954117893	10875.195051586355	5002.637415996127	4395.135139587485	42659.9201913409	36815.16287598655	28097.91834101045	3240.3635424938298	43895.24416489845	39652.544643435715	48021.899994920204	48785.70663214851	32471.008884460804	40246.17230782628	42043.03329728789	40818.51057251156	41168.788432234	42309.057902866	41450.01580188811	46265.820606995396	41092.3641357985	41839.07234865555	39268.56453797043	39281.81753914432	43459.38083611197	36170.13014096724	44571.23483230461	46109.76043759567	40874.975155076536	43552.89353138706	42970.945756160785	44575.50773992582	39300.66207463784	45316.0053493126	44137.62177694329	40804.02494905377	40931.196997904364	42034.641201859275	44699.19327074443	33944.19233671942	47025.92080049598	41187.2519764314	43090.799207265656	39887.25340103529	44329.68815247647	46039.24063166421	30013.340448327966	40099.58460450217	43105.14448097665	39412.899349713094	39810.30327436135	45198.61164864304	40388.13456411387	46100.425787321605	42366.31975507275	42527.34375543386	36601.91448436064	37896.95002183885	42854.68082010135	38042.13858482104	43004.451588292715	48272.60200831588	38814.89403957584	43632.6572671078	40816.96536456528	44308.802938975576	40535.769679462	44773.4504024345	43992.38705107074	40562.8559323335	41265.09778508828	41711.86275390065	46319.48019801305	34898.0512451374	44329.03724175089	40837.7250142572
360	480	30209.186501141194	19912.16491961172	22572.56523503484	32563.307291740704	37861.18868796739	40643.28783191936	39139.72603855085	43564.599628657066	35453.5073001297	28467.17314142021	26223.27631462832	28757.611367807018	30555.46179931511	34121.094200067935	22315.95153025547	38902.80206518379	31918.876725355876	20759.02074866282	30234.80783869189	18157.993742450755	27561.144841120793	33050.07633858438	38080.6194760757	40402.16799290492	38953.52775768296	42353.721734824416	35952.45443315648	30585.400338882984	32798.47325990292	37962.15035841454	31824.686684314252	21710.011261496657	10875.390289539599	4648.576476957805	4175.489750244945	38063.46616242358	33933.985387704575	25069.591460141888	3202.5632628471217	39318.328117303536	33420.259750437406	41921.3513056238	43093.637633504746	27718.602371692104	36528.61291732377	37698.15207093842	36988.02505674381	35660.79464140345	37469.84635110894	36020.94050429575	40481.69436564969	36657.12073138719	38172.98404727871	36265.30641423051	35219.45791079911	37132.78095097317	31350.10742482534	39328.791459517044	40459.25870123541	35794.03717128451	37999.21704838268	38176.22026606447	39587.99467547468	36673.56137888608	40205.84147281862	38975.61444241162	36256.40667920564	36475.19980457766	37230.01964007443	38716.28829653674	31657.619759966103	39445.601518759126	37182.48800230151	39964.31394419553	35794.433709295954	38896.74755581382	40262.39226247232	27805.778467951593	37252.023246264034	38625.54709648148	36717.132349271924	35458.278991472886	39712.16461759824	36174.38619630961	39832.01900053651	38012.98906920829	38380.84520118943	33080.089584350586	33378.5661063692	38292.83359206081	33585.69347081762	38238.8118265236	41675.89385688295	34886.28763295441	39021.844551638496	36167.28022421328	38945.45275982959	36590.4663713338	39583.19830579189	39075.27053633825	36169.62884675845	37065.1136660259	37483.45844563662	40370.12193392109	32248.883526929727	39232.85243339402	36489.70623373788
