frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VPL
0	30	1383.58631	989.50811	1229.26605	745.04331	842.0285	1404.52585	986.93289	757.93445	1185.00378	1181.82948	1206.01028	844.22829	491.63126	950.43554	881.35383	558.99613	663.85026	1062.12997	575.62138	1074.25123	1199.02431	982.58504	1005.4751	939.33779	1178.70321	914.19266	822.18166	530.11311	840.49792	655.74377	862.34366	1066.37959	968.09817	895.50778	731.32736	641.63888	1165.02431	822.17041	1091.60387	792.82842	561.88608	1008.41197	475.39435	692.55981	1169.31536
30	60	13097.83287	10366.72543	15266.94434	10953.05342	10581.94873	11158.09425	12654.57906	9241.73071	15222.99122	14495.19432	10225.1488	9399.91635	10571.32594	12769.15595	11310.69268	11781.54851	11180.94954	8702.38945	10043.72383	10759.72884	12428.18106	11504.45918	11476.96729	11991.55441	15914.76639	12743.62832	10706.99697	12696.90083	12024.51088	10115.96766	16495.20506	15349.13369	14817.39404	10003.05993	14794.39502	12749.86531	14077.99672	11785.19064	10665.66809	10364.28576	9287.63265	12804.38553	11808.26001	12779.75656	12573.74858
60	90	28999.82555	22055.85445	30945.94073	24519.6796	23331.42086	23686.78083	26043.28223	24130.92242	34290.38262	30398.48862	24827.7899	21503.28621	21225.04862	28339.91701	24983.28284	24748.68176	23485.07137	22551.91549	23142.07031	28872.88333	29495.10598	24950.56056	23988.39745	24955.11942	30686.94691	27449.6409	23540.53652	22598.22723	26503.38517	22841.22114	35160.88214	32573.88656	27586.29073	24195.38601	33653.97656	23924.81285	33086.27407	22568.85304	25165.71546	24707.94764	19784.88283	24372.60634	23495.27859	27094.96602	27186.58267
90	120	43354.30036	36344.59616	48820.89205	42590.7932	36072.32328	35036.95735	44349.96072	42371.14084	53929.36622	47191.10949	39690.00774	34027.44666	35895.07975	50289.62074	39176.30924	39023.73331	40215.8492	31234.03767	33064.47969	38550.49169	43996.39072	39084.99321	44190.84229	39061.35587	50079.13139	46546.45533	35689.74723	38954.84319	40179.22366	34998.21897	53387.08769	47613.93913	41444.37136	33619.80415	47119.18359	36480.7302	51911.82011	40377.36298	39654.97055	39653.74991	33421.4477	36289.0421	40182.17728	43681.38502	45607.04275
120	150	51630.2092	49695.17974	62852.36959	51296.11215	46795.63339	43148.19135	56069.45582	48057.89366	65766.64024	60032.10101	46268.08068	45383.79868	51002.10755	57324.57012	41868.87994	48742.0921	45471.59364	41703.62373	50508.26562	48152.68619	51935.74041	47144.28458	47066.86089	43457.03571	57309.67708	50232.26421	38142.69377	43738.7267	52367.71339	42016.05729	63238.34399	59265.39003	49088.48277	40885.08381	61087.15625	45912.24125	60093.43633	44221.7525	52882.50286	48220.13998	38519.50209	38892.7908	47270.60385	53814.52653	53401.23375
150	180	45956.7151	41902.45738	60461.13942	52449.42918	42903.33203	40420.10487	56387.03499	46401.22808	62288.73698	57201.06717	48791.89207	36838.85577	46091.97249	60181.76253	43448.89987	53555.04668	47520.9583	36440.21648	38645.57578	45460.277	51798.86639	49712.24324	44856.37203	43333.96154	60392.57434	57432.17712	41635.55396	42887.16358	53307.66124	41737.1441	64957.09382	56562.06202	48193.87381	38515.5451	60227.1582	48625.5	62234.48173	46289.95908	52242.17772	46581.11618	38046.43295	39504.74436	50230.4824	58306.70856	56338.3716
180	240	42345.43543	42348.5725	51216.69171	52025.84099	36032.31062	40074.95018	47768.51437	42242.11046	58116.32668	54778.81067	46574.2679	40745.0622	49071.72224	55350.85578	44573.58946	49001.96856	44758.99564	37497.43421	38889.35547	45042.70159	49850.81033	47237.48416	43596.10362	43910.36714	51467.88802	54208.89799	31307.10148	42072.68277	46949.57891	40664.79123	62129.63107	55609.30184	44362.08042	39942.65092	58192.82031	44795.96492	60155.07233	45325.64629	51780.27626	46766.77204	40906.0492	41189.06641	49523.31801	53645.25992	55380.53496
240	300	41618.32395	41709.57071	50555.41331	48391.35674	33319.58825	39719.87381	44662.87061	43759.648	58795.7772	53428.40503	42868.60784	42111.83053	44821.68218	52755.74621	43121.87305	43750.25899	40520.85962	36515.07431	39823.06563	43961.594	48084.94997	43693.48978	39201.0357	39880.17979	47302.68288	55173.76875	30043.81213	42332.38025	41385.33343	36713.66189	58165.27322	52290.95018	45469.42337	37297.7326	51909.9668	42767.93902	56076.50762	45009.06468	48150.1525	41846.99567	37041.41223	39028.17231	46142.31377	52473.63438	52794.84176
300	360	41523.82106	41360.73742	50909.32888	46230.60144	34473.34458	37531.58278	44211.91692	41248.31858	55302.82295	48905.10307	40785.11384	39197.17518	41407.874	53210.51673	40383.78434	44538.27973	40804.81606	34967.1457	39427.92734	42841.23936	46670.83818	43982.76415	38448.29297	44751.58113	49245.29699	51153.43943	29576.28229	38367.82134	38460.29018	36245.98676	57179.03576	49397.42831	43482.61443	42874.99219	54192.81445	43051.28262	52785.89344	41598.70132	46103.80121	38851.67268	36047.25178	42556.14497	44712.634	49906.90412	50937.57186
360	480	33968.38176	35866.3401	42077.10322	45233.97571	27133.30697	32937.53517	36273.32947	36164.64052	47405.28828	43394.13988	38007.79078	34751.753	39479.6951	44805.82853	37776.43648	38676.13417	36072.69796	32473.09279	37651.12109	39280.5845	42169.59415	41118.85015	32350.22518	37231.42911	41591.73941	47300.41489	24791.02144	35858.83344	34192.84049	33406.19553	50032.51403	44001.73939	38975.67697	34897.77415	46265.72656	38852.34457	46454.8578	39139.28023	41486.52118	35478.90017	33637.75186	37299.92925	41517.93998	44823.01923	45278.85831
