frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	14.91697	13.54281	9.43052	10.17183	2.42272	33.16559	4.87445	7.60683	9.59089	12.41708	11.40072	6.71128	4.65606	37.41533	13.89756	27.26066	60.17532	8.17153	21.89582	15.35934	12.09362	9.35955	14.10884	15.07874	87.29055	13.72909	11.24333	3.35356	22.53344	6.57689	2.1123	33.94875	36.76551	11.47726	39.99054	10.82846	6.88077	6.29414	7.95757	6.52257	12.21209	65.26268	17.25791	13.30469	67.2328	25.30102
30	60	2584.0426	1589.37951	3532.02621	2325.45113	3580.45186	2293.9274	2690.94702	1828.2478	2551.26971	2578.80576	2283.72877	1753.8217	1432.23493	3291.23151	2181.67087	1889.51311	2240.52	1620.96441	1236.53177	1887.16814	2202.36999	2115.61255	2045.83544	2517.82196	2636.77198	2648.02455	2193.05101	2771.4426	2547.91701	2906.39581	1778.22487	2987.08573	2765.0137	3274.75839	3741.31303	1568.13282	2805.96969	2008.07199	2103.16774	2113.31001	1989.66483	2684.48855	1807.25493	2575.12016	2245.86922	2205.46839
60	90	9252.49317	7936.6069	10084.01658	7707.40804	8688.65345	6658.82968	8551.98803	7081.65756	10900.79769	10360.56682	7499.87597	7168.09883	6721.18911	8663.56302	6521.01657	7049.32558	7626.41532	6013.79142	7534.82882	6982.38533	8009.20248	5079.84473	7053.10562	8177.88082	7033.52476	9995.17155	7814.47209	9601.81882	7008.54865	11718.18351	7345.19027	11943.65365	9747.19358	6195.92187	5490.88454	8421.39946	10638.41394	7156.18205	9357.87374	7854.3078	5755.14047	5393.98964	7573.66777	9217.51591	7045.57292	8495.24335
90	120	15211.59052	11768.24529	18885.95444	13550.75157	18187.42745	13581.83963	18332.92203	12534.61444	18134.71368	16026.82241	14229.97725	12086.3085	10865.37448	20137.77941	14383.58353	16188.4972	14577.174	10392.01003	12058.4495	13193.58861	14617.04285	11031.69922	15138.42899	15610.9562	11623.50398	18681.51126	15381.68894	17281.02174	13931.39502	19170.31236	12785.36068	21061.59546	17257.80082	13562.97168	11635.66717	13065.05509	19706.01408	12274.87364	16677.84194	15160.00319	10884.96452	11523.81868	14538.04235	15924.31163	10100.75749	14741.42956
120	150	19272.83906	17004.70815	25021.81934	22329.17735	23370.1036	19794.40522	27320.52636	20390.56001	25922.52686	24683.41408	19579.27778	16266.9543	21542.75926	26610.22602	17135.86023	24541.74122	19881.2495	16021.01068	15670.30664	18890.02484	20984.30139	18090.65625	21773.97932	18997.2881	16763.48975	25229.43997	20698.6987	27080.05284	17525.44091	30411.41428	18438.31825	31191.94599	26205.7693	22797.38821	15008.53187	18371.62034	26439.40517	17214.55885	23326.7973	20893.33017	16217.96507	15397.77875	19606.09034	23131.50697	14827.00098	19626.10566
150	180	23498.81039	20104.23749	29975.87061	24700.38928	27523.61213	21043.81121	30658.22587	20186.77721	30829.36509	27804.93135	22855.10515	20450.20166	23318.11555	31492.19155	21857.07212	23739.75644	23248.6736	18674.75912	21851.63532	22370.51439	25640.90791	14895.42188	24154.49146	23492.20715	20632.62853	28349.82578	27653.57461	26246.54996	20474.044	31787.24354	18131.50749	35099.66831	28187.02331	18860.31616	17036.90643	26292.81525	28602.22557	20308.89505	26698.17932	22705.16056	19668.44575	20430.67383	24675.34103	29984.78019	18866.40039	24902.41578
180	240	24135.56723	21245.12972	32389.23047	25833.38948	29687.07231	23123.27316	32776.67324	22610.44336	30542.52696	27678.06987	22241.35612	21536.52578	23764.85467	30549.73729	23598.57874	26873.04251	23209.37239	19369.53973	22921.98103	21601.7863	26190.21106	21729.75586	25483.84849	21101.13418	17539.55451	29025.41484	29023.65667	27961.33368	20177.25511	32523.35166	23950.34397	34460.81652	28935.14713	23839.82012	15240.12997	24980.35635	32949.48928	22412.66541	28605.04662	24662.14404	16468.91428	16116.03971	23616.04296	28409.00394	18615.59505	25499.82612
240	300	22624.03562	20198.27122	28753.97227	27602.58429	25127.94389	22882.44818	29560.52025	22631.42099	31555.01772	28701.5819	23165.4189	19242.79551	26067.83444	30663.07903	23229.89132	26216.98162	24102.24339	19324.57453	19427.22266	24333.78589	26521.5612	19717.16211	25242.52323	20455.21829	20614.6372	27005.26862	27122.35487	26527.70683	20546.02879	30868.65151	20450.13281	32794.25983	28002.23099	21932.42856	21214.99485	24064.77336	30037.10134	21530.7023	27770.73956	23531.56371	17360.47817	22220.40603	22880.82669	27022.24481	19591.24089	24568.6901
300	360	23019.85266	21089.97476	28897.40361	24630.15216	25571.57324	20607.31243	27910.67105	20939.52406	29624.45922	26174.97252	20357.6998	20310.2291	22799.80877	29771.1269	20917.44209	23958.64284	22341.11702	19596.91105	20945.79353	21923.65156	25206.96857	19568.74414	24137.78867	21827.26163	19134.41702	26592.89154	26677.74743	23675.60012	19196.52729	30085.10429	20355.96549	29556.31444	26280.99859	20241.02374	17622.54972	23605.37899	30317.5368	22494.59454	27822.91742	23206.47236	17267.60989	18787.04449	22532.91364	26521.71423	18252.20573	25612.59975
360	480	19733.93415	20183.43135	26085.48213	24665.83938	22264.78396	18356.60454	25546.26528	20501.45401	29708.51546	25309.35586	20298.91362	17284.19326	21144.23117	27541.57659	19962.57994	23550.44963	21108.8322	18584.54553	19104.28599	22344.8035	25226.92956	16697.67969	22884.41577	17884.58934	20317.4034	22864.28346	25366.90992	20411.6233	16730.90837	23000.53748	18117.34201	29241.74072	24342.44051	19009.67845	17652.5182	23812.07964	26672.42348	19581.91943	24179.97963	20604.6908	18136.3778	22032.71137	22509.39709	25088.26703	17561.13997	23289.8151
480	600	19122.37141	19629.63707	21950.77979	23806.42651	17280.13426	18816.22653	19848.84067	18876.0261	25356.7189	22106.58313	21204.7338	18018.43867	19486.08735	24170.63412	19324.22265	21250.49546	18484.06603	17741.65819	19790.17215	21519.981	22639.85869	16688.09766	21446.01419	16992.11334	20341.95294	19288.37161	23867.75117	16444.51259	17489.67479	21078.81088	17289.34842	25440.53692	21591.20689	18894.10823	18915.38725	18893.8178	24371.80425	19455.41475	21761.23625	18155.91604	18161.23377	20739.42036	21787.68952	23433.30202	16927.70508	22376.41545
600	900	16537.04309	17904.80862	19468.66362	21546.61327	15687.45901	17787.99746	18239.5706	17636.97918	22454.184	19424.11167	18320.6304	15267.80791	18846.51887	21424.51496	18167.40067	19129.8961	16718.69186	16643.03836	16659.83357	18879.27324	20758.86757	15587.42871	19498.02625	15330.88039	18137.46437	17017.52448	20574.77201	14347.57653	16098.08274	17567.64618	16446.80317	21667.47619	18387.44202	16851.07928	17020.87473	17222.45396	21344.61191	17636.4309	20034.30551	16546.47341	16378.45352	18864.89757	19891.60157	20795.89826	16110.20247	20035.88661
900	1200	13861.93846	15922.23781	15149.30166	17206.7499	11659.56101	15336.26706	15253.04446	14202.19016	17738.06897	15450.81334	15158.69982	14132.35547	14891.83552	18118.98991	15292.68438	16243.85275	14363.95771	15616.26022	15978.95103	17318.35814	17944.97198	14971.33203	17209.06756	13043.43915	16306.21877	14778.96634	18688.87037	12418.61508	14145.85923	14734.42866	14126.79763	19178.39331	15757.53601	15896.30165	14248.8782	16165.75634	17561.60982	16426.89371	16211.68304	13673.75487	14425.04896	17405.18294	17061.96674	17698.90187	14248.5166	17607.04384
1200	1500	12386.29013	14695.52067	12303.32388	15900.49114	10005.43501	13958.50227	12174.18053	13587.0918	14961.51341	13186.32582	14124.65075	13008.76758	13994.23943	14714.32877	14386.06991	15115.96308	12700.90315	14196.07095	13927.78809	15587.87898	15560.92791	15153.1377	15657.46561	11901.10915	14956.96756	12684.28203	16077.39654	10723.69629	13361.02085	11450.68578	11586.60048	15314.91491	13268.13692	13640.31002	13438.27113	14395.32077	15154.11812	14061.12513	13879.59647	12192.5964	14087.33629	15778.99403	15566.12181	15307.8308	13051.22428	15391.38091
1500	1800	10877.41146	12147.9718	10599.24976	13665.04516	8502.91664	11616.18713	9889.45836	11286.03498	12614.5113	11084.77849	11683.19389	11499.87266	12170.83723	13470.36457	12007.59954	11805.90246	11252.89658	12290.09018	13147.78878	13475.38242	13113.68602	12930.03223	13156.4728	10127.0022	11797.4272	10279.83411	12936.22152	8936.24211	11856.33178	9925.06138	10914.84907	11751.16954	10510.98369	11908.18598	11598.32777	11567.62165	11933.46063	12070.07949	12589.04554	10596.13202	11777.50499	12484.81359	13175.08753	13394.2863	11778.84961	13022.59558
1800	2100	9604.29001	12209.92619	9877.73467	12101.58325	7577.48423	11235.67485	9156.53448	11009.59504	11075.95189	10104.19546	11192.05297	10380.33555	10907.71685	10767.84634	10833.06742	10846.33235	9539.67222	11549.16834	13838.43555	12037.91225	11734.55791	13673.61328	12227.27374	9046.05123	9965.11679	8763.35947	10530.14852	7288.72045	11469.86295	8452.79002	10144.78505	10010.31141	9104.34198	10689.38342	8659.91033	9354.45793	11121.03483	11248.72259	10916.85164	9680.91396	10719.71147	10982.98828	11162.7209	10876.78729	10727.76465	11208.45227
2100	2400	7910.17121	9702.06935	7503.71223	9393.91107	5897.6809	10897.40403	7545.04378	8213.85645	9526.84985	8185.98678	10774.35689	8715.14561	8338.98555	9133.18613	9975.57682	9724.48723	8619.96663	10091.57885	9805.47907	11225.77349	10613.14583	11430.60156	11003.15008	7584.82044	9628.48871	7560.50645	9274.31864	7385.85945	9934.67917	8424.55373	9195.96094	9396.14988	8298.65377	11164.7085	9286.36177	8178.75663	8999.11227	9265.10632	9288.54025	8442.16486	9781.08561	10645.38455	10114.09772	9833.52503	9557.45638	9989.05679
2400	2700	7561.54185	7748.72264	6611.5075	8716.40699	5925.28509	9574.45773	6807.63877	7276.68928	7478.77459	6885.08943	8218.47449	7791.17739	7837.53738	7633.49613	8314.92791	8870.96861	7666.655	8729.739	7796.253	9128.45314	8586.61715	9073.58105	9041.67971	7688.26822	7637.50266	6398.52581	8464.47644	5044.61624	9237.42443	6020.42155	7281.41477	7449.06179	6431.14692	8651.59039	6645.99001	7198.38055	7497.28754	8901.66315	8649.7106	7791.81041	9284.45346	7797.62174	9835.2861	9148.41108	9471.55762	9272.25548
2700	3000	6109.25968	7868.87925	5868.06677	7777.05565	4658.85906	9083.10835	5514.54267	6811.33125	7221.2069	6482.41838	8624.21716	8354.32617	6386.79683	6865.32773	6879.75996	7582.23732	6614.31159	7940.09765	8647.0752	8058.9402	7832.80995	9885.3125	8209.34366	6120.57218	7217.2923	6273.58734	7643.54933	6003.77927	9272.38782	6060.94738	6702.67904	6914.51707	5965.31805	8422.14311	7448.6689	6221.13402	7582.15354	7720.38961	7844.60534	6520.49006	7447.43745	7137.76166	8006.72769	8123.13033	8826.92741	9100.62716
3000	3300	6073.18858	7598.82868	4818.89517	6494.24889	3648.26667	8075.4236	4574.6792	6288.03183	6417.13208	5850.17736	7247.97916	7160.79287	5762.979	6481.77492	7011.69605	7125.73995	6303.16093	7631.76884	7898.43359	7286.51663	6969.08105	8833.78418	7470.85755	6275.45721	6465.43988	6373.2946	6291.04698	5468.6996	8486.50019	5170.09522	4955.56098	6203.75828	5668.69119	6914.59844	6587.34712	5373.60153	6101.46872	7464.22032	6672.47503	6088.55281	6596.92422	6802.67822	7361.58047	6965.27633	7818.5306	7609.23632
