region	acq	desc	success	K1	k2	k3	k4	inpshift	vB	VT	Vnd	BPp	BPnd	K1-se	k2-se	k3-se	k4-se	VT-se	Vnd-se	BPp-se	BPnd-se	AIC	BIC	RSS	reduced_chisq
ACC	acq	NA	TRUE	0.27264025277109427	0.2570137425557523	0.05657358226916753	0.04889179626466832	-0.44270167588620335	0.05	2.2882715043438586	1.060800290521244	1.227471213822615	1.1571180973371284	0.041150473498659454	0.1059976881902174	0.2603703322663238	0.20032623214745057	0.044483127710096784	0.07186165118676575	0.08796059830345945	0.13549741573650817	124.54839488077269	131.02757921079433	104.57526882922878	4.546750818662121
Amygdala	acq	NA	TRUE	0.20274452121398415	0.3494815230123378	0.25609047546876434	0.1103042859937232	-0.44270167588620335	0.05	1.9270002692742654	0.5801294427998318	1.3468708264744336	2.321672935567862	0.07416294293333939	0.2793917544943977	0.34955024468169416	0.1176770009802002	0.02656924939965998	0.21109177643253205	0.09151685705717932	0.2970151007174865	105.53881386084497	112.01799819086662	51.72020573280438	2.248704597078451
Caudate	acq	NA	TRUE	0.2494273281971269	0.2195208430580658	0.03554609645324502	0.04945619260565612	-0.44270167588620335	0.05	1.9528919483668816	1.1362352873761081	0.8166566609907735	0.718739041168724	0.027442720570410792	0.07179834833568398	0.2602274136849148	0.21375719988872469	0.0357144869522561	0.049441253744647654	0.09157902881057794	0.12254606551836614	105.2613127426492	111.74049707267085	51.19135716997997	2.225711181303477
Frontal	acq	NA	TRUE	0.29193737444996265	0.2636283550265644	0.04796725112063117	0.043128701486594374	-0.44270167588620335	0.05	2.339000297962408	1.107382301196492	1.2316179967659162	1.1121886230574494	0.03397456373534666	0.08237631616724445	0.217173692628469	0.1839817869148634	0.042260077691605814	0.054610413162766595	0.08026828411667303	0.11003964256548988	118.86166924711554	125.34085357713718	84.71457121485696	3.6832422267329115
Hippocampus	acq	NA	TRUE	0.20460494649737482	0.23974615206261726	0.08085957253757223	0.061178253015688126	-0.44270167588620335	0.05	1.9813966633854208	0.853423275982072	1.1279733874033488	1.3217045036712174	0.03947508869171712	0.11841941912028488	0.24732514350641474	0.15397324798139167	0.032323891887549215	0.08463397546589241	0.07334898177910204	0.14426416285551177	104.45076633156438	110.92995066158602	49.67741856756613	2.159887763807223
Insula	acq	NA	TRUE	0.26128452300405164	0.2526547450316537	0.06374467657426916	0.04702049539423708	-0.44270167588620335	0.05	2.436140052521074	1.0341564056963062	1.4019836468247682	1.3556785405983158	0.041132371783383796	0.10862245593575261	0.2371667461734622	0.17664815705454548	0.042247175111561855	0.07427499350464574	0.07754463143829078	0.12823963379437053	122.13490243075691	128.61408676077855	95.63305068268468	4.157958725334117
Occipital	acq	NA	TRUE	0.29213443890444996	0.2541136109098839	0.040324525538265606	0.033822333290495235	-0.44270167588620335	0.05	2.5202523167965762	1.1496213754880267	1.3706309413085491	1.1922455258164468	0.029793374303251272	0.06935338556308232	0.1869529902529554	0.18020989193645492	0.04597023537633676	0.04540490896977275	0.0798220589806327	0.09612622888830874	115.12889820084308	121.60808253086472	73.77624826693658	3.207662968127677
PCC	acq	NA	TRUE	0.2975289980771615	0.2796651511803555	0.055287337669739665	0.041516489461323254	-0.44270167588620335	0.05	2.48063490904612	1.0638758415963154	1.4167590674498043	1.3316958728229016	0.03577453806152391	0.08565599648507528	0.19775071925286683	0.16601651505207335	0.04229289591415685	0.056269523020218426	0.0732615630263553	0.10371185779799781	120.07714309970892	126.55632742973057	88.6153568253384	3.8528416011016695
Parietal	acq	NA	TRUE	0.2655732549402559	0.23608560815914298	0.03840869686877052	0.037377942732060236	-0.44270167588620335	0.05	2.280825604632392	1.1249023479704685	1.1559232566619233	1.0275765347520363	0.029484684113437434	0.07164196432523447	0.20973151209368757	0.19201870012899114	0.04352015102961719	0.04786222210514378	0.08265243373177808	0.10389383324752259	111.55866265252128	118.03784698254293	64.63822114180573	2.810357440948075
Putamen	acq	NA	TRUE	0.3159816336613111	0.25762546160241784	0.08031073806079919	0.08273889055035628	-0.44270167588620335	0.05	2.4170363284531673	1.2265155458467525	1.190520782606415	0.9706528275469287	0.03782859193370885	0.11609670915454084	0.29334780122207516	0.17681001183115372	0.029289992447613426	0.08346354490522542	0.09176049152667051	0.16523753155422405	120.90429638296165	127.3834807129833	91.37212711542722	3.9727011789316182
Temporal	acq	NA	TRUE	0.2328535144422947	0.20813918027475473	0.041079335831224396	0.03538207649470766	-0.44270167588620335	0.05	2.4176195328220444	1.1187394614263195	1.298880071395725	1.1610210564484227	0.028368073857536938	0.07373930103688409	0.19673274899790202	0.17498891441489392	0.04156914974226886	0.05069989809070012	0.07379447212538826	0.09798981479402334	106.08082556020605	112.56000989022769	52.76895472536019	2.2943023793634865
Thalamus	acq	NA	TRUE	0.3237950223922948	0.5	0.3490597605997928	0.14838237813293503	-0.44270167588620335	0.05	2.17100292469411	0.6475900447845896	1.5234128799095201	2.352434062534514	0.07219226240289284	0.2534221836843066	0.29198682799134057	0.0873715468567489	0.020491561892462686	0.18576562468959326	0.07879579108669514	0.26074261128742815	108.0120029485448	114.49118727856646	56.6815140979355	2.464413656431978
