frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-Pt	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	1.21418	2.55747	2.32306	7.09696	1.25677	25.66663	23.95944	65.89936	2.85574	12.70032	22.58346	0.69844	17.86163	21.4589	89.40875	72.37182	49.80412	2.69526	0.76098	14.30361	20.25694	22.85687	22.45283	1.89412	14.14854	2.35824	13.04357	0.52833	113.0811	6.90873	8.30474	130.40668	31.30976	165.84573	1.18931	107.43363	4.51846	0.49977	3.94179	30.75096	15.4868	32.9784	14.79008	19.70716	104.32071	112.41743	76.38405	9.22665
30	60	5110.21118	4278.35653	5230.4512	5006.15219	6246.26039	3148.7181	5320.92016	4334.56736	5629.46486	4736.31149	4266.08606	3795.95258	3961.25405	5854.8444	4607.20861	5214.93227	4214.05541	3192.07488	3696.05479	4241.06591	5063.20382	4365.28955	5312.20859	4842.13002	4364.55635	6454.16074	4877.3946	6443.26738	3351.95692	5268.12736	6329.12126	5533.30655	5116.1985	4758.09507	3308.12571	5463.28369	3548.23734	6777.44629	5304.7459	3972.63508	4109.64463	3730.74684	3451.06363	4347.88779	4103.44139	4474.55335	3348.49341	4338.66771
60	90	13388.78945	11151.08345	17075.07471	16225.93084	16914.5775	14840.92868	19219.159	14897.40177	20137.991	16444.23025	17855.35016	7867.31842	13414.62978	19484.28137	15264.90323	18159.42958	15728.20024	11539.34374	9996.31465	15024.91166	18093.75442	11016.14258	15123.54654	15467.71413	11642.13223	16457.34834	15574.11379	16473.33697	12420.37113	18355.03385	14831.92959	18476.06185	14924.72638	15844.65209	8756.72987	16622.28516	11469.08751	17040.1582	19093.44847	13583.78237	18449.26129	13387.53782	11870.17534	11566.02368	14766.39841	17123.9418	11692.33398	16307.31791
90	120	30642.61311	23590.63815	30632.5415	31608.69603	30070.84389	26127.85836	36853.71997	26603.41985	36292.33751	30501.70217	24313.25185	17050.87878	24668.46412	35745.10169	26242.65845	29824.95817	26360.22744	23887.1846	20625.37891	26663.62311	32009.92686	17385.07305	30715.75973	30435.20432	24551.51472	34425.21152	32672.25664	33042.77619	25911.80931	37203.43667	26865.2793	35532.99096	31062.05037	28658.09533	23566.22548	31333.96875	27189.27959	34805.78906	33009.84705	26936.58082	31116.85317	24804.22026	22585.84335	24472.18701	28516.32853	31463.44788	19622.26758	29095.73164
120	150	41453.07301	35289.92493	45540.51172	40480.71697	39178.15765	37602.79317	58471.37137	38697.81134	54299.61254	44344.39203	42363.04179	28633.71118	37897.18315	54148.67529	39756.19069	45002.01492	38514.11348	33968.94064	32359.09766	38586.80383	44327.55209	32995.24062	42776.4968	39601.24719	32315.71547	45070.63516	43743.02545	41896.95198	37536.39668	49853.93379	29948.82539	52758.67592	42849.81821	37101.18523	29060.35807	40543.71875	35452.21253	43143.14062	48072.99098	37341.54328	41356.99205	35288.56558	32286.47681	32687.59985	40430.94178	48129.91774	32613.42383	43886.37495
150	180	42348.70151	42371.70097	54013.99707	48770.76223	46459.95033	37965.18164	59646.02311	45303.7581	59378.59458	48043.6494	38588.25966	39405.29102	42578.49685	60112.28903	42575.74117	50089.40126	45183.10902	36068.55069	41553.60938	45646.3933	51813.57547	33503.21758	49861.82925	44875.67212	41344.49372	53559.33477	50070.02581	47416.65878	37303.20817	55624.34672	43170.54727	59374.09785	50424.48268	41875.61514	36923.81771	50291.51562	41866.7045	54555.49609	57643.86692	42711.76359	53268.66045	41181.24365	36451.89183	38195.72559	45942.02954	53214.85928	38229.78516	51474.45096
180	240	41681.2928	40443.71346	51171.52734	50591.74985	42785.84598	36502.25497	56729.93941	43754.58695	57408.04608	48132.32613	37607.63785	35280.75342	45974.43243	60539.53914	41996.88034	52388.02274	44915.86647	36790.48845	37262.11172	45655.91402	51940.44754	34166.49297	49739.5087	42630.14984	41878.3014	50037.21172	50973.21664	46306.86857	36991.63885	55144.58851	39960.94922	57559.14668	48757.65444	39119.54502	40052.89193	50324.72656	47321.43511	45423.84375	56886.02056	40800.74686	52535.28626	40172.84484	37801.97717	41466.10254	46081.55117	53197.35311	38036.36719	53726.6787
240	300	39025.06204	38474.52086	46373.47168	46084.77886	38759.82826	34890.60731	56644.37186	39558.26403	55810.41482	45219.66253	37498.02192	33658.91455	38066.28358	53807.9319	38886.63172	51339.85926	38247.27191	36108.40822	36547.57578	42441.27343	48061.76463	34090.74336	47673.65324	38102.66729	38998.6081	45410.53359	47042.68194	41107.23196	36649.19599	53328.13445	34683.08047	55197.46011	45576.67288	39287.03633	36212.55968	46988.01172	39736.22975	39685.80078	53325.01235	38442.92402	49827.69505	37669.07876	33509.21558	37781.73828	42249.90447	49784.19263	39460.77344	50097.18338
300	360	40883.53524	36513.2211	44460.81543	42550.0065	33238.6702	35631.87424	47323.99505	35366.88397	51783.57201	41881.83053	33612.05196	30951.74121	35816.30154	50543.77884	37166.28827	46973.35693	37301.13995	34276.96052	34495.2293	41899.81275	46288.717	31869.89687	44583.33999	36837.21383	37324.02947	43613.46348	42777.04262	39506.24793	33932.14724	50825.54511	35083.83535	51098.55227	42973.06932	36150.59385	34503.8138	45697.23828	37222.30722	44227.87891	50854.70267	38691.01896	49150.35856	36199.76489	33381.25547	38299.21436	41378.3204	45528.01383	35367.52734	46892.72455
360	480	34749.39199	32826.74765	40679.25122	43678.69421	33842.50251	29876.87081	42924.93365	35772.11321	45429.64594	37573.4123	30439.99525	28485.69434	38342.50171	45735.79713	31650.77396	41185.13369	32485.74405	31767.20817	31668.28672	37506.48539	42970.81603	28368.79336	41304.87612	33694.29702	33166.30868	39351.3625	42263.13949	33760.9861	30809.62306	40870.1122	31528.18105	45145.87843	37859.29129	30892.65318	31225.96788	38767.03125	38768.0523	38715.50391	42943.44982	35731.9335	41460.06873	31758.96314	30495.68016	32937.38232	37871.66868	43205.93853	33201.62109	42658.08066
