frame_start	frame_end	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
0	30	33.42002	16.48774	0.55495	5.19711	27.71012	18.34289	22.24396	27.05566	24.60805	0.64516	5.64143	10.58611	22.04037	11.48974	13.16312	16.86145	39.00404	29.17511	19.62051	3.96437	2.76909	7.39202	44.03532	13.70193	20.82392	66.49274	7.90667	23.69415	10.83494	50.05624	36.17912	49.76685	10.02159	36.74765	33.95716	0.47042	11.72461	88.9581	19.95396	16.33489	38.92125	32.70487	14.86244	2.05045	3.69289	21.69873	7.50882	19.14585	20.3779	4.27255	22.41458	11.54907	14.64585	2.94708	6.38163	50.374	12.32203	27.60977	24.80969	20.04912	15.59677	20.25696	18.9319	18.24626	23.60346	23.26342	12.59079	33.55005	14.43005	14.31703	0.56298	58.64194	57.36377	15.50839	50.74713	16.78048	33.96604	3.73173	4.98288	20.38773	6.89771	12.86536	29.13782	12.90585	39.60434	28.7612	14.80563	3.19338	4.61336	59.11132	22.79498	22.99434	61.71378	18.57635	10.96617	23.58458	18.68837	41.57202	24.21171	20.97987	9.35822	23.91431	38.55133	8.40864	2.0694	31.1525	27.66649	18.90539	23.5734	25.3624	12.00677	2.5496	8.70746	25.45796	13.3159	21.78593	21.14747	5.14086	30.60054	7.49157	11.43722	6.19223	8.71784	40.01252	11.09407	17.53391	27.45785	13.96809	9.47984	16.88019	24.13465	33.05777	27.35657	20.31988	22.34753	25.46288	10.52211	8.3241	0.3123	45.61759	24.85723	15.52477	17.51146	12.1531	40.84719	6.89796	9.60185	13.66049	14.07305	15.81841	27.69907	21.8055	28.69757	13.16248	22.6059	4.50463	11.20773	56.56393	37.21035	26.50682	37.30041	25.35882	3.69562	24.14743	26.38733	40.68439	29.51429	20.16293	15.31607	19.69899	43.23239	9.4916	7.47797	24.63678	31.94498	17.8272	24.26184
30	60	1208.24067	2013.4106	2844.38879	3391.2332	4541.02123	3184.53831	4299.56927	3161.4749	3072.94771	3484.01813	3033.51525	3340.06782	3332.6713	3928.63554	4874.2795	3622.6337	4013.99039	3094.28032	1011.39771	2880.35436	2729.88737	3700.72522	4184.35334	3284.2236	3789.15469	3175.69972	3417.36858	3304.64032	4469.46533	3236.06601	3354.52051	3193.1508	1274.00179	3142.59728	1517.76	1205.30464	1780.67453	1341.2217	2185.02506	3687.15329	4344.06457	3867.65912	4475.36799	3975.20036	3607.34769	3536.61507	3046.54628	3862.36246	3542.80542	3835.84457	4300.51057	4641.49039	3239.14873	3517.26569	3569.18446	4356.11029	3591.92283	4025.29038	4651.79517	3707.83675	3990.64872	4016.43049	4079.11895	4617.3785	3882.17342	3883.91055	3334.55174	3696.55731	4018.35681	3836.71807	2899.24862	4553.46121	4718.47707	3651.69864	4446.01158	3651.42987	4176.61216	3016.02827	3297.5928	3508.83412	2905.15736	3945.94773	3420.73181	3958.81226	3968.24669	4127.58139	3148.94399	3341.30167	3593.88225	4289.43729	3921.68466	4085.14177	4655.63228	3616.63952	4268.75622	3755.62485	3984.47375	4307.05369	3797.22364	3927.53668	3094.32999	3707.34457	4088.71707	3538.92283	2794.45082	4648.19537	4516.5277	2814.55137	2040.8455	2666.53628	3954.37322	2552.80116	2950.51429	2679.86133	2666.29219	2354.69894	3279.40328	2958.60501	3465.54012	3144.81487	2915.08769	3276.32417	2336.73965	2900.88613	3585.48626	3196.83903	3403.51398	3265.08364	1974.20991	2803.99407	2741.30383	2643.16808	2951.01331	2871.00238	2799.00832	2578.51537	2933.96871	3475.19013	3363.82786	3384.24204	3374.08878	2586.32381	2414.53625	2645.412	3671.02959	2566.47041	2670.96813	2620.78363	2749.77252	2543.35219	3012.78218	3007.87682	3309.94954	3196.40841	2414.6478	3290.03728	2521.14966	2619.81692	3453.77939	3197.73807	3491.82755	3346.53365	2495.62831	2756.5774	2829.46577	2559.06369	2715.84397	2898.22906	2445.59737	3018.45588	2721.27724	3965.77175	2882.51974	3177.16577	3048.22669	1797.88674	1853.25222
60	90	4218.86329	10245.82401	10591.44382	12855.20537	15423.27759	12106.10751	15794.28732	11106.69511	10570.56251	10916.50957	10149.58057	12465.37022	11529.70671	11429.81989	14980.09542	11886.93709	14104.84375	11695.36743	3833.40041	9684.1266	10477.90384	13460.14211	14663.48272	11072.6368	14420.71019	11497.94329	11836.9691	11853.4535	16214.7276	10819.58669	10890.79855	11174.43827	2479.52319	10054.90888	6018.15636	4330.27648	4166.88073	4159.92921	7407.5382	12702.35591	13169.68565	14340.91662	14939.87789	13110.23396	12245.55165	12474.06833	11500.6554	13226.69953	12424.16346	13447.11965	14002.90576	15338.51273	11970.63017	10194.46676	12932.69811	14362.65837	13676.72269	13737.59235	16420.08858	12633.7625	13198.01874	13740.71153	13842.47577	15288.21746	14081.93994	13615.38146	11484.18081	12387.51029	13579.1028	14788.82016	11053.33314	15889.16744	14338.16077	12836.80683	13367.38619	13203.59551	14965.78216	10884.53737	11754.12131	12559.14294	10924.83223	13864.11798	13093.8668	13328.43073	14353.14156	14831.34999	11689.00741	10794.07346	13146.29168	13785.19087	13199.4052	13355.05253	16365.61838	12581.0969	13906.03849	13224.46834	13704.54825	14244.17685	13671.53221	13463.07756	11473.9474	12333.80844	13379.2506	12683.21906	10685.40297	16480.87704	13649.73287	9319.49431	7147.78763	10023.43575	13480.72276	11963.98479	10232.05192	9647.12441	10593.33387	7756.89799	11804.8086	10642.58519	12094.33818	12159.11686	10309.57456	11493.29349	8825.40219	10808.07619	11826.98408	11463.10091	12271.57295	11153.90288	6694.78193	9741.13105	9756.47859	9595.88604	10694.5973	10171.41789	9354.52679	8830.5673	10339.96828	14130.1065	11506.1281	11771.66699	11225.90008	9075.51579	6870.09616	9506.7149	13707.16944	10815.64862	9721.75608	9502.00124	10045.46222	8268.07281	11453.16016	10275.0748	12462.7763	11245.59536	9695.26644	11582.39122	9196.58185	9827.19075	11802.73526	10867.99261	13018.00724	11310.30275	7928.06506	9760.88558	10323.1412	9877.52176	10087.92915	10013.15686	9190.12473	10090.40383	9249.8641	14470.23955	10429.83983	11634.41062	10570.53065	6442.50385	6361.06477
90	120	8509.715	18999.89677	19625.52482	24880.73084	28324.67656	22839.11078	29062.9723	22560.18462	21300.1314	20612.17777	19195.15801	22383.37219	21179.82304	22437.72666	25355.52355	21488.62304	20915.12885	22404.82976	7221.59804	19860.16953	19330.155	26080.5102	27953.21351	22298.55139	27886.04183	20288.39511	20866.6058	18806.10077	27988.34131	21037.37393	20263.10832	20180.89778	6283.37451	14024.92778	9726.34609	7714.26103	8714.77255	8806.47881	13048.88722	25233.7236	25050.11982	26475.86722	29127.03157	22327.39683	23613.85927	23626.98553	22479.43902	25276.85045	24251.02569	24291.68905	26841.12006	25519.42417	22846.74269	19632.60197	23962.78622	28140.57441	25312.89886	26239.1381	31456.91294	23567.04774	26206.65606	25610.49431	26790.72926	27977.3383	27289.46147	25655.54642	21844.40396	23558.04977	25578.49083	26399.21075	19667.85381	29700.05743	26153.72106	24033.03979	24934.90238	25417.51841	28685.35515	19905.85282	22489.98119	24351.88643	21286.40332	25684.84296	24985.2418	25326.88381	26738.16605	27209.51907	22475.97311	19571.72255	24929.55607	26353.93079	24778.40057	25076.85077	31193.67546	24063.18509	26886.64339	24801.14999	26174.0452	27762.76673	26915.77444	25333.27692	21891.432	23124.09559	25058.5465	24182.88908	19384.87715	29994.26855	24903.76439	20229.57093	13644.03161	18364.02528	26462.59163	19990.01881	19601.02466	18372.7026	20238.65679	14815.87589	22918.21622	20217.8033	23226.26135	21388.24995	20869.54427	22007.05251	16908.42606	20688.0257	24478.73124	22316.20585	23903.61405	21453.13185	13232.77464	18750.22782	18889.67748	18222.05489	21022.82742	19021.19484	17496.91339	17458.12868	19862.72252	25264.33677	19864.08134	23935.78545	21036.02414	17779.87161	13719.90906	18097.81629	26117.83974	19489.20568	19209.73189	18919.41786	19111.54766	15203.65324	22301.27408	20190.24147	23849.03493	21090.77565	18806.49805	20823.33735	17823.51728	18822.21145	24316.37107	21308.91297	24811.67821	21916.3463	15173.38572	18176.85211	19404.56702	19952.61971	20163.32656	19243.80441	17505.54261	18878.49587	17417.81426	27914.67379	18984.60272	22077.42947	19666.75404	12437.68182	12177.72491
120	150	11821.31046	30023.39504	29288.53804	36586.18511	40508.40083	33090.68327	43612.40307	32519.825	30729.22261	30437.41989	28245.20837	32243.77738	28624.97491	31282.06868	37578.23777	30387.3081	27104.20738	30720.08913	10577.24424	29253.60611	29013.04979	37439.58806	40049.86893	31721.55428	41649.79733	32777.68834	30606.32422	29248.55579	38511.41043	28974.07918	26965.58966	30252.8361	7808.3667	15331.84108	12987.01975	10579.02518	10186.89713	9995.00545	16701.08	35638.05208	34086.62776	38251.32983	41452.89275	33010.11775	32672.47228	34383.85073	31817.65872	35217.22328	34593.87523	35479.91157	39347.75903	37799.98905	33256.6086	26923.44233	34738.8526	38818.79547	35852.32541	37588.48543	45891.2465	33998.64155	35926.13436	36264.95562	38593.56477	40131.61176	38974.15412	36701.39085	31944.48998	33973.65525	36923.72986	37637.15295	28010.78967	42625.03344	35730.83237	36354.30584	33141.41318	36551.30084	41701.88221	27510.11564	32318.45004	34658.61402	31057.27602	34309.21396	36312.561	35927.48953	37185.54038	37976.93384	32717.53612	28489.98515	35365.25951	37038.24935	34989.11002	36146.56692	47752.25257	34254.35518	35701.75506	35388.76867	38066.15508	39800.18739	38144.71136	36562.33657	32204.13674	32572.08992	36164.41334	35310.37308	28001.92405	38063.57503	33077.26829	28388.87722	18673.55695	26208.22147	38814.66025	31032.47185	27863.8935	26274.11556	29276.57124	20607.01891	32616.35259	29303.27054	34525.86428	31993.09209	29836.18783	30254.11106	24543.95266	29863.1837	35225.37248	31611.7482	34931.17247	30338.1676	17667.84187	26478.96704	27285.8814	26204.67442	29472.24192	27302.18524	25649.8804	25423.06754	28436.60638	37814.81443	31309.85145	33854.44526	29658.39839	27421.8581	18011.68124	26069.38789	38465.52365	30184.76359	27778.32155	26821.70484	29056.99156	21016.54685	32252.43943	29588.82815	33108.93	29497.6111	27801.53866	30664.6955	25317.55694	26974.75714	36078.67838	31301.62187	37477.48055	31584.78597	19938.16423	26078.35651	28129.52833	27466.48511	28860.37939	27793.35169	25521.48513	27017.25982	25697.22791	41094.28903	30345.8956	27560.43734	27659.14548	17519.07178	17168.40103
150	180	13045.64002	29055.50093	33201.50184	40479.48873	45956.23922	38367.92136	47706.87888	35132.57433	34040.03751	31326.89141	30223.59643	36346.99285	33002.17332	33665.69648	40558.09328	32609.93419	31260.19154	31848.94591	11823.7073	31433.48202	32705.13902	41826.10868	46026.71631	37093.8101	46340.56005	34179.41148	34061.38736	30440.56396	40458.29732	32812.32859	34674.31807	32012.78874	9501.68034	17262.10016	13756.71846	11418.81987	12667.07095	12446.3614	17599.48039	39506.1441	38516.6961	43848.34223	45947.17638	31821.06459	36466.06255	38987.97011	35648.4902	37074.33706	38940.09554	40117.24296	42899.32706	40828.94028	37522.41355	28789.91158	39803.77022	44759.06422	40922.38002	41954.04197	50089.75053	38323.69434	38142.26309	40933.65955	42614.39219	42476.66338	43246.11385	40732.41159	35294.7332	37918.23472	41728.26938	40661.85366	31225.47714	46626.09521	38914.03434	40607.59234	36232.52738	41198.24647	45518.68712	30633.40546	37792.22147	40104.28699	35285.14801	36758.71351	40512.45714	38860.66309	41938.5596	39931.49133	36447.46491	30898.93702	39114.81508	40742.1743	38876.15912	39351.22734	52786.56152	37491.10206	39689.13734	38990.8429	42132.14331	42348.78581	42195.1686	40292.58054	36190.20627	36630.95305	40060.17613	40605.57292	30212.88098	44437.73978	36308.69221	31064.96368	21604.24117	29805.6824	42877.89029	32085.31975	31328.96454	29412.33344	32779.61396	22443.08586	36587.18805	33114.17901	36991.78821	35196.43575	34204.23811	32571.85871	28559.62879	34160.03885	40912.9834	35316.85432	37859.61012	34701.41996	19602.83718	29327.4015	30394.14947	27942.29861	33468.39748	30867.04234	28400.10917	28464.03273	32613.59453	42877.37175	35501.15145	38651.83278	33221.24277	29035.69229	20562.3265	28957.51066	41978.53314	34014.06986	32570.62487	29935.98312	32306.65513	22831.0876	36044.4776	32868.49576	37607.98715	31814.18201	30444.91625	32575.60256	28342.83012	30050.27128	40322.362	34502.34189	41334.98724	35076.39314	22769.91655	29237.55797	31421.5418	28796.83201	32173.82073	30270.66015	28942.02881	31021.67414	28998.13818	46741.05139	30981.05715	33526.67837	30906.83119	19489.61739	19026.40384
180	240	12574.70848	29880.54724	32240.03556	40645.25089	45875.27827	38325.27833	49390.34447	37188.46114	35306.42451	30545.89683	30498.8773	33365.04033	31736.66888	32240.79899	42317.99226	31509.35954	36341.68528	29650.8786	11745.75996	29732.03092	32458.26359	42500.44574	46023.77036	38851.56081	46909.1495	34766.46146	33637.57574	31693.5292	37680.8223	31825.59103	32966.838	29942.81448	10335.8112	15108.14746	13360.92963	11762.99967	13015.92749	11924.50301	17602.25106	40070.00574	38654.91312	42863.66379	45774.793	32945.68378	36580.381	39270.7656	35917.36436	37334.72163	38460.14403	38883.1545	42096.92166	40225.70116	37726.04678	28838.08057	38277.8564	42162.90342	40616.07299	40591.66497	48756.76955	38395.99888	39663.79762	40847.52941	42636.13435	43582.38187	43196.20213	40458.90889	36015.78719	38118.48872	41087.99874	41204.48656	30492.54861	46462.77685	38536.19584	41459.25325	35812.22182	40871.51629	46687.6727	29415.26833	36298.28258	39985.68314	35575.44852	37188.2298	41090.52347	38897.39625	41713.4542	40872.53231	36991.32217	30071.49437	38309.87804	40300.10021	39038.30508	40523.42531	51135.04871	37702.48165	40034.04609	39250.20522	42001.75251	42572.87118	42975.96192	40380.50628	36287.78642	36613.82356	39783.37262	38701.91097	29099.5984	43941.97661	36135.85848	31369.58738	21858.33856	30199.90573	43520.80403	32178.24545	31719.78605	30269.6183	32780.51115	23058.84575	36364.52575	32375.60844	36799.76113	35110.86726	33976.76531	32741.07814	28474.77915	32796.85501	41381.61306	35107.11551	37320.35969	35048.7996	20770.61436	30548.93483	30856.25616	29561.11328	33771.81568	31119.68856	28882.51531	29172.08548	32405.04777	42273.11741	34512.76843	38841.91039	33751.95878	30297.79998	19946.00953	29642.643	43868.18195	33850.57132	32343.74915	30538.16537	32983.6311	23545.84341	37028.26586	32671.53845	37954.75249	33084.51475	31637.18031	32741.6397	28040.00881	30537.74565	41780.61348	35633.58078	41064.0686	35359.67263	23044.67149	29675.60255	31383.12804	29730.54167	33014.62551	30918.60898	29359.5545	31772.75525	29248.49565	45552.47228	31601.74243	34138.98212	31103.56104	19913.3865	19338.85431
240	300	11385.38175	27320.01556	31250.51736	38324.70737	42821.02266	36247.21918	46357.76709	35913.51905	32764.47431	28063.57865	29014.60402	32293.03844	32109.14904	29196.2714	39426.48861	28808.90209	33309.74419	26354.88166	10822.17272	27180.5767	31763.61343	40154.53417	42973.37323	35638.47488	43903.01857	34538.92083	31572.42418	30195.27473	39494.34399	30979.97479	29603.2254	25853.99943	9255.28874	15073.02195	12799.20676	10571.8572	12513.28325	12293.44299	16982.33339	37879.53722	35807.80129	40117.45695	42614.11128	32229.644	35331.98049	36555.32366	33789.75976	34671.35345	36154.64872	36824.27285	39735.27134	37745.27353	36021.03097	28148.52085	37042.43093	40103.0494	37854.52557	38571.59086	45506.32301	35585.56733	37853.85683	37964.97809	39599.1898	40576.77221	40431.95811	37806.53971	34040.15068	35524.22375	38352.55977	37781.72181	29347.23725	42172.24593	37010.61072	39795.61989	34640.11416	38194.7631	43168.60009	28006.75436	35632.40459	37724.81276	34218.72537	34767.44969	38751.59343	36341.43335	39139.99443	37668.46852	35536.45891	28731.46157	35833.16456	37080.45244	36322.29783	37884.11624	46209.26553	34573.7777	37528.09077	36583.55889	39152.33094	40499.41004	39842.14737	37815.12577	34301.2649	35030.79964	37949.68602	36022.39497	28845.15847	39468.07493	34049.22773	30471.21041	21079.69662	28084.18117	40928.02618	33739.26701	30945.54569	28607.89669	31527.06728	21222.00129	34110.02879	32011.80817	34730.9414	33104.59183	32950.912	31336.60267	28123.89413	32369.14787	39716.69988	33118.57704	34929.35217	33139.3945	19599.59226	28614.04348	29365.24387	27708.57412	31730.16739	29622.16553	27586.37114	28011.01392	31010.69962	39434.24079	34092.72169	35300.87569	32482.76889	30309.47215	20163.01029	28299.1639	41196.29081	33655.32179	31555.52344	29116.42572	32005.82401	21585.30508	34805.7879	31551.81328	35768.89272	31802.9522	30727.93369	31697.30835	27123.59464	29048.96092	39725.35128	33915.48268	37526.26272	32913.5004	21746.73515	28343.34286	29648.31002	28637.16771	31334.0978	29649.55021	27665.19891	30417.59225	27916.35152	42825.67325	31650.12355	30747.07772	30163.65732	19318.02137	18847.75849
300	360	10781.82235	22720.5015	29241.7054	35764.00104	40516.496	33258.14622	42469.88618	34408.89089	30523.60711	25338.16714	27381.82444	29872.64164	31935.29915	27434.81245	36409.4819	28276.32674	27858.10891	22591.71265	10021.88181	25520.71873	29278.02238	36965.27067	40764.15177	32844.50477	42467.01178	34142.74836	29091.119	29477.33316	36309.23207	29405.15423	30563.70349	22750.25007	7822.74349	12725.62869	12559.55504	10398.67068	11338.53209	11265.50244	16655.73082	36522.06442	32387.73478	37041.53475	38781.6344	29761.41616	32901.2764	33799.97595	31609.06282	31067.89651	33234.30007	33896.29735	36690.92151	34778.2601	33946.62348	26675.95515	33151.28847	36775.14473	34166.24258	34451.14502	41300.34761	32442.97226	34494.57591	34783.83274	36270.12819	37456.52539	36575.38168	34817.50813	31323.25762	33599.33078	35453.7824	35964.66642	27834.4055	39853.38645	34433.97116	36967.12287	31564.91709	35049.88947	39050.13761	26327.82139	33312.1458	34831.50024	31689.86831	31639.07236	35958.35838	33678.26395	36196.71429	35067.971	33260.56562	27083.47003	33260.73354	34771.29183	33538.37663	34702.36917	43035.57091	31582.12546	34287.35687	33501.13754	36070.78367	37448.5852	36926.80489	34884.99318	32096.87829	32789.22646	34430.19798	33131.22168	27000.06154	35423.06323	31944.35295	29685.54901	19784.43912	26982.63648	36865.83273	30349.16315	28393.06809	26704.206	29238.07215	20460.54321	31723.14474	30050.70669	33209.27452	31897.52814	31477.73131	30862.47447	25798.0834	29651.85585	35702.85968	30581.86657	32399.96983	30332.34168	19094.01002	26783.94786	27314.47627	26572.20012	29668.1407	28108.35872	26207.97707	26914.71274	29001.67362	38020.90199	32537.1875	34246.00923	30695.18769	28115.35952	18385.54599	26766.84501	37288.70467	31461.81743	30076.6855	27481.21246	30592.29237	20231.8798	32945.8848	30061.39801	34142.11126	29901.38916	29214.38896	30626.28562	25612.59932	27567.96909	37407.48414	31857.8142	34559.45043	30570.53629	20012.70879	27054.97207	27536.3655	26683.1381	30013.59355	28160.97756	26437.8832	29492.56856	26474.28801	40032.44879	29902.93313	29207.9779	29415.86883	18610.10598	18124.44136
360	480	9833.58382	23319.40264	26839.61573	31531.86195	36866.07685	29944.22291	39077.08771	32309.3545	28399.28968	23216.07769	25563.44541	27752.07161	28262.21178	25056.53078	31967.79505	26941.63835	29266.14787	20156.86387	8998.29371	23694.8341	26958.27541	32776.55314	36989.7611	29814.02183	37795.96652	31693.71205	27030.74388	27964.86438	32569.78637	26620.63841	25371.98356	20624.04877	7900.90202	11233.74766	11636.8568	9495.80087	10534.48112	11202.98183	16265.88575	32248.36904	29642.82993	31638.53148	33882.43121	27064.60904	29828.96362	29597.37275	28707.04482	27355.87632	28959.01514	30264.40691	32301.15632	31156.70323	30556.94057	23313.46706	29079.18511	32066.6205	30188.57123	31139.44373	34631.66532	28511.13869	30821.13807	31036.3391	31594.35455	34104.34521	32541.91038	30672.44918	27531.37423	30479.10142	31125.04083	30605.33201	26135.3267	33716.08536	30989.11504	32964.81854	29169.89514	30811.45213	33760.1806	24701.45718	30235.6867	30801.97497	29076.51353	28302.49785	31353.03968	30048.50761	31765.10409	31614.7152	29817.19547	24977.89031	28831.45047	30276.64745	29825.68542	30128.97143	36188.89327	27994.21817	29929.24193	29482.37299	31362.69358	33631.23024	32667.09221	30904.97577	27840.878	29445.41678	30275.51355	29425.69374	25151.08408	31149.63547	28945.05319	26373.12907	19001.21409	24483.11789	32991.06939	29250.68064	27060.64972	24527.66147	27741.09159	18287.56858	27965.21503	27397.69288	29424.37449	28649.39324	28606.42962	27138.94609	23626.70875	26754.86281	31795.82367	28265.79487	28077.38506	27152.40836	17346.53942	24775.16631	24807.41653	24432.39668	27207.39533	25722.89291	23708.14553	24742.40558	26332.23619	33599.39729	29777.38105	29690.89166	28417.43884	25667.44949	18148.01702	24642.44189	32621.34412	28813.07982	27921.88957	25216.86111	28160.98578	18957.69848	29244.94265	27457.4509	29857.35808	27066.07833	26781.30168	28158.08862	22968.45506	24932.5742	33503.98309	28853.78119	29956.97642	27681.74104	18507.51227	24372.60429	24998.55069	24795.71661	27238.69114	25486.26977	23810.81541	26742.42468	24333.13099	36491.32474	27576.36917	26357.28774	27179.18	17891.98003	17522.34938
