region	acq	desc	success	VT	VT-se	AIC	BIC	RSS	reduced_chisq
ACC	acq	NA	TRUE	2.5846879819792883	0.013338006052087183	50.75704558473227	52.21176553409627	29.276448346851996	2.9276448346851995
Amygdala	acq	NA	TRUE	2.1365487336232696	0.00919083348298826	48.34821224315057	49.802932192514575	23.951890842136784	2.3951890842136785
Caudate	acq	NA	TRUE	2.255789386105964	0.008135630591502466	42.77233237052228	44.22705231988628	15.050189978261482	1.5050189978261481
Frontal	acq	NA	TRUE	2.5511030623197155	0.012950696525744878	49.36019189359715	50.81491184296115	26.05940938671973	2.605940938671973
Hippocampus	acq	NA	TRUE	2.1672594770342393	0.008309046355063084	44.08685678732115	45.54157673668516	16.792532871292746	1.6792532871292747
Insula	acq	NA	TRUE	2.7126286491786273	0.013816973192644279	51.06124211339872	52.515962062762725	30.028084472419895	3.0028084472419896
Occipital	acq	NA	TRUE	2.8145472306857595	0.013762662387635911	49.54341969017798	50.998139639541975	26.460363356683505	2.6460363356683505
PCC	acq	NA	TRUE	2.6813654972711296	0.00953631253770322	42.69431643470138	44.14903638406538	14.952661134000275	1.4952661134000276
Parietal	acq	NA	TRUE	2.477542093665046	0.011675801328480125	46.63449881922301	48.08921876858702	20.76435507468099	2.0764355074680987
Putamen	acq	NA	TRUE	2.678130365756158	0.00841507468137559	45.45409643937058	46.90881638873458	18.81907443952011	1.8819074439520111
Temporal	acq	NA	TRUE	2.6382335562972288	0.011990935077851646	47.27699222105845	48.731712170422455	21.90640226865302	2.1906402268653022
Thalamus	acq	NA	TRUE	2.378487359759033	0.007407444129393111	44.72821215546507	46.18293210482908	17.714448328354933	1.7714448328354933
