index	name	volume-mm3
203	parasubiculum	67.0
211	HATA	57.0
212	fimbria	65.0
215	hippocampal_fissure	86.0
226	HP_tail	644.0
233	presubiculum-head	123.0
234	presubiculum-body	151.0
235	subiculum-head	211.0
236	subiculum-body	179.0
237	CA1-head	533.0
238	CA1-body	111.0
239	CA3-head	86.0
240	CA3-body	84.0
241	CA4-head	130.0
242	CA4-body	110.0
243	GC-ML-DG-head	150.0
244	GC-ML-DG-body	140.0
245	molecular_layer_HP-head	311.0
246	molecular_layer_HP-body	194.0
7001	Lateral-nucleus	616.0
7003	Basal-nucleus	418.0
7005	Central-nucleus	39.0
7006	Medial-nucleus	5.0
7007	Cortical-nucleus	21.0
7008	Accessory-Basal-nucleus	241.0
7009	Corticoamygdaloid-transitio	163.0
7010	Anterior-amygdaloid-area-AAA	29.0
7015	Paralaminar-nucleus	34.0
