pet	frame_start	frame_end	frame_dur	frame_mid	TAC	weights
sub-06_ses-baseline	0	30	30	15	0.3097609327275472	0.5388457934725795
sub-06_ses-baseline	30	60	30	45	6.807335152486953	0.7404944784982967
sub-06_ses-baseline	60	90	30	75	15.026863153451965	0.8620654050192064
sub-06_ses-baseline	90	120	30	105	23.34294208906462	0.951320858437129
sub-06_ses-baseline	120	150	30	135	29.558159430512355	1.00546862533929
sub-06_ses-baseline	150	180	30	165	31.114865711359023	1.0145061493275869
sub-06_ses-baseline	180	240	60	210	30.843728234967152	1.2216957796382777
sub-06_ses-baseline	240	300	60	270	29.624770015700538	1.1947774607427328
sub-06_ses-baseline	300	360	60	330	27.80276449672542	1.1609536218683678
sub-06_ses-baseline	360	480	120	420	24.831813424463935	1.3661896560750113
sub-06_ses-baseline	480	600	120	540	21.592338695316425	1.2791117624060477
sub-06_ses-baseline	600	900	300	750	17.882806175024157	1.562755896252657
sub-06_ses-baseline	900	1200	300	1050	15.11088392314606	1.3948096706746052
sub-06_ses-baseline	1200	1500	300	1350	13.85019221014874	1.2849247563587853
sub-06_ses-baseline	1500	1800	300	1650	12.918014896205792	1.1944626981693671
sub-06_ses-baseline	1800	2100	300	1950	12.021969862584603	1.1135158929913258
sub-06_ses-baseline	2100	2400	300	2250	11.280318628183284	1.0440826272742385
sub-06_ses-baseline	2400	2700	300	2550	10.63743210223232	0.9835497616028057
sub-06_ses-baseline	2700	3000	300	2850	10.099311659223488	0.9310660844410634
sub-06_ses-baseline	3000	3300	300	3150	9.587272596739998	0.8840679049588573
sub-06_ses-baseline	3300	3600	300	3450	9.209407233503054	0.8441303141719897
sub-06_ses-baseline	3600	3900	300	3750	8.775698605905804	0.8068749513887687
sub-06_ses-baseline	3900	4200	300	4050	8.481093122541841	0.7755189095468948
sub-06_ses-baseline	4200	4500	300	4350	8.17374362067491	0.7468397298458593
sub-06_ses-baseline	4500	4800	300	4650	7.878554163407409	0.7209932303347246
sub-06_ses-baseline	4800	5100	300	4950	7.660105317415244	0.6986137722998217
sub-06_ses-baseline	5100	5400	300	5250	7.449272812597608	0.6783642088637064
