RegionName	folder	description	ConstituentRegion
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-caudalmiddlefrontal
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-frontalpole
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-lateralorbitofrontal
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-medialorbitofrontal
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-paracentral
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-parsopercularis
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-parsorbitalis
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-parstriangularis
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-precentral
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-rostralmiddlefrontal
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-superiorfrontal
Frontal	petprep	seg-gtm_desc-preproc	ctx-rh-caudalmiddlefrontal
Frontal	petprep	seg-gtm_desc-preproc	ctx-rh-frontalpole
Frontal	petprep	seg-gtm_desc-preproc	ctx-rh-lateralorbitofrontal
Frontal	petprep	seg-gtm_desc-preproc	ctx-rh-medialorbitofrontal
Frontal	petprep	seg-gtm_desc-preproc	ctx-rh-paracentral
Frontal	petprep	seg-gtm_desc-preproc	ctx-rh-parsopercularis
Frontal	petprep	seg-gtm_desc-preproc	ctx-rh-parsorbitalis
Frontal	petprep	seg-gtm_desc-preproc	ctx-rh-parstriangularis
Frontal	petprep	seg-gtm_desc-preproc	ctx-rh-precentral
Frontal	petprep	seg-gtm_desc-preproc	ctx-rh-rostralmiddlefrontal
Frontal	petprep	seg-gtm_desc-preproc	ctx-rh-superiorfrontal
Temporal	petprep	seg-gtm_desc-preproc	ctx-lh-bankssts
Temporal	petprep	seg-gtm_desc-preproc	ctx-lh-entorhinal
Temporal	petprep	seg-gtm_desc-preproc	ctx-lh-fusiform
Temporal	petprep	seg-gtm_desc-preproc	ctx-lh-inferiortemporal
Temporal	petprep	seg-gtm_desc-preproc	ctx-lh-middletemporal
Temporal	petprep	seg-gtm_desc-preproc	ctx-lh-parahippocampal
Temporal	petprep	seg-gtm_desc-preproc	ctx-lh-superiortemporal
Temporal	petprep	seg-gtm_desc-preproc	ctx-lh-temporalpole
Temporal	petprep	seg-gtm_desc-preproc	ctx-lh-transversetemporal
Temporal	petprep	seg-gtm_desc-preproc	ctx-rh-bankssts
Temporal	petprep	seg-gtm_desc-preproc	ctx-rh-entorhinal
Temporal	petprep	seg-gtm_desc-preproc	ctx-rh-fusiform
Temporal	petprep	seg-gtm_desc-preproc	ctx-rh-inferiortemporal
Temporal	petprep	seg-gtm_desc-preproc	ctx-rh-middletemporal
Temporal	petprep	seg-gtm_desc-preproc	ctx-rh-parahippocampal
Temporal	petprep	seg-gtm_desc-preproc	ctx-rh-superiortemporal
Temporal	petprep	seg-gtm_desc-preproc	ctx-rh-temporalpole
Temporal	petprep	seg-gtm_desc-preproc	ctx-rh-transversetemporal
Parietal	petprep	seg-gtm_desc-preproc	ctx-lh-inferiorparietal
Parietal	petprep	seg-gtm_desc-preproc	ctx-lh-postcentral
Parietal	petprep	seg-gtm_desc-preproc	ctx-lh-precuneus
Parietal	petprep	seg-gtm_desc-preproc	ctx-lh-superiorparietal
Parietal	petprep	seg-gtm_desc-preproc	ctx-lh-supramarginal
Parietal	petprep	seg-gtm_desc-preproc	ctx-rh-inferiorparietal
Parietal	petprep	seg-gtm_desc-preproc	ctx-rh-postcentral
Parietal	petprep	seg-gtm_desc-preproc	ctx-rh-precuneus
Parietal	petprep	seg-gtm_desc-preproc	ctx-rh-superiorparietal
Parietal	petprep	seg-gtm_desc-preproc	ctx-rh-supramarginal
Occipital	petprep	seg-gtm_desc-preproc	ctx-lh-cuneus
Occipital	petprep	seg-gtm_desc-preproc	ctx-lh-lateraloccipital
Occipital	petprep	seg-gtm_desc-preproc	ctx-lh-lingual
Occipital	petprep	seg-gtm_desc-preproc	ctx-lh-pericalcarine
Occipital	petprep	seg-gtm_desc-preproc	ctx-rh-cuneus
Occipital	petprep	seg-gtm_desc-preproc	ctx-rh-lateraloccipital
Occipital	petprep	seg-gtm_desc-preproc	ctx-rh-lingual
Occipital	petprep	seg-gtm_desc-preproc	ctx-rh-pericalcarine
Hippocampus	petprep	seg-gtm_desc-preproc	Left-Hippocampus
Hippocampus	petprep	seg-gtm_desc-preproc	Right-Hippocampus
Thalamus	petprep	seg-gtm_desc-preproc	Left-Thalamus
Thalamus	petprep	seg-gtm_desc-preproc	Right-Thalamus
Caudate	petprep	seg-gtm_desc-preproc	Left-Caudate
Caudate	petprep	seg-gtm_desc-preproc	Right-Caudate
Putamen	petprep	seg-gtm_desc-preproc	Left-Putamen
Putamen	petprep	seg-gtm_desc-preproc	Right-Putamen
ACC	petprep	seg-gtm_desc-preproc	ctx-lh-caudalanteriorcingulate
ACC	petprep	seg-gtm_desc-preproc	ctx-lh-rostralanteriorcingulate
ACC	petprep	seg-gtm_desc-preproc	ctx-rh-caudalanteriorcingulate
ACC	petprep	seg-gtm_desc-preproc	ctx-rh-rostralanteriorcingulate
Insula	petprep	seg-gtm_desc-preproc	ctx-lh-insula
Insula	petprep	seg-gtm_desc-preproc	ctx-rh-insula
Amygdala	petprep	seg-gtm_desc-preproc	Left-Amygdala
Amygdala	petprep	seg-gtm_desc-preproc	Right-Amygdala
PCC	petprep	seg-gtm_desc-preproc	ctx-lh-isthmuscingulate
PCC	petprep	seg-gtm_desc-preproc	ctx-lh-posteriorcingulate
PCC	petprep	seg-gtm_desc-preproc	ctx-rh-isthmuscingulate
PCC	petprep	seg-gtm_desc-preproc	ctx-rh-posteriorcingulate
