frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	19.67433	36.82239	7.50367	2.00405	5.81082	4.05753	4.77449	1.57302	4.77738	6.93729	5.61672	6.15245	2.39721	2.29216	1.37546	2.12146	2.24021	34.27225	22.21573	17.64861	10.66841	7.89783	5.75224	14.72856	10.86821	1.4459	0.646	3.21213	18.80665	4.77273	3.68019	2.40306	4.52362	7.41208	6.44713	11.66051	0.50403	1.98389	3.14367	2.94997	5.91371	12.79877	6.34919	5.14153	4.60899	0.57349	1.69552
30	60	7460.14335	3920.08815	8564.07051	5339.48707	6984.69259	7324.2518	5338.51568	6840.57349	6746.44127	6807.92566	7862.45615	4909.87656	4761.32908	6333.17895	6309.44258	5456.37463	5826.55411	3925.94609	3449.34092	5044.11985	5536.49598	3911.08828	5178.832	6205.15047	4892.46495	7561.56445	5572.28442	7457.73962	7420.05629	6910.35636	7265.38501	7755.40476	6841.14342	8049.73361	4864.57925	6710.29004	5604.13694	6251.59884	7793.19672	5667.23982	5312.64906	4476.41546	4721.29374	5423.39601	6461.24737	4604.26156	5747.09661
60	90	18227.43012	13965.79075	21535.82077	16624.10174	19315.90849	16679.75022	19550.15123	16178.03271	20856.99755	19154.83406	17122.85658	15780.34668	14461.7142	20790.41521	16846.97038	17282.25791	16121.9769	13084.37976	14905.12656	16258.85498	18092.28787	12470.01426	17842.69451	17021.10171	14159.80803	21605.87223	18779.74434	19740.13935	17522.29917	20228.3676	12670.82568	23977.805	21189.55749	18250.58069	13159.43203	19588.3457	14532.00051	21830.37351	17513.1613	16147.47101	16337.82371	13773.25111	13596.42899	16366.68206	18002.0069	11708.95768	16954.81417
90	120	31842.96352	24735.58372	36957.39245	30120.47718	34634.42871	30284.54828	37994.57702	29024.63208	36599.94947	34194.39251	33957.66111	21814.56387	25051.96061	39287.74413	30226.99153	33760.63434	32162.14971	26644.6028	23860.9582	29398.24632	30775.6271	23059.50117	31010.72597	30400.77711	26511.08461	37504.91829	32668.37773	33822.47418	30619.19039	35449.49087	25731.93574	36001.0454	33326.73107	31656.33188	20286.54102	32447.00195	30439.98804	36133.75725	29539.45437	29928.03573	29089.55055	24733.88818	24653.20731	28759.98382	31893.58912	23887.49349	30640.04336
120	150	43916.5847	36330.48411	55977.025	45673.68769	49083.9458	41818.45907	49996.43126	37174.76611	53135.97168	49618.53298	43503.97479	32352.68945	38154.58109	49083.40279	40534.77416	41441.17036	42390.13205	33878.01446	32318.35117	39614.80697	44125.7078	30717.26211	38704.60904	45409.41305	37059.31932	57450.46419	44309.00156	47320.07371	35037.09473	55226.89246	35354.25762	59111.1224	52952.19589	35316.38317	31415.71211	46094.53906	42033.42998	54439.5762	36778.93269	46371.05094	40904.68933	35054.43274	30641.39286	42015.38053	47138.00329	28686.74544	42101.52182
150	180	45975.48719	41298.20363	57773.63203	49920.52679	48899.77197	43225.52239	52909.60617	39471.45068	56086.23873	52240.69435	48440.39216	36514.81484	43110.59556	54146.75867	44820.93909	45608.18004	46728.6096	38526.55402	40329.71406	45419.89391	49344.41989	33314.96055	43780.63203	44821.61113	37725.03776	55377.86068	51500.17445	45138.23251	40574.5458	51532.1665	37868.43594	61870.92127	54833.18243	45761.14541	33061.9957	49493.66016	45522.36797	61708.62071	41708.69935	51455.21408	44036.06946	38990.61328	35748.90402	47530.56243	49461.56798	31418.08464	50208.08631
180	240	45765.75119	42420.55368	56912.15755	52796.52655	47941.68132	41186.57607	55168.29821	41584.09521	61848.10616	54443.22222	44850.2254	37861.31133	44141.0097	59912.84634	45630.7777	48545.05014	47800.91179	39666.85849	38835.25781	46507.96071	51980.02987	32944.68008	46200.33848	46643.95753	45721.94373	55995.68945	51166.50417	44816.80129	42932.92002	53096.23926	37910.12461	60996.26724	53734.68793	40592.63076	38170.56172	57966.11719	45699.65557	59020.87011	42652.53768	53272.36025	44456.0198	42885.76284	42496.70703	47330.18196	51380.73847	34763.35156	49772.13648
240	300	46670.83779	40836.95893	58765.43359	53592.5247	48660.55176	40638.9834	54066.60105	37867.93018	61556.26991	54488.06908	45505.27201	37033.27656	45104.16602	60103.83341	44076.45266	46956.41309	47803.93985	37145.98754	38916.98672	46014.89471	50172.77492	34474.63516	46089.71276	44311.70333	42061.07597	49846.07487	53267.61738	40723.53023	38091.74641	48802.81901	42581.46875	59213.75432	52242.18515	44085.27236	37344.33516	52848.59375	45961.69736	58434.32077	41708.19607	50417.10603	40880.35782	41070.13812	41656.77623	48512.89414	52455.21179	37224.40104	50651.67362
300	360	39598.67467	38032.96901	49421.62708	47751.42417	39034.66691	39739.39015	51359.76723	35945.75244	56448.32142	48784.0606	43027.19405	33031.1457	40499.43401	53455.44963	42387.56549	46590.41954	41517.92895	35724.24539	39124.56953	42560.60238	48533.93623	33822.01289	45604.82418	41204.57861	40190.04353	50312.8457	51141.68993	38077.13689	38932.05608	46238.14403	38049.14844	53326.61304	47757.56568	43023.60382	31525.67461	52771.58594	47854.22969	50889.60517	41363.74147	47759.72675	39920.64425	39896.95348	39266.51507	45446.78863	48242.45098	35104.44922	47547.40531
360	480	39829.25086	41499.28252	47703.9263	45440.78959	38740.9668	36343.15513	45275.46124	33733.11328	51023.82003	43632.5607	40244.46949	35905.33359	38722.63497	49757.01767	38925.85457	41143.76199	38561.24393	37539.96707	42606.81406	43276.03517	45823.15137	29143.47266	41872.39456	37380.7088	37046.14286	43281.06641	47213.17266	33506.90786	33794.32405	43535.61276	33885.08535	48713.75368	42446.47375	36224.81417	31095.88516	44352.87109	41526.69775	48875.37062	36736.0436	44314.10283	36169.55883	37381.94084	36174.97935	42873.03067	45202.34486	30479.56185	43954.32528
