index	name	volume-mm3
203	parasubiculum	47.0
211	HATA	61.0
212	fimbria	88.0
215	hippocampal_fissure	161.0
226	HP_tail	549.0
233	presubiculum-head	125.0
234	presubiculum-body	137.0
235	subiculum-head	204.0
236	subiculum-body	266.0
237	CA1-head	594.0
238	CA1-body	115.0
239	CA3-head	98.0
240	CA3-body	77.0
241	CA4-head	134.0
242	CA4-body	115.0
243	GC-ML-DG-head	135.0
244	GC-ML-DG-body	127.0
245	molecular_layer_HP-head	301.0
246	molecular_layer_HP-body	213.0
7001	Lateral-nucleus	598.0
7003	Basal-nucleus	455.0
7005	Central-nucleus	38.0
7006	Medial-nucleus	15.0
7007	Cortical-nucleus	27.0
7008	Accessory-Basal-nucleus	267.0
7009	Corticoamygdaloid-transitio	181.0
7010	Anterior-amygdaloid-area-AAA	33.0
7015	Paralaminar-nucleus	34.0
