frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	1561.15921	1085.07099	1821.81687	1474.4392	1265.69738	1099.40045	895.94484	1080.83198	1638.66437	1593.71643	1045.52388	1007.6654	814.67306	1107.51599	1023.35212	1007.06693	780.03192	782.58783	1488.52795	1219.97674	1354.04685	745.00007	1129.9126	1613.98979	1145.10706	1524.99505	1152.02126	864.27346	993.61848	1297.68972	1468.76313	1499.95704	1434.1458	1072.01084	1148.57929	1217.76917	846.05359	1317.7827	1117.07691	1042.2764	1106.00453	1079.2282	1066.5094	1148.07886	1230.10609	739.94214	905.42979
30	60	9553.95789	8758.53101	14215.90736	13052.04415	12950.84476	10358.22035	11997.88953	10334.66547	15373.36382	14515.18646	9171.26647	9223.45877	11566.22704	13133.61833	11198.6779	10391.21812	12119.81848	7683.44118	9434.95898	11479.34459	12585.04358	8347.07837	9817.44279	11915.59075	9316.29214	13235.27509	10992.26042	9235.7023	9618.65166	9434.15873	10645.05096	16496.36784	14490.32831	10752.35884	8703.83367	13927.98633	9314.62642	14230.09452	10357.03298	9441.71868	10220.66722	10346.08023	9329.90717	11756.11666	11950.2011	8676.07161	10118.29473
60	90	27306.43965	21847.46836	33115.91912	26941.66708	28213.90213	20621.29037	30078.85308	23737.78798	32233.18861	30951.51232	25111.94417	18885.62153	24323.13959	31593.07085	24317.45722	24645.73438	24739.16288	20676.18226	21202.57896	22537.20436	24747.82795	18587.70964	20979.3217	25401.82896	23792.45308	31031.39588	32230.8973	25315.15557	21400.92993	27998.61858	25707.74316	35115.93535	32737.02669	23136.36353	19419.33097	32386.51953	27252.47959	30692.03578	24288.25236	22313.85978	24550.59593	22116.5627	23204.74609	25610.80555	27437.05841	15519.64258	23037.03092
90	120	39751.20964	36805.64603	49518.36719	44271.09052	46047.518	30899.72736	44272.77153	35315.20443	51529.64597	48829.44522	40382.08874	35821.13411	32437.76465	51498.52726	38235.31662	38786.78332	37129.8022	32692.75946	38426.84208	38918.07231	43760.68514	30787.62402	39907.17029	40032.42532	42657.34485	44955.67218	46910.68829	33803.53159	34531.63739	35972.00915	36986.26196	54852.49848	49581.57694	42695.71365	37443.36399	52230.08594	43768.16199	49778.98192	37160.39527	38614.96401	37380.43796	35882.42587	42491.23145	42854.32516	47125.24148	28739.6862	38948.21109
120	150	50689.97659	45674.97316	58977.27628	57251.9153	46259.60672	43072.25881	51271.4477	36995.42014	64581.27619	58743.23439	50774.76537	40269.36806	47599.93705	60603.73552	46154.13091	45515.38205	44480.21132	39846.22374	45635.43862	46093.47864	51296.63496	33115.63932	46462.59351	44057.14916	47908.99733	53756.42999	57666.07375	39308.08135	39729.41816	43737.18599	44688.24072	62785.16467	58964.39855	44879.41469	43401.7223	54518.89062	51550.93551	60556.02359	43687.8261	43162.16561	43992.31423	39177.27753	48423.29639	45552.00018	51382.99309	36494.69792	43926.60421
150	180	45242.52533	47911.92733	55433.56445	60973.27523	45221.71568	45045.16576	53493.2286	44490.89019	67201.92583	61136.73275	50994.30333	40269.19965	51179.90784	64249.29415	48650.72505	46267.06287	45811.71966	40850.50235	41584.83594	47520.38705	52742.87365	36995.68555	48412.96341	44417.90171	57396.25246	56654.02194	58531.96716	40070.8339	41043.08393	45002.74776	40153.79248	66789.09278	60696.35604	51614.95485	49355.78729	65975.8125	47144.0909	60691.57812	45306.916	43849.71357	42937.99078	42502.90474	55542.81348	50212.17024	55891.04713	35073.57552	49239.83822
180	240	46491.03609	46675.39027	54972.69265	59171.54486	46213.05204	42817.77183	52769.37167	42255.91016	64272.80868	57974.20158	53773.33602	38571.42882	43456.11991	64432.39274	48800.83806	48486.97333	46758.56334	39580.09968	42428.86775	47042.97001	53288.60122	35828.59831	46462.10607	44167.92112	49751.85122	56808.16016	54250.1935	39820.43877	38999.27788	47921.83447	40629.82715	64352.06163	57160.90247	45251.18979	41826.6282	58317.60938	47029.45355	59604.35734	44581.35903	44247.14357	44460.75395	41046.72634	48067.19873	47930.97605	52081.14126	31431.83464	45800.43836
240	300	39471.98831	45223.00326	50714.77805	52766.68023	41420.72838	38473.13989	46118.21894	38996.88325	60570.60997	53607.94096	44368.01707	40168.07856	41719.15804	58476.36574	45373.56447	44631.02021	41836.28079	37138.73141	45580.79464	44926.14637	51489.47494	33862.90983	46243.04734	35294.77083	48350.96005	46813.80319	53417.39706	34632.74567	37342.89698	42190.60918	39987.75732	60260.72671	53219.00409	44568.80097	40276.21165	56838.26562	42767.61152	56089.28857	41271.29768	43697.21742	41785.14392	38102.228	50229.66797	47149.73472	50613.23559	33247.42513	43970.3972
300	360	39989.25589	41813.80922	47558.61257	52529.24374	37520.66588	39632.61599	42789.53861	35336.94705	57619.00132	50024.73402	42678.46779	38214.18446	42144.6991	56492.91913	44770.39796	45178.76765	41134.5389	37271.86761	43243.93304	44034.29954	48003.81066	30095.54785	44681.85529	35817.05608	39482.6195	45674.70883	53155.95358	34759.48735	35561.61464	42062.25197	37449.44971	52646.86834	47261.14815	42015.28961	36811.79368	46519.87891	45499.55691	53095.01394	41136.09709	42041.36223	38270.02927	37164.6188	39131.92725	43411.68638	48591.23068	28882.94141	44306.3718
360	480	35319.42403	40687.8424	39774.06232	45047.73411	33232.46338	33602.04471	36558.52843	35307.59028	48942.33378	42571.11333	39368.75688	36870.72873	39129.25948	45254.8873	38125.77014	37062.15469	35103.77662	36463.13087	41833.48661	41737.73239	43833.58957	29700.26921	38110.47958	32053.1165	40909.44489	39903.13582	44094.85657	29102.71433	34426.61688	34447.71421	33150.21411	46784.69865	41819.53423	37444.00227	36219.32102	46675.57031	38979.78316	45505.02135	37428.40263	35820.05857	35016.94623	33606.84111	40907.90967	39648.02969	41953.25538	29827.13737	38564.99236
