frame_start	frame_end	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
0	30	823.31139	1255.90604	1130.95167	1279.80652	937.58324	619.68589	1305.45659	1374.12674	1355.59949	1087.3714	1186.3544	1098.64308	2274.9001	1301.45857	1360.85562	1077.50602	1260.2869	678.16242	1419.35911	1318.66952	1326.22241	912.28833	612.92145	1160.34435	986.27612	1192.38942	1771.8085	1291.94475	1035.19814	1224.37184	790.17048	1731.669	1627.06858	1762.70432	1646.75845	1794.90964	1661.30295	1644.90367	2013.41614	942.01854	1422.00096	1567.8001	929.01846	1203.92854	1017.95592	1377.76473	1125.63156	1332.51959	1519.88084	1862.38411	1480.59601	1301.0875	1289.74034	1246.29763	1252.88589	1253.08627	1338.53723	881.10246	2070.58635	1054.91127	1322.60253	2131.30082	1073.93535	1173.59374	1172.59034	1567.70679	1041.12291	836.03235	1457.7035	1485.62701	1423.00747	1653.89861	1522.39157	768.86744	1498.62442	1131.5744	893.06478	1158.10292	1234.1093	1164.99154	1153.61504	1489.45512	1345.11793	1338.6117	1458.98493	1396.65097	1016.39432	1285.76001	1279.31364	1037.93203	1265.26948	760.3949	1859.95423	755.96373	1211.15038	1562.24709	799.76947	942.34253	1019.60454	1666.06196	932.76448	824.08321	1529.7795	1379.92778	1596.66983	1753.15097	1968.95826	1306.72835	1305.73963	1659.88283	967.27921	1094.9174	938.0256	957.31036	942.31615	888.37581	1224.72368	1636.88095	1343.23701	919.39469	1103.91077	1175.07146	1034.46861	1015.96913	1114.68925	1101.15871	1586.11893	1193.54997	1001.708	1615.97182	1334.98256	1295.27366	1229.62979	1843.02909	1207.2369	1315.15686	2024.85427	1958.16542	1191.93909	1451.62842	1114.46785	1156.58501	1425.55045	933.29447	822.97966	1246.30092	1296.86515	828.74836	1027.62324	1003.93458	1065.49952	974.02595	1457.88441	1219.47249	888.66941	1433.42144	1248.17957	1309.85207	1169.70545	1013.3048	1224.1104	1075.98537	916.98507	1058.9148	1216.79606	1168.99073	1164.42447	2055.11244	1379.4492	1258.42213	2047.42343	1666.86732	1298.77491	856.65438	790.08881
30	60	6225.00847	9468.37847	9877.20009	10194.21757	8700.88061	5288.36695	9422.23182	10311.84299	9089.99164	8450.30504	9449.84608	8616.07392	12501.18001	8241.96791	9442.62347	9210.96044	9350.16291	4763.9449	10572.40088	10435.51308	10379.73766	7592.8452	6122.38368	9297.22387	9373.31683	8629.56124	11876.69964	12628.34755	8560.98823	14073.47051	5192.72512	10576.67551	11343.59929	14264.57084	13644.48914	11535.6322	10738.12461	11851.0126	14159.37743	7834.77168	12863.16714	10940.63461	7589.26622	9506.095	8455.39169	10547.53209	9513.23716	10302.55508	11982.80098	12918.46018	11311.07217	10100.47629	10253.23161	10672.66128	12106.01268	10762.28579	10436.58589	7218.41617	14300.46811	8507.18704	10656.44934	14088.84565	9001.24234	8302.47973	8158.27243	12156.25401	8365.49076	5326.08735	10106.62037	10726.13028	10240.0829	12341.53276	12551.12523	6405.08536	11793.60887	9282.36178	7485.52839	9434.47338	9942.11302	9994.59828	10660.71529	10828.12669	11696.28105	11142.84378	10747.41368	10914.83812	7614.1026	9668.38526	10009.33233	8046.97166	10041.05097	6085.50674	12615.67935	6174.20388	8991.13253	11937.66811	6264.02092	6929.20848	7714.71043	10528.71983	7028.4475	4747.21163	10295.29793	11006.52561	11393.3622	12533.21374	14216.5714	10095.60609	11979.26722	11284.73815	7343.18763	9482.15383	7819.339	8546.66979	8488.0573	7611.58036	9939.60541	12124.47117	10855.6913	8833.02367	8400.40176	9225.73608	11230.40859	10084.51194	9369.97491	8874.24552	11743.39764	10164.83113	8347.17006	10940.01552	10548.48772	9851.98808	9042.00292	12996.32097	9979.06265	8390.88479	12322.43146	13546.16102	8687.24592	10337.31297	9473.08165	9832.61082	11666.91722	7420.42979	6824.71372	9815.34002	10370.35829	7104.62232	9635.02493	8587.41811	9006.19065	9292.59199	11709.38049	8817.98197	7561.11222	12869.26141	11823.6501	12039.31205	9118.67801	7865.34807	8173.62468	9306.03224	7427.06858	8304.73305	10382.40263	9168.18261	9691.28397	12993.53162	9764.30074	8174.25143	12063.56527	13091.22023	9685.96936	6848.15137	6194.71717
60	90	12599.42668	19868.32422	20641.58634	21004.51356	17982.46694	12242.04257	21602.53792	19777.53345	19040.65423	18094.5547	18553.13707	18063.05467	21605.06078	15187.40519	17358.81019	18666.93695	18291.26533	10308.1511	20780.56392	22045.6121	22023.25549	16680.09806	12394.96559	18508.63431	20055.26535	16236.37697	20567.53766	24322.10996	18448.08514	30917.25703	11791.62476	23708.74444	22356.87096	26200.6248	24091.98164	23170.5451	22115.78808	24221.22567	28000.38064	16035.71233	26081.46561	19442.44188	16156.40977	20121.03672	17638.55519	22431.73624	20217.41098	20300.42054	24993.0114	25915.44972	22719.27874	21077.08393	18597.44244	21302.37625	24202.11447	23067.9242	21253.57143	13807.11411	27476.91061	16993.61578	21843.77771	25289.51339	17964.11094	15974.27815	16727.84949	23113.25496	16685.72664	12075.24106	18088.99605	20893.88733	20725.04784	23196.05673	24763.65355	13078.48467	24674.86884	18188.29257	15456.7143	19320.59826	20901.09642	20076.56285	23290.184	20993.93863	22956.89267	22447.45518	21413.37005	20056.81552	15707.10014	18852.9394	23301.54453	17477.87992	21484.84387	11972.47747	24594.93826	12399.93745	19093.94637	24870.62536	13065.61976	13799.42775	15142.54843	20657.20739	14263.90092	10255.56018	18835.07492	21324.08027	21783.67176	25197.68582	26284.58467	22367.44324	25039.25171	20662.79674	14816.71845	19093.78176	15826.75589	17698.73696	17814.66965	14965.18994	21680.54959	24147.0974	21801.39742	18976.05745	16448.91832	20154.62228	22894.51989	20568.92979	19302.62932	17671.87177	23653.57736	20964.04792	16829.85401	20290.53905	21880.06657	20140.13876	19092.77152	24358.03129	19864.49871	20325.87698	19555.87092	25924.76603	18006.04143	19815.35245	19709.87603	20264.60674	24195.11768	16047.48314	13932.40852	20855.77622	21667.44671	15003.10063	21071.21981	16367.23113	18742.98931	18265.3687	23667.63199	15786.88636	16173.35389	24770.62179	26163.9322	24959.66583	19789.05247	16012.92639	17195.22933	19157.77166	15773.16285	17564.95828	22366.93669	19170.99637	19035.76672	25507.17377	19757.44056	17937.18815	21740.09593	26180.10515	19530.59566	13784.01851	13542.47823
90	120	19287.8902	31670.49475	32626.20306	33191.32179	27608.2186	17900.4828	34253.04561	33620.68565	31768.39334	27976.15455	29335.89675	28249.11964	35371.97279	23853.89051	25428.86194	30647.73296	27936.37479	15916.4461	34456.37463	34891.1559	34835.51622	27020.99703	20076.567	30653.91455	32200.81377	27036.44626	33895.04722	34915.6968	29847.93087	44629.55469	18060.09917	35133.23205	35333.05814	39580.04145	36340.33162	35077.90067	30828.18031	37785.74115	42962.58189	24568.18471	42136.83459	30796.74315	26532.79851	32378.91318	28468.47917	33392.48048	32170.17761	32768.05238	38617.56263	40810.82223	35935.33486	32049.3657	29508.04873	33953.3057	39401.46261	35549.63416	33562.93805	22270.2705	42438.73876	27545.62952	33876.98898	39071.77072	29139.92635	24694.15513	26937.6891	35582.28432	26563.46496	16248.58002	27887.88963	34042.75406	32189.95976	37689.73148	38083.58622	21001.33784	39266.31366	30266.49028	24524.8337	30774.22419	32769.5633	31719.32195	37022.19862	33889.79502	37380.65656	36373.19212	34127.67064	31733.49866	24436.22351	31146.7441	34319.75072	26766.56948	33502.59944	19076.13414	38759.56894	19992.99635	30202.13903	38263.44046	20204.2643	21965.67012	25060.29859	32034.30579	23162.21862	15050.95049	28955.54568	33958.34901	34477.1931	38717.29537	40858.57862	33353.28872	39812.2786	31020.04545	24122.82353	31147.41775	24573.91051	28163.5449	28333.26579	24377.98343	33435.88895	38894.34301	33841.82794	28163.28365	27392.32742	31669.20155	36530.96499	31610.45104	30547.07399	28290.12488	36407.17806	33396.31492	26098.44872	31984.75095	35291.54927	32426.67564	30181.40683	37343.0855	31186.67425	26869.57378	31637.60622	40037.62923	27680.7819	31763.68746	29866.58506	31132.91702	38843.3665	27616.63429	22413.60271	32754.80864	33557.50745	23000.66452	33215.48372	26962.34146	30199.06873	29366.25716	37257.93904	26131.84855	25675.30345	37727.13883	38729.46666	39258.21693	31194.20536	25598.05466	26211.05092	30271.36307	24636.09827	26475.14813	34805.8052	29795.65637	31097.77357	39214.5961	31689.88332	27488.27786	32167.5519	41303.30582	30397.04607	21690.09101	21344.90399
120	150	23593.11483	39947.9495	40707.55852	41157.68449	34296.66029	23035.7267	42167.81638	39399.58821	38413.66576	35652.43372	35732.2833	35214.86833	41387.9443	29044.32732	34684.05823	36553.22133	32710.9126	18478.3129	40004.11013	42834.23715	42228.75423	32983.72909	24283.82562	36343.00313	41623.5704	32779.25589	39599.94992	42591.17384	36140.17205	55533.4543	21307.95273	42763.48571	41728.57763	47582.83591	43753.42667	41446.55475	35400.28392	46865.92409	52153.98015	29867.78229	50785.94255	36075.62873	32040.41595	39012.26239	35539.36286	41921.92243	39575.41367	41256.01531	47955.91468	46883.11921	44084.38868	37479.61844	34513.40205	41657.71399	46978.14703	43396.96067	42125.37503	26467.29194	51492.26977	32307.35359	41014.13921	46032.03123	34941.49483	29304.59764	32219.20293	42751.63771	32243.73406	19751.40851	32296.80755	38458.72182	39708.35315	45040.34334	47022.19082	25078.56856	47937.71935	35029.9645	30242.51817	37417.11495	40442.63903	38171.28379	44501.01171	41628.82953	44481.86625	43683.02543	41436.94977	37700.25155	29557.91728	37738.94379	43077.09058	33396.92554	41594.57043	22813.82148	47902.50646	24140.94134	36530.19717	47494.01455	24709.22809	26135.70665	29316.78405	37047.7297	28285.09931	17828.76334	32725.32148	41084.48223	41396.25381	47172.56579	51043.64901	41394.98883	48556.43898	37335.04902	29053.89943	37972.21589	30162.30232	34951.22145	34949.05386	31583.86361	41648.7481	46090.34371	41290.82851	34165.72676	32815.66645	39781.64474	43145.11621	38992.0966	37417.60067	33385.84208	43619.00807	40748.74164	32417.63962	38413.70467	43196.13368	38325.83036	37264.23513	43903.47269	38169.82253	33030.01896	33806.52682	46596.35668	34407.70439	38179.65569	36710.07589	39394.68924	48332.01283	32941.8346	26956.1791	40114.63046	41397.93921	28802.76404	39606.32637	33102.07867	35462.25102	37216.58495	45331.80679	32781.18786	30963.96019	48335.97035	50179.84403	48692.26513	38280.19849	30920.59327	32303.44174	37517.69749	30112.06582	34671.26529	42326.77801	36018.88027	38427.46283	45423.51952	38639.69858	34180.12978	36235.70737	47613.70266	36122.35707	27194.91612	26070.95015
150	180	23573.40638	40377.36647	40673.38639	42217.05711	34260.42636	23484.47583	43457.05077	42102.05348	37164.76929	37219.9105	37539.59879	35404.36214	41274.17606	26258.90878	32981.92153	39381.2254	33060.70182	19805.36303	43889.99606	44099.18337	44172.29262	34563.84846	25420.17471	38917.06069	44357.51916	34676.08639	41087.38439	48487.03412	38516.57018	63135.17695	23570.9709	43832.56186	40496.52391	47208.25078	41960.10871	40194.87351	37963.53884	47438.22182	52666.51683	31112.64934	52850.07165	36751.49188	33521.93332	39892.04485	37007.99112	43740.02587	40885.42313	41946.62735	49310.24805	48735.80368	45892.31154	39889.96636	35993.26087	44334.28777	49559.55333	45060.81674	44279.57468	27327.62796	53992.21534	33456.30875	42400.69304	47306.57889	36504.20402	29694.29628	32299.62528	43228.72208	33278.40877	20768.82087	32653.38143	40213.44212	40186.98939	47492.80307	47945.37618	25483.63306	50272.55029	35635.48319	32299.98609	38412.46211	41596.61749	39271.88713	46879.72784	44444.70011	47184.71694	44451.09471	43065.906	38003.02352	29036.32014	38411.81373	44467.28729	33590.41522	43482.00439	23820.25102	49341.44706	24584.90655	37713.48987	46458.53687	25389.57855	26838.56212	30493.25539	37438.58871	28730.52422	18844.95297	33793.52375	40363.63267	42248.96982	47285.1428	49419.57143	43554.3256	51119.96168	39669.71674	29994.41915	39325.29045	31857.57043	37389.98214	36518.59204	32285.26235	42120.6637	48058.58444	42335.71212	36261.79567	34463.97015	42112.16059	45775.81934	40686.18481	39527.30981	34961.76084	46351.30882	41797.7691	34512.87041	39290.24826	44871.1342	39162.1986	38236.76225	43864.28922	38736.02493	35769.45014	35142.94329	46035.72186	34668.19266	41167.65551	37793.2833	40868.26952	51467.65487	32698.36194	28124.975	41457.00678	42763.88774	28633.2417	41450.83236	34471.71741	37973.27194	37132.72661	47136.91939	33868.64873	32097.7543	49516.66185	50097.76788	49288.94278	39497.94502	32104.07345	34067.75686	38164.75005	32064.43385	33481.12316	43764.18224	37610.29119	40170.17435	46134.46872	40636.46729	36364.07241	39512.88153	47768.26247	38725.42048	28016.20845	27484.45508
180	240	24045.26467	40945.84742	41334.77334	42671.76999	34892.40064	23903.61952	43536.07557	40652.93844	38092.48779	37192.52635	37090.83214	36699.87985	42084.02931	28242.68973	33238.93848	39439.68567	33007.1465	20761.03891	42155.75591	43508.58252	43899.49769	34443.21628	26448.20609	38983.30061	42248.10207	34271.86036	40027.58252	46866.97825	39664.99055	60492.55625	23476.57392	44878.01132	42182.9568	48995.41868	41715.34169	40266.1447	35302.2471	46260.182	50477.92	30614.39688	51760.24157	36990.86982	33465.84536	40121.97024	37809.10169	42519.10955	41206.84907	41864.43305	48007.38876	47722.42775	46235.29171	37926.329	34689.52438	43285.11132	47679.98237	44291.16355	43894.70377	27494.81978	51424.5734	32857.36911	42374.01121	46353.65747	35975.88158	29022.68466	32019.43857	42661.03691	33720.68553	20758.23771	31813.40881	39377.48474	40322.08781	45371.48533	47475.88924	25832.53914	49165.52185	35048.222	32284.21728	38886.58895	42072.54248	39448.43618	47165.30445	43312.61026	45871.43842	44220.88564	42794.65573	38020.26812	29854.526	38804.34545	43881.68601	33762.68923	42149.7898	24013.83773	47874.12969	24909.99587	38105.36213	46929.01851	25706.89714	26775.70277	30561.74109	37736.71278	29231.66175	19215.37391	31440.19754	41754.15205	42089.9006	45915.25683	49931.54032	43118.39255	50764.3743	39456.49683	30140.22271	39707.67627	32057.0419	35450.30097	36977.43093	32110.05889	41940.77422	46521.55911	42788.56641	35910.61976	33436.18241	40978.88565	44140.40595	40176.23584	40750.6312	34543.54653	46036.63402	41422.76719	34173.03062	38134.52262	44170.72229	39240.07178	37994.6526	43714.9783	39769.53879	35260.46485	35014.79311	45258.18037	35252.24121	39214.69894	37813.86216	40145.26956	50442.22255	33310.00132	28352.88626	42032.23553	42873.21603	29059.57264	42346.66115	34560.82403	37609.85675	38224.78724	47271.33661	33215.72964	32499.00622	48998.95112	49643.32944	47934.17304	39865.23592	32364.62959	34238.11221	38274.52347	31406.61514	34028.88857	43794.46042	37475.47273	39665.75447	45753.71859	39629.0305	35651.15077	36797.76971	48622.28146	38646.99831	28408.3522	27576.80337
240	300	22649.88661	38024.29069	39355.6649	40623.67151	34044.13508	22802.18196	42441.27107	39292.46239	34882.06229	36039.11297	35825.24344	35007.87731	40160.98546	25515.26681	32174.84502	38652.28036	31247.27617	20445.49898	43244.80206	40670.34284	41581.49935	34188.55629	26082.48961	38344.81858	42702.1296	33332.61298	37661.12642	42325.85722	39776.27115	55227.72148	21788.12657	42583.42286	38466.10392	44383.83924	39144.52508	37715.89474	32256.35029	43109.63096	45688.92784	28069.37638	48754.64437	36085.55383	32753.00129	37501.42938	36858.23562	40149.15018	39545.41295	39680.79521	44924.08051	44411.74184	43152.31185	36639.0441	32812.79952	40464.55361	45765.898	41248.59755	41415.79438	26147.27413	47491.15081	30824.67745	39349.50438	41420.11555	34283.25424	27750.73531	29623.86852	39804.21358	31523.87447	21312.80023	31496.76346	38103.39271	39030.75558	41256.65169	43748.871	24907.90174	45832.70081	35968.56191	32087.55793	36351.78187	40037.47544	36276.37604	43953.73129	40490.73226	43384.82338	41726.16751	40870.74466	36242.03041	27780.3002	37901.72592	42197.62899	32711.52221	40062.75984	23164.12043	44743.68974	24186.19852	36079.75932	43325.63312	25062.06891	25826.80746	28610.81356	35635.34014	27911.97251	20509.2683	30210.35946	39923.96621	39332.96978	42714.41314	44758.68546	40094.42221	48178.24678	37094.95376	28801.97355	38068.92943	31021.82261	33419.25838	35206.44146	30602.27743	38844.33275	43443.50854	40049.55117	34297.87774	31898.12609	39438.37072	42376.17215	38324.22189	38781.8651	33336.65706	42151.05537	38978.50693	32402.62	35199.38129	42150.22917	37743.81751	35863.76772	40816.78262	36716.76443	35579.36488	33003.54113	43983.99898	34766.15839	36690.52922	37129.6948	37723.56994	47165.41649	34036.32184	27016.26454	39020.02406	39443.64481	27455.13047	39715.04423	32803.55836	35859.62055	35798.56093	44098.16963	32145.08228	29564.77172	45414.43974	46171.21762	44880.33158	37751.47624	30656.49848	32582.94575	36021.40724	30583.34198	32402.16763	41097.7319	35495.85562	36885.86025	42709.09873	37191.84023	35676.99989	33385.02375	45093.5654	35916.50542	27232.04013	26502.29293
300	360	20187.89273	34061.74199	36012.03972	37519.33815	32595.4872	22435.78029	40874.04316	38058.04629	33698.47797	31852.89902	33316.33492	32065.15868	35116.57447	22258.38286	31444.33486	37257.43464	28867.59444	18531.7479	36905.85703	38040.23929	38533.10756	31813.97723	25436.95366	36318.91579	40107.46327	29829.74021	35878.0629	40539.19869	37301.2159	49312.04922	20831.56859	41781.09172	32438.76711	40879.4459	35920.30399	33760.55972	29681.44257	40192.41965	41530.14611	27479.21428	43812.11886	32881.46083	32156.71602	34817.32583	34149.93748	35918.34578	35897.04656	37296.08723	39861.44405	40183.67023	39572.95063	33697.4024	29453.3597	37041.2888	41489.50286	38249.61031	36093.75897	24850.97492	41017.3587	28871.39648	35221.6505	37607.653	31875.73847	25824.04162	28057.61221	35650.76461	29389.93185	20639.00572	28768.99397	37806.95225	36957.01131	37003.75065	39316.57339	23818.44734	40914.66203	33843.65333	30656.67981	33920.55103	37222.22927	32896.14949	40065.07203	36972.58776	38821.89234	38300.57856	37666.79725	33147.10036	25504.87437	33600.08273	39131.64836	30021.78005	36712.55336	21375.42877	40153.14883	22642.46081	33046.01098	40458.56365	23550.7803	24311.40032	26726.88676	31743.60218	25903.23801	20324.963	28038.52334	36364.36949	36346.98016	38279.75432	39679.24876	37446.96422	42728.05945	35970.27511	27554.6571	33978.10862	28437.72633	29851.38086	32173.21394	29199.47449	35871.49627	40136.2875	36137.02984	32133.27926	29607.9223	35546.35013	37777.39616	36120.82137	34394.92426	31462.19684	37717.97055	35184.0884	29476.03814	32672.19857	38282.45424	34556.89042	33458.27062	36896.88985	33226.90961	33595.68285	29173.04606	41449.08396	33169.6711	33724.42557	33025.18702	34873.8232	41559.13069	32256.33013	25605.84518	36025.86931	36820.95836	24684.97502	35978.56378	30420.89052	33034.23261	32781.08812	41350.92842	30096.17418	27534.61881	40713.79861	43195.31394	41095.26191	34991.8053	28193.13766	30462.6869	32911.56955	27993.90629	30905.17428	37327.19238	33207.46337	34433.44264	37713.45894	33928.29913	34161.37049	31558.73206	40354.59065	33318.93571	25063.1692	24470.33412
360	480	17981.68744	28933.12712	32156.02081	33447.09052	30217.6968	20593.88952	37484.35396	33493.83622	30780.35949	28063.12437	30403.64202	28823.55556	32796.10284	20138.23229	29071.80288	34270.92891	24114.63561	17345.20751	33679.77097	33647.602	34249.56869	30254.46221	24270.35787	34648.1885	35353.30024	27252.89083	32555.98088	37178.44978	34667.35162	45782.24492	18893.78184	32198.6246	26942.67317	34724.63682	28208.26049	28569.97749	24834.32677	34486.49779	34969.88934	24621.39486	38040.45193	29903.85044	29653.43818	30713.37662	30912.13305	31408.09265	31539.41489	33178.34603	34453.98372	35195.06462	34890.58645	30607.97245	25724.75768	32155.17936	36115.74419	32608.09922	32252.49381	22071.35027	34835.68715	25806.67765	31135.68971	32728.57416	28086.79974	23251.65782	24862.70273	31100.1192	26502.36259	19645.57666	26171.48592	32700.85406	32471.28768	32522.94363	34131.49666	21376.45325	35585.65421	30801.73481	28494.86532	29822.43422	32943.68419	29652.66045	35172.45563	33461.40184	33382.73548	34209.44817	32766.75628	29182.65775	23032.07265	29252.32976	34219.59935	26599.42055	31868.48696	19703.00066	34607.01546	20608.25204	29475.66021	34730.39565	21479.23225	21983.14917	24036.63733	27951.09931	23996.58398	18658.57462	26275.87794	33162.08174	32392.80816	32803.48697	34444.86081	31892.8993	36686.20985	33885.06635	24973.11129	29793.20044	25827.8314	25487.6039	28252.88328	26963.51169	31186.19443	34665.00155	32092.18791	29762.77443	25471.40751	30763.40117	34005.27831	30294.8329	30433.92688	27581.94913	31759.21982	30690.09188	26011.43148	28682.47146	32491.19902	30374.4635	28870.71296	32210.19421	29247.03396	30465.84595	27753.6241	35390.4342	29895.2657	29448.59519	29902.40434	30073.41125	35631.91356	30276.8673	23838.04844	31367.54538	32588.24567	22351.63412	31903.81675	27346.62486	28781.96507	29739.96097	36189.35284	27187.06047	23763.97323	34454.86306	37073.19072	34776.89083	30626.40824	25583.09312	27375.35361	28856.45145	25094.00584	27087.80859	32387.61889	29125.52362	29454.48176	33090.69824	29986.81668	30281.93586	30512.27181	35574.26013	30429.72615	22615.49742	22138.99899
